Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-28.8838,0.20166968750000003,0.09900244517906868,16,0.07476539,0.07657415000000001,0.11899399999999999,0.20407,0.2735615,0.347068,0.37290159999999994,0.25727333132530117,0.12555352345244103,83,0.06391945,0.09874820000000001,0.1696225,0.23311,0.3451095,0.49641499999999994,0.54492466,0.14428210525252536,0.06782464196060264,198,0.016160762000000002,0.047502265,0.0990827,0.1382085,0.18168625,0.2585966999999999,0.3320369
-27.8838,0.19131219374999997,0.08122488682368616,16,0.085384335,0.089515275,0.12213125,0.193679,0.239927,0.31868475,0.34577775,0.25207916144578313,0.11408266021207009,83,0.078467538,0.09850638,0.170788,0.22497,0.328887,0.44939219999999996,0.5230344399999994,0.1505168186868687,0.062068925223699355,198,0.036753342,0.06153096,0.11274,0.1462025,0.18165499999999998,0.25643339999999987,0.33550636
-26.8838,0.2046200625,0.07334377192870004,16,0.1060537,0.1204045,0.147862,0.1963165,0.22644425,0.33825075,0.36345974999999997,0.27014143855421685,0.10798743843026015,83,0.109970552,0.1214741,0.1915595,0.263891,0.3258065,0.4711402,0.5234215599999993,0.1839713823232323,0.0669172372127515,198,0.055189171999999995,0.08217029,0.13984975,0.181445,0.2226105,0.29450334999999994,0.4207556
-25.8838,0.23276806249999996,0.07405986857623477,16,0.12964009999999998,0.14355649999999998,0.1891125,0.217009,0.24582175,0.3801275,0.38057749999999996,0.30186339759036135,0.10246723176167574,83,0.14307228,0.15945710000000002,0.231122,0.285016,0.347197,0.5036563,0.5504809199999995,0.24148875555555557,0.0760957993363151,198,0.092799034,0.11656435,0.1893175,0.24165150000000002,0.29071325000000003,0.3617650499999997,0.49184134
-24.8838,0.27218481250000004,0.08463940644421586,16,0.159283,0.159607,0.21225525,0.259553,0.32112050000000003,0.41168775,0.42387195,0.3440198313253011,0.10113064620419729,83,0.18003346,0.2116708,0.278722,0.328979,0.39592700000000003,0.5191120999999999,0.6238743199999998,0.3252652828282828,0.09107895932629122,198,0.13892849,0.17828375,0.26037925,0.32265750000000004,0.38141725,0.4736978499999994,0.57426383
-23.8838,0.3091953125,0.11160609139930117,16,0.1302015,0.16377150000000001,0.22799450000000002,0.2995865,0.392062,0.46792575,0.46963154999999995,0.384293421686747,0.10952738760349778,83,0.19647612,0.241206,0.299049,0.351394,0.4526995,0.5803343999999998,0.6819854599999998,0.4234676616161619,0.11372659534191014,198,0.17564016000000002,0.23842814999999998,0.352937,0.4246125,0.4944165,0.59742785,0.68706257
-22.8838,0.3557594375,0.13442302392123592,16,0.1501697,0.16773649999999998,0.26105700000000004,0.33534600000000003,0.480069,0.543798,0.5446643999999999,0.4313861445783132,0.12049911016401865,83,0.22184864,0.2625886,0.33513899999999996,0.41938,0.4987155,0.6547131999999998,0.6920809399999995,0.5206495303030304,0.1357835800225592,198,0.20785949,0.28770715,0.41974,0.529361,0.61957275,0.7223409999999999,0.8102799
-21.8838,0.39385387499999996,0.1488661464962736,16,0.18471854999999998,0.19195275,0.26773825,0.36995849999999997,0.5209094999999999,0.60538425,0.63844245,0.46705406024096385,0.1345870828439622,83,0.23589714,0.2846174,0.3627805,0.451863,0.5406875,0.7192814,0.7538600799999999,0.5941678181818181,0.1561610426431906,198,0.23428792,0.3255146,0.479525,0.6076915,0.7018880000000001,0.8224404999999999,0.9020734300000001
-20.8838,0.4190984375000001,0.15850950817957,16,0.22679035,0.23453575,0.28588399999999997,0.3745595,0.54389475,0.63445975,0.69255835,0.4921330843373495,0.14806357654747296,83,0.23538266,0.2863496,0.391222,0.476498,0.5692315,0.7718771999999999,0.8208136799999995,0.638423888888889,0.17213995261770632,198,0.26389258,0.35892995,0.5053602500000001,0.6516785,0.78312025,0.88498565,0.94579466
-19.8838,0.4422033125,0.1597117170766206,16,0.2337643,0.2407375,0.31479650000000003,0.394506,0.5865285,0.6929365000000001,0.7054801,0.5190654939759036,0.15498132370247095,83,0.24587128,0.2996882,0.403722,0.500033,0.6102095,0.7753177,0.8821952399999995,0.6609092525252523,0.17991159619648303,198,0.28599572,0.37280355,0.5211382499999999,0.6621505,0.8095555,0.9360949,0.9678562700000001
-18.8838,0.46670175,0.1571971211244023,16,0.22415965,0.23437824999999998,0.3632435,0.43740999999999997,0.582859,0.6865242500000001,0.73794245,0.5505007228915663,0.15528058214589682,83,0.2768949,0.3199376,0.4345295,0.543184,0.6523075,0.7917866,0.9131837999999995,0.6725744292929295,0.180226149698989,198,0.3007162,0.39314150000000003,0.5349349999999999,0.6660465,0.82745875,0.9558388,0.97321433
-17.8838,0.5003750625000001,0.1543835103696716,16,0.2297833,0.23531649999999998,0.4308985,0.485066,0.56829425,0.72827675,0.79914575,0.5899514819277105,0.15130755888734654,83,0.31122164,0.3459255,0.465075,0.586329,0.69393,0.8334504999999996,0.9220244999999996,0.6876312424242428,0.17404061656144562,198,0.32942954,0.40649385000000005,0.552362,0.673476,0.83592325,0.95925465,0.98125293
-16.8838,0.534638,0.15728583873784271,16,0.2342599,0.24481150000000002,0.47952425,0.5254920000000001,0.6086335,0.7530637499999999,0.8463151499999999,0.6293146144578312,0.14485684979609884,83,0.32347626,0.3771255,0.526883,0.631536,0.7235905,0.8687817999999999,0.9139460199999995,0.7075496313131308,0.16485933898640978,198,0.32043044,0.4220387,0.5876805,0.7004275,0.846644,0.9543109999999997,0.98140075
-15.8838,0.5577775,0.16730717743201176,16,0.22789395,0.25947375,0.5077422500000001,0.5495555,0.6520805,0.7748792499999999,0.8807294499999999,0.6543874096385542,0.13949341488181846,83,0.3252101,0.4017903,0.5704815,0.662723,0.7296975,0.8754308,0.9009016799999994,0.7245961313131316,0.15660310422441756,198,0.32787957,0.45283865,0.62242525,0.7297754999999999,0.846398,0.9507087999999999,0.9845206900000001
-14.8838,0.5645493749999999,0.17921243987695162,16,0.21891660000000002,0.27137100000000003,0.50871125,0.5596289999999999,0.6604125000000001,0.8216352499999999,0.8946942499999999,0.6576323373493977,0.13519759864842068,83,0.3169145,0.405148,0.6068009999999999,0.655719,0.740095,0.8690728999999998,0.9136206999999996,0.7305466161616162,0.1515053490066223,198,0.35704199,0.47142615000000004,0.62523875,0.7331155,0.86014425,0.96012705,0.97969899
-13.8838,0.541466375,0.182765920164519,16,0.20985985000000001,0.27927925,0.444425,0.5312414999999999,0.6439935,0.8275345000000001,0.8591845,0.6242666746987953,0.12605750255563378,83,0.31214386,0.3972517,0.5548770000000001,0.620343,0.7062375000000001,0.8392190999999997,0.8766053799999998,0.7018038686868687,0.14434764971659042,198,0.35339046,0.46617035,0.6044262499999999,0.692478,0.82284325,0.9288160999999999,0.9482826
-12.8838,0.49192075,0.17256529791415193,16,0.1968429,0.27010649999999997,0.36266675000000004,0.476864,0.629017,0.770171,0.7891574,0.5621527951807228,0.11006223119946225,83,0.30600664,0.36775680000000005,0.496604,0.566318,0.6319885,0.7653005999999994,0.80246436,0.6365246666666665,0.1316441691612752,198,0.35902337,0.4272107,0.55210425,0.6244835,0.74605875,0.8528334,0.87291011
-11.8838,0.44040556249999996,0.15693753707891503,16,0.19074534999999998,0.25625875,0.31933925,0.419628,0.56370925,0.68133325,0.7356146499999999,0.49767114457831335,0.09540102239521342,83,0.29731537999999996,0.3283209,0.4349815,0.503167,0.5531565,0.6533381,0.7121127599999999,0.5672812474747474,0.1188948429105964,198,0.33299728,0.37099675,0.4883675,0.5557805,0.66140875,0.7589581999999999,0.79720213
-10.8838,0.3900111874999999,0.1374552281742283,16,0.18254599999999999,0.22072999999999998,0.30458975,0.371231,0.4732795,0.6009180000000001,0.667878,0.4361071927710845,0.08153775080957494,83,0.27423702,0.3060184,0.379517,0.429666,0.481637,0.5919847999999999,0.62660644,0.5017837676767675,0.10476377577980465,198,0.29471853,0.34330215000000003,0.42605,0.489745,0.58147625,0.6687619499999998,0.71379923
-9.8838,0.3471826875,0.11721897121582253,16,0.17828075000000002,0.20077175,0.27423074999999997,0.34671850000000004,0.39522075,0.54310375,0.6006695499999999,0.3854687951807229,0.06869962423455993,83,0.25778256,0.2856912,0.3423395,0.373036,0.43049899999999997,0.5224839,0.5398278399999998,0.4469990353535354,0.09074138564366173,198,0.26834384,0.30736335,0.38973525,0.436347,0.51004925,0.5945765499999999,0.63803975
-8.8838,0.313941375,0.09798975488820248,16,0.17721604999999999,0.19372024999999998,0.2492975,0.3180365,0.34955800000000004,0.479937,0.531789,0.3481120120481928,0.05842986772389238,83,0.24767588000000001,0.26542669999999996,0.3073825,0.333752,0.38249,0.4667819999999999,0.4855554199999999,0.40673020707070695,0.0786658463396121,198,0.24902773,0.28661145,0.34846875,0.4011835,0.46388425,0.5389440999999999,0.5817702600000001
-7.8838,0.2926736875,0.08417402661685987,16,0.17775145,0.18892525,0.22824675,0.29212499999999997,0.33196925,0.42735275,0.47020894999999996,0.32463991566265066,0.052179166236410356,83,0.23912626,0.2502161,0.28403449999999997,0.324895,0.358647,0.42162869999999997,0.45712136,0.3858411969696968,0.0720573545220566,198,0.24098945,0.26817810000000003,0.335577,0.38793500000000003,0.42960775,0.5049350499999999,0.5497284
-6.8838,0.28264787499999994,0.07385202055450707,16,0.18292545,0.18806325000000002,0.226524,0.2749025,0.33158224999999997,0.39294425,0.41256485,0.3135395903614459,0.05170321750167267,83,0.22446475999999999,0.2388783,0.277584,0.3137,0.34249949999999996,0.4060371999999998,0.44759163999999985,0.3827722171717171,0.0704064584279295,198,0.23715229999999998,0.2628161,0.3342935,0.37616499999999997,0.42769975,0.49688759999999993,0.54611726
