Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-28.8838,0.30553163187499993,0.0699463668465077,16,0.14421505,0.15067525,0.289843575,0.320443045,0.344956295,0.3768916325,0.3777242945,0.2811364928915664,0.11205901382112339,83,0.079829696,0.09628806000000001,0.16664299999999999,0.32139158,0.37803827999999995,0.40746737499999997,0.41944601999999975,0.4072360441414139,0.062201574022106104,198,0.24054584,0.291064,0.37482488,0.413982835,0.4443923125,0.48984172549999994,0.5170348645
-27.8838,0.29829319312499997,0.0681659880100666,16,0.1438756,0.14454999999999998,0.2807115025,0.3124562,0.33548089000000003,0.3685328225,0.3705371165,0.27447468879518083,0.10794029792355325,83,0.085732424,0.10150540000000001,0.158354,0.30636,0.371961525,0.40132937499999993,0.41687163719999976,0.3967301030808079,0.061836030457644374,198,0.23986300000000002,0.2874213745,0.361520725,0.404153935,0.4361459725,0.48266484849999997,0.5113016131
-26.8838,0.281845255625,0.06384681663092666,16,0.13668555000000002,0.14208375,0.26707567249999997,0.29236615499999996,0.31533892750000003,0.3492325075,0.35666911749999997,0.2607288546987951,0.0997850819595617,83,0.089575854,0.09774855,0.15592899999999998,0.27522576,0.34821718,0.3856396319999999,0.40890539719999974,0.37420273242424235,0.06266854073721502,198,0.22924881,0.26662035,0.3329306775,0.376962475,0.4126701275,0.46641069799999996,0.49021935520000004
-25.8838,0.25802649750000006,0.05740347366332,16,0.1335928,0.141088,0.2386471725,0.26242617,0.29498333,0.33026665,0.332289754,0.2408013525301205,0.08791902465064975,83,0.092365216,0.09832933,0.1509205,0.2394147,0.31576960499999995,0.36248657599999995,0.3911235183999999,0.3415750003030304,0.062491782074141904,198,0.20892843,0.2452480205,0.302065515,0.343759075,0.380344535,0.4446526875,0.4658705409
-24.8838,0.22767067375000002,0.051741638940698935,16,0.130319,0.137315,0.194940415,0.22999918000000003,0.25764828,0.29788118,0.306983756,0.21384651132530125,0.07558963940539495,83,0.09803151,0.1025588,0.140204,0.20281543,0.273263295,0.334493051,0.36200296619999994,0.2996793626767677,0.06403413579824677,198,0.16169317000000002,0.19205195,0.26171083,0.302152,0.3404976825,0.41276417449999997,0.4298413353
-23.8838,0.18278886812499998,0.05326698860696122,16,0.11521619999999999,0.122553,0.13309225,0.166064,0.2245070025,0.2714203725,0.2757632745,0.1798438237349398,0.0627585634724926,83,0.096280212,0.1063762,0.13001000000000001,0.159453,0.22780424,0.29747775,0.32555393819999995,0.2544150033838385,0.07033735199229013,198,0.12384234,0.1456887,0.2059276,0.25378277000000005,0.29860975,0.37949172999999997,0.4065542734
-22.8838,0.16303299999999998,0.05183235707033461,16,0.11475199999999999,0.116336,0.1275385,0.151558,0.17225575,0.273707,0.2848958,0.1612885862650603,0.052024975481021765,83,0.088849844,0.09713669999999999,0.1236115,0.149508,0.182557,0.26343785,0.2805893199999999,0.22436875626262628,0.06855523596623428,198,0.104353033,0.12526765,0.17002825000000002,0.220024,0.26644375,0.3476636505,0.41845734
-21.8838,0.1557444375,0.04187284917138032,16,0.10538135,0.11275475,0.13043625,0.1459535,0.1697475,0.2376745,0.2554429,0.1542666963855422,0.04523553394651924,83,0.08109103200000001,0.09351353999999999,0.122524,0.145767,0.17412149999999998,0.2390483,0.25925615999999996,0.21357682838383826,0.0621926876401915,198,0.11055559,0.12109745,0.16862549999999998,0.212864,0.2484725,0.32626399999999967,0.36342191
-20.8838,0.1543945,0.03652071009532354,16,0.10248115,0.11132575,0.13004675,0.152662,0.17116925,0.20974325,0.23737265,0.1534083831325301,0.04190773885573455,83,0.079714764,0.09732144000000001,0.123496,0.14933,0.175781,0.23240299999999997,0.24623777999999996,0.2134761247474748,0.06103634351353277,198,0.103859598,0.1212064,0.1664045,0.2129665,0.251875,0.32882989999999995,0.35208968
-19.8838,0.15731162499999998,0.035136500891760215,16,0.10743625,0.11121325,0.12722675,0.15752149999999998,0.1833485,0.20494974999999999,0.22239954999999997,0.1554384566265061,0.03892452673905068,83,0.088773958,0.09748166,0.1255795,0.151874,0.1742645,0.2256666,0.23776615999999992,0.2176649363636362,0.06024954681264606,198,0.09900571000000001,0.12681575,0.16851924999999998,0.222279,0.26120075,0.31468764999999993,0.35850407
