Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-49.8222,0.0006196977599999998,9.858433136883365e-05,25,0.00043339816,0.0004633536,0.00056964,0.000608303,0.00064396,0.0008115301999999998,0.00081989892,0.0005173560545454545,5.785141338418151e-05,110,0.00039438,0.00041928905,0.00048642625,0.0005093624999999999,0.0005485654999999999,0.00062300545,0.00063942386,0.00047306258113207546,5.861875716242257e-05,265,0.00034879376,0.0003809096,0.000434875,0.000468023,0.000506186,0.0005858352,0.0006116204
-48.8222,0.0006193773600000001,9.487166565677024e-05,25,0.00044957904,0.0004709374,0.000565473,0.000609435,0.000638942,0.0008081835999999998,0.0008150721599999999,0.0005151138909090912,5.750942974299203e-05,110,0.00039960661,0.00042539485,0.00048090675,0.0005075114999999999,0.000546556,0.00062456915,0.00064379694,0.0004720452188679245,5.726144718225746e-05,265,0.00034727724,0.00038552860000000004,0.000436072,0.000466265,0.000505848,0.0005785031999999999,0.00060870964
-47.8222,0.00061890292,9.069873265511119e-05,25,0.0004598102,0.0004930998,0.00056238,0.000609122,0.000640779,0.0008047537999999999,0.00080778992,0.000512203872727273,5.6112747742496184e-05,110,0.00041415665999999996,0.0004264627,0.000478274,0.000501848,0.000547837,0.00061684335,0.00064485461,0.0004705361849056604,5.543948870068798e-05,265,0.00034737856,0.0003887242,0.000435766,0.000464723,0.000505114,0.0005714548,0.00060345828
-46.8222,0.00061915672,8.873479695865277e-05,25,0.00046427244000000003,0.000506878,0.000563382,0.000614952,0.000641251,0.0008047652,0.0008074481200000001,0.0005104906272727273,5.504928651703047e-05,110,0.00039849279999999997,0.00043347435,0.00047327175,0.0005038684999999999,0.00054701,0.0006150833,0.00064449067,0.00047043233962264154,5.442919375162929e-05,265,0.00034574728,0.0003906666,0.000436549,0.000466341,0.000502154,0.0005682402,0.0006019281600000001
-45.8222,0.00061896728,8.878451542335524e-05,25,0.00046776875999999997,0.0005153677999999999,0.000561889,0.000610055,0.000643247,0.0008062656,0.0008144527200000001,0.0005095329272727272,5.4584117553007426e-05,110,0.00037817644,0.0004324118,0.000474634,0.0005017660000000001,0.00054372425,0.00060702825,0.0006461981899999998,0.00047049047924528306,5.400162286254361e-05,265,0.00034298696,0.0003933608,0.000436668,0.000466881,0.000500649,0.00056721,0.0006016994400000001
-44.8222,0.0006185174800000001,8.780677303038759e-05,25,0.00047138512,0.0005227939999999999,0.000560507,0.000606887,0.000645718,0.0008070016,0.00082041304,0.0005078782454545454,5.40504711371715e-05,110,0.00035754566000000004,0.0004280541,0.00047446675,0.0005018835,0.0005454627500000001,0.00060066195,0.00064759863,0.0004710048452830189,5.34387212454693e-05,265,0.00034045715999999997,0.0003924918,0.000438045,0.000467405,0.000500824,0.0005677136,0.0006014562800000001
-43.8222,0.00061842124,8.768119084324755e-05,25,0.00047354616,0.0005256554,0.000559181,0.000599969,0.000644766,0.0008092517999999999,0.0008257852399999999,0.0005061628272727273,5.3860044382607936e-05,110,0.00036521234,0.00042468075,0.000474384,0.000499902,0.00054386,0.0005917852,0.0006473940299999999,0.0004712935924528302,5.295709009388699e-05,265,0.00034135856000000003,0.000391227,0.000437741,0.000468533,0.000499649,0.000564953,0.00060167624
-42.8222,0.00061731672,8.858924050287748e-05,25,0.0004725562,0.0005205668,0.000555966,0.000602626,0.000641667,0.0008098683999999999,0.0008294657599999999,0.0005037595818181818,5.3836628278623426e-05,110,0.00038102728,0.00041632889999999997,0.00047188350000000004,0.0005034,0.0005396744999999999,0.00058823505,0.00064617355,0.00047104550566037735,5.265295291009261e-05,265,0.0003424848,0.0003911108,0.000438835,0.000469495,0.000497993,0.0005620617999999999,0.00060124772
-41.8222,0.0006163230800000002,9.134497947384228e-05,25,0.00046924584,0.0005093874,0.000555141,0.000605934,0.000643952,0.0008129573999999999,0.00083466,0.0005020009090909093,5.4915987502603965e-05,110,0.00037278173,0.0004166576,0.0004687445,0.0005015915,0.0005353615,0.00058841065,0.0006437208699999999,0.0004706870867924528,5.285628485820185e-05,265,0.00034071872,0.000388225,0.000438179,0.000471365,0.000499145,0.0005622848,0.0006020693200000001
-40.8222,0.00061478396,9.409886709488058e-05,25,0.00046569864,0.0004907042,0.000553733,0.000603998,0.000644752,0.0008149561999999999,0.0008365647599999999,0.0005005329090909091,5.6042978107246174e-05,110,0.00036361434999999996,0.00042124845000000003,0.0004690925,0.000499031,0.00053342475,0.0005886668,0.0006391185399999999,0.00046946146792452834,5.3241389768532175e-05,265,0.00034011816,0.00038825460000000003,0.000435849,0.000469585,0.000497096,0.0005602892,0.0006028695600000001
-39.8222,0.0006136098400000001,9.705197484796485e-05,25,0.00046225204,0.000470427,0.000554751,0.000606545,0.000642208,0.0008144349999999999,0.00083656448,0.000499302690909091,5.708392335268117e-05,110,0.00035891597999999995,0.00041629039999999996,0.0004662185,0.000499208,0.00053424225,0.0005878421499999999,0.0006359994099999999,0.00046735567924528304,5.393983037178443e-05,265,0.00033963656,0.00038204680000000004,0.000432382,0.000466636,0.00049781,0.0005603136,0.0006028266
-38.8222,0.0006131365600000001,0.00010091085405036136,25,0.00044834104,0.0004661506,0.000555067,0.00061012,0.000639624,0.0008153831999999999,0.00083722996,0.0004993204454545455,5.779763438757464e-05,110,0.00035942826999999997,0.0004123596,0.00046215625,0.0005003765,0.0005353425,0.00058957735,0.00063462574,0.0004652772452830189,5.490171486693071e-05,265,0.00033871408,0.0003751982,0.000429373,0.000464724,0.000496181,0.0005586371999999999,0.00060226544
-37.8222,0.0006133078,0.00010440189598613619,25,0.00043503316,0.00045519479999999997,0.000557689,0.000610847,0.000637045,0.0008174419999999999,0.0008372281199999999,0.0005005956181818184,5.782932756867866e-05,110,0.00036698777,0.00041242055,0.00046006675,0.000503631,0.0005360747499999999,0.0005928878,0.00063392104,0.0004632221773584906,5.601222080434174e-05,265,0.00033064735999999996,0.0003705212,0.000426071,0.000463284,0.000497204,0.0005571842,0.00060087292
-36.8222,0.0006142288399999999,0.0001072871173858881,25,0.0004249578,0.0004396056,0.000560363,0.000611146,0.00063551,0.0008211617999999999,0.0008371327199999999,0.0005030146818181816,5.752767362955073e-05,110,0.00038096492000000003,0.0004152647,0.00046104975,0.000507652,0.0005433125,0.0005933512,0.00063304133,0.0004611871396226415,5.699190648406812e-05,265,0.00032786916,0.0003674878,0.000423233,0.000461365,0.000495829,0.0005585093999999999,0.0005992860000000001
-35.8222,0.0006151725200000002,0.00010898054356020007,25,0.00041935424,0.000434272,0.000563502,0.000609922,0.000642896,0.0008244054,0.00083398736,0.0005051174636363636,5.700475705655316e-05,110,0.0004010436,0.00041237165,0.0004639835,0.0005110914999999999,0.0005444919999999999,0.0005978217,0.00063349288,0.00045889595094339626,5.7497239647720764e-05,265,0.000316395,0.00036579,0.000421421,0.000459853,0.000492702,0.0005576343999999999,0.0005962014400000001
-34.8222,0.0006163766400000001,0.00010981264232845263,25,0.00041795756,0.00044362059999999997,0.000567808,0.000606606,0.000650415,0.0008251888,0.00083047784,0.0005069677636363635,5.665772986639461e-05,110,0.00039447337,0.00042220195,0.000461262,0.000509992,0.0005454512499999999,0.0005999063,0.00063376551,0.00045637587547169814,5.757496233412664e-05,265,0.00030827496,0.0003618324,0.000416858,0.000457745,0.000489917,0.0005524938,0.00059124348
-33.8222,0.00061728092,0.00010919486953146349,25,0.00042603423999999996,0.0004567878,0.000563538,0.000600549,0.000660103,0.0008184538,0.00082926392,0.0005078344272727273,5.6265017394251266e-05,110,0.00038895848,0.0004279345,0.0004639015,0.0005099740000000001,0.0005432275,0.00060025455,0.0006328152,0.0004535838301886792,5.717024775573494e-05,265,0.00030317488000000003,0.00036629239999999997,0.00041543,0.000454122,0.000487586,0.0005494472,0.0005844406
-32.8222,0.0006178684,0.00010797169912335052,25,0.00044162752,0.00046940139999999996,0.000562153,0.000594173,0.000665116,0.0008140495999999999,0.00082939628,0.0005080531636363637,5.616365864404582e-05,110,0.00038330086,0.0004217932,0.00046659125,0.0005088845,0.0005408735,0.00059936235,0.00063084746,0.00045023987169811317,5.660060493116999e-05,265,0.00030103836,0.0003670308,0.000414226,0.000447943,0.000482419,0.0005491192,0.0005765083600000001
-31.8222,0.0006179696799999999,0.00010615038974521007,25,0.00045140268,0.0004649804,0.000560604,0.000591775,0.000666891,0.0008109269999999999,0.0008284614,0.0005072916272727275,5.6058855049212414e-05,110,0.00037796812,0.0004246424,0.00046529325,0.0005074014999999999,0.0005426135,0.00059726045,0.00063781792,0.000446518358490566,5.571275441341355e-05,265,0.0003030084,0.0003602038,0.000411028,0.000441836,0.000479074,0.0005456158,0.00056988008
-30.8222,0.0006182586800000001,0.00010386071569964908,25,0.00045677408,0.0004728796,0.000559976,0.000591935,0.000667936,0.0008094013999999999,0.00082705436,0.0005061339090909092,5.5590726578236475e-05,110,0.00037743202,0.0004222056,0.00046806,0.000506757,0.00054002725,0.00059468605,0.0006438325299999999,0.00044278070566037734,5.470943805560431e-05,265,0.00030604792,0.00036479560000000005,0.000406949,0.000439209,0.000474175,0.0005399404,0.0005640190400000001
-29.8222,0.00061898348,0.00010082183539753015,25,0.00046332672,0.0004843808,0.000560383,0.000596124,0.000668083,0.0008069472,0.00082478844,0.0005054329181818183,5.470342701961636e-05,110,0.00038199368999999997,0.0004135385,0.00047005375,0.00050497,0.00054106575,0.00059188855,0.0006451851299999999,0.0004397186150943397,5.3764670255095636e-05,265,0.00030929596,0.000358838,0.000405159,0.000436256,0.000470226,0.0005373083999999999,0.00055948776
-28.8222,0.0006200566799999999,9.75215814711971e-05,25,0.00047478011999999996,0.0004937882,0.000560981,0.000599801,0.000664666,0.0008033188,0.0008231916399999999,0.0005054748454545456,5.357255436607603e-05,110,0.0003914982,0.00041219935,0.0004730685,0.000504973,0.0005413725,0.0005930227,0.0006439751999999999,0.0004376090150943396,5.278705798019356e-05,265,0.0003145598,0.0003566028,0.000404371,0.000433089,0.000468009,0.0005366033999999999,0.0005562224400000001
-27.8222,0.0006218064399999999,9.41755187597782e-05,25,0.00048888976,0.000501797,0.000563781,0.000607271,0.000659792,0.0008007514,0.0008226948,0.0005066333636363637,5.259394240378808e-05,110,0.00039540718,0.0004165849,0.00047171050000000003,0.0005046720000000001,0.0005390869999999999,0.0005958501,0.00064409735,0.00043647895849056607,5.185681619805663e-05,265,0.00031968999999999997,0.0003557518,0.000403863,0.000431498,0.00046751,0.0005368587999999999,0.0005562757600000001
-26.8222,0.0006240954399999999,9.105207766395741e-05,25,0.00050401328,0.000509612,0.000566309,0.000614581,0.000656145,0.0007999195999999999,0.0008233111999999999,0.0005083474363636362,5.15594010498103e-05,110,0.00040596228,0.00042073765,0.00047388975,0.000505421,0.00053892425,0.000599162,0.0006420268499999999,0.0004359169358490566,5.108397047456889e-05,265,0.00032469212,0.0003589094,0.000404577,0.000430569,0.000466096,0.0005363521999999999,0.0005563774400000001
-25.8222,0.0006266400000000001,8.843055798054198e-05,25,0.00051437416,0.0005243282,0.000563089,0.000615734,0.000654766,0.0007988116,0.0008240867599999999,0.0005101597636363638,5.070134393056695e-05,110,0.00040482706,0.0004263957,0.000474038,0.00050881,0.0005390255,0.0006014705,0.0006395195899999999,0.00043527320377358494,5.0598326413850504e-05,265,0.0003240914,0.00035570340000000005,0.000403306,0.000429163,0.000465473,0.000532225,0.0005560317200000001
-24.8222,0.00062867736,8.673367625374817e-05,25,0.00052337868,0.0005355524,0.000556546,0.000615425,0.000654917,0.000797116,0.00082428316,0.0005111962272727274,5.0211336675373315e-05,110,0.00040877949,0.0004351125,0.00047467925,0.0005087774999999999,0.00053868525,0.0006043124999999999,0.0006364823899999999,0.0004336465735849057,5.0543507093754595e-05,265,0.00032608764,0.0003496864,0.000401477,0.000427083,0.00046207,0.0005269826,0.00055041756
-23.8222,0.00062939332,8.555441798046823e-05,25,0.0005323228000000001,0.0005429436,0.00055518,0.000613751,0.000653363,0.0007942406,0.0008233625599999999,0.0005104513636363637,5.010550310759009e-05,110,0.00041712446999999996,0.00043629039999999996,0.0004746135,0.0005087469999999999,0.0005359835,0.00060456785,0.0006328989499999999,0.0004298895245283019,5.080242357773451e-05,265,0.00032149576,0.0003434668,0.000400253,0.00042411,0.000459956,0.0005209946,0.0005471056
