Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-49.8222,0.18909836000000005,0.05407362007784696,25,0.11557536,0.13210059999999998,0.151571,0.18966,0.20446,0.28533679999999995,0.3402078799999999,0.2473092454545455,0.05211242312947497,110,0.17027465,0.18030095,0.2126655,0.238705,0.26493774999999997,0.35274364999999996,0.39292229999999995,0.2928923486590039,0.05062255468461859,261,0.200069,0.219997,0.256962,0.283145,0.321529,0.385935,0.4345925999999999
-48.8222,0.1888682,0.049818516054943536,25,0.1191884,0.1324816,0.152657,0.190377,0.200849,0.28505659999999994,0.3189668799999999,0.25099371818181826,0.05386778098272119,110,0.17439000000000002,0.17943,0.2171515,0.243577,0.27676325,0.3490685999999999,0.41586259,0.29547537931034495,0.05031113157005531,261,0.2000394,0.220878,0.260704,0.285857,0.324061,0.379671,0.42544459999999984
-47.8222,0.18890128000000003,0.045337650140841367,25,0.12254416,0.1361068,0.153236,0.193223,0.201785,0.2840153999999999,0.29694608,0.25472902727272734,0.05496130064221236,110,0.17866106,0.1832886,0.22047624999999998,0.247278,0.2810085,0.35226399999999997,0.4271888,0.29848064750957876,0.04984235530811007,261,0.20526540000000001,0.220699,0.264059,0.289457,0.32912,0.379796,0.43378059999999996
-46.8222,0.18862104000000002,0.04274569084371741,25,0.12492544,0.1390686,0.160415,0.193817,0.199259,0.2774267999999999,0.28655484,0.25735231818181814,0.0565472044684033,110,0.17809306,0.18762615,0.22177325,0.248923,0.28340275000000004,0.3584572,0.44200046,0.2999200306513408,0.05012607215748625,261,0.2079452,0.224365,0.266937,0.290187,0.331176,0.37731,0.4461029999999999
-45.8222,0.18892067999999998,0.04107893630735019,25,0.12587592,0.13829180000000002,0.161669,0.193788,0.199095,0.26872319999999994,0.28201396,0.2587618545454546,0.05813868567041429,110,0.18060716,0.18822215,0.222222,0.2484925,0.28175775,0.3675720499999999,0.46949466999999995,0.3010902260536398,0.050940643285768715,261,0.20683,0.226736,0.267084,0.291435,0.333131,0.383161,0.4559678
-44.8222,0.18944735999999998,0.03953527850949495,25,0.12819992000000002,0.1378254,0.164791,0.191547,0.199424,0.261511,0.27795612,0.2610542727272727,0.06053808441850925,110,0.18110546,0.18740374999999998,0.22520525,0.24841950000000002,0.28203925,0.38074254999999985,0.49550609999999984,0.3021284865900384,0.05194238928101028,261,0.20624900000000002,0.228419,0.267473,0.293586,0.332036,0.389296,0.4641979999999997
-43.8222,0.18989044,0.039297893147597615,25,0.13055032,0.13796519999999998,0.16477,0.190909,0.201055,0.26108319999999996,0.28008991999999994,0.2635229818181818,0.06322987983874147,110,0.18190889,0.1902707,0.22674075,0.2499925,0.28054825,0.3951730999999999,0.47269756999999996,0.30300175478927216,0.052696027668065144,261,0.2087672,0.228595,0.266766,0.295388,0.331463,0.389565,0.4677265999999995
-42.8222,0.19149580000000005,0.04108181926148516,25,0.13299087999999998,0.1395062,0.162483,0.191813,0.200598,0.27131359999999993,0.29073263999999993,0.2663074,0.06654950998037118,110,0.18271885,0.191759,0.22607325,0.2493725,0.28840925,0.41568045,0.45066323999999996,0.3036423831417627,0.05332211592675673,261,0.2088874,0.229627,0.267543,0.298125,0.331653,0.387838,0.4703805999999999
-41.8222,0.19342224000000002,0.04515917202451789,25,0.13567316,0.1411548,0.160307,0.18772,0.202484,0.2898257999999999,0.30757231999999995,0.26832999999999996,0.0703573628283859,110,0.18320637,0.19263245,0.22439425,0.2506635,0.29309975,0.4129246999999999,0.47275424999999993,0.30393713026819924,0.054044722212454994,261,0.20720360000000002,0.230038,0.266477,0.298543,0.334371,0.391024,0.47430179999999983
-40.8222,0.19598368000000005,0.05075925613514577,25,0.137778,0.14290719999999998,0.15846,0.18602,0.204973,0.3132467999999998,0.32679208,0.26990583636363635,0.07309704839326853,110,0.1832064,0.1902471,0.22270075,0.2513685,0.29136300000000004,0.40985695,0.49273886,0.30442204214559393,0.05436917356775367,261,0.207574,0.230453,0.265984,0.298162,0.335138,0.391211,0.4713841999999996
