Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-49.8222,0.0010760204799999998,0.00010503281064589612,25,0.00090625412,0.0009505912,0.00100392,0.00105861,0.00113849,0.001274232,0.00131523,0.0009269656272727269,6.236693540413732e-05,110,0.0007850027800000001,0.0008363731,0.0008868882499999999,0.00092489,0.00095918125,0.0010488205,0.0010788755,0.0008729286283524906,6.0146520737054154e-05,261,0.0007491298,0.000790312,0.000836179,0.000873489,0.000903942,0.000968148,0.001052702
-48.8222,0.00108073824,0.00010573960364825471,25,0.00092033,0.0009585718,0.0010116,0.00106404,0.0011198,0.0013036299999999998,0.001337374,0.0009383225727272726,6.130891686997816e-05,110,0.00080192494,0.0008460887000000001,0.000898468,0.0009403910000000001,0.0009696164999999999,0.001043588,0.0010692791999999999,0.0008807256130268197,5.7741786257638005e-05,261,0.0007625202,0.000803471,0.000847468,0.00087609,0.000908741,0.000976735,0.0010472259999999996
-47.8222,0.0010839087599999997,0.00010892775644637136,25,0.0009328172,0.0009665752000000001,0.00102945,0.00106471,0.0010945,0.0012933259999999998,0.0013922663999999998,0.0009556592909090908,7.241263451460518e-05,110,0.0008271936,0.00085105665,0.0009133222499999999,0.00095133,0.0009899705,0.0010739954999999999,0.001149823,0.000891483812260536,5.784257881332883e-05,261,0.0007713592,0.000815615,0.000857289,0.000883918,0.000920107,0.000985315,0.0010601719999999996
-46.8222,0.00108397692,0.00010960041889401397,25,0.0009351914,0.0009723059999999999,0.00103176,0.00106427,0.00109485,0.0012903899999999998,0.0014016691999999998,0.0009625763181818183,7.843241449691105e-05,110,0.00081004146,0.0008543225,0.00091685575,0.0009558209999999999,0.00099421825,0.001089815,0.0012136347000000001,0.000895862111111111,5.631330722682005e-05,261,0.0007697094000000001,0.000823888,0.000862353,0.000889256,0.000921808,0.000990679,0.0010638779999999997
-45.8222,0.0010843217599999999,0.00010812691057051125,25,0.00094070924,0.0009804212,0.00103192,0.00106566,0.00108696,0.001289726,0.0013969943999999998,0.0009677560909090909,8.182156989298804e-05,110,0.00079920381,0.00086376435,0.0009220505000000001,0.000961883,0.0010014725,0.0010913275,0.0012678305,0.0008994799463601531,5.3886999020002275e-05,261,0.0007718988,0.000831856,0.000865606,0.000895484,0.000924137,0.000991825,0.0010541999999999988
-44.8222,0.00108457324,0.00010609447253324115,25,0.00095047392,0.0009889564000000002,0.0010305,0.00106213,0.00108807,0.001289098,0.0013889067999999997,0.0009730731818181817,8.377537264002957e-05,110,0.0008106860799999999,0.00086845835,0.00093082875,0.0009684769999999999,0.0009984995,0.0010852729999999999,0.0013139304,0.0009034235517241375,5.1101883623816855e-05,261,0.0007917342,0.000837875,0.000872703,0.000899356,0.000929456,0.000987269,0.001060151999999998
-43.8222,0.00108496076,0.00010315410913502186,25,0.00095554036,0.0009787588,0.00102921,0.00105329,0.00109642,0.001287028,0.0013741543999999997,0.0009777386545454546,8.432892376414521e-05,110,0.0008212632,0.00087689315,0.0009342985,0.0009711435,0.0010071775,0.0010718745,0.0013383292999999997,0.0009071264865900386,4.824590579110965e-05,261,0.0008069603999999999,0.000843185,0.000876378,0.000905538,0.000933796,0.000984237,0.0010577879999999983
-42.8222,0.0010858023199999999,0.00010033945514175033,25,0.00095153024,0.0009669501999999999,0.00103034,0.00105273,0.00110495,0.001284024,0.0013558231999999998,0.0009816325909090908,8.426548836134557e-05,110,0.00083546852,0.0008860427,0.000943292,0.0009736905,0.0010083775000000001,0.0010654445,0.0013566669999999996,0.0009108513563218392,4.564426899976104e-05,261,0.0008179834,0.000846713,0.000880105,0.000909475,0.000936278,0.000982939,0.0010318159999999994
-41.8222,0.0010872048400000001,9.714829410265866e-05,25,0.00093332188,0.0009759882,0.00103468,0.00106366,0.00111617,0.001281158,0.0013292147999999998,0.0009845380454545456,8.03637806617236e-05,110,0.0008420909599999999,0.0008884818500000001,0.0009455535,0.0009763575,0.0010147074999999998,0.001068785,0.0013491717999999995,0.0009145270574712647,4.3803867408384154e-05,261,0.0008148512,0.000847366,0.000886253,0.000914762,0.00093816,0.000987544,0.0010145699999999998
-40.8222,0.0010902477199999999,9.525064418308852e-05,25,0.00092146064,0.0009842496,0.00104058,0.00107389,0.00112403,0.0012752899999999999,0.0013158596,0.0009900797999999999,7.612562647503475e-05,110,0.0008560131400000001,0.00089254165,0.00095154175,0.0009822195,0.00102326,0.001069675,0.0013401616999999997,0.0009197838160919545,4.433367293852264e-05,261,0.0008201208,0.000848083,0.000891718,0.000920147,0.000947053,0.000991217,0.001014538
