Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-41.9623,0.0020678860861538463,0.0059760147006592,26,0.0,0.0,0.0,0.0,2.876055e-06,0.010928885,0.023660825,0.0001889011980892857,0.0006178838940910438,112,0.0,0.0,0.0,0.0,4.9247225e-05,0.0009411579499999998,0.0027619710000000002,0.005327739355410258,0.0073396261843269,273,0.0,3.3456100000000047e-06,0.00055509,0.00227445,0.00661931,0.020067299999999993,0.030650191999999986
-40.9623,0.0016088394061538462,0.004509582981215384,26,0.0,0.0,0.0,0.0,1.6720950000000001e-06,0.00906881,0.017634065,0.0002593843477142858,0.0006876573939498075,112,0.0,0.0,0.0,0.0,0.00013600925,0.0012470029999999965,0.0035631591000000007,0.006755498448864466,0.008258120532505532,273,0.0,8.107936000000003e-05,0.00113941,0.00364092,0.00890568,0.026111099999999995,0.03490187599999991
-39.9623,0.0017515104596153848,0.00480915087247527,26,0.0,0.0,0.0,0.0,7.8144325e-06,0.01008096,0.018609975,0.0002983979031428571,0.0007241872839848558,112,0.0,0.0,0.0,0.0,0.000234291,0.0014931204999999996,0.0036543737000000005,0.007193890449084248,0.008460955368036491,273,2.1680136000000005e-06,0.00016094660000000002,0.00130665,0.00401338,0.00978208,0.027031959999999952,0.03611491599999995
-38.9623,0.001706449843461538,0.00457781228710383,26,0.0,0.0,0.0,0.0,1.0552182499999999e-05,0.010120552500000001,0.017551,0.00032839697553196424,0.0007534079226575583,112,0.0,0.0,0.0,2.850485e-06,0.0002774975,0.0017402949999999963,0.0036326934000000003,0.007436276308721615,0.008485196685243222,273,5.333617080000001e-06,0.00021696560000000005,0.00135811,0.00416444,0.00995864,0.02632642,0.03658058799999998
-37.9623,0.0017556643349999996,0.004717465504445784,26,0.0,0.0,0.0,0.0,9.6401025e-06,0.01032955,0.0181191,0.00034915653020428574,0.0007683867545732526,112,0.0,0.0,0.0,1.139251e-05,0.00029848275,0.0020109064999999995,0.0037619793,0.0076335741392674055,0.008450408188821914,273,2.0205706000000002e-05,0.00026464080000000007,0.00151333,0.00447604,0.0103115,0.02672535999999999,0.03577999599999997
-36.9623,0.0015968362500000002,0.004324935776626125,26,0.0,0.0,0.0,0.0,5.84132e-06,0.009592660000000001,0.016676175,0.0003774652543489285,0.0008064234805463257,112,0.0,0.0,0.0,1.60495e-05,0.000295339,0.0021802535,0.0037661952,0.007918831777655682,0.008561480591117561,273,3.3339712e-05,0.00030223800000000003,0.00161989,0.00482236,0.0112899,0.027727679999999994,0.03650682799999996
-35.9623,0.0013659875030769231,0.0037271367437271942,26,0.0,0.0,0.0,0.0,4.60667e-06,0.0083419025,0.0144227475,0.00043628982665982146,0.0009149960827697661,112,0.0,0.0,0.0,3.1239400000000005e-05,0.00035302675,0.0023561249999999967,0.0041282591,0.008570768915384618,0.00900532354882015,273,6.500776000000001e-05,0.0004095802,0.00203873,0.0053676,0.0127423,0.02900913999999995,0.039268199999999996
-34.9623,0.0011688757607692306,0.00321089793169584,26,0.0,0.0,0.0,0.0,3.4212324999999997e-06,0.007182027499999999,0.0124663975,0.0005248447604267857,0.0011042402801650585,112,0.0,0.0,9.250499999999999e-10,5.1081150000000005e-05,0.00042185925,0.0027471354999999997,0.0045065186,0.009446220808487175,0.009583566260335293,273,0.000106668592,0.0005268994,0.00236014,0.00619547,0.013528,0.029744219999999943,0.042602139999999976
-33.9623,0.000940392443076923,0.0026064551020265263,26,0.0,0.0,0.0,0.0,1.890405e-06,0.00582458,0.0101597525,0.0006450397984617681,0.0013567712392674421,112,0.0,0.0,0.0,8.790250000000001e-05,0.0006428145,0.003421438999999999,0.0052110053,0.010717263095087914,0.010402421377673875,273,0.00016414419999999998,0.0007178792000000001,0.00294365,0.00757421,0.0149675,0.03042491999999997,0.04749373999999997
-32.9623,0.0007084048076923076,0.0019882187726899207,26,0.0,0.0,0.0,0.0,8.082599999999999e-07,0.004434632500000001,0.007782435000000001,0.0008001337255037409,0.0016216818509699837,112,0.0,0.0,0.0,0.0001544925,0.00088050075,0.0044152779999999964,0.006941736600000001,0.012521131618205127,0.011545215923613086,273,0.00027833416,0.0009930648000000002,0.00376603,0.00913868,0.0170041,0.03538323999999999,0.05215471999999989
