Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-41.9623,0.16276471999999997,0.03539910755174486,25,0.10040064,0.10376640000000001,0.141767,0.160424,0.183103,0.21758519999999998,0.24185527999999995,0.24700905555555558,0.03828531955656485,108,0.17327088999999998,0.1893783,0.2175455,0.24944100000000002,0.27327599999999996,0.31454129999999997,0.32372202,0.3531152874493927,0.04835980572423063,247,0.26145522,0.2857492,0.320785,0.347565,0.3808995,0.44403139999999997,0.48434713999999995
-40.9623,0.16640184000000002,0.034850491778787476,25,0.10033336,0.104934,0.146511,0.163061,0.185658,0.218408,0.24219695999999993,0.2537342777777778,0.03897833079287457,108,0.17980097,0.19466195,0.2214335,0.25813949999999997,0.280876,0.31985125,0.33029855999999996,0.36245507692307694,0.0494285469219067,247,0.26824236,0.2935824,0.328529,0.355221,0.3893265,0.45573569999999997,0.4957212
-39.9623,0.16716451999999996,0.03462136844267328,25,0.10031012,0.10541980000000001,0.148065,0.163469,0.18675,0.2183834,0.24160295999999995,0.25486812962962957,0.03898838489704639,108,0.18063449,0.1956975,0.2232555,0.26015900000000003,0.281208,0.32008535,0.33075063,0.3643786194331983,0.049626247936725425,247,0.27060422,0.29458120000000004,0.3308565,0.358789,0.391048,0.4583815,0.49839641999999995
-38.9623,0.16767675999999998,0.03458334319109899,25,0.10024856,0.10529540000000001,0.148483,0.163971,0.188529,0.21885659999999998,0.24142079999999994,0.25575866666666663,0.038920881821901114,108,0.18264638,0.196492,0.224598,0.2605945,0.2801265,0.32158519999999996,0.33193506,0.3651187894736841,0.0495991417061628,247,0.2710148,0.295444,0.3304185,0.359722,0.39242849999999996,0.45928959999999996,0.4983216999999999
-37.9623,0.16798108,0.034448514969105226,25,0.100257,0.1053472,0.149606,0.163961,0.189803,0.21932959999999999,0.24106475999999996,0.25637469444444466,0.03892736158070228,108,0.18341422000000002,0.19683295,0.225937,0.260445,0.2788815,0.32275849999999995,0.33225486,0.3660566801619436,0.04961089942604047,247,0.2704158,0.29675660000000004,0.3310615,0.360897,0.393544,0.459729,0.49887252
-36.9623,0.16946224000000001,0.03437939014181801,25,0.10023848,0.10559600000000001,0.153003,0.165348,0.19,0.220577,0.24128491999999996,0.2581762500000001,0.0390453506538817,108,0.18498411,0.197746,0.227481,0.26168349999999996,0.28066199999999997,0.32480045,0.33356949,0.36825297570850196,0.049784280516158935,247,0.2709372,0.2995496,0.332242,0.362135,0.395976,0.4616345,0.5016211599999999
-35.9623,0.17184291999999993,0.034183963152722166,25,0.10021619999999999,0.106333,0.157227,0.16854,0.190701,0.22171219999999997,0.24136183999999994,0.2614605833333332,0.039403934646061956,108,0.1874585,0.19991575,0.2304775,0.26453950000000004,0.2848335,0.32761605,0.33617752,0.37273683400809715,0.05012295783517899,247,0.27360354,0.3035292,0.33591550000000003,0.366149,0.40100250000000004,0.46653429999999996,0.5074394
-34.9623,0.17418576000000002,0.03404152564305346,25,0.10021412,0.10731900000000001,0.160326,0.171555,0.191767,0.22274179999999996,0.24144299999999996,0.2649857314814814,0.03977007279434388,108,0.1899335,0.2025061,0.2335795,0.26780550000000003,0.28813625,0.33177075,0.33951594999999996,0.3778355303643724,0.05055487046553157,247,0.27965374,0.3087469,0.341414,0.372977,0.407167,0.4728402,0.5148248
-33.9623,0.17683844000000004,0.03406637925932253,25,0.10025608,0.1084724,0.162698,0.175166,0.193665,0.22379939999999998,0.24203727999999997,0.26931114814814816,0.04025476520066941,108,0.19252511,0.20537835,0.23783425,0.272506,0.29391825,0.33592564999999996,0.34466409,0.3841764939271256,0.05116136210022331,247,0.28653684,0.31474589999999997,0.34654050000000003,0.378929,0.4139025,0.4827395,0.5245118599999998
-32.9623,0.1798456,0.034270912891498334,25,0.1003886,0.109701,0.167304,0.179595,0.19641,0.22475919999999996,0.24332931999999996,0.2744741296296297,0.0409376949186696,108,0.19464752000000002,0.20871285,0.24433175000000001,0.276915,0.30098725,0.3406153,0.35073304,0.3919292024291495,0.051996354824703016,247,0.29368304,0.32103729999999997,0.35384649999999995,0.385056,0.4206265,0.4925785,0.5365163199999999
-31.9623,0.18314028000000004,0.03466583407516206,25,0.10064596,0.11092060000000001,0.171648,0.184523,0.199825,0.22574499999999997,0.24544835999999995,0.28061198148148153,0.04188793615546295,108,0.19670633999999998,0.21455655,0.25179250000000003,0.2829935,0.30771225,0.34731744999999997,0.35822467999999996,0.40128876518218604,0.053125628685266386,247,0.3024089,0.328588,0.3637075,0.395858,0.4308145,0.5019456,0.5512919199999998
-30.9623,0.18627332,0.03518947135830072,25,0.10107784,0.11186700000000001,0.1725,0.189306,0.203712,0.2255758,0.24824379999999996,0.28731134259259244,0.04309083016470444,108,0.19821157,0.22041885,0.25871025,0.28837349999999995,0.316789,0.35719744999999997,0.36686006,0.4119978178137654,0.05458790341032495,247,0.3126855,0.33450610000000003,0.37415699999999996,0.4067,0.44324600000000003,0.5147435,0.56472336
-29.9623,0.18860328000000004,0.03573455944940882,25,0.10171188,0.11255860000000001,0.17266,0.19294,0.207723,0.2242902,0.2517459199999999,0.29327455555555554,0.044252166784128695,108,0.19876431,0.22356815000000002,0.26419974999999996,0.29253850000000003,0.324548,0.3641782,0.37478364999999997,0.4222414210526317,0.056216525558005305,247,0.32228804,0.342107,0.38292800000000005,0.414508,0.4562495,0.5281707,0.57703854
-28.9623,0.19068004,0.036269205461244944,25,0.10266248,0.11355340000000001,0.172707,0.195811,0.211932,0.22679580000000002,0.25692967999999994,0.29904070370370356,0.04544029388793242,108,0.20265064,0.22426645,0.26928675,0.299149,0.33229749999999997,0.3712217,0.38232916,0.43299265991902847,0.05812447135996804,247,0.3315788,0.3489694,0.3939675,0.425833,0.4670345,0.5442001999999999,0.5920622999999999
-27.9623,0.19241304000000004,0.03668232527330659,25,0.10398028,0.11455320000000001,0.172558,0.197429,0.215905,0.229512,0.2621196799999999,0.30437919444444467,0.04656111636573505,108,0.21207299999999998,0.2252229,0.271239,0.30548600000000004,0.33979775,0.38139664999999995,0.38914889999999996,0.44399348582995923,0.06012831304766609,247,0.33824642,0.3579273,0.40292399999999995,0.437388,0.4806365,0.5586201,0.6076441199999999
-26.9623,0.19408176000000002,0.036960255866132746,25,0.10586208,0.11617260000000001,0.172239,0.199063,0.215233,0.2321736,0.2665999999999999,0.30936123148148154,0.04753808774469742,108,0.21453376999999998,0.2296484,0.273493,0.310307,0.34529725,0.38826949999999993,0.39798834,0.454947125506073,0.06199357048484781,247,0.34408546,0.36653220000000003,0.4114465,0.448749,0.49163250000000003,0.5730543,0.6222927199999999
