Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-41.9623,0.29402144,0.04865852998796819,25,0.19551832,0.2014314,0.275791,0.303815,0.317041,0.345275,0.40518659999999984,0.3590742222222224,0.05559387477191856,108,0.21229928,0.26560910000000004,0.33044,0.3561045,0.39627425,0.44775374999999995,0.46853121,0.4138938987854248,0.06218390151356751,247,0.26987152,0.3287407,0.375712,0.408778,0.44656549999999995,0.5233819999999999,0.5780382199999999
-40.9623,0.300609,0.04370339661475601,25,0.20511156,0.2093506,0.285274,0.307687,0.321043,0.34603259999999997,0.3928426799999999,0.3663186759259261,0.05099851873656627,108,0.22911799000000002,0.2825592,0.334934,0.3628415,0.4010665,0.44294039999999996,0.46532808999999997,0.42002449392712554,0.05751888931238723,247,0.28308244,0.3404645,0.381752,0.41802,0.451492,0.5145354,0.5767479999999999
-39.9623,0.30429480000000003,0.04019144647185518,25,0.20937252,0.21766480000000002,0.291485,0.316023,0.325904,0.3489499999999999,0.3784368799999999,0.3708634166666667,0.04588010616918617,108,0.26170113,0.29808265,0.34401024999999996,0.370761,0.3994435,0.44226724999999995,0.46877962999999995,0.4227681052631576,0.052876302615766146,247,0.28602531999999997,0.3507744,0.3870145,0.422048,0.4523735,0.5058062999999999,0.5632970999999999
-38.9623,0.29978215999999996,0.037874512010805716,25,0.2103808,0.2182046,0.28982,0.304794,0.321805,0.3398632,0.36240732,0.36619656481481483,0.041426650476321984,108,0.27134358,0.30223900000000004,0.3364905,0.3641225,0.3960475,0.42837745,0.45593777,0.4145056882591095,0.04904921396828381,247,0.27613736,0.3509541,0.38295749999999995,0.412989,0.443662,0.49460329999999997,0.53380516
-37.9623,0.29708516,0.03618130228755363,25,0.21584452,0.2177214,0.287103,0.301906,0.319381,0.3329136,0.35171511999999994,0.3626622685185184,0.03838767578068659,108,0.26898477000000004,0.31028795,0.33272925,0.358301,0.38889225,0.42141209999999996,0.44840215,0.4085871133603236,0.0469005144489105,247,0.25998994,0.3469279,0.379286,0.40552,0.43801049999999997,0.4863561,0.50955932
-36.9623,0.29457284,0.034746277525657336,25,0.21484772000000002,0.2207836,0.281969,0.297299,0.319528,0.3329146,0.34495884,0.3586674537037037,0.035954963877696144,108,0.28582233999999995,0.3083714,0.33219725,0.355325,0.3840525,0.4154519499999999,0.43985631,0.40342204453441277,0.04544933672463648,247,0.26494236,0.3431323,0.3728775,0.401322,0.43017,0.4788608,0.5073285599999999
-35.9623,0.29864444,0.034783519282460956,25,0.21751676,0.2252364,0.286507,0.301143,0.32498,0.3409268,0.34764448,0.361609666666667,0.035153598586613925,108,0.29197818999999997,0.3116127,0.334549,0.36104400000000003,0.3876345,0.41707854999999994,0.44104974,0.40731446963562756,0.04530543336901387,247,0.27720352000000004,0.3455003,0.3771825,0.406044,0.436162,0.483251,0.51173882
-34.9623,0.30444196000000007,0.03489060657072808,25,0.22267684000000001,0.2307274,0.291501,0.305124,0.329711,0.3484456,0.35365156000000003,0.3664036481481482,0.034517231108376324,108,0.28460826,0.31686535,0.34045475000000003,0.366688,0.39204275,0.41968089999999997,0.44551873999999997,0.41411136437246954,0.04540565043726299,247,0.29092708,0.3505311,0.384234,0.412038,0.4438755,0.48771559999999997,0.51654558
-33.9623,0.31177064,0.035282485932447184,25,0.2296256,0.2379252,0.29684,0.311473,0.337733,0.35709799999999997,0.36326596,0.3727395000000002,0.034073328015150464,108,0.2927924,0.32054315,0.35087775,0.375918,0.39742025000000003,0.42461504999999994,0.44959502999999995,0.42268665182186244,0.04562757639323565,247,0.3029326,0.3561947,0.393615,0.419532,0.453146,0.49816259999999996,0.52393556
-32.9623,0.32166504,0.03572524063189311,25,0.23961672,0.2477802,0.309219,0.320926,0.350062,0.3667656,0.3755204,0.381289537037037,0.03401640828216842,108,0.30189636999999997,0.32751755,0.36174700000000004,0.3857635,0.404342,0.43360794999999996,0.44945603999999995,0.43347626315789467,0.04597085067408215,247,0.31875856,0.3653329,0.40346000000000004,0.431761,0.462553,0.5112593999999999,0.53498058
-31.9623,0.33332520000000004,0.03621883821645857,25,0.25257228,0.25954960000000005,0.318594,0.331714,0.36227,0.37743839999999995,0.38989068,0.3912915648148148,0.03445756700212654,108,0.31185867,0.33608055,0.37182725,0.39463899999999996,0.41309375,0.4399075,0.4517,0.44560583805668025,0.046334277927766274,247,0.33300483999999997,0.3734723,0.4152695,0.444353,0.474855,0.5251787,0.54715554
-30.9623,0.34518967999999994,0.03661305932510056,25,0.267287,0.272111,0.3332,0.344835,0.373286,0.38937859999999996,0.40496844,0.4014851203703703,0.035790423448079686,108,0.32083552000000004,0.34139815,0.3846365,0.402548,0.42422224999999997,0.45227075,0.47241504999999995,0.4573876072874495,0.04689452403159699,247,0.34332152,0.3841146,0.42641850000000003,0.457406,0.485179,0.5354033,0.5604461599999999
-29.9623,0.35042876,0.03623428544012793,25,0.27800296,0.280229,0.341092,0.354302,0.373033,0.3943424,0.41110736,0.4051664629629631,0.03763340570257118,108,0.3215904,0.34218325,0.3858445,0.410939,0.42478725,0.4581414,0.4870711399999999,0.46096165587044524,0.04722926420795687,247,0.35267888000000003,0.37880549999999996,0.42863450000000003,0.465141,0.4885205,0.5411409,0.56300506
