Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-41.1649,0.3504038399999999,0.06258588017255436,25,0.21063284000000002,0.2554554,0.304658,0.369031,0.393011,0.42526739999999996,0.4563917999999999,0.44250083928571454,0.0569478565100659,112,0.25493813,0.33085695,0.41603175000000003,0.453306,0.47598575,0.5176222,0.52627965,0.5124392081784387,0.063763573485167,269,0.3426276,0.3863836,0.477891,0.522272,0.551782,0.6084596,0.6353464799999999
-40.1649,0.353024,0.0625318928267808,25,0.21165768000000001,0.2563108,0.304242,0.370561,0.392107,0.42744019999999994,0.45602867999999996,0.4470599821428571,0.054579773606663426,112,0.25460425000000003,0.3473288,0.42447425,0.45782,0.48304625,0.51616765,0.53650772,0.5178662044609667,0.060286279709776035,269,0.3629746,0.4035198,0.484358,0.526576,0.552718,0.6080806,0.63019328
-39.1649,0.35682956000000005,0.06195492758454866,25,0.21786271999999998,0.25898099999999996,0.304067,0.374071,0.391479,0.4316158,0.45280876,0.45122160714285736,0.052265239081445605,112,0.26132330000000004,0.35628325,0.4280135,0.458549,0.48250075000000003,0.5177988,0.54000208,0.5220579330855019,0.056534698529059346,269,0.376879,0.4206662,0.49142,0.528021,0.559431,0.6125332,0.62740752
-38.1649,0.35977995999999995,0.061879130704866885,25,0.2217858,0.2607816,0.302656,0.378025,0.39526,0.43491719999999995,0.45020795999999996,0.4544643660714286,0.05083158563883757,112,0.26568943,0.36098735,0.42765525,0.4638585,0.48678875,0.51988275,0.5402692099999999,0.5248054572490706,0.054062816904731026,269,0.3825984,0.4294336,0.494342,0.529565,0.561164,0.6126246,0.6313624800000001
-37.1649,0.3640503600000001,0.0623605612572829,25,0.22668924000000001,0.26300979999999996,0.30304,0.381141,0.400917,0.4390148,0.45269023999999997,0.45936166071428586,0.050554995296185734,112,0.27063383,0.3662142,0.43072725,0.46844050000000004,0.49088975,0.52470965,0.54107125,0.5294885724907064,0.053010832419401764,269,0.38995776,0.4381352,0.497696,0.53417,0.563508,0.6146228,0.6373616
-36.1649,0.36933344000000007,0.06298731366386409,25,0.23269796,0.2654202,0.305048,0.387773,0.406844,0.44447939999999997,0.45555959999999995,0.4653074821428572,0.0506321737190217,112,0.27771624,0.3717805,0.44299125,0.47414100000000003,0.4967705,0.5308786499999999,0.54475651,0.5353313828996282,0.052229104308317495,269,0.40050668,0.4496268,0.504169,0.539431,0.568243,0.617539,0.6431984
-35.1649,0.37476612,0.06356588667170465,25,0.23899592,0.26834579999999997,0.307889,0.397116,0.413329,0.4493668,0.45857052,0.47093058035714275,0.05068472491620451,112,0.28597169,0.37631254999999997,0.44654275,0.478217,0.50190375,0.5366720999999999,0.55159532,0.5405927583643122,0.05171067218198087,269,0.40165164000000003,0.455969,0.509509,0.544007,0.572795,0.6210532,0.65160988
-34.1649,0.38078271999999996,0.06426737243184394,25,0.2455222,0.2710508,0.312398,0.403324,0.421786,0.45473159999999996,0.46228224,0.4767697410714284,0.050617610656667804,112,0.29575127,0.37759185,0.4537325,0.483938,0.5060720000000001,0.5431821499999999,0.55814752,0.5459052379182157,0.05111650737347562,269,0.4049178,0.4593316,0.516052,0.551153,0.576342,0.6271606,0.6582503599999999
-33.1649,0.38765064000000005,0.06508783050289303,25,0.25256892,0.2740834,0.318305,0.41219,0.429044,0.4610854,0.46718464,0.48336851785714285,0.05056027851320651,112,0.30558231,0.3806262,0.46230825,0.4914765,0.51200175,0.5503078499999999,0.56245745,0.5520361895910781,0.05060238039926709,269,0.40841404,0.46763520000000003,0.521294,0.55525,0.581764,0.6355656,0.66607384
-32.1649,0.3960923999999999,0.06613640335322143,25,0.26072288,0.2779006,0.326031,0.422494,0.437513,0.46860479999999993,0.47371416,0.4916998214285713,0.050579838565036186,112,0.31730062,0.3867144,0.47239375,0.499259,0.5216780000000001,0.5602421499999999,0.56962769,0.5599949665427509,0.050114167049843526,269,0.41315264,0.4803426,0.527682,0.564914,0.589172,0.643521,0.6734381199999999
