Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-41.1649,0.16341080769230767,0.033323476289269974,26,0.10003725,0.106492,0.13639475,0.167818,0.189332,0.207478,0.220735,0.25073526785714284,0.03270110273424604,112,0.18683721,0.2019137,0.225205,0.2498215,0.27365475,0.30567304999999995,0.32333974,0.35045980073800714,0.04929926771491453,271,0.259399,0.2773475,0.3122325,0.346282,0.381322,0.4437845,0.4795127
-40.1649,0.16316373076923074,0.033087305017553414,26,0.10016125000000001,0.1068925,0.13540225,0.165322,0.18919350000000001,0.2049895,0.22249325,0.25057988392857145,0.03250655996102817,112,0.18501267000000002,0.20251070000000002,0.22514974999999998,0.25205,0.27340575,0.3037329999999999,0.32249328,0.35184894833948355,0.049258099678735914,271,0.2660207,0.279212,0.31349400000000005,0.346831,0.3832015,0.4425635,0.48292530000000006
-39.1649,0.16416442307692308,0.03298699732218509,26,0.10015325,0.1065915,0.1385465,0.165163,0.1892815,0.204945,0.22492374999999998,0.2521575089285713,0.03259375836865878,112,0.18695022,0.20454035,0.22673025,0.2555925,0.276183,0.3037290999999999,0.32332069,0.3547805092250921,0.04887332155881756,271,0.27069770000000004,0.2867575,0.3165665,0.349017,0.38411700000000004,0.443762,0.4845819000000001
-38.1649,0.16537342307692307,0.033059759359285214,26,0.100145,0.10656525,0.141487,0.1656,0.18924425,0.20431175,0.227659,0.25360181249999997,0.03281933210571824,112,0.18842149000000002,0.20619885000000002,0.2265145,0.2578835,0.27796299999999996,0.3062587499999999,0.32319029,0.35721871955719553,0.04873595520864281,271,0.27374,0.2931235,0.3196835,0.351052,0.385739,0.4446905,0.48604570000000025
-37.1649,0.16681673076923076,0.03326234995734089,26,0.10012125,0.10654274999999999,0.14407925,0.16728300000000002,0.19016475,0.204125,0.22999524999999998,0.2557220357142857,0.03335348486295274,112,0.18970977,0.20704015,0.2270965,0.2590265,0.280977,0.30979979999999996,0.32547331,0.360450590405904,0.048906937114753225,271,0.27735089999999996,0.2972745,0.32220649999999995,0.355803,0.3893625,0.44824050000000004,0.4893821000000004
-36.1649,0.16846392307692307,0.03347274697532078,26,0.10013174999999999,0.1065455,0.14698424999999998,0.17030800000000001,0.191969,0.20441575,0.23227325000000001,0.25845441071428565,0.03410044100043852,112,0.19095886,0.2077351,0.2270325,0.26024749999999996,0.28481675,0.3143604,0.32858694,0.36468850553505533,0.04921952300819867,271,0.2819663,0.3018575,0.32689100000000004,0.359857,0.3939695,0.4512575,0.49380800000000047
-35.1649,0.17044130769230764,0.03381756251863132,26,0.10015475,0.106621,0.1494205,0.1741885,0.19275375,0.2059685,0.23494525,0.2615514642857143,0.034937078696372866,112,0.1924188,0.20829519999999999,0.2299425,0.26343300000000003,0.28852275000000005,0.31915384999999996,0.33234387,0.3692728450184502,0.049586625028943815,271,0.2868314,0.3063405,0.330863,0.364121,0.39754,0.45555999999999996,0.5000691000000005
-34.1649,0.17263130769230767,0.034220042049967425,26,0.1001835,0.1068195,0.15051525,0.176408,0.19498725,0.20779875,0.2373325,0.26510681250000007,0.03583855279050313,112,0.19403412,0.209121,0.23361274999999998,0.266671,0.2934195,0.3245046,0.33645271,0.37432294464944627,0.04999535102595076,271,0.2924989,0.310454,0.335364,0.36906,0.4022025,0.46265999999999996,0.5066615000000004
-33.1649,0.17506280769230773,0.03470618485286936,26,0.10024225,0.10727225,0.153964,0.17835050000000002,0.19886500000000001,0.20998875,0.239779,0.26914010714285724,0.03672538402116349,112,0.19576762,0.21082645,0.2366625,0.271058,0.2981745,0.329609,0.34111238,0.3799704686346858,0.0505323909265497,271,0.29897650000000003,0.3146415,0.34125300000000003,0.373666,0.408602,0.471584,0.5137168000000004
-32.1649,0.17781365384615383,0.035297560443682006,26,0.1003615,0.10809325,0.15768625,0.1813775,0.2037195,0.21259,0.24251075000000002,0.2739869017857142,0.03773472697326726,112,0.19767459999999998,0.2133748,0.242311,0.276698,0.30406675,0.33541855,0.34458652,0.38678076383763815,0.05127375992840658,271,0.3043832,0.319435,0.34671149999999995,0.380422,0.416797,0.4802155,0.5219896000000004
-31.1649,0.18076796153846153,0.036000011021643616,26,0.10055175,0.10929599999999999,0.1639075,0.18493300000000001,0.20731825,0.216088,0.2454925,0.2792954285714285,0.038730144272907864,112,0.1999126,0.21778029999999998,0.24818174999999998,0.28115999999999997,0.30924300000000005,0.34173595,0.34880989,0.39424843542435434,0.052153552481843175,271,0.3100577,0.32474800000000004,0.3542035,0.38718,0.425901,0.488651,0.5306325000000004
-30.1649,0.18395111538461534,0.03684049536618847,26,0.1008255,0.109764,0.1699395,0.1884515,0.211323,0.220723,0.24934,0.28517869642857147,0.03974745171860996,112,0.20259691,0.2232827,0.2542925,0.286429,0.31686325,0.3488422,0.35454109,0.4025798191881919,0.05320397945051563,271,0.3157308,0.33081099999999997,0.3620115,0.395262,0.4350265,0.502458,0.5400657000000003
-29.1649,0.18723973076923073,0.03777376154905168,26,0.10120625,0.11047875,0.17535425,0.19167,0.2158145,0.22667625,0.253635,0.29153975000000004,0.04084048219741188,112,0.20662609,0.22859395,0.2595075,0.29208,0.32457,0.3575104,0.36131051000000003,0.41188797416974154,0.054475591012952226,271,0.3212778,0.3373265,0.3697935,0.404744,0.4449435,0.5186284999999999,0.5511054000000003
-28.1649,0.1905068461538462,0.03873344515293449,26,0.10172025,0.11151925,0.17842075,0.19423600000000002,0.218486,0.23288575,0.25818624999999995,0.29812689285714283,0.04199698626968565,112,0.21096835,0.23443795,0.26477675,0.300107,0.32917375,0.36533994999999997,0.36913876,0.42200891143911434,0.05592332186809452,271,0.3281059,0.3472845,0.3790305,0.415358,0.45621049999999996,0.5293995,0.5639699000000002
-27.1649,0.19347288461538462,0.03961524501232012,26,0.10236825,0.11284575,0.17868575,0.1962915,0.220595,0.23877425,0.26256975000000005,0.30447499107142867,0.04320108510284184,112,0.21553698,0.23882345,0.26913925,0.3065675,0.33686625,0.37384029999999996,0.37921714,0.43253222878228764,0.05746091745602575,271,0.33365409999999995,0.3543695,0.3874605,0.426047,0.467441,0.5415000000000001,0.5776016000000003
-26.1649,0.19602565384615384,0.040351471199887926,26,0.10313325000000001,0.1143625,0.17904575,0.198727,0.22227925,0.24431150000000001,0.2664305,0.310312,0.04438015775359789,112,0.22084112,0.2439695,0.2736825,0.310341,0.34511125,0.38134759999999995,0.38825982,0.4431834760147602,0.05898316267551194,271,0.34000830000000004,0.3608395,0.39667850000000004,0.437197,0.478429,0.553562,0.5911864000000002
-25.1649,0.198119576923077,0.04083219272796706,26,0.104099,0.11588675000000001,0.18069074999999998,0.2025385,0.22228375,0.2492595,0.269623,0.31560013392857134,0.04552645715365828,112,0.22675096,0.24853150000000002,0.277494,0.31527499999999997,0.35161600000000004,0.38744154999999997,0.39631069,0.4538767675276753,0.06045773503201482,271,0.34994780000000003,0.370994,0.40580700000000003,0.44958,0.4911525,0.5676565,0.6049256000000002
-24.1649,0.1999491538461539,0.04107777142805321,26,0.10538575,0.11741075,0.1815415,0.205025,0.22186974999999998,0.25354925,0.2724215,0.3205024910714286,0.04666229019587705,112,0.22983911,0.25206905,0.28078824999999996,0.3214015,0.35900225,0.3939927,0.40302541,0.4646042472324721,0.06189066169626572,271,0.3570755,0.378241,0.41540299999999997,0.461467,0.5041,0.5800475,0.6183276000000001
-23.1649,0.20159492307692306,0.04112316310394722,26,0.107081,0.11939125,0.18193525,0.2056955,0.22139599999999998,0.25674725,0.27502375,0.32505410714285715,0.04774541104525449,112,0.23235232,0.25483865,0.28405775,0.327223,0.363668,0.402383,0.40921709,0.47489747232472357,0.06321841054306014,271,0.3648594,0.3858915,0.424288,0.470819,0.515542,0.593338,0.6298486
-22.1649,0.20315553846153847,0.04109285950549635,26,0.10906374999999999,0.12175325,0.18205775000000002,0.2067525,0.221387,0.25872874999999995,0.27773824999999996,0.3291497767857144,0.04868942983827962,112,0.23492094000000002,0.25681425,0.28833949999999997,0.3322595,0.37015425,0.40744579999999997,0.41369501999999997,0.48405348708487106,0.06439673224052728,271,0.3720137,0.392349,0.4321165,0.479902,0.5276590000000001,0.6033489999999999,0.641093
-21.1649,0.20461984615384618,0.04116386733016451,26,0.1107275,0.12385275,0.1819485,0.20776050000000001,0.22230425,0.26000225,0.28054775,0.33261767857142877,0.04941979609267626,112,0.23804369,0.2576686,0.290214,0.33474800000000005,0.37368525,0.41115284999999996,0.41817458,0.49144435055350555,0.06538485666075156,271,0.3789011,0.3991125,0.439,0.486021,0.5342454999999999,0.6138049999999999,0.6522902
-20.1649,0.2059255384615385,0.04135177413483564,26,0.11219025,0.12562600000000002,0.18171425,0.2086645,0.22412674999999999,0.26023825,0.28314275,0.3352553214285713,0.04992483928059309,112,0.24145833,0.25840655,0.2942045,0.3363215,0.3762595,0.41249264999999996,0.42053879,0.4967354575645757,0.06622051574559112,271,0.3810041,0.40529099999999996,0.443029,0.491016,0.5397514999999999,0.6192435000000001,0.6612500000000001
-19.1649,0.20684657692307684,0.04154703755905884,26,0.11401775,0.12743100000000002,0.181382,0.208716,0.22704225,0.25988049999999996,0.28537425,0.3369261160714288,0.05025357769160546,112,0.24451886,0.25905035000000004,0.29746125,0.33635950000000003,0.377571,0.4127682,0.42278235,0.49982111070110685,0.06687297439537138,271,0.3835098,0.406531,0.4455035,0.496301,0.542871,0.622602,0.6672041000000001
-18.1649,0.2070297307692307,0.04193615599127578,26,0.11529475,0.1285435,0.180967,0.2088465,0.22948125000000003,0.2592095,0.286814,0.3376310357142857,0.050526595107090184,112,0.24467779,0.25898695,0.297311,0.33569099999999996,0.37764425,0.41219055,0.42413745,0.5009619003690033,0.06727024897972164,271,0.3832122,0.40797150000000004,0.4469925,0.495716,0.544959,0.6232615,0.6704546
-17.1649,0.20625415384615386,0.042537818799456374,26,0.1153775,0.128526,0.18003249999999998,0.2090595,0.231238,0.25887649999999995,0.28716875,0.33738459821428574,0.05079789484544616,112,0.24485573,0.257649,0.29648225,0.335008,0.3769615,0.41147785,0.42392407,0.5007450221402213,0.06748938874502633,271,0.3819984,0.4069715,0.4481765,0.493875,0.5443175,0.6227365,0.6718001
-16.1649,0.204203,0.04291488482846016,26,0.11479199999999999,0.12717275,0.1775175,0.2082765,0.23122525,0.258152,0.28629825,0.3360014017857143,0.051137992829058725,112,0.24463036,0.2550698,0.29310075,0.334789,0.37664775,0.4110707,0.42246363000000003,0.499474372693727,0.06762823255589827,271,0.3807057,0.40259,0.4458575,0.491727,0.5422675,0.620818,0.6706755000000001
-15.1649,0.2004453461538462,0.04268072194229362,26,0.11398825,0.12455775,0.17411525,0.205974,0.2289215,0.25464525,0.28322625,0.3332752142857142,0.05162900760971954,112,0.23983473,0.25139075,0.29041700000000004,0.333141,0.37493325,0.40928804999999996,0.42038918,0.49720417343173423,0.06775619287510971,271,0.3797448,0.40024400000000004,0.44135599999999997,0.489569,0.5413435,0.617175,0.6665392000000002
-14.1649,0.1948567307692308,0.041981278621364256,26,0.11237775,0.12097849999999999,0.1693095,0.2014965,0.22334425,0.2476515,0.27839225,0.3291169285714285,0.052250319726719396,112,0.23384738,0.24784785,0.28710075,0.3287255,0.3717205,0.4070946,0.41796442,0.49393404428044285,0.06792190754959558,271,0.378433,0.39644,0.43823100000000004,0.485074,0.538953,0.6148795,0.6593604000000003
-13.1649,0.1881760384615385,0.041059974040401695,26,0.109887,0.1168555,0.162557,0.19440449999999998,0.21514925000000001,0.2382265,0.27251925,0.323793125,0.05290784495231069,112,0.22800520999999999,0.24248545,0.2830575,0.32122399999999995,0.36847175,0.40246195,0.41528813,0.49011053505535085,0.06812212319611001,271,0.3753225,0.3909835,0.4349305,0.480523,0.537075,0.6115245,0.6514067000000002
-12.1649,0.1813869230769231,0.03999703047069677,26,0.10813625,0.113532,0.15520499999999998,0.187658,0.2073085,0.228337,0.26668375,0.3179992857142858,0.05348548164906947,112,0.22238514999999998,0.23488375,0.2766915,0.316594,0.36324175,0.39651745,0.41215076,0.48631534317343156,0.06840115967657504,271,0.3723049,0.38646800000000003,0.431725,0.478193,0.5335855,0.607059,0.6464550000000002
-11.1649,0.17527819230769232,0.0389967947883097,26,0.1074025,0.111262,0.149034,0.1818475,0.198537,0.21942275,0.26172249999999997,0.3125156517857143,0.053998112716053995,112,0.2175682,0.22668885000000003,0.2711575,0.312197,0.358205,0.39183584999999993,0.40971288,0.4830324538745387,0.06873171763752414,271,0.37114630000000004,0.381425,0.429338,0.475368,0.530929,0.601152,0.6445821
