Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-41.1649,0.0013484823076923074,0.00011061714916983506,26,0.00110333,0.0011354025000000002,0.0013014375,0.00134439,0.0014001999999999999,0.0015486875000000002,0.0015554175,0.0012593961339285712,9.494988202768864e-05,112,0.0010603163,0.001119761,0.0011872875,0.00125201,0.0013145000000000001,0.0014262495,0.001469697,0.0012200230221402215,0.00010206691545146883,271,0.000955898,0.001070025,0.0011481500000000001,0.00122124,0.0012798,0.00139863,0.001478403
-40.1649,0.0013558076923076922,0.00010377315650235152,26,0.0011222349999999999,0.00116084,0.0013158425,0.00134569,0.001398355,0.0015475649999999999,0.00155877,0.0012626969642857146,8.719406150577337e-05,112,0.0010766316,0.0011396165000000002,0.0012063875,0.00125695,0.00131146,0.0014172155,0.0014580693,0.0012199793800738003,9.10468910337446e-05,271,0.0009996924,0.00108146,0.001158515,0.00121785,0.0012708250000000002,0.0013769149999999998,0.001465138
-39.1649,0.0013606892307692308,9.248766486069705e-05,26,0.0011558249999999999,0.00119276,0.0013265025,0.00135652,0.001403205,0.001534185,0.0015560499999999998,0.0012671194642857146,7.936849953620984e-05,112,0.0010963109,0.0011533965,0.001212145,0.001259775,0.001315755,0.0014073599999999999,0.0014471403999999999,0.0012221538413284127,8.217541992866545e-05,271,0.001035778,0.001095455,0.0011716650000000001,0.00121296,0.00127021,0.00137334,0.001441868
-38.1649,0.0013659034615384619,8.170633434158248e-05,26,0.00119341,0.0012226925,0.0013292875,0.00136425,0.0013995,0.0015235025,0.0015510774999999998,0.0012716160714285711,7.459754182068298e-05,112,0.0011110512,0.001160311,0.0012163249999999999,0.001263215,0.0013157275,0.0013888239999999999,0.0014471328000000001,0.0012246869003690035,7.510083762901001e-05,271,0.001073094,0.001110305,0.001175105,0.00121903,0.001269165,0.001367975,0.0014172470000000002
-37.1649,0.001372560769230769,7.533134699037723e-05,26,0.00122318,0.0012434949999999998,0.0013379775,0.00136473,0.001404255,0.0015233,0.0015490325,0.0012780999999999995,7.343330200422177e-05,112,0.0011221948,0.0011720250000000002,0.0012254375,0.001273565,0.0013264750000000001,0.0013936559999999998,0.0014571446999999999,0.001229259040590406,7.144831020344691e-05,271,0.001084018,0.00112656,0.001182915,0.00122606,0.0012760050000000002,0.0013633,0.001410855
-36.1649,0.0013812915384615381,7.100071468329359e-05,26,0.0012510875,0.0012631075,0.00135111,0.00136818,0.001408125,0.00152617,0.00154989,0.0012852306250000008,7.299327139521304e-05,112,0.0011249038999999999,0.001181857,0.00123345,0.001282615,0.0013316925,0.001401039,0.0014671983,0.001233831992619927,6.861258620971178e-05,271,0.001091725,0.00113519,0.00118665,0.00123124,0.00127603,0.001356335,0.0014003390000000002
-35.1649,0.0013901819230769232,6.856846919797642e-05,26,0.0012756425000000002,0.001279845,0.0013638025,0.001379365,0.0014191175,0.0015309775,0.0015537575,0.001291457857142857,7.26081877524851e-05,112,0.0011345368999999999,0.001184077,0.0012396425000000002,0.001288145,0.001338035,0.0014091795,0.0014750513,0.0012371393357933575,6.658504635483642e-05,271,0.001096928,0.00113962,0.001188105,0.00123457,0.00128289,0.00135394,0.0013880420000000004
-34.1649,0.0014002111538461534,6.777598786159731e-05,26,0.0012929249999999999,0.001301365,0.00137062,0.00138441,0.0014301925,0.0015401899999999999,0.00156215,0.001297910089285715,7.170361119602356e-05,112,0.0011474348,0.001194771,0.0012473125,0.00129584,0.0013393049999999998,0.0014132259999999998,0.0014788493,0.0012404297785977866,6.506046194194249e-05,271,0.00110583,0.00113832,0.001192745,0.00123822,0.001285615,0.001348665,0.001387883
-33.1649,0.0014128146153846155,6.839202884727249e-05,26,0.001304175,0.0013190250000000001,0.00138725,0.001396365,0.0014447499999999999,0.00155429,0.00157533,0.0013063696428571429,7.083889267335151e-05,112,0.0011462508,0.0012009295,0.0012583625,0.00130624,0.001349655,0.001421726,0.0014837538,0.001245674944649447,6.433533080877648e-05,271,0.001111663,0.001143485,0.001197495,0.00124505,0.0012909,0.0013528,0.001384636
-32.1649,0.0014289238461538466,6.96852772443031e-05,26,0.0013172499999999998,0.001337145,0.0013952675000000001,0.0014191400000000002,0.001459845,0.0015716125000000002,0.00159192,0.0013182456249999995,7.024132747957104e-05,112,0.0011666408,0.0012077345,0.001271,0.001316055,0.00136256,0.001427444,0.0014900426,0.0012541063468634686,6.446908227932595e-05,271,0.001107963,0.001153135,0.001205025,0.00125484,0.00129872,0.0013599850000000002,0.001386355
-31.1649,0.0014478573076923075,7.084255091723857e-05,26,0.00133429,0.0013581499999999998,0.001406305,0.001440675,0.0014802875,0.001590915,0.0016098375,0.0013331990178571428,6.997982108069557e-05,112,0.0011928935,0.0012181725,0.0012867549999999999,0.00133501,0.001380925,0.0014416634999999999,0.0014991255,0.0012652742066420668,6.524771610035632e-05,271,0.001107626,0.00116629,0.00121902,0.00126688,0.00130693,0.001370575,0.001395844
-30.1649,0.0014696723076923074,7.156189211068653e-05,26,0.001353805,0.0013801225,0.0014258300000000001,0.00145907,0.00150404,0.0016117425,0.0016277825,0.001351667410714286,7.008528539123127e-05,112,0.0012238905999999998,0.0012394335,0.0013032949999999999,0.0013545599999999999,0.0013978950000000001,0.0014668384999999998,0.0015125746,0.0012793859409594099,6.663676517578564e-05,271,0.001109053,0.00117583,0.001233365,0.00128048,0.00132013,0.001388765,0.001413352
-29.1649,0.0014938246153846152,7.178199675298921e-05,26,0.0013763025,0.0014025600000000002,0.0014395975,0.0014832299999999999,0.0015322,0.00163251,0.0016438675,0.0013728850892857144,7.062218978537867e-05,112,0.0012445338,0.001261823,0.0013228375,0.001374845,0.0014148725,0.0014945515,0.0015303216,0.0012951621402214034,6.868850052979841e-05,271,0.001107266,0.00119287,0.00124968,0.00129455,0.001337405,0.001411425,0.0014344550000000003
-28.1649,0.0015171934615384622,7.176792001680461e-05,26,0.0014017925,0.0014254175,0.0014541975000000001,0.001513515,0.0015609975,0.0016489,0.0016547375,0.0013934911607142856,7.15535725809065e-05,112,0.0012612862,0.0012846235,0.0013402275,0.0013944399999999998,0.0014357775,0.0015195624999999999,0.0015472359,0.0013087979704797046,7.10255840338344e-05,271,0.001114949,0.001210395,0.0012639650000000001,0.00130819,0.001348135,0.0014295649999999998,0.001455921
-27.1649,0.0015340807692307695,7.175669300758373e-05,26,0.0014249975,0.0014451475,0.001469695,0.00153684,0.0015838674999999998,0.0016566425,0.0016605675000000001,0.0014070166964285722,7.252505504795441e-05,112,0.0012734517000000001,0.001292361,0.0013545525,0.0014093550000000002,0.00144762,0.001531205,0.0015566998,0.0013136419926199256,7.285083650664873e-05,271,0.001122627,0.001209205,0.001270125,0.0013115,0.0013549249999999999,0.0014405099999999999,0.001467942
-26.1649,0.0015381011538461537,7.167276751050838e-05,26,0.00143486,0.0014481275,0.001472115,0.001544685,0.0015934299999999998,0.0016455675,0.001663545,0.0014059495535714288,7.282236049516105e-05,112,0.0012718236,0.0012905195,0.0013537725,0.00140616,0.001452755,0.0015281415,0.001557952,0.0013026788191881928,7.339407390100174e-05,271,0.001113285,0.00119456,0.001258675,0.00129966,0.00134386,0.001432465,0.001468562
