Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-41.1649,0.2623628846153846,0.05379749594419943,26,0.13653825,0.1592235,0.23465825,0.2691,0.29933150000000003,0.32232075,0.36128425,0.32462553571428554,0.054537166323465204,112,0.16288392999999998,0.2249557,0.29723375,0.33310850000000003,0.355331,0.40256344999999993,0.4376705,0.37790235793357935,0.06823471601737205,271,0.1633965,0.24894449999999999,0.3498505,0.381605,0.415748,0.4794665,0.5304479000000001
-40.1649,0.26485176923076914,0.051706238153095364,26,0.1431855,0.17224850000000003,0.24122475,0.2696145,0.30098175,0.325058,0.35886075,0.32538792857142856,0.05021662406854625,112,0.16325107,0.24113985,0.302956,0.332092,0.35599875,0.39733869999999993,0.43181733,0.3782284797047969,0.06188704056171655,271,0.1898882,0.26594450000000003,0.3489875,0.382431,0.4144495,0.4725205,0.5219747
-39.1649,0.2667498461538461,0.047435397359096555,26,0.15506399999999998,0.1925255,0.24231149999999999,0.27309700000000003,0.29738725,0.3236445,0.35087075,0.3268465892857145,0.044828701687858234,112,0.17003994,0.25430189999999997,0.30831675,0.331504,0.352987,0.3894201999999999,0.41841726,0.3797559999999999,0.05616374244006603,271,0.2154526,0.27799300000000005,0.35030150000000004,0.382864,0.4112895,0.4650645,0.5122725000000002
-38.1649,0.26957476923076923,0.044020333385659575,26,0.16862175000000001,0.210652,0.24170775,0.27684949999999997,0.29228824999999997,0.32833875,0.3449815,0.3293146696428572,0.04085522168031326,112,0.18033537,0.26886135,0.30910400000000005,0.330615,0.35412350000000004,0.3874141499999999,0.40695571999999997,0.38262081549815485,0.051684000948168454,271,0.24635600000000002,0.291848,0.35366600000000004,0.383506,0.4141585,0.459334,0.5044147000000003
-37.1649,0.2737843461538461,0.042621051989778294,26,0.17695225,0.21342499999999998,0.24622975,0.2790805,0.2936495,0.337804,0.34565775,0.33386240178571436,0.03964820808044504,112,0.18832701000000002,0.27829055,0.314044,0.334397,0.357598,0.39137,0.40885912,0.3877550369003692,0.049602650194940145,271,0.2694401,0.3000635,0.3585655,0.385461,0.42040750000000005,0.46655,0.5182950000000002
-36.1649,0.27936676923076925,0.041835376469497865,26,0.186504,0.215065,0.2510665,0.28560450000000004,0.30042875,0.3449095,0.34898225,0.33968728571428564,0.03942495952397645,112,0.19747352,0.28410145,0.321472,0.33966700000000005,0.36233875,0.399535,0.412735,0.3939350959409595,0.04823970795445907,271,0.2859436,0.31046450000000003,0.3665195,0.392469,0.4253025,0.47183200000000003,0.5299638
-35.1649,0.285513076923077,0.04109674791408495,26,0.19601,0.2180355,0.26558275,0.292195,0.3088975,0.3463445,0.3548395,0.345835857142857,0.03934506301661251,112,0.20739649000000002,0.28768195,0.328504,0.3468025,0.37157675,0.40708445,0.4203999,0.4002171623616237,0.047320179387784024,271,0.29467730000000003,0.32405700000000004,0.3743465,0.397773,0.4308835,0.478364,0.5361631000000001
-34.1649,0.29271546153846156,0.04042465114380656,26,0.20526875,0.22280525,0.27409550000000005,0.2987045,0.31434325,0.35221824999999995,0.36123150000000004,0.3526875803571428,0.039095336767297956,112,0.22078325000000001,0.29234360000000004,0.33509099999999997,0.3524475,0.377102,0.41528719999999997,0.42528785999999996,0.4071634944649449,0.046405202430081276,271,0.3046456,0.337939,0.379567,0.404594,0.4349645,0.48514250000000003,0.5396508000000002
-33.1649,0.301796423076923,0.03969442866919545,26,0.21603275,0.2301755,0.28952999999999995,0.3070235,0.32212850000000004,0.35985325,0.3675965,0.36106939285714273,0.03879145047892238,112,0.23646095,0.29789355,0.34307875,0.36172000000000004,0.383321,0.42289535,0.43117094,0.4157811734317341,0.04569466722353725,271,0.3169775,0.34908249999999996,0.388675,0.413503,0.4414535,0.49392800000000003,0.5418823000000003
-32.1649,0.3131201538461538,0.03924934113657687,26,0.22849275,0.240008,0.3030835,0.31994199999999995,0.3331685,0.36834374999999997,0.37495875,0.3716365624999997,0.038652970075917226,112,0.2552717,0.30780825,0.35217925,0.373261,0.3971395,0.4313615,0.44045366,0.42667245387453856,0.04515458599453304,271,0.333537,0.36129500000000003,0.3983045,0.425499,0.450895,0.5092835,0.5518684000000001
-31.1649,0.3259831538461539,0.03930435461848197,26,0.242084,0.25135275,0.3133565,0.335415,0.35032575,0.37646525,0.38247525,0.3837930625,0.038424226391078,112,0.27092966,0.32302955,0.36467025,0.38657600000000003,0.40853075,0.44160635,0.45213037,0.43902693726937264,0.04476719370087437,271,0.34288,0.3733795,0.410547,0.437565,0.460561,0.5203885,0.5629716000000001
-30.1649,0.34042084615384616,0.04004523111152418,26,0.2566255,0.2614345,0.32743774999999997,0.3495245,0.3677125,0.3846485,0.3911525,0.3977336071428571,0.03817218760470714,112,0.28339518,0.33848374999999997,0.38235675,0.4015185,0.42070475,0.4560035999999999,0.46418652,0.4530259409594095,0.04464313087773831,271,0.3584294,0.385378,0.4235235,0.450795,0.4766895,0.535327,0.5729080000000001
-29.1649,0.35587138461538453,0.04148332144568651,26,0.2695385,0.274559,0.34161925,0.36335649999999997,0.3882645,0.40256325,0.40653575000000003,0.41277148214285736,0.0380459972849324,112,0.29387089,0.3536836,0.3939185,0.41435200000000005,0.4345285,0.47187795,0.47820453,0.46782293726937274,0.04489711175186009,271,0.374778,0.40367549999999996,0.4391815,0.463201,0.492114,0.551893,0.5818265
-28.1649,0.3701489615384616,0.04306581899045299,26,0.27966175,0.29164575000000004,0.35551575,0.38240050000000003,0.40117274999999997,0.41788225,0.42875425,0.4266126071428572,0.03798510563706105,112,0.30980499,0.36517535,0.41139825,0.426738,0.448056,0.4844168,0.49343358000000004,0.48090723616236175,0.04534559003666895,271,0.3813959,0.4171135,0.45000249999999997,0.477782,0.506497,0.5625035,0.5880201
-27.1649,0.37965003846153855,0.044052885604900636,26,0.2861825,0.30233825000000003,0.3603415,0.389455,0.4123275,0.42895025000000003,0.44373025,0.43535519642857146,0.03774533914758845,112,0.32908765,0.37707995,0.41587475,0.4355265,0.4577995,0.4899728999999999,0.50486792,0.48818947970479687,0.04556078684341672,271,0.3893834,0.4247375,0.4572555,0.486648,0.5160184999999999,0.5680295,0.5884611000000001
