Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-33.7191,0.0014374426923076922,0.0001386934498397871,26,0.0011720875,0.00123915,0.0013862,0.0014118,0.001485315,0.001695355,0.0017125575,0.0012602807090909087,0.00012672232858392047,110,0.0009922097800000001,0.0010444405000000002,0.00117158,0.0012724350000000001,0.0013517425000000001,0.0014328035,0.0015890082999999997,0.0012073948959107808,0.00011207992363972301,269,0.00095131052,0.0009943956000000001,0.00113434,0.00122282,0.00127945,0.00137836,0.0014534155999999998
-32.7191,0.001449958076923077,0.00013708335554746915,26,0.00120244,0.001236045,0.0013893224999999999,0.001427845,0.0015190475,0.001697,0.001714305,0.0012698003181818174,0.00011935379608364672,110,0.0010150127,0.001065122,0.0011917149999999999,0.0012758449999999998,0.00135139,0.0014413134999999998,0.0015790613999999996,0.0012144481747211897,0.00010719807019207913,269,0.00096027676,0.0010152240000000001,0.00114203,0.00123093,0.00128737,0.001367676,0.0014517603999999998
-31.7191,0.0014667653846153845,0.00013501626450856266,26,0.0012470175,0.001248585,0.001385755,0.001457215,0.0015531174999999999,0.0017062275,0.0017283375,0.0012837596363636363,0.00011442432426434858,110,0.0010328322,0.0010866954999999999,0.0012082975,0.0012892749999999999,0.0013555375,0.00146397,0.0015697247999999996,0.0012245961672862453,0.00010408438743748669,269,0.00096620992,0.001034198,0.00116361,0.00123937,0.00130128,0.001372738,0.0014485379999999999
-30.7191,0.0014843719230769232,0.0001336400331343638,26,0.00126668,0.001281265,0.0013945925,0.00148315,0.0015804325,0.001727,0.0017516049999999998,0.0012992405454545451,0.00011081661714094209,110,0.0010486148,0.0011107725,0.001224795,0.00130886,0.0013654099999999998,0.001472012,0.0015653901999999997,0.001235852431226766,0.00010166238740586225,269,0.00097440524,0.001045438,0.00117835,0.00124574,0.00130822,0.001382852,0.0014449787999999998
-29.7191,0.0015063380769230765,0.00013347417416172255,26,0.001295905,0.0013213425,0.0013969775,0.0014961150000000001,0.001597505,0.00175283,0.0017857275,0.0013198264545454543,0.00010845562387308345,110,0.0010823188,0.0011378975,0.0012577425,0.001325385,0.0013844575,0.0014826375,0.0015571878,0.0012506520520446105,9.987855142855963e-05,269,0.00098683264,0.0010596100000000001,0.00119927,0.00126351,0.00131661,0.00138901,0.0014396352
-28.7191,0.0015250142307692309,0.0001322008265079482,26,0.00132763,0.0013510675,0.0014295825,0.00150103,0.001611465,0.0017698850000000001,0.001813055,0.0013406502727272736,0.00010723613872454004,110,0.0011051621999999999,0.001155281,0.001269975,0.00134613,0.0013987025,0.001503178,0.0015797705999999999,0.0012650054386617103,9.807419087556324e-05,269,0.00099666568,0.00108758,0.00121178,0.00127866,0.00132935,0.001406752,0.0014485680000000001
-27.7191,0.001542197692307692,0.00012935907591839677,26,0.0013653525,0.00138134,0.0014468,0.0015140750000000001,0.0016238049999999999,0.0017858575,0.0018321774999999999,0.001362566363636363,0.00010682918715808607,110,0.001116032,0.001183009,0.00129698,0.00136256,0.001430995,0.0015289895,0.0015955312,0.0012793170074349438,9.657880012722703e-05,269,0.001007742,0.001109292,0.00121882,0.00128875,0.00134009,0.0014224419999999999,0.001466336
-26.7191,0.0015544642307692305,0.00012560541791413541,26,0.0013808675,0.001396465,0.00145336,0.001535245,0.0016334175,0.0017977325,0.0018337875,0.0013801089090909084,0.00010473676592493046,110,0.001154184,0.001202626,0.0013173075,0.0013758099999999999,0.001453045,0.0015496009999999998,0.0016099222,0.0012888987881040893,9.452818300113452e-05,269,0.0010097876,0.001133488,0.00123159,0.00129171,0.00135189,0.00143405,0.0014715956
-25.7191,0.0015608523076923082,0.00012018828832486773,26,0.0013752625,0.001404435,0.0014651075,0.00153879,0.0016280625,0.0017839525,0.0018255724999999999,0.0013912178181818178,0.00010188330574579632,110,0.0011753454,0.001243014,0.0013246475,0.001380765,0.001462235,0.0015490085000000001,0.0016147124999999999,0.0012924076096654273,9.249596566942505e-05,269,0.0010151291999999999,0.001148176,0.00124211,0.00129594,0.00135447,0.0014365159999999999,0.001481376
-24.7191,0.0015639953846153843,0.0001143743231055212,26,0.0013721175,0.001413905,0.0014917425,0.00153527,0.0016313775,0.0017517275,0.0018144575,0.0013978002727272716,0.00010056210104199288,110,0.0011960523999999999,0.0012396865,0.0013306575,0.001400705,0.0014649775,0.0015618255,0.0016159578,0.0012911826542750923,9.226082448657969e-05,269,0.0010214516,0.0011508879999999999,0.00123257,0.00128925,0.00135607,0.001435482,0.001482626
