Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-33.7191,0.21742492307692307,0.04946674164399598,26,0.12213025000000001,0.12923400000000002,0.1957555,0.224576,0.24883875,0.28235899999999997,0.29019025,0.27782430909090905,0.06254206439496797,110,0.13357338000000002,0.17893175,0.23162525,0.27961,0.324526,0.3727318,0.40195988999999993,0.3507264899628251,0.07871680763093393,269,0.13118424,0.22249280000000002,0.305642,0.352674,0.397809,0.4799898,0.53222048
-32.7191,0.22328434615384618,0.04791821914298761,26,0.1337285,0.13588375,0.198295,0.2391745,0.2569645,0.28326775,0.28851925,0.28551995454545465,0.0590538885588015,110,0.14557591,0.19070065,0.24921425,0.2883405,0.33340225,0.37387385,0.38759641,0.3586823420074351,0.07488323127317921,269,0.14115072,0.2267378,0.316893,0.363764,0.402407,0.483529,0.5095525999999999
-31.7191,0.23159619230769232,0.04724593242599344,26,0.13826575000000002,0.144491,0.20466925000000002,0.2471435,0.2677295,0.29136125,0.299871,0.29548009999999997,0.05716916046854267,110,0.15625812,0.20159615,0.26272475,0.2980685,0.33664675,0.3798878,0.38793144999999996,0.36898660594795546,0.0726560831002026,269,0.15363976,0.2353286,0.325739,0.375156,0.413146,0.4890676,0.5032209599999999
-30.7191,0.24054384615384616,0.04751050988881707,26,0.144831,0.15335200000000002,0.21098875,0.25407,0.27063574999999995,0.30541324999999997,0.31432375,0.3060430363636364,0.056212546954227526,110,0.16471912000000002,0.21227235,0.27256525,0.30766899999999997,0.3521745,0.38902495,0.40779793,0.38012025650557624,0.07112244747352454,269,0.15860580000000002,0.2545076,0.340916,0.384512,0.421644,0.49480300000000005,0.5162496799999999
-29.7191,0.2518582692307692,0.04879288112137482,26,0.153201,0.16542525,0.22002424999999998,0.2601045,0.28029175,0.32530975,0.33243475,0.31991722727272726,0.056170847258165575,110,0.17520506,0.2288472,0.282859,0.324305,0.3569355,0.39588475,0.4370031099999999,0.3946647434944239,0.07037739964115698,269,0.16111452,0.2728828,0.356564,0.395625,0.436497,0.5025424000000001,0.5306193199999999
-28.7191,0.2620145384615385,0.05069438848095972,26,0.16198425,0.17764850000000001,0.2335895,0.264687,0.286182,0.347206,0.35695175,0.3332847454545454,0.05632311106715641,110,0.17990433,0.2456212,0.29994624999999997,0.3352455,0.37060950000000004,0.40788925,0.4638267999999999,0.40860486988847594,0.07015711171785237,269,0.16220864,0.2975234,0.368645,0.406626,0.452349,0.5182962,0.5500454
-27.7191,0.27165657692307693,0.05311304733955533,26,0.1714815,0.18947975,0.24359050000000002,0.2678645,0.2954245,0.3655945,0.383529,0.34655219090909095,0.05654621650862491,110,0.19579082,0.25068915,0.31643550000000004,0.34874099999999997,0.38524474999999997,0.4207539,0.4873125099999998,0.42248790334572484,0.07032329466989888,269,0.1716484,0.3211992,0.38282,0.423069,0.468332,0.5259699999999999,0.56703916
-26.7191,0.27866450000000004,0.05534270692711009,26,0.17928375,0.19478375,0.24659975,0.2789795,0.307139,0.37900075,0.40171199999999996,0.3564745545454544,0.055973704837540605,110,0.1968811,0.2592805,0.32984274999999996,0.36099950000000003,0.39087075,0.43017384999999997,0.4990334499999999,0.4326464609665428,0.06995551944135005,269,0.20627468000000002,0.32814519999999997,0.390552,0.430846,0.481776,0.5347026,0.575052
-25.7191,0.2826032692307693,0.05774808279245828,26,0.1843785,0.19634600000000002,0.24801125,0.281922,0.31784524999999997,0.38706650000000004,0.4106395,0.3620087454545458,0.05494664194403001,110,0.20226963,0.2656382,0.33195,0.36485599999999996,0.39332374999999997,0.4352719,0.49563726999999985,0.43789015985130086,0.06933561616772928,269,0.24307984,0.3245668,0.395842,0.437656,0.483207,0.5453916,0.5772476799999999
-24.7191,0.2847837307692308,0.06054164824816562,26,0.18867125,0.19830975,0.23916325,0.2845415,0.32792025,0.39323474999999997,0.41146950000000004,0.36436587272727283,0.05450899175905896,110,0.21086842,0.27739465,0.33389199999999997,0.3691235,0.3988065,0.43754984999999996,0.48147154999999997,0.4394453903345725,0.06965802764883189,269,0.2504114,0.33174719999999996,0.394207,0.44062,0.48526,0.5552114,0.58293688
