Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-24.4601,0.0008736693600000001,8.695633198377985e-05,25,0.00074900508,0.0007803294,0.000811595,0.00084489,0.000919666,0.0010426979999999999,0.0010554164000000001,0.0007141298035714283,5.636617276535032e-05,112,0.00063075428,0.0006429913,0.0006687695,0.0007032189999999999,0.0007546592500000001,0.00081596235,0.00085997045,0.0006039845093632958,5.1704005841403084e-05,267,0.00050152452,0.0005207971,0.0005705725,0.00060285,0.0006348415,0.0006932746,0.0007259415199999995
-23.4601,0.0008778536799999997,8.584301668487658e-05,25,0.00077575088,0.0007898974,0.000818673,0.000851752,0.00091641,0.001040868,0.0010765847999999998,0.0007155714821428575,5.658477773830496e-05,112,0.00062881171,0.00064712765,0.0006691360000000001,0.000704228,0.0007542025,0.00081106205,0.00086454564,0.000603756254681648,5.036942095566096e-05,267,0.00049922568,0.0005236293000000001,0.0005701594999999999,0.000605415,0.0006344595,0.0006892736999999999,0.0007249858199999997
-22.4601,0.0008886175999999997,8.993022482736269e-05,25,0.00078757088,0.0007899426000000001,0.000817304,0.000870076,0.000913671,0.001038156,0.0011157151999999998,0.0007216979107142858,5.833122503838268e-05,112,0.0006346910800000001,0.00065189765,0.0006760005,0.000710425,0.0007615944999999999,0.0008235572999999999,0.00087314891,0.0006061410074906367,4.905061684366777e-05,267,0.0005032086,0.0005293952,0.0005735745,0.000605767,0.0006329969999999999,0.000687811,0.0007255962999999999
-21.4601,0.0008879994799999999,9.826792375020785e-05,25,0.0007735509999999999,0.0007822846,0.000822137,0.0008657,0.000914954,0.0010808059999999997,0.00113632,0.0007273559553571431,5.573791798097454e-05,112,0.0006452561900000001,0.0006561681,0.000684221,0.0007166515,0.000771105,0.0008313189499999999,0.00087268174,0.0006170712359550562,4.6526050618372546e-05,267,0.00050871204,0.0005375399,0.0005847495,0.000616985,0.0006495575,0.0006885726,0.0007271495599999999
-20.4601,0.0008851941999999999,0.00010137421650169896,25,0.00076616732,0.0007689378,0.000819685,0.00086077,0.00090104,0.001104658,0.0011316952000000001,0.0007307189107142859,5.3881916856883785e-05,112,0.0006470605499999999,0.0006630426000000001,0.0006891077499999999,0.000719059,0.0007700165000000001,0.0008323935999999999,0.00088074574,0.0006254380337078651,4.604572828565102e-05,267,0.0005225443399999999,0.0005427566,0.0005943305,0.000625422,0.000655742,0.0006982939,0.0007307850199999999
-19.4601,0.00088569992,0.00010146303250688564,25,0.00076667404,0.0007730388,0.000828248,0.000862371,0.000897112,0.0011081479999999998,0.0011306448,0.0007310626875,5.352175076706418e-05,112,0.00064497421,0.0006638111,0.00068988875,0.0007216435000000001,0.00076805775,0.00082941205,0.00088549194,0.0006266583370786517,4.60327252805885e-05,267,0.0005238031,0.0005476418,0.0005957245,0.000626183,0.0006577045,0.0007007768,0.00073266896
-18.4601,0.0008866350000000001,0.00010194904597886143,25,0.00077023268,0.0007774966,0.000835958,0.000865563,0.000893636,0.0011084279999999998,0.0011365948,0.0007300622142857145,5.404756352092352e-05,112,0.00064358246,0.00066286065,0.0006875005,0.0007210974999999999,0.00076655125,0.00083094605,0.00088873565,0.0006250452584269663,4.616549555475845e-05,267,0.00051961904,0.0005452583,0.0005939595,0.000624269,0.0006562244999999999,0.0006988471,0.0007334655799999998
-17.4601,0.0008882102400000001,0.00010257981531238655,25,0.0007734560800000001,0.0007794312,0.000833282,0.000871749,0.000893209,0.0011118059999999997,0.0011422764,0.000728678214285714,5.5277105109665606e-05,112,0.00064200928,0.00065938425,0.00068567025,0.0007192535,0.00076694775,0.00082929205,0.00089023879,0.0006218589026217228,4.658433902589156e-05,267,0.00051545126,0.0005421216,0.000591685,0.000621602,0.000653743,0.0006962006,0.0007326024199999999
-16.4601,0.0008902831999999999,0.00010318360878711956,25,0.0007754301599999999,0.0007800880000000001,0.000826317,0.000877562,0.000892871,0.0011172419999999996,0.001146282,0.000726970517857143,5.694630833647456e-05,112,0.0006403716799999999,0.0006520949,0.00068472625,0.000718046,0.0007673162500000001,0.0008283152499999999,0.00089129417,0.0006175166441947567,4.7063765773777776e-05,267,0.00050998606,0.0005411218,0.000587909,0.000617142,0.0006488985,0.000694321,0.0007311550199999999
-15.4601,0.0008928335599999999,0.00010423791821160859,25,0.00077696264,0.0007793866000000001,0.000820965,0.00087774,0.000898889,0.0011252219999999997,0.0011506404,0.0007248019464285713,5.9068087937495465e-05,112,0.0006344321,0.00064458085,0.0006808047500000001,0.0007156965,0.000766916,0.0008288097499999999,0.0008917909799999999,0.0006118703932584268,4.7512680609397646e-05,267,0.00050722424,0.0005337177,0.0005830445,0.000612037,0.000643098,0.0006903233000000001,0.00072854884
-14.4601,0.0008958107200000003,0.00010575717389083668,25,0.00077583948,0.000781169,0.000815596,0.000878787,0.000913132,0.0011326999999999997,0.001157092,0.0007220264910714289,6.151085653549013e-05,112,0.0006239111499999999,0.0006372873,0.000674688,0.000711879,0.00076915,0.0008317652,0.00089195635,0.0006049238913857678,4.7950621315090346e-05,267,0.00050282722,0.0005292035,0.000576765,0.000606656,0.0006368389999999999,0.0006845624,0.0007237905399999999
-13.4601,0.0008991627600000002,0.00010749094318874807,25,0.0007739093200000001,0.0007837488,0.000814576,0.000878742,0.000926805,0.0011404219999999997,0.0011650804,0.0007189175089285716,6.409553576097485e-05,112,0.00061261052,0.00063171585,0.0006695985,0.000707763,0.0007708685,0.0008339901499999999,0.00089307434,0.0005971955355805244,4.831787140644411e-05,267,0.00049445996,0.000520911,0.0005675319999999999,0.000599025,0.000629255,0.0006776711,0.0007175264399999999
-12.4601,0.0009028015599999998,0.00010875830390636846,25,0.0007728824,0.0007875514000000001,0.000816294,0.000885357,0.000930918,0.0011488959999999997,0.0011711572,0.0007155126428571425,6.658311847985143e-05,112,0.0006031558299999999,0.00062536935,0.00066261375,0.0007007605,0.00076923625,0.0008348404499999999,0.00089538426,0.0005891180074906367,4.854516681617718e-05,267,0.00048905528,0.0005117347,0.0005580375,0.000591051,0.000620598,0.0006700604,0.00071190122
-11.4601,0.00090593224,0.00010945323265794084,25,0.00077240408,0.0007933492,0.00081939,0.000893152,0.000927453,0.0011541439999999997,0.001176014,0.0007114654374999997,6.884194132871303e-05,112,0.0005943138400000001,0.00061900805,0.000654622,0.000696403,0.00076349975,0.00083306195,0.0008979403000000001,0.0005805628277153559,4.871301970710956e-05,267,0.00048468846,0.0005055807,0.0005470165,0.000581612,0.0006127109999999999,0.0006627095,0.0007072735399999999
-10.4601,0.0009076807200000001,0.00010983191484397115,25,0.0007708880000000001,0.0007952454,0.000824507,0.000898355,0.000922235,0.0011544179999999997,0.0011814732,0.0007064268482142857,7.082760194400849e-05,112,0.000586557,0.00061294215,0.00064924625,0.000690391,0.000757993,0.0008275698,0.00089900356,0.0005712379325842697,4.891506630204833e-05,267,0.00047854048,0.0004976638,0.000535519,0.00057059,0.000602288,0.0006562762000000001,0.00069753894
-9.4601,0.00090781796,0.00011023524068837214,25,0.000767405,0.0007895161999999999,0.000830603,0.000893319,0.000922439,0.0011517699999999997,0.0011874116,0.0006998568392857144,7.274381140633122e-05,112,0.00057880461,0.00060721285,0.00063985675,0.0006847295,0.00075079975,0.0008257443,0.00089779881,0.0005606750898876405,4.9174478998652165e-05,267,0.00046821886,0.0004878071,0.000522149,0.000560327,0.000591589,0.0006487633,0.0006855690999999998
-8.4601,0.0009063426000000002,0.00011146184604720127,25,0.0007619566,0.0007806814,0.000834114,0.000889632,0.000926099,0.0011473919999999997,0.0011954551999999998,0.0006913447767857141,7.481032490632135e-05,112,0.00056775311,0.0005983832,0.00063005425,0.0006753635,0.00074435175,0.00081927885,0.00089354035,0.000548572127340824,4.939745384224278e-05,267,0.00045559148,0.00047327,0.0005083575,0.00054733,0.0005775715,0.00063792,0.0006762509199999999
-7.4601,0.0009031841999999999,0.00011345139430390442,25,0.0007558322,0.000771116,0.000835972,0.000883891,0.000927947,0.0011419319999999998,0.0012028859999999998,0.0006812915892857143,7.67871449544924e-05,112,0.0005560875,0.0005865425000000001,0.0006174275,0.000663203,0.00073480225,0.0008073527,0.00088612395,0.0005357011685393258,4.948538168187461e-05,267,0.00044361496,0.0004597828,0.000498181,0.000533442,0.0005644735,0.0006253963,0.0006656590199999999
-6.4601,0.00089889652,0.00011592530975414013,25,0.00075017428,0.000762628,0.00083436,0.000872632,0.000916003,0.0011367979999999998,0.0012078108,0.0006709206785714285,7.852569715924975e-05,112,0.0005502962100000001,0.0005736549,0.00060594125,0.0006531079999999999,0.000727007,0.0007955293999999999,0.0008776972800000001,0.0005235189550561798,4.9383763476731825e-05,267,0.00043510622,0.0004489011,0.0004893405,0.000520457,0.000551408,0.0006111202,0.0006551041599999999
