Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-19.7179,0.12545808333333333,0.029854621215245677,24,0.10024292,0.10064255,0.1019775,0.1167485,0.14394175,0.16816455,0.21108326999999996,0.2247387706422018,0.045534721399786426,109,0.13140688,0.15610759999999999,0.195386,0.225195,0.260826,0.287578,0.31357112000000004,0.3673258571428569,0.05971933945820628,259,0.26441376,0.28502679999999997,0.321513,0.358517,0.4035765,0.4712461,0.5125424399999998
-18.7179,0.12577666666666665,0.030658872470924397,24,0.10025151,0.1005554,0.1019485,0.11565349999999999,0.14621299999999998,0.1682585,0.21238206999999998,0.22756123853210997,0.04611980199234323,109,0.13370184,0.1571966,0.196614,0.227513,0.264443,0.2929332,0.31414288,0.37185842857142853,0.06003868413540526,259,0.26878112,0.28786130000000004,0.32683450000000003,0.361827,0.409917,0.47592949999999995,0.5181523999999998
-17.7179,0.12639979166666668,0.0314487777988536,24,0.10023408,0.10047815,0.102246,0.1153025,0.1455105,0.16812749999999999,0.2138134,0.2306057614678899,0.04688376911514875,109,0.13375132,0.1610466,0.199101,0.22987,0.268437,0.2981418,0.31570808,0.37617294594594597,0.06017478933188384,259,0.27403602,0.291446,0.3335165,0.365559,0.41612099999999996,0.4832438,0.5188360399999999
-16.7179,0.12741104166666667,0.03208561111542622,24,0.10024179,0.1003859,0.10292525,0.1153975,0.145712,0.16826795,0.21485351999999996,0.23367613761467879,0.0476610850674317,109,0.13174380000000002,0.1641426,0.201536,0.232506,0.271744,0.302737,0.31780552,0.3806117722007722,0.06009943440238573,259,0.28004670000000004,0.29504020000000003,0.3373665,0.370282,0.4185835,0.48890399999999995,0.52169592
-15.7179,0.12863004166666667,0.03266443103475515,24,0.10025639,0.10038545,0.10342375000000001,0.1155105,0.147834,0.16996365,0.21562485999999997,0.23683556880733939,0.048392595216273065,109,0.13176692,0.1667464,0.202602,0.237454,0.278926,0.30735779999999996,0.32053128,0.38520467567567557,0.05986753587489312,259,0.28562466000000003,0.3003486,0.342752,0.375171,0.423352,0.4925093,0.52660752
-14.7179,0.13017120833333332,0.03323010454389496,24,0.10023806,0.10048885,0.10414025,0.1167545,0.150829,0.17298135,0.21609345999999996,0.24039397247706418,0.04911166403386431,109,0.1324254,0.1676962,0.205667,0.238135,0.281393,0.3124844,0.32406648,0.3900905907335907,0.0595484124403429,259,0.2918678,0.3054794,0.3471065,0.380903,0.4269485,0.4969208,0.5315883
-13.7179,0.13218533333333332,0.03368710724822811,24,0.1001755,0.10040265,0.10533525,0.120314,0.154883,0.17612909999999998,0.21613699,0.2442891651376146,0.049873185264954524,109,0.13306868000000002,0.1698282,0.209385,0.241891,0.285437,0.3179246,0.3278196,0.39519536293436297,0.05935928213936154,259,0.29571798,0.3104728,0.34949949999999996,0.388183,0.4311545,0.5026027000000001,0.53620184
-12.7179,0.13441966666666663,0.0339155813334875,24,0.10014205,0.10038675,0.10543325,0.1258995,0.1591125,0.17798484999999997,0.21554283999999999,0.24807085321100922,0.05044905562945832,109,0.13487012,0.174802,0.211086,0.246284,0.289527,0.3227528,0.331306,0.3998445752895754,0.05925426847854464,259,0.30079272,0.3156005,0.354696,0.393413,0.4360805,0.5064384999999999,0.5392166999999999
-11.7179,0.13685704166666665,0.03403602088003259,24,0.10011207,0.10040725,0.1077305,0.1323955,0.1617955,0.17898235,0.21500043,0.251861752293578,0.05078976165257236,109,0.13957312,0.1794284,0.216754,0.250253,0.294752,0.3276422,0.33418072,0.40437972200772193,0.05931497220527983,259,0.30778422,0.3190982,0.358387,0.398579,0.4419655,0.5082673999999999,0.54747284
-10.7179,0.13955070833333336,0.034236456850758386,24,0.10008149,0.10052365,0.110361,0.139457,0.1630625,0.17986285000000002,0.21552068,0.2554768990825688,0.050866402608886654,109,0.14418168,0.18229199999999998,0.219852,0.254113,0.29944,0.33101959999999997,0.3393904,0.4084439227799226,0.05943965979760045,259,0.31031754,0.3225899,0.362093,0.402676,0.4456465,0.511899,0.5545248799999999
