Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-19.7179,0.2441051666666667,0.04992021330837463,24,0.16663479,0.17844959999999999,0.2012955,0.240628,0.2851445,0.32178039999999997,0.32941863,0.3221474963302751,0.05316222621545254,109,0.17061524,0.2434532,0.293114,0.318837,0.347471,0.424726,0.45001544000000004,0.3825518378378378,0.0671284540589007,259,0.16365496,0.3043858,0.3447675,0.375018,0.41970850000000004,0.487229,0.5414530799999997
-18.7179,0.24948604166666663,0.05184919013872508,24,0.16641647,0.17852690000000002,0.20433825,0.2515135,0.29308075,0.3188587,0.34554223999999994,0.33001614128440365,0.053700503485792674,109,0.16673960000000002,0.2535138,0.304276,0.326614,0.357878,0.4212709999999999,0.4518352,0.3945617142857143,0.06523689517428054,259,0.1802464,0.3177585,0.35636500000000004,0.393941,0.433598,0.48861479999999996,0.5536516999999997
-17.7179,0.2555842916666667,0.051900057912742395,24,0.17037847,0.18221725,0.21208825,0.2615945,0.293075,0.3175824,0.35732906,0.33907609266055055,0.0538883988065866,109,0.161645,0.2616582,0.315012,0.339483,0.367387,0.4265182,0.4534314,0.4082210849420849,0.06406158819370414,259,0.19223294,0.3280921,0.37047399999999997,0.407001,0.45045199999999996,0.5014721,0.5619357399999999
-16.7179,0.26264916666666666,0.0511218623373658,24,0.17523129,0.188861,0.22165725,0.268379,0.30043325,0.3233725,0.36414664,0.34834797522935756,0.05375693242317881,109,0.16183212000000002,0.2741454,0.320267,0.348105,0.379926,0.4299018,0.46949284,0.4224031814671814,0.0631045389941226,259,0.21419356,0.3363975,0.38566900000000004,0.422724,0.46108150000000003,0.5129889999999999,0.5752637999999999
-15.7179,0.2709544166666667,0.05035477127077318,24,0.18026044,0.1951552,0.23712550000000002,0.275378,0.3056075,0.33466324999999997,0.36921287,0.35836143119266056,0.05292092267563113,109,0.17319144,0.2868092,0.333565,0.358575,0.387087,0.43106019999999995,0.4838115600000001,0.4368564555984555,0.06123126918533896,259,0.24731062,0.3483741,0.40084949999999997,0.437478,0.475834,0.525786,0.58534498
-14.7179,0.28124791666666665,0.05037448171352036,24,0.18754608,0.19835675,0.255789,0.2849465,0.3083425,0.34899375,0.37411242,0.3704068807339449,0.05180354812954145,109,0.19450444,0.3057856,0.346908,0.372395,0.398617,0.4486401999999999,0.48475476000000006,0.4522244208494209,0.05877318919506928,259,0.28009342000000004,0.3623177,0.4176355,0.450611,0.4903985,0.5443237,0.58963632
-13.7179,0.29325262500000004,0.05120768709261335,24,0.19636158,0.20001135,0.27673275,0.29709399999999997,0.32044225,0.36796249999999997,0.37961789,0.38390907339449554,0.05057215630472343,109,0.22116492000000001,0.32076679999999996,0.35718,0.383696,0.411717,0.4618704,0.48457184000000003,0.4675717104247104,0.05629758588884558,259,0.33374608,0.37230240000000003,0.43269599999999997,0.465647,0.5024815,0.5646154,0.59396082
-12.7179,0.30545420833333337,0.052250531810049274,24,0.20428173,0.20799884999999999,0.2974985,0.310184,0.33638274999999995,0.3824645,0.38917693,0.39753598165137605,0.049228893230910654,109,0.2524248,0.3232022,0.371602,0.40171,0.427453,0.4713832,0.50596692,0.4816221698841701,0.054285690804111116,259,0.35791900000000004,0.3882817,0.447176,0.479817,0.5190159999999999,0.5775443,0.5952512
-11.7179,0.31814054166666667,0.05376838367680006,24,0.21179884999999998,0.2174744,0.30938774999999996,0.3224325,0.35142300000000004,0.38783765,0.40353471,0.41183022935779806,0.04781934928004854,109,0.2879554,0.3251784,0.385596,0.413687,0.441889,0.4780214,0.51259964,0.49535947104247124,0.05348246575014323,259,0.37782988,0.40374079999999996,0.459235,0.492554,0.531671,0.5885697999999999,0.61536616
-10.7179,0.33095704166666656,0.05587756321246844,24,0.22114311,0.2257198,0.322115,0.33498700000000003,0.3695795,0.39757915,0.41594419,0.42611846788990815,0.04588344778239123,109,0.30532232,0.3362902,0.401668,0.426252,0.456671,0.4886258,0.52993992,0.5085566833976835,0.053612374819467706,259,0.39213324000000005,0.4167678,0.469583,0.50667,0.5438345,0.5981365000000001,0.63199104
