Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-34.4184,0.2549501304347826,0.06309618494179728,23,0.1429908,0.1508435,0.22539199999999998,0.234354,0.290122,0.33662230000000004,0.4008173600000001,0.2590909029126213,0.03934768865163208,103,0.18234382000000002,0.1989915,0.23503649999999998,0.252538,0.2795625,0.3265635,0.36176156000000004,0.27732939357429737,0.04508059584705064,249,0.18563111999999998,0.2117324,0.244661,0.271998,0.302995,0.3571188,0.37971704000000017
-33.4184,0.2471586086956521,0.061339975724525486,23,0.13369234000000002,0.144709,0.215803,0.2306,0.2828235,0.32705589999999995,0.3811453600000001,0.2525681262135921,0.037595277354038115,103,0.17300128,0.1892197,0.2290595,0.249622,0.275594,0.3149703,0.35007344,0.2695601285140562,0.044158500039259585,249,0.17700144,0.20743979999999998,0.24084,0.265211,0.296777,0.34935299999999997,0.3802222000000002
-32.4184,0.23870691304347827,0.058955516892679374,23,0.12712894,0.14118380000000003,0.209465,0.221991,0.2715605,0.324111,0.36432166000000005,0.24511545631067952,0.03525164588920044,103,0.1684587,0.18693720000000003,0.225532,0.243676,0.26765550000000005,0.3038112,0.33664142,0.2600690401606426,0.04210663118364467,249,0.174395,0.19917780000000002,0.231205,0.254542,0.287006,0.3338762,0.3749686000000002
-31.4184,0.23051269565217392,0.05554838913500616,23,0.12518128,0.1386331,0.2006865,0.213311,0.2618115,0.32104669999999996,0.34705114000000004,0.23736099029126217,0.03233400662554348,103,0.16795201999999998,0.1827263,0.219494,0.235256,0.260407,0.2905409,0.31823018000000003,0.24979470682730942,0.03932378972204001,249,0.17673408000000002,0.1894588,0.223419,0.244124,0.274298,0.31586739999999996,0.35573608
-30.4184,0.22104052173913044,0.05211390324774584,23,0.12396711999999999,0.13597969999999998,0.1929555,0.207794,0.258209,0.3183077999999999,0.32530598,0.22865591262135923,0.029691926434541948,103,0.16720486,0.1780086,0.209223,0.226278,0.24956,0.27756709999999996,0.29858828000000004,0.2387791445783132,0.03716690486816211,249,0.1700994,0.18173260000000002,0.212484,0.233624,0.263777,0.299764,0.3339662800000001
-29.4184,0.21320956521739132,0.04925875481837637,23,0.12481076,0.136135,0.18368,0.204246,0.2504075,0.2968149,0.31977118000000004,0.22173097087378638,0.027896392692322088,103,0.16846332,0.1779093,0.2009265,0.219201,0.24198550000000002,0.2657415,0.28553122000000003,0.23029557028112452,0.035445109779123456,249,0.16606115999999999,0.1773238,0.203347,0.226646,0.25296,0.28757499999999997,0.31508564000000006
-28.4184,0.20647430434782607,0.048065011994584225,23,0.1258719,0.1357366,0.177259,0.195427,0.24142950000000002,0.2747614,0.3191236800000001,0.21593613592233007,0.026581314897266065,103,0.16916718,0.1761317,0.194521,0.213055,0.23338150000000002,0.25596240000000003,0.27609486000000005,0.2231830080321286,0.03415235623678298,249,0.16315572,0.1712882,0.198188,0.219656,0.245618,0.27852639999999995,0.30742488
-27.4184,0.20023321739130437,0.04809919952835779,23,0.12704746,0.1338914,0.1702575,0.191485,0.23116150000000002,0.2630277,0.3237577000000001,0.21074201941747583,0.02546131902032024,103,0.16456428,0.1729872,0.1900695,0.20983,0.22733150000000002,0.24947719999999998,0.26799682,0.21662571084337345,0.03300504922143882,249,0.1562276,0.165522,0.193824,0.212651,0.239235,0.2680614,0.29952264
-26.4184,0.19467247826086953,0.049339254498246,23,0.12776614,0.1308992,0.163885,0.185843,0.221722,0.26088629999999996,0.33338146000000013,0.20559285436893204,0.024627242220365327,103,0.15938286,0.1701492,0.186303,0.203685,0.2233815,0.24353750000000002,0.25928914000000003,0.210279718875502,0.03184258174145076,249,0.14793372000000002,0.1629908,0.18776,0.206543,0.229965,0.2626488,0.29116292000000005
-25.4184,0.189856,0.05151981327782369,23,0.12718994,0.1302251,0.1565575,0.182324,0.2084885,0.25831019999999993,0.3446414600000001,0.20047139805825243,0.02411323785251896,103,0.15602152,0.1645028,0.1818925,0.199433,0.220714,0.23925129999999997,0.24857300000000004,0.20400721686746992,0.030738377617394726,249,0.1420264,0.1581392,0.183804,0.200023,0.22334,0.2558046,0.284287
