Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-30.9007,0.2456392,0.03259956798921319,25,0.18578716,0.1890456,0.221091,0.246874,0.273316,0.2915198,0.29700484,0.24067958928571417,0.033487873452764244,112,0.18318185,0.20510555,0.21924425,0.2345295,0.2524345,0.2920872,0.35829234,0.25149595833333327,0.04320428861284471,264,0.17142856,0.1993368,0.22590425,0.2424835,0.271015,0.3439909,0.39993211
-29.9007,0.2408005599999999,0.033167992470251595,25,0.18264556,0.18492160000000002,0.220616,0.242616,0.271532,0.28966959999999997,0.2914998,0.23594722321428566,0.03194500435805594,112,0.18398001,0.2005054,0.216997,0.230871,0.248535,0.28601394999999996,0.34880753000000003,0.24503109848484858,0.04046448556071961,264,0.16562555,0.19366915,0.2212695,0.237458,0.2615955,0.32997004999999996,0.38596611000000003
-28.9007,0.23586427999999998,0.033037123314185006,25,0.17794843999999999,0.1806076,0.220881,0.23632,0.259541,0.28204219999999997,0.28687883999999997,0.23136188392857138,0.029634299284232914,112,0.18594160999999998,0.196965,0.2145785,0.22818899999999998,0.24346399999999999,0.28036165,0.33868896000000004,0.2388302462121211,0.037728011441863725,264,0.16322137,0.18819685,0.21775424999999998,0.2315105,0.25439025000000004,0.32229955,0.36937571
-27.9007,0.230821,0.033138484401322076,25,0.17198048,0.17574800000000002,0.216135,0.228798,0.251844,0.278881,0.2838768,0.22686733035714288,0.02762140469788739,112,0.18402017,0.19309415000000002,0.2101395,0.224446,0.23682674999999997,0.2728326,0.3297314,0.23281124242424237,0.03490633418645453,264,0.16133513,0.1837749,0.212372,0.2260085,0.24697249999999998,0.3059393,0.3502451100000001
-26.9007,0.22482732000000002,0.03329180448413693,25,0.16634212,0.1708082,0.206275,0.22095,0.251555,0.2745462,0.2787326,0.2218450267857142,0.025412969212362125,112,0.18286523999999998,0.19021570000000002,0.20560900000000001,0.2183785,0.23271324999999998,0.2611281,0.31991436,0.22600256439393931,0.03185645963032219,264,0.15864008,0.1793978,0.20776175,0.2210685,0.24055225,0.28899605,0.32542878000000003
-25.9007,0.21718500000000002,0.03368203092649452,25,0.1580784,0.1629782,0.19455,0.214855,0.241805,0.26781,0.2721996,0.21583528571428579,0.023033505062564436,112,0.17740237,0.18634495,0.19831100000000002,0.2145435,0.22598275,0.25509564999999995,0.30187382,0.21770051136363627,0.028540101679535017,264,0.15535422000000002,0.17471935,0.20094225,0.21436899999999998,0.23027399999999998,0.2716028,0.30085530000000005
-24.9007,0.21024208000000005,0.033066053914752716,25,0.15084735999999999,0.155586,0.188445,0.21151,0.229349,0.26195399999999996,0.2671192,0.21130171428571426,0.020996444732266206,112,0.175951,0.18400435,0.19586075,0.210036,0.22352575,0.24697089999999997,0.27329350999999996,0.21131250378787883,0.02612346222956102,264,0.15109629000000002,0.17294345,0.19645025,0.2090805,0.222632,0.2598209,0.28090913000000006
-23.9007,0.20498412,0.033008681988379966,25,0.14461163999999999,0.1488822,0.181466,0.20618,0.226958,0.2595541999999999,0.26679052,0.20803912499999985,0.01961515078750777,112,0.17536206000000001,0.1812555,0.19581325,0.206528,0.219814,0.2407773,0.25789798999999997,0.20680187499999989,0.024777027862193948,264,0.14863039,0.1676607,0.19322999999999999,0.2056175,0.21901125,0.250222,0.2697938200000001
-22.9007,0.20186951999999997,0.0337615424905814,25,0.14053596,0.144285,0.179692,0.202903,0.221187,0.2591377999999999,0.26890084,0.20586449107142862,0.019052886245611394,112,0.17319371,0.17816074999999998,0.19294175,0.203186,0.2186785,0.23969574999999999,0.2494595,0.2039779659090907,0.02432265422236822,264,0.14565771,0.1635156,0.19046525,0.20347300000000001,0.21867475,0.24464185,0.26086585000000007
-21.9007,0.19985168000000006,0.03536594944495811,25,0.138035,0.1409302,0.178049,0.200986,0.219939,0.2617841999999999,0.27424035999999996,0.20391172321428572,0.01860222173314752,112,0.16943789,0.1772167,0.19173175,0.202583,0.21457175,0.23869005,0.24513332,0.20192234090909086,0.02442397885200499,264,0.14261536,0.1626656,0.18927675,0.201326,0.2156945,0.24121589999999998,0.25848944
-20.9007,0.19791955999999997,0.03720159925782761,25,0.13571308,0.1380804,0.177831,0.194937,0.218651,0.26553199999999993,0.27865135999999996,0.2017714374999999,0.018456967052819143,112,0.16305454,0.1729884,0.19008350000000002,0.201207,0.20996975,0.23379365,0.24595831,0.19983395075757554,0.02483303968141755,264,0.1401373,0.16012435000000003,0.18677375000000002,0.19887,0.21316,0.23844795,0.26022791000000006
-19.9007,0.19552076,0.03873979802829815,25,0.1341674,0.13507280000000002,0.177685,0.189072,0.217116,0.26844579999999996,0.27870599999999995,0.19903178571428576,0.018486947323478137,112,0.15447440999999998,0.1699867,0.18825199999999997,0.19858900000000002,0.20807075,0.229435,0.24457508,0.1970169280303029,0.025205101279616258,264,0.13731715,0.15501915000000002,0.1839075,0.1956215,0.211987,0.2352844,0.26190183
-18.9007,0.19251479999999999,0.04013075393116024,25,0.1303408,0.13320320000000002,0.170561,0.185717,0.215326,0.271131,0.2757498,0.1958134107142858,0.018672699243467754,112,0.14940562,0.167185,0.18483300000000003,0.19525900000000002,0.20613225000000002,0.22714165,0.24037750000000002,0.19346595075757586,0.025492269224498158,264,0.13035172,0.14856135,0.18010700000000002,0.193023,0.209668,0.2318075,0.26223135000000003
-17.9007,0.18894432000000003,0.04055921463399737,25,0.12726428,0.131223,0.163894,0.183189,0.213339,0.2642902,0.27132871999999997,0.19267700000000001,0.01899135436725624,112,0.14602173,0.16383525000000002,0.18202825,0.19147399999999998,0.20442425,0.22476325,0.23336821,0.18954218939393946,0.025915428745715546,264,0.12355643000000001,0.1439225,0.175576,0.189717,0.205066,0.22735385,0.25646169
-16.9007,0.18451384,0.040181525340924194,25,0.1250484,0.13019440000000002,0.160219,0.1763,0.210871,0.25325739999999997,0.26828583999999994,0.18986452678571428,0.01939797097913553,112,0.13623409,0.15924939999999999,0.17869825,0.1892005,0.202648,0.22286584999999998,0.22817871,0.18563321590909088,0.02645072419219574,264,0.11710107,0.14077145,0.17075175,0.186875,0.2022345,0.22640385,0.24978106000000005
-15.9007,0.18013748,0.03944926656597475,25,0.1238436,0.128309,0.157021,0.172945,0.208748,0.24365859999999998,0.26343584,0.18778314285714282,0.019834111846416636,112,0.13153288,0.1552875,0.1745255,0.1871775,0.201121,0.22033414999999998,0.22665536,0.18236887083333334,0.026978739005699713,264,0.11078133999999999,0.13647955,0.16622125000000001,0.183793,0.1998305,0.22439685,0.24301807000000006
-14.9007,0.17641828,0.03871996151160277,25,0.12308036,0.1255298,0.151264,0.169332,0.20133,0.2399086,0.2573412,0.18614045535714285,0.020090305288685478,112,0.12964101,0.15594254999999999,0.17355749999999998,0.18551299999999998,0.19969875,0.2179446,0.22411243,0.17993130378787892,0.027492709545788883,264,0.10569574,0.13761185,0.1641355,0.1820705,0.198161,0.2232536,0.24001251
-13.9007,0.17332475999999997,0.03783233711090729,25,0.12240472,0.1243468,0.146482,0.164341,0.193576,0.24220919999999996,0.25284591999999995,0.18493697321428573,0.02020391468554789,112,0.12652357,0.15780045,0.17270649999999999,0.184205,0.199091,0.2181128,0.22227388,0.1782206575757574,0.02802802003608825,264,0.10254143,0.13156320000000002,0.16183525,0.1793055,0.196216,0.2208058,0.2397719
