Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-47.802,0.15467076923076922,0.03722101457758259,26,0.10141375,0.1019245,0.13357549999999999,0.149255,0.17951525000000002,0.20380425,0.23659475000000002,0.20872258407079652,0.0302551859526729,113,0.14095491999999998,0.172058,0.189858,0.204141,0.225307,0.2658184,0.29748763999999994,0.2965578473282443,0.056151242360366505,262,0.20762456,0.2226717,0.256741,0.2924445,0.3273515,0.39409315,0.42763175
-46.802,0.15415934615384616,0.03683116034006239,26,0.10273950000000001,0.10306125,0.1315445,0.147255,0.1816855,0.21058749999999998,0.23628225,0.2083494778761062,0.029428182239350984,113,0.14981784,0.170614,0.190213,0.202661,0.225855,0.26357579999999997,0.2942325599999999,0.2986358167938932,0.05642020044170364,262,0.21026982,0.22537055,0.258868,0.293949,0.33009974999999997,0.3959561,0.42907796
-45.802,0.15468250000000003,0.03707235182099997,26,0.10393425,0.10466075,0.13061325000000001,0.1479705,0.18356675,0.21844175,0.23786600000000002,0.20899446902654864,0.029201592643721262,113,0.15490808,0.170432,0.189383,0.203178,0.224512,0.26275799999999994,0.2923438399999999,0.3016032824427479,0.05683792384181437,262,0.21259530000000001,0.22471695,0.26070525,0.29630199999999995,0.33450175,0.40318329999999997,0.43358866999999995
-44.802,0.15563326923076926,0.0376345175184247,26,0.10438475,0.105597,0.129913,0.148362,0.1850125,0.22673675,0.2388225,0.21012355752212392,0.029224455879371343,113,0.15777336,0.1700662,0.189443,0.203496,0.227503,0.26427359999999994,0.29180387999999996,0.30484461068702295,0.057146283459779595,262,0.21457363000000002,0.22621625,0.26340175,0.2981015,0.339774,0.40569344999999996,0.43945081999999985
-43.802,0.156646,0.03863650933715415,26,0.10448775,0.105931,0.127928,0.1489925,0.18579875,0.23072425000000002,0.24256075,0.21169561061946904,0.029352410450553177,113,0.16140704,0.1695946,0.190389,0.205921,0.230133,0.26661119999999994,0.2918923199999999,0.3087663587786259,0.05778688321100587,262,0.21549262,0.22707975,0.265341,0.3001465,0.3451925,0.41052285,0.44490470999999987
-42.802,0.15787765384615385,0.039934160664716424,26,0.10449875,0.106144,0.12727875,0.151421,0.1862875,0.22943575,0.24918074999999998,0.21356144247787615,0.02954255669578877,113,0.16489476,0.1693072,0.192071,0.208677,0.230642,0.26894939999999995,0.29305255999999996,0.3126099961832063,0.05866678663281217,262,0.21457361,0.2287339,0.26952825,0.3038345,0.34954975,0.4151887,0.45276640999999995
-41.802,0.15921803846153845,0.04138138355007553,26,0.10450124999999999,0.10613500000000001,0.12710725,0.15475,0.18640825,0.22803175,0.254238,0.21582048672566378,0.029751033241695705,113,0.1676804,0.1706646,0.19335,0.213758,0.233575,0.27080719999999997,0.29503019999999996,0.316274854961832,0.059447251385099806,262,0.21188469999999998,0.23157225,0.27541024999999997,0.30798899999999996,0.354322,0.42285659999999997,0.4628401099999999
-40.802,0.1604661153846154,0.04297174290747531,26,0.104263,0.105805,0.12513675,0.15726600000000002,0.18753325,0.23073125,0.25952075,0.2183488318584071,0.0300308639637453,113,0.16696636,0.1753196,0.194239,0.218247,0.237348,0.2726164,0.29782668,0.31959736641221387,0.059966257272593325,262,0.21540313,0.2330564,0.278494,0.310574,0.35794425,0.4299520499999999,0.47208515999999995
-39.802,0.16113007692307696,0.04442514702366044,26,0.10375525,0.10517225,0.12652425,0.157862,0.18895775,0.23591175,0.261941,0.22035224778761064,0.03034427221502407,113,0.16674192,0.17895419999999998,0.196608,0.221027,0.239641,0.2740732,0.3033082,0.32158001526717556,0.05995804241019382,262,0.21789395,0.23479105,0.28109874999999995,0.31471000000000005,0.3595625,0.4324579,0.47696655999999993
-38.802,0.16132480769230773,0.04561892073429115,26,0.103275,0.104338,0.12329925,0.158945,0.19129825,0.241382,0.26134425,0.22166059292035403,0.030669650957431252,113,0.16746252,0.18054979999999998,0.196526,0.220229,0.241438,0.2750292,0.30720291999999993,0.3220786679389313,0.059421717399494645,262,0.21636933,0.23654809999999998,0.28272949999999997,0.3148265,0.35879225,0.4361666999999999,0.47732585999999994
-37.802,0.16124976923076922,0.04631250297645999,26,0.10298099999999999,0.103613,0.11925899999999999,0.15692050000000002,0.19324575,0.24811774999999997,0.25972449999999997,0.22228505309734514,0.03097559575463074,113,0.16905608,0.180539,0.197909,0.221396,0.242397,0.27617879999999995,0.30885867999999994,0.3212070839694658,0.05828912944559636,262,0.21113564999999998,0.23574575,0.28329424999999997,0.315807,0.3560975,0.43267804999999987,0.46903083
-36.802,0.16088503846153845,0.04642021369315809,26,0.103003,0.10325524999999999,0.11944025,0.1568905,0.1939465,0.25071725,0.25653974999999996,0.22229325663716798,0.031245075596797983,113,0.1712798,0.180141,0.197345,0.222065,0.240744,0.27807699999999996,0.3079755599999999,0.3192579618320612,0.05669013883399559,262,0.20628605,0.23517030000000003,0.28224875,0.31426699999999996,0.353006,0.4251172,0.45879542
-35.802,0.16004426923076925,0.0457711091100556,26,0.103477,0.10364375,0.12296475,0.1569045,0.19351525,0.24198675,0.256106,0.2216226460176991,0.031444216625273864,113,0.17050072,0.17858279999999999,0.19694,0.221894,0.241807,0.27860199999999996,0.30476376,0.31648218702290076,0.05497851395190238,262,0.20298173,0.2340099,0.27981124999999996,0.311523,0.35043175,0.41706865,0.44728239999999997
-34.802,0.15880988461538464,0.044441767799516634,26,0.1043805,0.10498500000000001,0.1247615,0.156516,0.19189925000000002,0.23155025,0.252958,0.22030594690265493,0.03152523712294437,113,0.16796032,0.176502,0.195815,0.221173,0.241228,0.2766838,0.30044551999999997,0.3131603893129771,0.053409985136963045,262,0.20227035999999998,0.23140254999999998,0.2774725,0.3081575,0.34685374999999996,0.4093994,0.43619876999999996
-33.802,0.15728715384615388,0.04269015559933443,26,0.104304,0.105627,0.121813,0.155425,0.18932849999999998,0.22465449999999998,0.24994375,0.21844756637168147,0.031540618868451685,113,0.16783499999999998,0.1757864,0.194154,0.216775,0.241041,0.27625859999999997,0.29588343999999994,0.30963614503816783,0.052015322002105444,262,0.20276582,0.2295753,0.27362,0.305646,0.342693,0.40506595,0.42988155999999994
-32.802,0.15550057692307698,0.04079200131219166,26,0.10362825,0.1063605,0.1181395,0.15436,0.185869,0.2178295,0.2454845,0.21630192920353977,0.031481935597973375,113,0.1646492,0.1728434,0.192477,0.214955,0.235183,0.27314079999999996,0.29323304,0.30638826335877856,0.05087848847474184,262,0.20444001,0.22773395000000002,0.272203,0.3038995,0.33814475,0.39914310000000003,0.4248562699999999
-31.802,0.15362869230769233,0.03907778757071002,26,0.103047,0.106233,0.115231,0.1513025,0.182994,0.2140735,0.2401365,0.21422900884955762,0.031211269324526603,113,0.16086536,0.1711192,0.189686,0.214876,0.231031,0.2684187999999999,0.29331995999999994,0.3038112022900763,0.05010675600084554,262,0.20637423,0.2266289,0.2701485,0.301067,0.334361,0.39390780000000003,0.41922634999999997
-30.802,0.15205838461538462,0.03775924869705638,26,0.1023755,0.1055705,0.116074,0.1463755,0.1813825,0.211858,0.23449199999999998,0.21260737168141589,0.030641536729808298,113,0.15958568,0.1713458,0.189026,0.211557,0.230434,0.2633553999999999,0.29331455999999995,0.30228956488549624,0.049695151946774596,262,0.20265901,0.2268557,0.26984925,0.299708,0.3316805,0.3924265,0.41872316
-29.802,0.15112823076923076,0.03697697649436221,26,0.10169325,0.10409399999999999,0.12088025000000001,0.1473175,0.175916,0.2115675,0.229348,0.21175196460176987,0.030032884423913803,113,0.15969048,0.1704282,0.188099,0.210305,0.231254,0.26198759999999993,0.29294627999999995,0.30192054961832065,0.049426867077444814,262,0.20679133,0.2289845,0.26953925,0.299754,0.331174,0.39154855,0.41972682
-28.802,0.15060673076923078,0.03646053482718836,26,0.10131899999999999,0.10250875,0.12172475,0.1497525,0.1748265,0.2122035,0.22517775,0.21167121238938055,0.029691557619083327,113,0.16090575999999998,0.16862459999999999,0.188766,0.210007,0.230867,0.26067039999999997,0.29158491999999997,0.30249083969465673,0.049208922725358414,262,0.20696206,0.2282285,0.2699835,0.29851300000000003,0.33163675,0.39467915,0.42175897999999995
-27.802,0.15026296153846153,0.03592562879892935,26,0.10101125,0.10169575,0.12143675,0.1523545,0.17671725,0.2125645,0.22150350000000002,0.21224942477876108,0.02960761576038132,113,0.1583794,0.17140260000000002,0.188318,0.211926,0.23211,0.2602714,0.28983516,0.30388487022900773,0.04912281132650197,262,0.20579223,0.2282373,0.27300100000000005,0.29913999999999996,0.33414774999999997,0.39930835,0.42383411
