Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-47.802,0.21734065384615386,0.026938209564768494,26,0.16413650000000002,0.1841935,0.1937885,0.2182805,0.242663,0.25391725,0.25478675,0.26254484955752233,0.023398864796266305,113,0.19993528,0.22247019999999998,0.248344,0.262823,0.276629,0.30135599999999996,0.3156174,0.29719905725190826,0.03264008614704264,262,0.22779194,0.2469462,0.2750945,0.2970165,0.31628725,0.35625894999999996,0.3746970199999999
-46.802,0.21645215384615385,0.026685178068271996,26,0.1693135,0.17617750000000001,0.19498875,0.2196495,0.238199,0.25168675,0.25595650000000003,0.26329392920353967,0.020733905499945193,113,0.21567656,0.22746339999999998,0.250412,0.264943,0.274014,0.3014334,0.306287,0.29957211450381677,0.031766753460373096,262,0.23498138999999998,0.25311825,0.27894425,0.29673700000000003,0.31691674999999997,0.35860529999999996,0.37939512999999986
-45.802,0.2171256538461538,0.02707579445621835,26,0.1682745,0.17265125,0.20102975,0.2201335,0.23853049999999998,0.25356724999999997,0.256011,0.265613256637168,0.02012560109207866,113,0.21577088000000003,0.23388119999999998,0.253237,0.267681,0.277095,0.29835639999999997,0.30436004,0.3039387748091604,0.03238192024884773,262,0.23812023,0.25852620000000004,0.28300025,0.299532,0.3219205,0.36445164999999996,0.3896704199999999
-44.802,0.21869007692307685,0.027401918671396828,26,0.16566575,0.171313,0.2075315,0.222595,0.23841075,0.25379375000000004,0.25896525,0.2685344867256636,0.02045253162600583,113,0.21859204000000002,0.2371184,0.256403,0.268854,0.280147,0.3011332,0.31425116,0.3089011946564887,0.03330668102717914,262,0.24255516,0.26196755,0.28800825,0.3044205,0.32819775,0.37348734999999994,0.39498657000000004
-43.802,0.22110169230769225,0.02813689776044151,26,0.165064,0.17135875,0.2128795,0.224833,0.24150300000000002,0.25585925,0.26337675,0.27276918584070786,0.021791139883869527,113,0.22157688,0.24002120000000002,0.259048,0.272531,0.28571,0.306005,0.32607676,0.31529713740458015,0.03448890289699745,262,0.24864126,0.26601185,0.29216074999999997,0.30973150000000005,0.33697425000000003,0.38127975,0.40299828
-42.802,0.22362915384615384,0.028878391672241453,26,0.16500925,0.17096725000000002,0.2163,0.23095549999999998,0.24439499999999997,0.25863975,0.26550175,0.2771014955752211,0.024195774427471207,113,0.22266724,0.2375176,0.262822,0.275783,0.291025,0.3144306,0.33885131999999996,0.3219064007633588,0.03559099174755328,262,0.25084188,0.27164605000000003,0.29914775,0.31646549999999996,0.34474,0.3897387,0.40841021
-41.802,0.2265871923076923,0.029108394654489937,26,0.16644625000000002,0.1697345,0.2184835,0.231108,0.24791,0.2614265,0.26549875,0.28239489380530974,0.027365649918009445,113,0.2238104,0.237135,0.266813,0.281687,0.299077,0.3216645999999999,0.35027076,0.32927907251908417,0.03649492064377572,262,0.25064489,0.27423315000000004,0.3071,0.3236685,0.35538825,0.39250355,0.41703681
-40.802,0.22947180769230774,0.029048257759830262,26,0.165805,0.173705,0.2206,0.23203800000000002,0.25223300000000004,0.26389225000000005,0.26758950000000004,0.2882119115044247,0.03129207818441021,113,0.22005548,0.2383438,0.270566,0.286895,0.307508,0.335536,0.3674328399999999,0.3374800267175573,0.03814847244662331,262,0.2477823,0.2804026,0.3151115,0.3331315,0.3625305,0.40225644999999993,0.4327832099999999
-39.802,0.23111573076923075,0.029327419160311657,26,0.16297775,0.180562,0.22091225,0.2374095,0.252559,0.26384825,0.2734395,0.2931616548672567,0.035879892804419104,113,0.21244284000000002,0.2372956,0.273061,0.291587,0.314088,0.3491022,0.38639131999999987,0.3446842022900765,0.04066912713982492,262,0.23522742000000002,0.27816925000000003,0.318172,0.3430815,0.37208125,0.4056842,0.44622736999999985
-38.802,0.2312653461538461,0.03044303058887838,26,0.1588085,0.185868,0.21111649999999998,0.23550100000000002,0.2568545,0.26401325,0.27377175,0.2971716460176992,0.040823254115612384,113,0.20187408,0.2346508,0.276678,0.297569,0.3214,0.356545,0.4035815999999998,0.35054893511450413,0.04421614071503081,262,0.23893216,0.27905435,0.32273399999999997,0.3498955,0.37799699999999997,0.4254827999999999,0.4560203099999998
-37.802,0.23026619230769232,0.032652264031787115,26,0.15195150000000002,0.18298775,0.214308,0.232628,0.25936925,0.26666924999999997,0.26876125,0.300190610619469,0.045460130152584106,113,0.18801876,0.2269382,0.274025,0.303819,0.325331,0.3623192,0.4187914799999998,0.3547075916030537,0.04838000479035286,262,0.23501708,0.27722905,0.32632500000000003,0.352937,0.38559575,0.43678399999999995,0.4647415599999999
