Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-36.586,0.018331711053076922,0.04315174553817293,26,0.0,0.0,2.050045e-06,0.0005213735000000001,0.0041119550000000005,0.10616865,0.16136450000000002,0.00038802130518517856,0.0017376185206460302,112,0.0,0.0,0.0,0.0,6.1176075e-05,0.0014567759999999964,0.0042972264000000005,0.008217050477722223,0.03091980984626346,270,0.0,0.0,7.271527500000001e-05,0.0008656705,0.0043141225,0.02729634,0.14945552000000006
-35.586,0.016834097179999997,0.04128848695036431,26,0.0,0.0,2.63747e-06,0.0004535875,0.0027128399999999998,0.091088325,0.156506975,0.00029734026126080357,0.0011991749564101168,112,0.0,0.0,0.0,1.79625e-08,8.7072175e-05,0.0013310644999999987,0.0032466571000000005,0.007289483252805183,0.02569766749566193,270,0.0,0.0,9.021615e-05,0.00114392,0.0041316575,0.02489555499999999,0.1139502280000002
-34.586,0.014772894268923075,0.036620283955293924,26,0.0,0.0,1.87341e-06,0.00033469165000000003,0.001862315,0.07981774999999999,0.140699875,0.00024633525275125003,0.0008822247723944376,112,0.0,0.0,0.0,6.88457e-08,7.753395e-05,0.0011166949999999991,0.003226961200000001,0.006651943684345553,0.02126133431478045,270,0.0,0.0,0.00010950825,0.00113007,0.00474501,0.022703094999999982,0.07698896100000013
-33.586,0.012581886614500002,0.03087490081383119,26,0.0,0.0,1.91714375e-06,0.0002453698,0.001430815,0.06686734999999999,0.1189208,0.00020852880275349102,0.0006820010209202722,112,0.0,0.0,0.0,7.729105e-08,9.74768e-05,0.0009809088999999987,0.003025206700000001,0.006241842698639629,0.017784146740541226,270,0.0,0.0,0.000133877,0.0012569600000000001,0.0052771925,0.02007254499999998,0.06205348600000007
-32.586,0.010439192923296155,0.025472487598751748,26,0.0,0.0,1.33906675e-06,4.06368e-05,0.00109807875,0.054124475,0.09811734999999999,0.00016546099953857144,0.000503975087149624,112,0.0,0.0,0.0,2.2595115e-08,8.41115e-05,0.0007392464499999997,0.0026596115000000007,0.005989744297814478,0.01574951889584758,270,0.0,0.0,0.000178676,0.001422205,0.0056614974999999994,0.01969549999999999,0.057018540000000006
-31.586,0.008320178288753845,0.020198620282617402,26,0.0,0.0,4.811485e-07,3.25448e-05,0.000720508,0.0418897,0.0775848,0.00013864603222964284,0.0003902012305350643,112,0.0,0.0,0.0,0.0,7.1725075e-05,0.0006360841499999998,0.0021547653000000004,0.005875923039730738,0.01393526783754657,270,0.0,0.0,0.000235653,0.001627785,0.0066160774999999995,0.01980721,0.05506645200000002
-30.586,0.006307047088261537,0.014944350275459515,26,0.0,0.0,2.72317e-07,2.7816e-05,0.00051400025,0.03132695,0.05646372499999999,0.00011645315956630359,0.0003120120507693522,112,0.0,0.0,0.0,0.0,5.106195e-05,0.0005887717999999981,0.0015934932000000001,0.005850255898126799,0.012198117349090416,270,0.0,0.0,0.00029659425,0.00176272,0.006980695,0.019433949999999995,0.052124206000000006
-29.586,0.004609931612538463,0.010446996915438479,26,0.0,0.0,3.3864e-08,1.72796e-05,0.00041435425,0.02386695,0.037843825,9.82236258506161e-05,0.000262560612543567,112,0.0,0.0,0.0,0.0,3.2177825e-05,0.0005051590999999982,0.0012098593,0.005964768386780927,0.01094722813036699,270,0.0,0.0,0.0003546405,0.00195947,0.007087095,0.020711439999999987,0.05062594100000001
-28.586,0.0034689515763846154,0.00775037129953281,26,0.0,0.0,2.633625e-08,8.932865e-06,0.00041845375,0.018306125,0.027356775,8.121623141221429e-05,0.00022239846106539217,112,0.0,0.0,0.0,0.0,3.9097825e-05,0.0004703730999999987,0.00083583752,0.006210888196241293,0.010246858201507893,270,0.0,0.0,0.00035662775,0.002181915,0.007920637500000001,0.021895314999999995,0.05130732400000001
-27.586,0.0028276612495330773,0.006628725212578443,26,0.0,0.0,0.0,2.7389865e-06,0.0003957575,0.0150492,0.024319975,7.170597227097322e-05,0.00020833269943617462,112,0.0,0.0,0.0,0.0,2.2629775e-05,0.0004233547999999999,0.0010719884200000001,0.006547013516474537,0.010117083963374188,270,0.0,0.0,0.00037679425000000004,0.002347705,0.0083803425,0.024832719999999982,0.051673928
