Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-36.586,0.20290680769230762,0.03517809774847893,26,0.14413274999999998,0.1462955,0.173798,0.208708,0.22159199999999998,0.25693275,0.26473375,0.25398149999999997,0.030004951332546242,112,0.18869624999999998,0.20227815,0.23594375,0.251689,0.27546725,0.30459885,0.31711344,0.28549052788104123,0.04622964734373681,269,0.14776667999999998,0.2109808,0.259745,0.291201,0.313436,0.3531188,0.37988572000000004
-35.586,0.20924326923076925,0.034095088522023455,26,0.14836975000000002,0.15154099999999998,0.1822185,0.2150575,0.22629775,0.25865775,0.271142,0.26141171428571425,0.028102372584402673,112,0.20063273,0.21303955,0.2419985,0.2595465,0.28187675,0.30934324999999996,0.31684335,0.29614878438661724,0.04301849611788378,269,0.17832728,0.2240848,0.271879,0.298491,0.324988,0.3596032,0.38739699999999994
-34.586,0.2169304615384616,0.03296347629632624,26,0.15419549999999999,0.15910975,0.19355224999999998,0.22484949999999998,0.23269025000000002,0.259889,0.27706175,0.26956241071428577,0.02739283628899936,112,0.21067685,0.22458250000000002,0.251773,0.26737299999999997,0.288098,0.31684284999999995,0.32848362999999997,0.30695071003717456,0.04119126785122943,269,0.20926656000000002,0.2393614,0.282708,0.305708,0.337244,0.369071,0.39424247999999995
-33.586,0.2257016153846154,0.03215683821407437,26,0.160166,0.16693575,0.2048625,0.234599,0.243133,0.264417,0.28294975,0.27853617857142854,0.02757735906752124,112,0.22050345000000002,0.23555500000000001,0.26056975,0.27452750000000004,0.29900075,0.32666419999999996,0.33372958999999996,0.31810398884758373,0.04065399709575696,269,0.22902992,0.254974,0.291924,0.3175,0.347568,0.38051640000000003,0.40563752
-32.586,0.23627265384615384,0.032190892078278674,26,0.16659849999999998,0.17404524999999998,0.21544524999999998,0.24501,0.2568655,0.272705,0.29097125,0.28877841964285716,0.028009340165666294,112,0.23130509,0.24594025,0.2689665,0.28430500000000003,0.3096205,0.33619034999999997,0.34724335,0.330545059479554,0.0411350553776438,269,0.23399316,0.2704046,0.301232,0.327623,0.358526,0.3981074,0.42204684
-31.586,0.24796565384615385,0.032983485724759065,26,0.1739735,0.181217,0.22873075,0.255925,0.27109950000000005,0.28333825,0.3002545,0.29949787499999997,0.028322368962392465,112,0.23700359,0.25924644999999996,0.27872225,0.2953305,0.32071974999999997,0.34580535,0.3592114,0.3434369628252789,0.042114139110174746,269,0.24987656,0.287052,0.314874,0.341782,0.370299,0.41765959999999996,0.43236904
-30.586,0.2605642692307692,0.03459660929115186,26,0.18240475,0.189275,0.243784,0.2668485,0.28575625,0.3017155,0.31287525,0.3106454375000001,0.028472669872875504,112,0.24892291,0.2701824,0.28942175000000003,0.30963399999999996,0.330839,0.3588632499999999,0.36960756,0.35705784386617123,0.043396734830894755,269,0.2645476,0.2955336,0.325954,0.353304,0.383592,0.4313572,0.45478196
-29.586,0.2732339615384615,0.03681640578598706,26,0.19138100000000002,0.198861,0.25455625,0.27797700000000003,0.30136799999999997,0.3212865,0.3281475,0.3217544910714284,0.028561629207257987,112,0.26120903,0.28103615,0.3022095,0.3194845,0.34247825,0.36744825,0.3809707,0.3710692118959108,0.04448948849384243,269,0.28207744,0.3070148,0.34108,0.366739,0.400848,0.445451,0.47260416
-28.586,0.2851116153846154,0.039143130722083974,26,0.20116574999999998,0.209738,0.26830125,0.287022,0.32038875,0.3361335,0.341882,0.3324932857142856,0.02853640104944155,112,0.27423999,0.29067919999999997,0.31297725,0.3312845,0.3511625,0.38073789999999996,0.39475361,0.3849287434944238,0.044948588844803385,269,0.30022172,0.3205298,0.353219,0.381034,0.412703,0.4675664,0.49608327999999996
-27.586,0.295978423076923,0.04124495899881398,26,0.2133395,0.2193445,0.27955175,0.291535,0.33221775000000003,0.35039325,0.354084,0.3432239107142859,0.028222074047481095,112,0.28756465999999997,0.30319555,0.324905,0.34183949999999996,0.35925799999999997,0.38962549999999996,0.40762634,0.39862287732341994,0.044693376841580805,269,0.31181780000000003,0.3355972,0.366834,0.391944,0.426602,0.4814004,0.50123672
