Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-33.2704,0.022475451087999997,0.05113193522804143,25,8.8220912e-05,0.0001281628,0.000268955,0.000503163,0.000854594,0.13347599999999998,0.15163915999999997,0.002160631555128572,0.007429948147336182,112,9.355243600000001e-08,8.460965500000005e-06,6.817364999999999e-05,0.000267938,0.0013650350000000001,0.005916928999999999,0.026397908,0.024323911427509285,0.03525260812013245,269,0.00017599852,0.0007866902,0.00404381,0.0116188,0.0311252,0.08887969999999999,0.16587183999999974
-32.2704,0.022174973108000002,0.05028622126981482,25,8.0500052e-05,0.00011370020000000001,0.000387875,0.000605391,0.000870165,0.1307208,0.14902247999999996,0.002189321432321429,0.007338488560266832,112,7.7349261e-06,2.78492e-05,9.5974925e-05,0.0003066185,0.0012902175,0.006019512499999996,0.025987687,0.024303997661710017,0.034927133792239815,269,0.0002726254,0.0008718802,0.00414282,0.011363,0.0309182,0.08843806,0.1630194399999998
-31.2704,0.021858286279999993,0.049159865065884024,25,0.0001080794,0.00014264340000000002,0.000459886,0.000766638,0.00113857,0.1274624,0.14509923999999996,0.0022523455547321415,0.007243023697045853,112,1.8928112000000002e-05,4.7261845000000005e-05,0.0001497435,0.0003867395,0.0012344675000000001,0.006247183999999993,0.025054391999999998,0.024382218717472124,0.034532887356402975,269,0.00040495692,0.001013986,0.00427474,0.0115288,0.0307985,0.08789716,0.16013663999999983
-30.2704,0.021598758984,0.04843491831648211,25,8.716321600000001e-05,0.0001337118,0.000450131,0.000813247,0.00123088,0.1257482,0.14249567999999996,0.0022627051506249997,0.007186366844764159,112,1.9733638e-05,5.6325165000000005e-05,0.0001537005,0.0004033305,0.001342025,0.006403062999999997,0.024099502,0.024470719368029737,0.034228762970606855,269,0.00042530972,0.00106063,0.00436806,0.0117841,0.0307811,0.08756206,0.15741435999999986
-29.2704,0.021336360692000005,0.04782454179988498,25,6.871326e-05,0.00010856312000000002,0.000402238,0.000778,0.00118805,0.12464,0.13945523999999998,0.002268922011071429,0.007134181659034518,112,1.7007772e-05,5.0660295000000007e-05,0.0001676425,0.000406614,0.0014229675,0.006717848999999999,0.024304379,0.024516132204460965,0.03399598332974568,269,0.00038788856,0.001091926,0.00437479,0.0118307,0.0310529,0.08741532,0.15454851999999988
-28.2704,0.021172688428000002,0.04727541842756686,25,6.9539492e-05,0.00010293480000000002,0.000417427,0.000835633,0.00128612,0.1239952,0.13621619999999998,0.002322114012589287,0.007108434108829068,112,1.4582112000000002e-05,6.666136500000001e-05,0.00018552,0.000436205,0.001448095,0.007187664499999997,0.024437507,0.024616817070631982,0.033758118263475446,269,0.00044423224,0.001144412,0.00449137,0.012206,0.0315105,0.08687883999999998,0.1520584799999999
-27.2704,0.021091207319999996,0.046853933266053964,25,0.00012790796,0.00014964840000000003,0.00040924,0.000821491,0.0015097,0.1239812,0.13328891999999998,0.0024136170191071406,0.0071351580937037236,112,1.4015780000000003e-05,7.3278395e-05,0.0002341225,0.000531248,0.00148736,0.007747906999999995,0.025014553000000002,0.024782432185873594,0.03356343866188193,269,0.00048791472,0.001200504,0.00455808,0.0124446,0.0319711,0.08655429999999999,0.14911575999999993
-26.2704,0.02110821084,0.046559678106384506,25,0.00017376056,0.00022827720000000002,0.000429544,0.000848461,0.0018185,0.1247192,0.13021171999999998,0.002538889263660715,0.0071674867305495755,112,1.3104956e-05,8.468565000000001e-05,0.00029122075,0.0006674535,0.001561415,0.008466079499999994,0.025724595000000003,0.025000764122676582,0.03339696450298179,269,0.0005414511199999999,0.001238724,0.00489743,0.0126696,0.0322802,0.086559,0.14587631999999995
-25.2704,0.02123313236,0.046367006765563004,25,0.00022028055999999998,0.0003391046,0.000507941,0.00102407,0.00232805,0.1257678,0.12687972,0.0027219828117857133,0.0072399907414036156,112,1.1669439e-05,9.310397500000003e-05,0.00039001875,0.000837256,0.0017657674999999999,0.00939569699999999,0.026376752000000003,0.025316836553903335,0.03324838109955703,269,0.00060959768,0.0013219080000000001,0.00519614,0.0130134,0.0325404,0.08689217999999999,0.14184155999999998
-24.2704,0.021557450359999997,0.04627745778294029,25,0.00024777272,0.0004168934,0.000737936,0.00139248,0.00323527,0.1260702,0.12745996,0.0030138605141071433,0.00734000107379285,112,1.4878818e-05,0.00011825365000000003,0.0005496382500000001,0.00106707,0.0022769699999999997,0.010617782499999982,0.027099652000000002,0.025803836650557625,0.03311516973219894,269,0.00069378676,0.001444416,0.00567712,0.0134264,0.0330687,0.08743461999999998,0.1375318
-23.2704,0.022148716879999995,0.0462403383003614,25,0.00028817216,0.0005382554,0.00108545,0.00193492,0.00470426,0.12924039999999998,0.13012112,0.0034405380416964297,0.00746671379783784,112,3.8965198999999995e-05,0.00017260235,0.0007724105,0.001441805,0.0027144175,0.012194579999999974,0.027973558000000003,0.026499727527881038,0.03297508949862258,269,0.00085908728,0.00161726,0.00639211,0.0142999,0.033882,0.08910363999999997,0.13810516
-22.2704,0.023095917079999993,0.04627018397211652,25,0.00036998487999999997,0.0007564596,0.00171364,0.0028478,0.00661261,0.13229819999999998,0.13409252,0.004069398287232143,0.007646096762867286,112,6.9937585e-05,0.0002469001,0.00117426,0.002027595,0.0037088399999999997,0.013593174999999978,0.029103698000000004,0.027462096966542775,0.032867113535591956,269,0.0011223548000000002,0.0019275,0.00697171,0.0156976,0.0347156,0.09005018,0.14165775999999997
-21.2704,0.02457250884000001,0.046303583191879494,25,0.00050624956,0.001165672,0.00259313,0.00442141,0.00957748,0.1354058,0.13894948,0.00498361313482143,0.007869495836289006,112,0.00011637072000000001,0.00040939135,0.001603995,0.002866745,0.005184645,0.0148119,0.030363731,0.02877326185873607,0.03278187050950059,269,0.0014888668,0.0024354800000000003,0.00769267,0.0172275,0.0363007,0.09089395999999998,0.14468727999999997
-20.2704,0.026697311840000005,0.046139616948359746,25,0.00074951736,0.00184515,0.00399263,0.00680731,0.0140741,0.13831419999999997,0.14382087999999998,0.006258217999374998,0.00817899602339874,112,0.00019330854,0.0005471141500000001,0.00225484,0.004248785,0.0069752775,0.016524534999999986,0.031786322,0.03050223420074349,0.03265904546406709,269,0.0020526356,0.00321377,0.00933152,0.0197472,0.0392696,0.09104777999999995,0.14664259999999993
-19.2704,0.029504272560000006,0.04565151963294859,25,0.00118831784,0.002953574,0.00595746,0.0105564,0.0197151,0.14055739999999997,0.14785568,0.007856240190803575,0.008553383637766324,112,0.00027275313,0.0008002558500000001,0.0032608425,0.00578237,0.0095999225,0.01930170999999999,0.033335073,0.03258653814126395,0.03246746583350573,269,0.0028273204,0.004212902,0.0113845,0.0221758,0.0423238,0.09305403999999996,0.1457888
-18.2704,0.0328545636,0.04462940461958758,25,0.0018300760000000001,0.004559704,0.00878207,0.0153675,0.0263336,0.14121259999999997,0.15049432,0.009708714821428573,0.008991809594707923,112,0.00038300219,0.001146469,0.00440758,0.00761266,0.012587125,0.022316385,0.03595586,0.03495272323420074,0.03217614786139222,269,0.0036229056,0.005461720000000001,0.0140969,0.0252124,0.0456455,0.09624648,0.14262519999999995
-17.2704,0.03660719159999999,0.04306376513496882,25,0.0026767908,0.006719008,0.0121512,0.021156,0.033658,0.14010799999999995,0.15140984,0.011700960864285717,0.009489353666641751,112,0.00042933598,0.0015113944999999998,0.0055912025,0.009948455,0.015750874999999998,0.02645933499999998,0.039938725,0.03752046988847583,0.0317694503550142,269,0.0044468392,0.007015082,0.0165259,0.0275599,0.0473975,0.09769053999999999,0.13963683999999993
-16.2704,0.04052280400000001,0.04092596126158635,25,0.0036978688000000003,0.009358068,0.0159742,0.0277681,0.041079,0.13685699999999995,0.15011191999999998,0.013665696125,0.009989207039089574,112,0.00045745704000000004,0.0020821485,0.006690695,0.0117908,0.018609825,0.030918549999999937,0.043748889,0.040182728884758365,0.031241278858703737,269,0.0054525924,0.008824732,0.0192268,0.0314735,0.0501622,0.09687794,0.13711639999999986
-15.2704,0.0442876344,0.03828968536906187,25,0.0048334776,0.01215108,0.0199465,0.0346156,0.0481647,0.13099459999999996,0.14653071999999995,0.015430028016964293,0.010455050285148267,112,0.00050936936,0.002463274,0.007876827500000001,0.01366915,0.02129205,0.03350795999999992,0.046695112000000004,0.042844724535316014,0.030638079498471735,269,0.006645822799999999,0.010886380000000001,0.0219011,0.0342871,0.0551564,0.09772073999999999,0.1379679599999999
