Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-33.2704,0.29529356,0.051689260496483536,25,0.18213596,0.1989882,0.268012,0.310641,0.336362,0.35936579999999996,0.36764324,0.3562923274336284,0.03864291036493223,113,0.28661023999999996,0.299475,0.326222,0.349373,0.387542,0.41860119999999995,0.4362973599999999,0.3989689887218045,0.050301861818236954,266,0.2965018,0.32465225,0.36328574999999996,0.394154,0.43043725,0.48647175,0.5298235500000001
-32.2704,0.30888104,0.05188802236023905,25,0.19252344,0.2090816,0.285387,0.318904,0.351397,0.37006439999999996,0.37651392,0.3717717787610619,0.03754155972022743,113,0.29651012,0.3163064,0.342564,0.365513,0.403332,0.4277068,0.43911452,0.41621498872180446,0.05055545265148061,266,0.3150807,0.34015300000000004,0.378255,0.4111585,0.44715225,0.50701675,0.5462220500000002
-31.2704,0.32093044,0.05205838440321917,25,0.20175996,0.2178284,0.302871,0.330826,0.355121,0.3800236,0.38459815999999997,0.3847761769911504,0.03622150887895747,113,0.31295248000000003,0.3304882,0.358738,0.381974,0.412875,0.4403334,0.45024991999999997,0.4303206578947367,0.05041943790125737,266,0.3310167,0.3508085,0.39182425,0.4251965,0.460756,0.51569425,0.5556893500000001
-30.2704,0.3323563199999999,0.05204439747683383,25,0.21131696,0.22506299999999999,0.320885,0.34304,0.365721,0.3897602,0.39128184,0.39671656637168135,0.03405483536305719,113,0.3287376,0.34390719999999997,0.372106,0.395833,0.419731,0.4490268,0.4666661999999999,0.4430538872180448,0.04936654511713704,266,0.34404450000000003,0.3683415,0.40446875000000004,0.4391595,0.47500825,0.53008825,0.55930935
-29.2704,0.34357792,0.052395855651886564,25,0.21998556,0.229574,0.337158,0.359309,0.378024,0.39477779999999996,0.40551156,0.40804855752212404,0.03222225430144128,113,0.34388404,0.35794380000000003,0.382963,0.408155,0.427902,0.460634,0.49001887999999993,0.4551169661654135,0.04857843678744776,266,0.35272875,0.38652575,0.41597275,0.4488775,0.4882495,0.54089925,0.5710225000000001
-28.2704,0.35346015999999997,0.05318604352308978,25,0.22793439999999998,0.23329039999999998,0.348663,0.373099,0.382316,0.4004608,0.41931147999999996,0.41760203539823015,0.03096595525213629,113,0.35360212,0.3762154,0.393018,0.416332,0.434099,0.46939639999999994,0.49540376,0.4654437368421056,0.04817058671788814,266,0.363229,0.399569,0.427502,0.4618295,0.4976395,0.5541127499999999,0.5854185500000002
-27.2704,0.36182156000000004,0.05485053158210958,25,0.2338808,0.2345818,0.356494,0.38284,0.388457,0.406495,0.4327887999999999,0.4252864778761062,0.030540196708336395,113,0.3676016,0.3817836,0.402804,0.424084,0.444935,0.4799957999999999,0.5060296799999999,0.47375716165413534,0.04825788536211286,266,0.3782295,0.40612875,0.438061,0.467765,0.50626825,0.56077,0.5988982500000002
-26.2704,0.36895808,0.057118003404443334,25,0.23174103999999998,0.2402858,0.36056,0.38672,0.399583,0.4172322,0.4463193199999999,0.4314361769911503,0.030633377949151108,113,0.37452832,0.38613980000000003,0.410205,0.425258,0.448988,0.48796579999999995,0.51347512,0.48038368421052646,0.048615872066620526,266,0.39108925,0.41014249999999997,0.4449285,0.475002,0.51200625,0.56495575,0.6032473500000003
-25.2704,0.37466208,0.05958682631177801,25,0.22964816000000002,0.2450406,0.371063,0.394401,0.406177,0.42716339999999997,0.45672183999999993,0.43565505309734515,0.030993196082781248,113,0.38023819999999997,0.3910876,0.411981,0.431418,0.455704,0.491911,0.51515184,0.4848225639097748,0.048938843794371176,266,0.39319495,0.41567899999999997,0.4483855,0.4780995,0.51957925,0.569963,0.6044642500000006
-24.2704,0.37880172,0.06195853534321697,25,0.2274078,0.24849,0.370281,0.400285,0.409328,0.4400128,0.46442835999999993,0.43774767256637176,0.0317098924856949,113,0.38449136,0.3899074,0.414957,0.433927,0.456874,0.49872399999999995,0.5123053999999999,0.4869982030075185,0.04908749062985386,266,0.39395769999999997,0.417447,0.44864775,0.482928,0.52127525,0.573584,0.6049851000000008
