Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-31.565,0.3011265384615385,0.16549311325810045,26,0.12649475,0.143645,0.17904474999999997,0.241092,0.37325875000000003,0.5889245000000001,0.74253425,0.2693900810810811,0.07961045027017896,111,0.1370527,0.166508,0.2139695,0.253061,0.318465,0.431395,0.4831738,0.275572526119403,0.07391963943437448,268,0.15898483,0.17836665,0.221852,0.266648,0.309363,0.40400154999999993,0.5111361099999999
-30.565,0.29025500000000004,0.15309726405001498,26,0.120232,0.14295825,0.1780975,0.232354,0.346509,0.5794055,0.68921175,0.26431025225225224,0.07167758253564341,111,0.13574209999999998,0.16501700000000002,0.2173905,0.250856,0.3095475,0.41007499999999997,0.45232350000000004,0.2727990559701493,0.06747668438663339,268,0.15409889,0.18003395,0.22696475,0.2616505,0.3092305,0.37467434999999993,0.47709194
-29.565,0.28420230769230775,0.1453143731357003,26,0.11972825,0.14776075,0.17584025,0.22836499999999998,0.336767,0.57241,0.6495455,0.2591043423423424,0.06359080438232266,111,0.1386364,0.1674255,0.21740199999999998,0.247492,0.298237,0.3789765,0.4239627,0.2710209141791045,0.06238663133530403,268,0.1591895,0.18294515,0.228775,0.2632185,0.30640875,0.3708141499999998,0.4554734199999997
-28.565,0.28197099999999997,0.14266685091386858,26,0.12097150000000001,0.1490025,0.17205875,0.23053,0.33620075,0.5856005,0.62328475,0.2540820720720721,0.05654316396213872,111,0.13819140000000002,0.164724,0.214887,0.249948,0.28591900000000003,0.356861,0.39013220000000004,0.269813395522388,0.058607495866596186,268,0.16066604999999998,0.18660655,0.22981825,0.2643035,0.30624925000000003,0.37420149999999996,0.43773546999999974
-27.565,0.27889673076923077,0.14213181758510166,26,0.117546,0.14149975,0.16677,0.241314,0.3365495,0.57926325,0.61370825,0.24757646846846848,0.04945309411789203,111,0.1389892,0.16603,0.21652,0.246643,0.268668,0.33411650000000004,0.36767250000000007,0.26801682835820884,0.0554384471254903,268,0.16010961,0.1897076,0.229014,0.261741,0.30190525,0.35831754999999993,0.4273284699999999
-26.565,0.2782846538461538,0.1449335983857276,26,0.11960725,0.14277375,0.16375075,0.24420799999999998,0.32495074999999995,0.59060725,0.6385925,0.2409656576576576,0.04341298285044055,111,0.1385189,0.17312149999999998,0.21705649999999999,0.240689,0.2648125,0.324437,0.34251860000000006,0.26704187686567155,0.05256651091644376,268,0.14366398,0.19340635,0.23101925,0.26116150000000005,0.298417,0.3595466999999999,0.4173353399999997
-25.565,0.2834759230769231,0.1523465606017866,26,0.12595275,0.14216375,0.16683,0.25338099999999997,0.3083315,0.6139665000000001,0.673999,0.2394103783783784,0.03992442205081862,111,0.1371382,0.1793995,0.2185805,0.235703,0.262139,0.309699,0.3384505000000001,0.27019079477611935,0.04891950868793131,268,0.14393183,0.2011363,0.2369075,0.26573199999999997,0.29515125000000003,0.34972089999999995,0.4191900999999999
-24.565,0.292442076923077,0.15906530295999138,26,0.132785,0.14314274999999999,0.189266,0.246416,0.2990255,0.6516722500000001,0.69803525,0.2454342342342343,0.03895892701246811,111,0.1529811,0.1898805,0.2230475,0.240324,0.26992700000000003,0.3163625,0.33596410000000004,0.2791118768656717,0.044537930516753005,268,0.16526300000000002,0.2154818,0.25133725,0.27450949999999996,0.3017955,0.35112279999999996,0.41245621999999993
-23.565,0.3006935384615384,0.16013758951282633,26,0.14330925,0.15614025,0.207322,0.2398155,0.30680425,0.6544365,0.712422,0.25794518018018026,0.04014355805791333,111,0.1693116,0.1932245,0.23089500000000002,0.254327,0.283859,0.3274055,0.3540012,0.2939237985074627,0.04087318723910388,268,0.19533639,0.22914965,0.27076825000000004,0.29456099999999996,0.31312475,0.3613093,0.39598617999999985
-22.565,0.30932061538461536,0.1569869149411063,26,0.1553635,0.16814325,0.20557999999999998,0.2623335,0.3280425,0.63201675,0.71660675,0.27371764864864867,0.04229215780230929,111,0.1989918,0.20744400000000002,0.24262450000000002,0.268471,0.3016745,0.3494375,0.37707160000000006,0.3113268395522388,0.04040535575840069,268,0.2163302,0.24298155,0.287989,0.31276349999999997,0.3365745,0.37691254999999996,0.40634791
-21.565,0.317485576923077,0.1505391268953485,26,0.17053925,0.17893525,0.20604125,0.2677475,0.3505705,0.59751175,0.7038185,0.2880336756756757,0.04482717791538403,111,0.21269570000000002,0.22493449999999998,0.25279450000000003,0.285866,0.316386,0.36768,0.4007701,0.3247875373134329,0.042377490579493755,268,0.22315607,0.25780040000000004,0.29976125000000003,0.323536,0.35352375,0.3943195,0.4217556699999995
-20.565,0.32240719230769227,0.1432473735147753,26,0.18681874999999998,0.18703125,0.223945,0.270973,0.35861,0.56530375,0.68759225,0.29580460360360367,0.045820777809413314,111,0.21985069999999998,0.22937400000000002,0.2607435,0.29398,0.325027,0.373055,0.4182129,0.32891875746268656,0.042959974169118946,268,0.23298034,0.2603244,0.3027495,0.32768699999999995,0.35524625,0.40127665,0.43152980999999957
-19.565,0.321018923076923,0.13500116930928358,26,0.17926124999999998,0.19076575,0.2123065,0.27690400000000004,0.3581505,0.53719775,0.6719867500000001,0.2939410540540541,0.04369178560029913,111,0.2178372,0.22827999999999998,0.264936,0.287671,0.3189345,0.367378,0.41217990000000015,0.32108944776119386,0.04123028000316736,268,0.23780173,0.25319005,0.29500750000000003,0.320202,0.34442849999999997,0.39688294999999996,0.4261112999999999
-18.565,0.31460861538461543,0.12743922253500353,26,0.172615,0.1856835,0.21066800000000002,0.2877375,0.37195525,0.5093187499999999,0.658253,0.28343036036036034,0.03993753396055867,111,0.2110004,0.22721049999999998,0.25873250000000003,0.280281,0.304714,0.3598425,0.3897287000000001,0.3026149962686566,0.03910015732982688,268,0.22545897999999998,0.2472579,0.27494399999999997,0.2991925,0.32539850000000003,0.37557725,0.39679809
-17.565,0.30691234615384616,0.1225033927285093,26,0.16832,0.1726025,0.211483,0.28774350000000004,0.3716315,0.49850475000000005,0.64449275,0.26811216216216216,0.03788704367711535,111,0.204369,0.2117685,0.241668,0.266238,0.28428050000000005,0.34691649999999996,0.3622391,0.277635485074627,0.03862076378286765,268,0.20014508,0.22442895,0.2498705,0.272158,0.30377275,0.34516525,0.36856096
-16.565,0.2976389615384616,0.11679618507484935,26,0.16034625,0.1648795,0.21353324999999998,0.29039349999999997,0.34980350000000004,0.48235625,0.62434775,0.25091713513513514,0.037557790411695484,111,0.1947103,0.200235,0.22260649999999998,0.247049,0.2687145,0.324195,0.34663700000000003,0.2512532500000001,0.039782095655583556,268,0.17136145,0.1895121,0.22372024999999998,0.24789899999999998,0.27562075,0.3191071,0.34430528
-15.565,0.28755334615384615,0.11192904556510516,26,0.14883225,0.16052325,0.22314825,0.279464,0.335955,0.46334425,0.60911875,0.23368509009009,0.03779923604291723,111,0.1722728,0.1841025,0.205795,0.227139,0.25294649999999996,0.296845,0.3521125000000002,0.2264936119402985,0.03995499795709502,268,0.14459535,0.16373845,0.19759075,0.2252475,0.2529985,0.29082945,0.32052953
-14.565,0.2777995769230769,0.10800199729641043,26,0.1474185,0.160119,0.22937749999999998,0.2546965,0.31408375,0.441363,0.6012069999999999,0.21698362162162163,0.03808739000677594,111,0.1545156,0.1643865,0.190035,0.213697,0.24161300000000002,0.27425350000000004,0.3442724000000003,0.20338685447761198,0.038279632288950295,268,0.12477778,0.14146915,0.175255,0.2032395,0.22779375,0.26690284999999997,0.2924504399999999
-13.565,0.2673641538461538,0.10662568826720598,26,0.14556724999999998,0.16037,0.21960975,0.2388725,0.2872495,0.42557725,0.608983,0.19943732432432423,0.03833218229780349,111,0.1367578,0.1445745,0.1719985,0.195721,0.2221775,0.255019,0.3306041000000003,0.17999481343283583,0.0352342616677068,268,0.10989528,0.12368055,0.156895,0.180558,0.203403,0.23940024999999993,0.2605449399999999
-12.565,0.25079480769230766,0.10357893383348536,26,0.13817474999999999,0.15145375,0.20314125,0.2220165,0.272955,0.39337924999999996,0.5955575,0.17919823423423425,0.0375800957768761,111,0.1223485,0.12541,0.151009,0.176333,0.19944299999999998,0.2426975,0.3068830000000003,0.15485052611940298,0.03139868413827911,268,0.09105329,0.10563305,0.13338224999999998,0.15505,0.17514,0.21033655,0.22427389999999994
-11.565,0.22841288461538461,0.09834798312739391,26,0.12710100000000002,0.136783,0.18787975,0.203922,0.23086974999999998,0.3589795,0.5612025,0.15652748108108105,0.035304159899709774,111,0.10580060000000001,0.1109935,0.130522,0.153235,0.17358099999999999,0.219354,0.2703677000000002,0.1285935753731343,0.026968226576348116,268,0.076989035,0.086937855,0.10919475000000001,0.128003,0.1457975,0.17599245,0.18814255
-10.565,0.2036310384615385,0.09157708709780225,26,0.113979,0.1147555,0.16607375,0.18256499999999998,0.19872649999999997,0.32327275,0.515269,0.13445036036036034,0.03166577736081043,111,0.08644743,0.09342415,0.111509,0.131469,0.150554,0.1975825,0.22464580000000006,0.10412469999999999,0.02269813160345231,268,0.062879184,0.07094033500000001,0.08768477499999999,0.102268,0.11947525,0.1429482,0.1564841199999999
-9.565,0.18134501153846155,0.08075813590064757,26,0.097736225,0.10900275,0.14672125,0.163635,0.1814645,0.28805225,0.45460675000000006,0.1160598765765766,0.027798056909559034,111,0.06934898,0.08110824999999999,0.09769515000000001,0.110306,0.13116250000000002,0.1721965,0.19130070000000005,0.08538296119402983,0.019086700322473543,268,0.051489810999999996,0.057501,0.071670175,0.08280105,0.098720325,0.11799905,0.13619136999999987
-8.565,0.16213232307692305,0.06607105580553292,26,0.0911988,0.1051935,0.12773825,0.146115,0.1671475,0.26307775,0.37761675,0.10248552882882882,0.024982961513812088,111,0.0599635,0.06945499999999999,0.08430365000000001,0.0968529,0.1136955,0.14752300000000002,0.1712094,0.07288328208955218,0.016144959594391894,268,0.046085695,0.050546595,0.06087055,0.06950785000000001,0.08425780000000001,0.10161915,0.11902215999999999
-7.565,0.14599076538461536,0.04994129493346317,26,0.090231175,0.10122600000000001,0.11768574999999999,0.133143,0.154331,0.23999825,0.294779,0.09247412612612613,0.0228403214811785,111,0.05337108,0.06083815,0.07584415,0.0900706,0.102915,0.1309565,0.15683940000000002,0.06493313768656715,0.014028630332516504,268,0.042355675999999995,0.04618954,0.054338424999999996,0.0619343,0.0742961,0.09033903,0.10226014
