Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-37.2159,0.0007446780000000002,9.190749515768559e-05,26,0.0006339494999999999,0.0006403955,0.000677523,0.000714641,0.000812645,0.00089896375,0.0009541599999999999,0.0005923053027522937,4.950574135699455e-05,109,0.00052305776,0.0005277658,0.000553587,0.000582247,0.000623763,0.0006772071999999999,0.00072532596,0.0005033786934865901,4.198260377069563e-05,261,0.0004231864,0.000439503,0.000473154,0.000501098,0.000524244,0.000579026,0.0006190134
-36.2159,0.0007442908076923077,9.248465001588933e-05,26,0.0006319790000000001,0.00063812525,0.000678305,0.0007119835,0.00081213725,0.00090098325,0.00095829125,0.000591670266055046,4.970023100152036e-05,109,0.00051896464,0.0005253876,0.000553296,0.000580993,0.000625098,0.0006771584,0.0007240372400000001,0.0005022295172413793,4.195593728329632e-05,261,0.00042146379999999996,0.000439191,0.000471486,0.000499749,0.000524462,0.000579795,0.0006184585999999999
-35.2159,0.0007440826538461538,9.29542204928608e-05,26,0.0006294795,0.0006381267500000001,0.0006806025,0.0007111225,0.0008127307499999999,0.00090127325,0.000960848,0.0005909245504587159,4.9641251980900184e-05,109,0.0005151415200000001,0.000525914,0.000551134,0.000580738,0.000625824,0.0006778134,0.0007214675999999999,0.0005010442835249043,4.16502262785902e-05,261,0.0004215788,0.000441706,0.000471423,0.000498357,0.000522931,0.000577504,0.0006192795999999999
-34.2159,0.0007444022307692307,9.320446689351652e-05,26,0.000628866,0.0006392735,0.0006832252500000001,0.000711901,0.0008147569999999999,0.0009005805000000001,0.0009622705,0.000590239128440367,4.962412555010898e-05,109,0.0005133442399999999,0.0005265504,0.000550341,0.000579911,0.000624366,0.0006784121999999999,0.00071943548,0.0004999803026819923,4.1231352949176544e-05,261,0.0004245802,0.000440625,0.000470674,0.000497561,0.000521123,0.000575903,0.0006181661999999998
-33.2159,0.0007448353076923077,9.311753530834855e-05,26,0.0006290895000000001,0.00064166625,0.0006850292500000001,0.00071283,0.00081762375,0.0008987485000000001,0.000962389,0.0005897144036697248,4.9587758031729154e-05,109,0.0005129897599999999,0.0005277184,0.000549527,0.000581074,0.0006225,0.0006788546,0.0007182878,0.0004992960574712643,4.0689894159272994e-05,261,0.000426505,0.000441417,0.000470921,0.000497514,0.000520419,0.000574711,0.0006156467999999998
-32.2159,0.0007455666153846155,9.289326108263264e-05,26,0.000630139,0.0006448757500000001,0.0006846962499999999,0.0007139495,0.00082044025,0.0008970285,0.0009619584999999999,0.0005895964403669724,4.951292609014323e-05,109,0.00051535024,0.0005291936000000001,0.000548713,0.000580403,0.000623864,0.0006795346,0.0007183232000000001,0.0004992214214559386,4.0062941474233335e-05,261,0.00042855000000000004,0.000438907,0.00047174,0.000497294,0.000521801,0.000574198,0.0006123561999999996
-31.2159,0.0007465436153846153,9.254896809930489e-05,26,0.00063183025,0.000648134,0.00068281625,0.0007154259999999999,0.0008227145,0.00089567875,0.00096110675,0.0005898324128440365,4.942064950077024e-05,109,0.00051781476,0.0005300098000000001,0.00054861,0.000579523,0.000625688,0.0006803207999999999,0.00071913404,0.0004997053295019157,3.936529936395871e-05,261,0.00043103280000000003,0.000437888,0.000472911,0.000496842,0.000521852,0.000573489,0.0006099623999999996
-30.2159,0.0007476408076923079,9.215326342567331e-05,26,0.0006342325,0.000650602,0.00068119675,0.0007175565,0.0008244085,0.000894352,0.00095994275,0.0005903662110091743,4.929038482677661e-05,109,0.0005212333200000001,0.0005302118,0.000548934,0.000579507,0.000626016,0.0006810728,0.00072047348,0.0005007199578544061,3.859895605416413e-05,261,0.00043445,0.000441927,0.000475156,0.000497703,0.000523911,0.000573505,0.0006085203999999996
-29.2159,0.0007488114615384617,9.181516550733034e-05,26,0.00063706725,0.0006526977500000001,0.0006801725,0.0007202924999999999,0.00082538675,0.0008935964999999999,0.0009589757500000001,0.0005913024495412844,4.9156952626159456e-05,109,0.00052420696,0.0005306326,0.000550364,0.000581087,0.000624734,0.0006822506,0.0007228108,0.0005023036245210728,3.788594786020492e-05,261,0.0004382854,0.000443166,0.000478207,0.000499666,0.000524168,0.000574022,0.0006075235999999994
-28.2159,0.0007495912692307692,9.15751257901654e-05,26,0.00063953675,0.00065364875,0.0006792815000000001,0.00072253,0.00082497625,0.00089290825,0.0009581705000000001,0.0005923317798165137,4.897412954803901e-05,109,0.00052271428,0.0005324409999999999,0.000551561,0.00058281,0.000623999,0.0006838978,0.0007249558800000001,0.0005040832835249043,3.723919136169784e-05,261,0.0004389078,0.000445718,0.000482088,0.000500745,0.0005255,0.000574664,0.0006078959999999996
