Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-37.2159,0.21583219999999997,0.043257090177988934,25,0.11590687999999999,0.12302900000000001,0.199057,0.230687,0.241204,0.25870279999999996,0.28724379999999994,0.323259509090909,0.042231508475154805,110,0.24640092,0.25600435,0.29568700000000003,0.32049799999999995,0.3573915,0.3987088,0.40340919,0.4388896900369,0.0575924418717249,271,0.327396,0.355788,0.3950365,0.433015,0.473975,0.5392885000000001,0.5805961000000001
-36.2159,0.21488712,0.04339151641672982,25,0.11501532,0.12219920000000001,0.197578,0.227782,0.241206,0.25937259999999995,0.2881130799999999,0.32189546363636357,0.04175381081342899,110,0.24409316,0.25364425,0.293913,0.3196685,0.3545285,0.3956716,0.40091511,0.43771444649446484,0.057111093033275585,271,0.3308665,0.356139,0.3940685,0.431367,0.4741875,0.5384035,0.5774659000000001
-35.2159,0.21503256,0.04379712271474007,25,0.11476736,0.12199600000000001,0.196107,0.227327,0.242094,0.2616418,0.28949247999999994,0.32252378181818164,0.04167294266098033,110,0.24472752,0.2525355,0.293466,0.3201345,0.3538295,0.3945983,0.40395588,0.43875188191881914,0.056730669765853295,271,0.3349235,0.3576975,0.395351,0.431894,0.4743925,0.5409645,0.5745582
-34.2159,0.21590271999999996,0.04422085349085881,25,0.11534808,0.12256560000000001,0.195593,0.227983,0.242616,0.26423479999999994,0.2905631999999999,0.32450547272727265,0.04190784478241024,110,0.24735415000000002,0.25423455,0.29508049999999997,0.322481,0.3554745,0.39590805,0.40614931,0.4413930442804432,0.05664861808211077,271,0.3389491,0.35980500000000004,0.399098,0.435242,0.47697900000000004,0.5434555,0.5738275
-33.2159,0.21721856000000003,0.04459640201208314,25,0.11659032,0.1238002,0.196538,0.229077,0.243349,0.26675679999999996,0.29166055999999996,0.3272197272727275,0.04219714827485907,110,0.24857889,0.25880905,0.2974005,0.325213,0.358095,0.39904459999999997,0.4090566,0.44471613653136516,0.05659283657515349,271,0.34336710000000004,0.363526,0.402061,0.437627,0.4806495,0.546556,0.5743226
-32.2159,0.21878936000000004,0.04501044210039858,25,0.11807112,0.1252646,0.198539,0.229884,0.246322,0.26929519999999996,0.29300419999999994,0.33029036363636355,0.042470588652074405,110,0.24893072000000002,0.26383415,0.29997975,0.3288745,0.36152325,0.4013024,0.41190885999999993,0.44829133948339506,0.05650617753815253,271,0.3466721,0.365637,0.404598,0.441613,0.48344149999999997,0.5511055,0.5770477
-31.2159,0.22058664000000003,0.04550525536396868,25,0.11959784,0.1268052,0.200757,0.231164,0.249307,0.2718466,0.29454011999999996,0.3336185636363636,0.04283052684506915,110,0.24989387,0.2684067,0.3014175,0.3309335,0.364987,0.40374785,0.41457519,0.4520101217712179,0.05639722073573082,271,0.3504803,0.3696935,0.408115,0.446739,0.4858085,0.5540655,0.5806416000000001
-30.2159,0.2228059199999999,0.046099482836867774,25,0.12112772000000001,0.1283814,0.203263,0.23265,0.252243,0.27476219999999996,0.2965095199999999,0.3372763999999999,0.043286073015304107,110,0.25192276999999996,0.27317995,0.304223,0.334666,0.3705995,0.40761755,0.41744183,0.45596317343173415,0.05627279990232926,271,0.35391059999999996,0.37412049999999997,0.41242049999999997,0.448451,0.489579,0.5574765,0.5843757000000002
-29.2159,0.22503096000000006,0.046632186832594506,25,0.12248364,0.129789,0.2058,0.234568,0.254302,0.277091,0.29852951999999994,0.3405063090909091,0.04370861102294332,110,0.25340361,0.27568815,0.30683325,0.3390225,0.37487375,0.4116496,0.41954352,0.4593425535055352,0.056135695145185814,271,0.35654569999999997,0.3762415,0.4158885,0.450374,0.4946515,0.561402,0.5875572000000001
-28.2159,0.22724975999999994,0.04708890708567501,25,0.12377096,0.1310292,0.208151,0.2377,0.257123,0.2787116,0.3007526,0.34314380909090886,0.044056893920445046,110,0.25391996,0.278728,0.310996,0.34211199999999997,0.37727750000000004,0.41501495,0.42082986,0.46198775276752735,0.05596040549175473,271,0.35804430000000004,0.3777575,0.419156,0.453525,0.4962225,0.564098,0.5910694000000002
-27.2159,0.22943616,0.0475119223026179,25,0.12509556,0.1321184,0.210327,0.240662,0.262203,0.2799156,0.30315987999999994,0.3453319272727271,0.04441105799704259,110,0.25422404,0.2814537,0.3137075,0.344828,0.3807195,0.4171761,0.42180429,0.46418840590405913,0.05582211718496898,271,0.3589301,0.37984850000000003,0.422209,0.456811,0.4997435,0.565604,0.5951665000000002
-26.2159,0.23140703999999995,0.04786033412047322,25,0.12643516,0.1330956,0.212456,0.243575,0.266611,0.2822118,0.30596263999999995,0.34698746363636357,0.04476980068167209,110,0.2540385,0.28226665,0.31435825,0.346881,0.38203975,0.41771545,0.42524229999999996,0.46592694095940934,0.05573609396136919,271,0.3601047,0.382881,0.4244165,0.460534,0.5027065,0.5655485,0.5980086000000002
-25.2159,0.23290876000000002,0.048091165774218174,25,0.12759484000000001,0.1338362,0.2137,0.244981,0.269428,0.28400939999999997,0.30816559999999993,0.3479569636363637,0.04506246243590841,110,0.25350331,0.27973225,0.31467275,0.34819500000000003,0.38291175,0.41812625,0.42759827,0.46709662361623605,0.05573110051599984,271,0.3610624,0.384747,0.425757,0.462482,0.504131,0.5655764999999999,0.5994053
-24.2159,0.23348915999999992,0.04815445169251402,25,0.12818659999999998,0.1340024,0.213121,0.244385,0.269438,0.2847388,0.30924067999999993,0.3478566454545455,0.04523811566793063,110,0.25246548999999996,0.27571215,0.31392925,0.3495195,0.38163,0.4194958,0.42753049,0.4673143394833947,0.055802365250706115,271,0.3605699,0.38562050000000003,0.4249945,0.462387,0.504218,0.565517,0.5989146000000001
-23.2159,0.2329056,0.04807829553360504,25,0.12780016,0.1332102,0.210962,0.243447,0.266287,0.2840488,0.30886739999999996,0.3465046999999998,0.0452952524714286,110,0.25085425,0.27232660000000003,0.31198000000000004,0.3502375,0.3796985,0.41760685000000003,0.42477857999999996,0.4664210221402212,0.05591132518689808,271,0.36029360000000005,0.384905,0.423891,0.460702,0.504515,0.563711,0.5965326000000001
-22.2159,0.23068716000000003,0.04786504081153593,25,0.12596684,0.1310386,0.206689,0.239934,0.25984,0.2815536,0.3064823199999999,0.3435331454545455,0.045223091169587,110,0.24866342000000002,0.2697483,0.3106545,0.3471875,0.37712,0.41375015,0.42005732,0.4641462140221401,0.05598408795189823,271,0.3579685,0.3816505,0.4220825,0.457601,0.5013135,0.5625165,0.5919088
