Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-50.192,0.3110147307692308,0.04310227061727277,26,0.235436,0.24450075,0.282563,0.312252,0.34811925,0.36850775,0.36941925,0.3648935624999999,0.05805044395493827,112,0.24893510000000002,0.28313699999999997,0.32938599999999996,0.3600865,0.39693625,0.4712873999999999,0.5127878600000001,0.4025427453183522,0.0681643672343638,267,0.25146772,0.29537169999999996,0.36096249999999996,0.401286,0.4442855,0.5210307,0.5909299599999996
-49.192,0.3224197307692307,0.044918276663788156,26,0.2437885,0.24507099999999998,0.29753725,0.32252400000000003,0.3560795,0.38311125,0.38406775,0.37745083035714283,0.05557906131166914,112,0.26819862,0.28674914999999995,0.341464,0.36872550000000004,0.4106565,0.47529554999999996,0.53087708,0.4161856179775282,0.06528352183421995,267,0.2841014,0.317564,0.3762665,0.41586,0.452896,0.5214660999999999,0.6000231399999999
-48.192,0.3315784230769231,0.04611802409225537,26,0.24431424999999998,0.2509995,0.301066,0.3334825,0.37177925,0.3948365,0.39766625,0.3861133749999999,0.05275921403958103,112,0.28232078,0.29874535,0.35179875,0.3834905,0.4167545,0.4776371,0.54303861,0.426596483146067,0.06216177017607838,267,0.30443566,0.3354465,0.389725,0.425738,0.4629265,0.5272327,0.6040627799999999
-47.192,0.3399179615384615,0.04652639512576126,26,0.247497,0.25875875,0.30764175000000005,0.3473575,0.38185600000000003,0.40560025,0.40989949999999997,0.392645044642857,0.049922430028344233,112,0.28990994000000003,0.31425454999999997,0.35980049999999997,0.387405,0.42385474999999995,0.47868915,0.5374582600000001,0.43524617977528085,0.05903380418895763,267,0.31584416000000004,0.3433953,0.403889,0.434489,0.4714555,0.5259737999999999,0.6020024999999999
-46.192,0.34731211538461537,0.04614560337221904,26,0.2519725,0.26532225,0.316153,0.35063500000000003,0.38302425,0.41224174999999996,0.4190975,0.39792708928571446,0.0471969957771504,112,0.30074246,0.3234627,0.3654665,0.3933565,0.42929425,0.4795415499999999,0.5221087,0.4427091535580523,0.05631223638158833,267,0.32466414,0.3559623,0.41108449999999996,0.440488,0.4752975,0.5289871999999999,0.6024394199999998
-45.192,0.35456203846153844,0.045536723776293586,26,0.25755300000000003,0.2732525,0.32567524999999997,0.36174,0.383834,0.418215,0.4274465,0.4032762142857143,0.04449799198029044,112,0.30883053,0.3323846,0.37320575,0.4033585,0.4292565,0.4778841,0.5083049700000001,0.45013484269662923,0.0541486015341392,267,0.33626624,0.3702861,0.418763,0.444399,0.4832105,0.5365983999999999,0.5993844199999997
-44.192,0.3616530384615385,0.04535120710233038,26,0.26448475,0.28039825,0.326154,0.369119,0.38999475,0.42378575,0.4346715,0.4092090714285714,0.04154769321156181,112,0.31770417,0.3440472,0.3808125,0.41002,0.43243625,0.47654414999999994,0.5089269500000001,0.4581115692883897,0.052759856149707705,267,0.3428996,0.3883129,0.4238435,0.450289,0.492999,0.5406874,0.59914452
-43.192,0.3688172307692307,0.0460386261830717,26,0.271726,0.28832025,0.32941375,0.3765475,0.39498225,0.4337925,0.44174375,0.41594617857142835,0.03869247245696105,112,0.33243696,0.3575703,0.38888350000000005,0.41609799999999997,0.440401,0.47596629999999995,0.51706057,0.4670369662921347,0.05246787319139382,267,0.34832776,0.3971707,0.42952650000000003,0.461805,0.502013,0.5592582999999999,0.5851887399999999
-42.192,0.37625380769230765,0.04742481560956814,26,0.28114225,0.29652425,0.33271100000000003,0.388538,0.40545,0.44566275,0.45134625,0.424121625,0.03650816651998428,112,0.34818225,0.3718405,0.400968,0.4195465,0.44721299999999997,0.47669515,0.5296373900000001,0.47722621722846453,0.053062197978821155,267,0.3626235,0.4000073,0.4401895,0.474075,0.509548,0.5705524,0.5936244999999999
-41.192,0.3841950384615385,0.048902073783004964,26,0.291589,0.30403425,0.343319,0.3943145,0.41962774999999997,0.45165425000000003,0.46809924999999997,0.4348695892857141,0.03562055713293132,112,0.36444483,0.38311059999999997,0.4092755,0.4311205,0.4574895,0.48461754999999995,0.54677154,0.48960158801498094,0.053981066624858846,267,0.37831033999999997,0.40695030000000004,0.45419350000000003,0.486145,0.5236475,0.5835046,0.608573
-40.192,0.3932757692307693,0.05050966227589149,26,0.30464075,0.31240175000000003,0.35550575,0.4036955,0.4302475,0.46251875,0.48869625,0.44797850000000006,0.03694930412735124,112,0.3750841,0.39803805,0.42312075,0.4479155,0.47089975,0.5053535499999999,0.55673685,0.5041823520599255,0.055335892491089014,267,0.38918384,0.4138444,0.469683,0.500268,0.5396865,0.5983303999999999,0.6303247599999999
-39.192,0.40335715384615384,0.052522983244817543,26,0.3162395,0.32034075,0.3635345,0.409115,0.44236325,0.4777805,0.510278,0.46272361607142853,0.04026238431875901,112,0.38459248,0.40266810000000003,0.438296,0.4581585,0.48778524999999995,0.5317464,0.56930251,0.5207991647940077,0.05695549706301004,267,0.39885648,0.4288735,0.481702,0.518908,0.5559415000000001,0.6162122,0.6534215399999997
-38.192,0.41482657692307695,0.054713452624504014,26,0.3136685,0.33855475,0.37912250000000003,0.414966,0.4546795,0.4923585,0.530596,0.47888767857142855,0.04489465464765031,112,0.3957962,0.406511,0.44993550000000004,0.475649,0.50619475,0.5551302,0.58782405,0.5393009250936329,0.05863711392256017,267,0.41285062,0.441713,0.5014455,0.538924,0.575067,0.6393186,0.6756200599999997
-37.192,0.4272901153846154,0.056819985418742884,26,0.30645124999999995,0.34062725,0.395493,0.42882,0.46481425,0.50399875,0.547114,0.49620119642857136,0.04932489643132632,112,0.3968475,0.41823245,0.4648805,0.491622,0.5298785,0.5757487,0.6063527,0.5591650149812736,0.05965380332012508,267,0.43184998,0.4590531,0.5184015,0.558973,0.594046,0.6632836,0.6959661999999999
-36.192,0.44030553846153847,0.059042859705966656,26,0.3031275,0.33972375,0.40423200000000004,0.442665,0.47667624999999997,0.515391,0.560715,0.5142995,0.05277283061805043,112,0.4059938,0.42646825,0.480168,0.511041,0.5518595,0.6054451,0.62312693,0.5797476441947568,0.05956514963741646,267,0.44770874,0.4761286,0.5398565,0.579522,0.6153824999999999,0.6800872,0.7152036399999997
