Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-40.39,0.3993846153846153,0.07177780257214729,26,0.2508515,0.26691824999999997,0.3554385,0.410693,0.44305875,0.49856975,0.50049675,0.48701505504587156,0.04541379531062627,109,0.36878067999999997,0.40072800000000003,0.461778,0.496097,0.518227,0.552602,0.56339952,0.5361638825757575,0.04860208092289453,264,0.38873333,0.4536793,0.50796475,0.5397685,0.57108625,0.6035026,0.63082015
-39.39,0.40942026923076924,0.07350270828129134,26,0.25730325,0.27469774999999996,0.36097,0.4216835,0.45357675,0.5065267499999999,0.50962725,0.5016174678899081,0.04670744852855453,109,0.3782718,0.4140894,0.476254,0.508339,0.533193,0.5727032,0.5837232,0.551931321969697,0.05005787511640607,264,0.39586529000000004,0.46605655,0.5224795,0.5544065,0.58786825,0.6207604999999999,0.6503817800000001
-38.39,0.41978946153846153,0.07498911672141806,26,0.26344049999999997,0.281986,0.36946524999999997,0.43224,0.46618099999999996,0.51795775,0.5182475,0.5161346697247708,0.04753328860545174,109,0.39358632,0.425525,0.488918,0.519213,0.550611,0.5880118,0.60379212,0.5677059128787879,0.05091029030776114,264,0.40755328,0.47957655,0.53505475,0.571044,0.60432225,0.6392924,0.6689934200000001
-37.39,0.4302925769230769,0.07593751875070613,26,0.26992025,0.28966975,0.38110375,0.44564349999999997,0.47893425,0.52699025,0.52938475,0.5299262201834863,0.04779892642048637,109,0.4160058,0.4408862,0.502214,0.531145,0.56304,0.605657,0.62193424,0.5828697840909091,0.051172294244057046,264,0.42253481,0.4951383,0.5516000000000001,0.586616,0.6165069999999999,0.65607435,0.6839473600000001
-36.39,0.4453965000000001,0.07757458252095205,26,0.27937775,0.30025225,0.39897,0.45839549999999996,0.49627224999999997,0.54101975,0.54537175,0.5486695963302752,0.04844324993190663,109,0.43143256,0.4671984,0.523446,0.549145,0.581594,0.6284768000000001,0.64398088,0.6031258863636364,0.05188629547123674,264,0.44410265,0.5191611,0.5721305,0.6043810000000001,0.6382482500000001,0.68030965,0.70693485
-35.39,0.46185573076923075,0.07901089609847882,26,0.2906965,0.310317,0.42212900000000003,0.47716749999999997,0.51514975,0.5576915,0.56131625,0.5673565688073393,0.04842129527031412,109,0.4509186,0.4873114,0.541006,0.567161,0.598743,0.6464016,0.66208388,0.6231044128787878,0.05219614125220137,264,0.47195867999999996,0.5473229,0.59483925,0.622671,0.65961425,0.70081655,0.7314157
-34.39,0.4796634615384615,0.0805917117342625,26,0.303539,0.3203855,0.44693225000000003,0.498463,0.53861625,0.5743325,0.57821775,0.5855630091743117,0.047821609916340706,109,0.4746298,0.5127874,0.556614,0.588232,0.622527,0.6619756,0.68324344,0.6420148977272728,0.052227230699373885,264,0.49232465999999997,0.56612135,0.6095854999999999,0.6394275,0.678282,0.7178201,0.7529786100000001
-33.39,0.49558457692307695,0.08175123531698983,26,0.3162465,0.32958525,0.46525025000000003,0.5172455,0.5549015,0.5867024999999999,0.59064625,0.5998813302752293,0.046449258361510495,109,0.49526412,0.5290902,0.567672,0.603885,0.633364,0.6722756,0.6945205999999999,0.6564534810606061,0.05173675924444351,264,0.51283701,0.5738296,0.6218042500000001,0.655402,0.690762,0.73261365,0.77135233
-32.39,0.5090892692307691,0.08224417715148359,26,0.328334,0.33907349999999997,0.478009,0.529013,0.5766135,0.593925,0.5990912500000001,0.6104363486238534,0.04485789397443643,109,0.51425304,0.534949,0.575864,0.610963,0.643093,0.6789004,0.7051786,0.6666264090909091,0.0510482238399735,264,0.5306158900000001,0.5851459,0.632918,0.668941,0.70239725,0.7426699,0.7771564100000001
-31.39,0.519706423076923,0.08208283264954888,26,0.3393255,0.347267,0.485564,0.5355525000000001,0.585568,0.60381675,0.6085907500000001,0.6180169266055043,0.04369117061063822,109,0.52878468,0.5421041999999999,0.585966,0.620121,0.648892,0.6845584,0.71696088,0.6735637462121212,0.05044410456149848,264,0.54013137,0.58692975,0.6398952499999999,0.6771625,0.70861925,0.7475292,0.7798926800000001
