Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-40.39,0.2805342692307692,0.03783038869539429,26,0.19889099999999998,0.20634425,0.25720299999999996,0.2902355,0.30189525,0.33603125,0.35324375,0.3633926160714287,0.03502479042519381,112,0.28732649,0.3064459,0.33914300000000003,0.362401,0.3886635,0.41970699999999994,0.43698959,0.4484114169741695,0.049812218018306174,271,0.3491843,0.373706,0.415432,0.443205,0.4818745,0.5394699999999999,0.5630077
-39.39,0.26828103846153845,0.0382744606488251,26,0.1836815,0.190866,0.2456465,0.2796265,0.290261,0.3235845,0.3354175,0.35601065178571417,0.03683624896724358,112,0.2722565,0.2969331,0.33060249999999997,0.355637,0.384415,0.4138455,0.43038479999999996,0.44570084870848714,0.05130550182809425,271,0.3430179,0.3676455,0.4104325,0.44038,0.4792455,0.5423465000000001,0.5644346
-38.39,0.2589751153846154,0.039274490989778005,26,0.17087675000000002,0.17820925,0.23572274999999998,0.27142,0.28162875,0.3052395,0.32665,0.3516627946428571,0.03851743532085421,112,0.261703,0.2906032,0.325004,0.3513555,0.38130725,0.41308329999999993,0.4306475,0.4456672287822878,0.05258439791793674,271,0.3380711,0.3672075,0.40960850000000004,0.441627,0.4810355,0.542724,0.5692538
-37.39,0.2522399230769231,0.040631344414796884,26,0.1609505,0.16843275,0.22463450000000001,0.2649955,0.27762149999999997,0.291656,0.3198305,0.3498805089285715,0.039967482771610954,112,0.26011141000000004,0.28624515,0.321777,0.3494435,0.38095524999999997,0.41550374999999995,0.43269886,0.4479788044280442,0.053654984073092715,271,0.33621449999999997,0.3676755,0.411699,0.442956,0.4844085,0.545353,0.5760357
-36.39,0.24370407692307697,0.04277632506040983,26,0.14867200000000003,0.15615175,0.2152335,0.2570145,0.271918,0.28821075,0.31600475,0.3480849107142858,0.04196682129379672,112,0.26300026,0.27864605,0.3183585,0.34849949999999996,0.380092,0.41372454999999997,0.43231482,0.4515266199261994,0.05521402925578528,271,0.3379898,0.3669885,0.414262,0.44547,0.484172,0.5491280000000001,0.5818347
-35.39,0.2398488461538461,0.04502097402650663,26,0.1419205,0.15029125,0.209178,0.2499815,0.27019225,0.29039075,0.31546975,0.3504351339285714,0.043666959906001605,112,0.26584606,0.2766455,0.32137425,0.35216749999999997,0.38373524999999997,0.42014575,0.4340792,0.45873012546125425,0.056390060236867406,271,0.34717590000000004,0.3704895,0.41790649999999996,0.454706,0.493617,0.55939,0.5916833
-34.39,0.23914569230769228,0.04717754447087659,26,0.139272,0.14792325,0.20939375,0.2447955,0.273096,0.29499625,0.315973,0.35486112500000005,0.044993572691972766,112,0.26550258000000004,0.2752446,0.3224455,0.3560485,0.38595225,0.42637624999999996,0.44023135999999996,0.46731011070110684,0.05722207594790406,271,0.3509482,0.38018850000000004,0.428365,0.462582,0.504722,0.5656915,0.6021427
-33.39,0.24299596153846154,0.04875791251272415,26,0.14232625,0.1508225,0.21158625,0.2498835,0.2814595,0.30194225,0.318491,0.361794705357143,0.045650040249558134,112,0.27088808,0.28062355,0.32690175,0.36124900000000004,0.39308775,0.43355869999999996,0.44753231000000004,0.47691261623616243,0.057293938288834466,271,0.3575923,0.390999,0.4394695,0.47102,0.514933,0.573963,0.6121277
-32.39,0.24851626923076925,0.049741156688245754,26,0.1477315,0.155456,0.2160665,0.2567775,0.29033325,0.308619,0.32185050000000004,0.3681382589285715,0.045890814175094705,112,0.27744414,0.28505825,0.334422,0.3687785,0.39822025,0.43984785,0.45470905,0.4848475719557196,0.056945013870898654,271,0.3736436,0.4003345,0.4462725,0.479128,0.521549,0.5832174999999999,0.6216440000000001
-31.39,0.25393792307692303,0.050313220756316585,26,0.1532355,0.159746,0.222518,0.26119499999999995,0.29574975,0.314449,0.32582625,0.3727097946428569,0.04596574149859879,112,0.27997503,0.29284175,0.3385025,0.37288350000000003,0.4033895,0.4431603,0.46138999,0.4901757675276751,0.056467154002696786,271,0.37621950000000004,0.40874350000000004,0.4520705,0.483874,0.5257065000000001,0.58814,0.6284489000000002
