Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-49.5114,0.2807627692307692,0.08005975738374814,26,0.1699435,0.2035225,0.23120275,0.2658125,0.2932785,0.46827575,0.47677825,0.23526162499999992,0.06273765015503231,112,0.12679426,0.1501077,0.192411,0.22253,0.26752624999999997,0.36880544999999987,0.39671066,0.22076256022304827,0.06626806988944021,269,0.1120104,0.14614839999999998,0.176371,0.206417,0.25158,0.3528521999999999,0.4338332799999998
-48.5114,0.2806053076923077,0.08275314182640765,26,0.17449525,0.20877525,0.229181,0.26245850000000004,0.29094075,0.478457,0.4869235,0.23328735714285706,0.06224160491788578,112,0.12959955,0.15290784999999998,0.18949025,0.2234025,0.2628655,0.37361279999999997,0.40240012000000003,0.21684569702602238,0.06554808608567163,269,0.11105568,0.1446238,0.172392,0.200359,0.243632,0.3512027999999999,0.4378035999999998
-47.5114,0.28618869230769234,0.08465207306984004,26,0.18234499999999998,0.2128375,0.23230275,0.264547,0.29500475,0.48957849999999997,0.49869025,0.23659596428571442,0.06130334726292156,112,0.1386841,0.1595247,0.19111999999999998,0.2277095,0.26517925,0.3773828499999999,0.40763278000000003,0.21817202602230493,0.06381759530872443,269,0.11258536000000001,0.14898,0.175691,0.201117,0.244683,0.3495457999999999,0.4356393599999998
-46.5114,0.2920448076923077,0.08612328571299134,26,0.190857,0.21822000000000003,0.2434,0.2665805,0.29990574999999997,0.497221,0.511821,0.24048101785714288,0.059857786955022245,112,0.1496521,0.1662133,0.19726549999999998,0.23332999999999998,0.26782399999999995,0.37649234999999986,0.39534665999999996,0.2197864572490706,0.06116538155520551,269,0.11658968,0.151697,0.178803,0.207108,0.247476,0.3471786,0.4285089199999999
-45.5114,0.2985056923076923,0.08742911584078579,26,0.2005065,0.22548200000000002,0.248493,0.265703,0.30566125,0.5030845,0.52615325,0.24539686607142866,0.058326650592831895,112,0.16144509,0.1754419,0.20395875,0.237861,0.271771,0.37226744999999983,0.40432529,0.22242924907063197,0.05813644064048339,269,0.12344904,0.1573022,0.183157,0.211567,0.247285,0.3397185999999999,0.41716875999999997
-44.5114,0.30555776923076916,0.08833208337056596,26,0.21124925,0.23343624999999998,0.25324325,0.2754275,0.31118225,0.50753975,0.5402119999999999,0.25143586607142854,0.0566899165903244,112,0.17388300999999998,0.18136275,0.2106425,0.2440005,0.2799115,0.3721275999999999,0.4147418,0.22618191078066924,0.054828075782457804,269,0.13023756,0.1644822,0.189203,0.214761,0.250779,0.33308760000000004,0.40402271999999984
-43.5114,0.31435276923076927,0.08881262176439007,26,0.22439800000000001,0.242458,0.257841,0.28399949999999996,0.3167485,0.51229925,0.554523,0.2595048571428572,0.054776368092644204,112,0.18789223,0.19345995,0.21942225,0.2511245,0.2882185,0.37084989999999984,0.42573045000000004,0.2318855576208177,0.05112372155531628,269,0.13793128,0.1716172,0.197411,0.223791,0.25532,0.32754459999999996,0.3968321599999999
-42.5114,0.3248233461538462,0.08845179313001734,26,0.23939175,0.253092,0.26646175,0.2951955,0.32799775,0.5162665,0.5678875,0.2695386517857142,0.05206164175866321,112,0.20019281,0.205977,0.22908499999999998,0.25967949999999995,0.29550275,0.36569764999999993,0.43591126,0.23967276579925642,0.04673678798614759,269,0.15187292,0.1806054,0.210898,0.230886,0.259187,0.3213522,0.38238691999999996
-41.5114,0.33229542307692306,0.0865687683822165,26,0.24967275,0.26004550000000004,0.273091,0.30299200000000004,0.3441405,0.5156965,0.5734875,0.2776144107142857,0.0486311470911119,112,0.21333489,0.21837925,0.2422155,0.26878,0.30125875,0.3592532999999999,0.43812543,0.24695472118959122,0.042533287055424474,269,0.16180636,0.1921536,0.221198,0.240349,0.265027,0.3153668,0.36474619999999974
-40.5114,0.33660484615384606,0.08341893761140443,26,0.2560655,0.26289275,0.27937475,0.309369,0.3545355,0.51275325,0.5703877500000001,0.28320061607142855,0.04457788514059441,112,0.22106645,0.22722085,0.25239049999999996,0.275075,0.30305025,0.3605590999999999,0.42624131,0.25330175464684,0.038805568434461396,269,0.16961404,0.200457,0.228797,0.249395,0.274735,0.3143372,0.3644763999999998
