Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-49.5114,0.2998336153846154,0.055971587144962705,26,0.17839175000000002,0.18603725,0.278019,0.30484500000000003,0.34069075,0.3744515,0.389859,0.3538789464285713,0.044763103264328766,112,0.22135913,0.28689545,0.3253375,0.35623099999999996,0.38624875000000003,0.41863809999999996,0.44183811,0.4070084646840147,0.04816305383452747,269,0.29175407999999997,0.3298706,0.379929,0.406697,0.438328,0.4849386,0.51417212
-48.5114,0.28926442307692307,0.05631384917916592,26,0.174177,0.177598,0.26886375,0.298408,0.32737475,0.359087,0.3923895,0.34176148214285706,0.04756473786324989,112,0.19798739,0.2714241,0.31025525,0.34636449999999996,0.374247,0.4095484999999999,0.43410863,0.38628366542750947,0.04806003508990466,269,0.26330152,0.3138826,0.357852,0.38672,0.417125,0.4650906,0.50494832
-47.5114,0.2806413461538462,0.05652104533707232,26,0.1674865,0.17037975,0.25862525000000003,0.2864325,0.3172165,0.34915175,0.37853375,0.33251631249999997,0.045449736064413916,112,0.19813655,0.2637352,0.30306925,0.33678600000000003,0.36381475,0.39919699999999986,0.42294874000000005,0.3751724795539028,0.045977364004018056,269,0.26264972000000003,0.3062364,0.34744,0.377595,0.402889,0.45146359999999996,0.4907607199999999
-46.5114,0.2749193461538462,0.0564365381978323,26,0.16247,0.16437925,0.24902625,0.2839895,0.30807525,0.35652425,0.37004899999999996,0.3267362321428572,0.04244061901714249,112,0.20993963,0.263426,0.2995985,0.329072,0.35577925,0.39102254999999997,0.40928409000000004,0.36978268401486997,0.04354380140886709,269,0.26732256,0.3003002,0.340769,0.372746,0.396442,0.4437434,0.4811898
-45.5114,0.2707901153846153,0.056097600778163004,26,0.1589255,0.16172275,0.24433149999999998,0.281493,0.300614,0.35497900000000004,0.363917,0.32297560714285717,0.039453877030821594,112,0.22807660000000002,0.26548340000000004,0.29525049999999997,0.3228705,0.34942925,0.38418289999999994,0.40017484000000003,0.36656344981412653,0.04125935124916697,269,0.275851,0.2999058,0.340096,0.367234,0.392514,0.4357588,0.46546847999999996
-44.5114,0.2654677692307692,0.054904243237336545,26,0.15151975,0.15696475,0.23780075,0.280055,0.295154,0.34046575,0.35308049999999996,0.3188788839285714,0.036922575340070235,112,0.24642575,0.26158135,0.293551,0.319026,0.34390325,0.37717269999999997,0.38830137000000003,0.3622543234200744,0.039363889971044175,269,0.27762164,0.3004094,0.336062,0.361796,0.38589,0.4224834,0.45651108
-43.5114,0.25999038461538465,0.05338141539006018,26,0.14012225,0.15588425,0.23234325,0.279236,0.29264475,0.32321900000000003,0.3363485,0.3145881249999999,0.03479664342078994,112,0.24930937,0.2616172,0.293393,0.314148,0.337957,0.3659624,0.37504909,0.358551,0.03778556614733497,269,0.27866232,0.2990232,0.335819,0.359351,0.380987,0.4221174,0.4621601999999999
-42.5114,0.25550573076923083,0.05189771453507962,26,0.13006875,0.15534975,0.23081725,0.2764635,0.291585,0.31013324999999997,0.31727875,0.3109227142857143,0.03352822967343712,112,0.23663841,0.25974675,0.29417725,0.3098145,0.33521075,0.3580139,0.36875726000000003,0.35664053531598494,0.03707699829675323,269,0.27905476,0.29860739999999997,0.335333,0.356916,0.376177,0.42018320000000003,0.45921779999999995
-41.5114,0.25311380769230774,0.05066776777006797,26,0.123165,0.15789575,0.22886075,0.272914,0.28933775,0.30287949999999997,0.3062185,0.30854330357142856,0.03297423997466832,112,0.21889854,0.25941215,0.29290725,0.3080045,0.33025249999999995,0.35088484999999997,0.36364368,0.35556352044609674,0.037070956904129496,269,0.27707912,0.2936346,0.332044,0.356355,0.376471,0.4210758,0.4576673599999999
-40.5114,0.2511458461538462,0.04963998082488938,26,0.11914675,0.1621165,0.2284115,0.26517250000000003,0.28782775,0.30249575,0.30565225,0.3067392500000001,0.03199538058423012,112,0.21182141,0.2559973,0.290806,0.30749499999999996,0.3300765,0.3470031499999999,0.36342563,0.35402421561338293,0.0370499360540616,269,0.27524652,0.2911724,0.330129,0.354313,0.375719,0.4195784,0.44983411999999995
