Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-48.2321,0.4398909230769231,0.08295215465600546,26,0.28271475,0.29498599999999997,0.375357,0.45931299999999997,0.49560875,0.53534825,0.5726800000000001,0.5515978378378378,0.05727772327283023,111,0.4001816,0.42636700000000005,0.525514,0.563543,0.59083,0.6197225,0.6496722,0.597539126394052,0.06617097607728994,269,0.41086504,0.4708866,0.56056,0.613256,0.64067,0.684932,0.70286496
-47.2321,0.4375333461538462,0.08009085208234075,26,0.287788,0.2952705,0.37806975,0.461169,0.49707775,0.52738725,0.5571794999999999,0.5490853153153152,0.05563569224778802,111,0.4052732,0.444788,0.5230975,0.558189,0.5857015,0.6191225,0.6508272000000002,0.5971380855018588,0.06296443736375087,269,0.43106476,0.4763518,0.56102,0.61096,0.640557,0.6830378,0.70344392
-46.2321,0.43777853846153836,0.07837046503689041,26,0.29170125,0.2966225,0.3822885,0.46305700000000005,0.4964515,0.524523,0.54727775,0.5494711981981982,0.05491086189135324,111,0.4093826,0.44146050000000003,0.5222834999999999,0.559756,0.5833269999999999,0.61976,0.6553268000000002,0.5987100408921933,0.0611426122331724,269,0.44705396,0.4814852,0.563675,0.611026,0.640002,0.6846974,0.70602568
-45.2321,0.438356576923077,0.0762831462923092,26,0.298963,0.30045374999999996,0.386137,0.4680215,0.49556125,0.52263475,0.537018,0.5498223873873873,0.0539645287443809,111,0.4154075,0.438687,0.5232775000000001,0.557834,0.584999,0.620976,0.6589518000000001,0.6010637472118959,0.05844472482952201,269,0.462899,0.49325240000000004,0.56862,0.609161,0.639126,0.687076,0.707193
-44.2321,0.4400521153846155,0.07432913527134667,26,0.3044515,0.30685300000000004,0.3903355,0.475155,0.4926855,0.52147475,0.5279505,0.5514834144144145,0.05342861992814993,111,0.4159362,0.4438795,0.5239155,0.558017,0.587016,0.623084,0.6624992000000001,0.6049605873605948,0.05594647919908029,269,0.47209024,0.5055274,0.574346,0.609412,0.641093,0.6921866,0.71046632
-43.2321,0.44286699999999996,0.07269416135068896,26,0.310098,0.31553950000000003,0.3918465,0.48078699999999996,0.49642925,0.51917525,0.5213242499999999,0.5543258648648649,0.0531852436871675,111,0.40433199999999997,0.4535595,0.528119,0.556404,0.5897794999999999,0.6252755,0.6662669,0.6101711263940521,0.05357888441165417,269,0.49443732,0.5167656,0.576371,0.612335,0.647732,0.6967061999999999,0.7161093999999999
-42.2321,0.44623992307692306,0.07106705514198437,26,0.31844924999999996,0.32426425,0.39184625,0.4780795,0.49992475000000003,0.5180407499999999,0.52063075,0.5573463783783787,0.05288793088719066,111,0.405078,0.45764000000000005,0.5293545,0.561996,0.5905215,0.626895,0.6746552,0.6159225576208179,0.05091935546947452,269,0.50841944,0.5327074,0.583738,0.617205,0.648433,0.6986316,0.7239133199999999
-41.2321,0.45097942307692307,0.07012156069921609,26,0.32562175,0.32817825,0.39209125,0.4822845,0.5031209999999999,0.523548,0.5240750000000001,0.5616127477477477,0.05278056960136828,111,0.41205990000000003,0.4586385,0.534157,0.564334,0.595556,0.630701,0.6808826,0.6221176431226766,0.04883523312957485,269,0.5187648,0.538179,0.589097,0.622525,0.654542,0.7024628,0.73021296
-40.2321,0.4558857692307692,0.06951278854041618,26,0.32910075,0.33486525,0.39116949999999995,0.491239,0.506289,0.5270589999999999,0.530296,0.5655505945945946,0.05254373618431486,111,0.4231482,0.46068200000000004,0.534204,0.570305,0.6034705,0.634735,0.6853914,0.6278750483271375,0.04686574815404851,269,0.5246742,0.548058,0.595565,0.627263,0.660554,0.7050812,0.7335258
-39.2321,0.46110161538461536,0.0696810372322783,26,0.32987750000000005,0.339964,0.3957075,0.49465349999999997,0.509495,0.532115,0.53661125,0.5693309189189191,0.05195171176812965,111,0.43976000000000004,0.4742015,0.538468,0.572408,0.6063955,0.6394835,0.6851434000000001,0.6324324609665427,0.04534476546362211,269,0.53738492,0.5531572,0.602277,0.631214,0.665835,0.7052718,0.73358436
-38.2321,0.46586330769230766,0.07035503578949795,26,0.330092,0.344089,0.40618175,0.495765,0.51376825,0.54113775,0.55023725,0.5718981261261261,0.05084945468307173,111,0.4439571,0.48562700000000003,0.543782,0.572967,0.6042835,0.63844,0.6803975999999999,0.6349807732342009,0.04411571958451521,269,0.5406160799999999,0.564261,0.604767,0.633185,0.665957,0.7057182000000001,0.73546304
-37.2321,0.47011176923076936,0.0715232357440896,26,0.33032675,0.347852,0.41494325,0.496088,0.5198732500000001,0.5435915,0.56336725,0.5734207117117116,0.049450890955552586,111,0.4445425,0.48585199999999995,0.545586,0.576822,0.6053655,0.6411195000000001,0.6735125,0.6358029553903346,0.04330487134887689,269,0.5388596400000001,0.568013,0.606229,0.634512,0.6662,0.704338,0.73449424
-36.2321,0.47319915384615385,0.07302032025001934,26,0.33020625,0.34999775,0.42182175,0.493438,0.5197672499999999,0.54665275,0.5730645,0.5734941711711711,0.04810957350255463,111,0.44377869999999997,0.4920665,0.547021,0.578466,0.6064335000000001,0.6452625,0.6642410000000001,0.6347784014869888,0.043011758023574265,269,0.54370596,0.5680674,0.604731,0.635041,0.664828,0.7038022,0.72641564
-35.2321,0.4742432307692308,0.07420630810021892,26,0.33015975,0.349973,0.426039,0.490571,0.52493175,0.55058875,0.5767315,0.5714812522522523,0.04703476366833144,111,0.4467195,0.489653,0.544739,0.57628,0.6037399999999999,0.6398280000000001,0.6552406,0.6316371970260224,0.043310263695000045,269,0.54111436,0.5622228,0.602519,0.630993,0.659508,0.7000054,0.7225989199999999
-34.2321,0.47224273076923073,0.07453405734967482,26,0.32873125000000003,0.34726575000000004,0.4246825,0.48994899999999997,0.527119,0.556361,0.57578675,0.566508540540541,0.04628031872381485,111,0.45015140000000003,0.49211550000000004,0.5397605,0.567224,0.6018939999999999,0.6355035,0.6568996,0.6255224609665427,0.04428264835414506,269,0.5306194799999999,0.5469598,0.597126,0.626382,0.657398,0.6977675999999999,0.71697508
-33.2321,0.46595223076923087,0.07351507478459514,26,0.323577,0.33955725000000003,0.4196775,0.486186,0.51893975,0.55679625,0.5670425,0.5573989009009008,0.045602071389148534,111,0.4382028,0.483714,0.529802,0.55874,0.5915045,0.627286,0.6523931000000001,0.615196565055762,0.04557333026219374,269,0.50805316,0.5374768,0.585161,0.617338,0.64517,0.6891176,0.7042719599999999
-32.2321,0.4546672692307692,0.07092709784422745,26,0.31525225,0.3296675,0.41220175,0.4711075,0.50495375,0.5477395,0.550576,0.5431586306306306,0.04463917025335238,111,0.4252886,0.46022399999999997,0.517471,0.545142,0.5760465,0.6128385,0.6334933,0.5995042899628253,0.04671417357069714,269,0.48097608000000003,0.518084,0.570837,0.601531,0.632738,0.6725774,0.69262512
-31.2321,0.43858211538461533,0.06696467945078327,26,0.30349149999999997,0.316733,0.40042025,0.4494105,0.486427,0.5258315,0.529023,0.5238706576576576,0.043235636525376424,111,0.4143693,0.4423235,0.5014375,0.525747,0.5561655000000001,0.5880719999999999,0.6065440000000001,0.5782984832713756,0.04749649014672678,269,0.45445544,0.4980974,0.549644,0.579249,0.611848,0.6562671999999999,0.67318364
-30.2321,0.419460923076923,0.06248955283816525,26,0.28907175,0.30301849999999997,0.3836265,0.425583,0.46658299999999997,0.4988375,0.5021165000000001,0.501506018018018,0.04163481994807667,111,0.3902146,0.4223755,0.47795350000000003,0.502448,0.5291539999999999,0.563237,0.5770001,0.553583970260223,0.04797954455425187,269,0.42887892,0.47398280000000004,0.524116,0.555282,0.585002,0.6315746,0.65059328
-29.2321,0.40034819230769225,0.05848181756957917,26,0.27403675,0.29005175,0.36714025,0.402862,0.44846149999999996,0.47198125,0.472503,0.4796292612612615,0.04018878336725575,111,0.3653137,0.408277,0.4562605,0.478783,0.5089785,0.539775,0.5553939,0.5291691821561338,0.04826473154911089,269,0.40646912,0.4489994,0.49912,0.530986,0.55865,0.6057918,0.6404498799999999
-28.2321,0.3850965769230768,0.05566457990799756,26,0.26167125,0.28012225,0.35500675000000004,0.3913715,0.4321435,0.45032525,0.45059175,0.46256137837837835,0.039111038892329954,111,0.3514477,0.399076,0.4420385,0.463535,0.493374,0.5200549999999999,0.5372667,0.5097222156133829,0.04847658581587389,269,0.39031856000000004,0.4267186,0.47787,0.511847,0.538884,0.5880723999999999,0.6265198
-27.2321,0.3773800384615385,0.0543981271166431,26,0.25546375,0.27378800000000003,0.35216499999999995,0.38689450000000003,0.424827,0.43843475,0.43883700000000003,0.45432400900900904,0.03845868412311758,111,0.3462039,0.39630350000000003,0.4308235,0.455333,0.483108,0.5096185,0.5269240000000001,0.4995731635687733,0.04872400167731256,269,0.38342859999999995,0.4202728,0.466116,0.50069,0.528024,0.575978,0.6232380399999999
-26.2321,0.37963326923076923,0.05458220217657598,26,0.25765150000000003,0.27445675,0.35977225,0.3899635,0.42495174999999996,0.44089924999999996,0.4418935,0.457456135135135,0.0380409192820971,111,0.351803,0.402065,0.43269599999999997,0.459398,0.484907,0.5091224999999999,0.5322735000000001,0.501494156133829,0.048753616959944866,269,0.38797524,0.4239804,0.469993,0.500613,0.530745,0.5778724,0.6298731599999999
-25.2321,0.39252823076923077,0.05582986479819395,26,0.26876025000000003,0.28417225,0.37233175,0.404386,0.438597,0.45526375,0.45589125,0.4722595765765767,0.03752193066523037,111,0.3706035,0.4141435,0.4488955,0.476649,0.499695,0.524892,0.5460463999999999,0.5157323197026021,0.048165134579425034,269,0.4054332,0.4403534,0.483807,0.515295,0.544142,0.5936891999999999,0.6347631199999999
-24.2321,0.41497538461538447,0.05780597236000925,26,0.28710424999999995,0.302309,0.39497525,0.42529,0.45896899999999996,0.4784435,0.48146225,0.4967781801801803,0.03675349082497859,111,0.39690230000000004,0.440639,0.476931,0.498692,0.523688,0.550976,0.5654873,0.5397935167286246,0.046911935791182455,269,0.43230556,0.46383579999999996,0.507727,0.538776,0.567832,0.6139234,0.6555351199999999
-23.2321,0.44473699999999994,0.06025431540064164,26,0.30850649999999996,0.32391749999999997,0.42403475,0.453529,0.48896125,0.508061,0.514092,0.5279605765765767,0.03589513937152078,111,0.43089689999999997,0.472132,0.5068195,0.530376,0.5518605000000001,0.5843655,0.5887073,0.5700955799256506,0.04526916325504244,269,0.46824963999999997,0.4972792,0.539463,0.570528,0.598218,0.639766,0.6787466799999999
-22.2321,0.4786268076923076,0.06286315194835157,26,0.33361,0.35263524999999996,0.45125875,0.494979,0.527091,0.54217025,0.5499645,0.5622670900900899,0.03519025195537422,111,0.46817390000000003,0.507668,0.5398365,0.564694,0.5873794999999999,0.617278,0.6263011,0.6027307360594796,0.04371108335005322,269,0.50808944,0.5330048000000001,0.573468,0.603092,0.63129,0.6694358,0.7021332799999999
-21.2321,0.5133693846153846,0.06512106500608043,26,0.360734,0.385994,0.47890175,0.5381454999999999,0.5629820000000001,0.57719175,0.585247,0.59626409009009,0.03477193846285445,111,0.5056054000000001,0.543191,0.5744195,0.597169,0.6225875000000001,0.651135,0.6628222,0.634201249070632,0.042489411555990036,269,0.54749168,0.565565,0.606914,0.635077,0.660012,0.7045392,0.72938332
-20.2321,0.5458982307692308,0.06656111336046458,26,0.38851,0.4210395,0.50481,0.5730185000000001,0.59344175,0.61244725,0.61783075,0.6268365045045046,0.03459055652733031,111,0.5414815000000001,0.5697985000000001,0.603065,0.623441,0.653619,0.680999,0.6952389,0.6615460817843866,0.04166535468988095,269,0.5783128,0.5904802,0.63492,0.663153,0.68746,0.7312976,0.7571275999999999
-19.2321,0.5739622307692309,0.06696543229058269,26,0.4155635,0.455085,0.5274075,0.6018034999999999,0.6235415,0.642387,0.6501215,0.6517235585585585,0.03442157475259974,111,0.5712132,0.5976889999999999,0.6266715,0.64953,0.6753155,0.7053435,0.7214487,0.682819468401487,0.0410163098820394,269,0.59843408,0.6123662,0.655527,0.683907,0.709265,0.7488678,0.7785790399999999
-18.2321,0.5960258846153846,0.06632735483242305,26,0.44092,0.48594499999999996,0.5455905,0.6180855,0.64664675,0.6609575,0.67723925,0.6696800990990992,0.03392751600664274,111,0.5936269000000001,0.6172195,0.6468195,0.667867,0.6941999999999999,0.727599,0.7381563,0.6972143122676581,0.040226113300538956,269,0.61163732,0.6271238,0.668679,0.696683,0.725881,0.7591935999999999,0.7909927999999999
-17.2321,0.6116451923076923,0.06484252319212708,26,0.4630305,0.51015475,0.55876575,0.628108,0.663027,0.67286075,0.69564675,0.6807206126126125,0.032851907305407886,111,0.6085251,0.627846,0.6600475,0.679432,0.7055905,0.736703,0.7460153,0.705036721189591,0.03911156908519912,269,0.6196212799999999,0.6346636,0.678939,0.703897,0.733898,0.7660182,0.7990457599999999
-16.2321,0.6215032692307692,0.06276508731360625,26,0.48049525,0.523843,0.56758575,0.635031,0.672826,0.680515,0.7062582500000001,0.686015153153153,0.031286081605723125,111,0.6171667000000001,0.6389940000000001,0.663394,0.684731,0.7087924999999999,0.7358985,0.7501002999999999,0.7077183531598513,0.037736724855884,269,0.6218047999999999,0.6383133999999999,0.684179,0.706719,0.735597,0.7634406,0.79967028
-15.2321,0.6268123461538462,0.06036988450805074,26,0.495275,0.53115625,0.57348725,0.63872,0.6755442500000001,0.6845042499999999,0.7109365,0.6872979819819821,0.029571595292529073,111,0.618625,0.644432,0.667172,0.686712,0.7112105,0.730763,0.7505700000000001,0.707179936802974,0.03630931814286414,269,0.6258404799999999,0.6410157999999999,0.685903,0.705751,0.732985,0.7576604,0.79513168
-14.2321,0.6289349230769231,0.05788264503833464,26,0.507676,0.53635125,0.5774670000000001,0.640054,0.6753337500000001,0.6862717500000001,0.711545,0.6863720360360357,0.027993688633796768,111,0.6139742,0.6459429999999999,0.667855,0.686356,0.7071160000000001,0.7265845,0.7469528,0.7053362936802975,0.03505012535150149,269,0.6256018,0.6419232,0.685936,0.705926,0.730574,0.7569294,0.78644076
-13.2321,0.6289698846153845,0.05551839672348395,26,0.51628875,0.53799525,0.5822285,0.639742,0.67384975,0.6858722500000001,0.7089792500000001,0.6845512792792793,0.026701338116340016,111,0.6100799,0.6444725,0.6691275,0.684511,0.7021759999999999,0.724016,0.7432826,0.7036600260223047,0.03413284282751916,269,0.62571428,0.6422788,0.68547,0.705478,0.727141,0.7547062,0.77670736
-12.2321,0.6270802307692307,0.05355976419537913,26,0.52067175,0.537578,0.5853815,0.637652,0.67071075,0.6833855,0.70387625,0.6819462162162162,0.025802873457816643,111,0.6074517,0.6439295,0.6680445,0.681128,0.6995279999999999,0.720395,0.7394789,0.7023514758364312,0.0336429197052682,269,0.62365724,0.6403358,0.683928,0.704779,0.723283,0.7539848,0.77180648
-11.2321,0.6229570384615386,0.052131544424834204,26,0.5199542500000001,0.535003,0.5876549999999999,0.633345,0.6667535,0.6788160000000001,0.6964377500000001,0.6779351441441438,0.0253868821107734,111,0.6049916000000001,0.64042,0.6648285,0.676018,0.694049,0.7163735,0.7361208,0.7007180446096655,0.03352342801357857,269,0.62270704,0.6357974000000001,0.68169,0.703655,0.723102,0.7537526,0.7731965199999999
-10.2321,0.6158743076923076,0.0512895712025509,26,0.5135495,0.52813025,0.58560675,0.6241185,0.66209775,0.67149925,0.686097,0.6714651981981984,0.025459338730546874,111,0.6013367,0.6314825,0.6583935000000001,0.669582,0.6867305,0.711114,0.7316924,0.6975058029739776,0.033701890917462306,269,0.6186876,0.6301186,0.679811,0.700553,0.718561,0.7495782,0.77546036
-9.2321,0.6051061153846153,0.051103805910187886,26,0.50163125,0.51625875,0.5782105,0.6123175,0.651904,0.66077325,0.67291725,0.6615627297297298,0.02588013124455479,111,0.5948531,0.6209035,0.6500325,0.659389,0.6781790000000001,0.7052235,0.7204153000000001,0.6914319330855019,0.03416090126222879,269,0.60861236,0.6235194000000001,0.67249,0.694301,0.71287,0.7422785999999999,0.77047324
