Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-48.2321,0.22880119230769227,0.05874493491562944,26,0.1683105,0.1756545,0.19358175,0.205685,0.24618725000000002,0.3065065,0.40380725,0.20079389285714289,0.036466815970350966,112,0.14573298,0.15325305,0.1722475,0.196217,0.22093875000000002,0.27359795,0.29506744,0.18268136666666668,0.046758681914742736,270,0.11269127999999999,0.13384405,0.1551435,0.171609,0.19443425,0.2680746,0.36612915
-47.2321,0.2189192692307692,0.05439824211097832,26,0.158589,0.16501074999999998,0.18719025,0.19794899999999999,0.23528875000000002,0.29838825,0.378495,0.19519850000000002,0.03277694140730672,112,0.14435819,0.1529108,0.16964525,0.1910455,0.21347675,0.2579703,0.28011494,0.17881585185185186,0.04194059967103563,270,0.11277991000000001,0.13160675,0.1526535,0.1695775,0.19121275,0.25549605,0.33590341
-46.2321,0.21040580769230768,0.05114320800889927,26,0.150865,0.15662274999999998,0.1798215,0.1943475,0.22440275,0.29159425,0.358306,0.19017512499999997,0.030126320271206927,112,0.13974669,0.15155585,0.16817674999999999,0.1873005,0.20693975,0.2493673499999999,0.26593130000000004,0.17558017037037038,0.03846420751072502,270,0.11296503000000001,0.13028565,0.150439,0.168624,0.18873775,0.24655829999999998,0.3123521000000001
-45.2321,0.1995346153846154,0.04779782495643661,26,0.14087525,0.146611,0.17062425,0.1882405,0.2107405,0.28182225,0.33618125,0.18314805357142858,0.027446311272802962,112,0.13291313,0.1474632,0.163629,0.17976599999999998,0.19819175,0.23284799999999997,0.25595831,0.17022585185185182,0.0345299352634984,270,0.11339857,0.12800245,0.14702425,0.165023,0.18491449999999998,0.23501435,0.29126428000000004
-44.2321,0.1873102692307692,0.04437967998312533,26,0.12955675,0.13493475,0.160914,0.17609350000000001,0.1948975,0.27074175,0.31173425,0.17485158928571426,0.024925346591264462,112,0.12499384,0.1396464,0.15691549999999999,0.171484,0.1881315,0.21585434999999997,0.24100741,0.16374145925925926,0.030643605521374847,270,0.11064606,0.12331325,0.14362875,0.160167,0.17857875,0.21739684999999997,0.26812466
-43.2321,0.17397838461538456,0.04073164521015759,26,0.1176375,0.122961,0.15080274999999999,0.164663,0.180452,0.25779799999999997,0.2849315,0.1655667857142857,0.022669117699791522,112,0.11705159000000001,0.13048895,0.15229375,0.162883,0.17806925,0.19919565,0.22474672,0.15638773333333325,0.027093214426326923,270,0.10710518,0.1155354,0.1378305,0.15471449999999998,0.17181175,0.19974065,0.24437493999999998
-42.2321,0.15959830769230768,0.03700277892133965,26,0.105564,0.1108005,0.13954275,0.1520225,0.1724435,0.241623,0.25682974999999997,0.15510266071428572,0.02096650436418092,112,0.10915287,0.12139755,0.14252900000000002,0.1540445,0.16658575,0.1885773,0.20902772000000003,0.14777472370370368,0.024329135415390384,270,0.100493814,0.10864114999999999,0.132888,0.146897,0.16379,0.18473630000000002,0.22159419000000002
-41.2321,0.14767780384615387,0.03398586246450699,26,0.096877175,0.10200225,0.130231,0.1409965,0.16318825,0.21947850000000002,0.237814,0.14639939285714282,0.02018478605257972,112,0.10262011,0.11356315,0.13413775,0.1468755,0.15630925,0.18265009999999998,0.19392979,0.14080784925925927,0.0230871658102509,270,0.093653481,0.10154195,0.1277995,0.13996550000000002,0.15436975,0.1793832499999999,0.20269513
-40.2321,0.13638101923076923,0.03122342761851772,26,0.0893698,0.09505709999999999,0.12381149999999999,0.12932100000000002,0.15468175,0.1949505,0.22111425,0.13805692589285715,0.020054429952316932,112,0.09738521,0.10774415,0.1253725,0.138561,0.15062124999999998,0.17609504999999998,0.18259985,0.13406434296296293,0.02309457701432285,270,0.085195644,0.09485606,0.119284,0.133166,0.14650325,0.17358544999999997,0.19299338
-39.2321,0.12870713846153847,0.02897480005936299,26,0.085631675,0.091149175,0.114305,0.123118,0.1470475,0.17704725,0.20771025,0.13238036428571429,0.02028341031418701,112,0.093679605,0.10363575000000001,0.11837225,0.13129849999999998,0.144343,0.16878564999999995,0.17774266000000002,0.1296248892592592,0.02384373829158074,270,0.078932868,0.091983315,0.11459375,0.1293635,0.14388125000000002,0.17252299999999995,0.19640532000000002
-38.2321,0.1238888846153846,0.027110869772483392,26,0.08122940000000001,0.086945725,0.10782275,0.1195895,0.14028325,0.16499799999999998,0.19725725,0.12902053750000003,0.020475760993151664,112,0.091560923,0.100964855,0.113357,0.1265575,0.141739,0.1689142,0.17337261,0.12720636111111105,0.024854831547127126,270,0.073477346,0.08881720500000001,0.1122065,0.12669249999999999,0.142156,0.16697525,0.19227606000000003
-37.2321,0.1214496769230769,0.025792177771910736,26,0.07533315,0.08962819999999999,0.10521575,0.11871899999999999,0.13498475000000001,0.15687974999999998,0.18984025,0.12754990714285713,0.020560931102267737,112,0.08616630500000001,0.09964501,0.1142145,0.125193,0.14009,0.1686779,0.17133655,0.12640518037037035,0.025772119793670032,270,0.068607409,0.08545261,0.1096355,0.124116,0.14215575,0.16910535,0.19266749
-36.2321,0.12096988076923075,0.025195569533122592,26,0.071325775,0.0909888,0.1066645,0.1199925,0.13230275,0.15190225000000002,0.18537675,0.12766839910714284,0.020732157816941675,112,0.08725962000000001,0.099482115,0.11319675000000001,0.12369150000000001,0.140259,0.16628569999999995,0.17190099,0.12692370407407397,0.02658879660691625,270,0.070807491,0.08546535000000001,0.10981925,0.1257165,0.14421925,0.17127579999999998,0.19601988
