Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-47.2691,0.17277042307692309,0.034427886286756644,26,0.11004875,0.11529249999999999,0.154128,0.1781925,0.19837375,0.21794325,0.24208875000000002,0.26511070270270265,0.039234977635127975,111,0.1820735,0.19707550000000001,0.240613,0.27062,0.292136,0.32397750000000003,0.33555580000000007,0.3831157601476015,0.05239942556715851,271,0.2845119,0.3055725,0.34780049999999996,0.375876,0.4142325,0.4773615,0.5145229000000002
-46.2691,0.16870061538461537,0.033734848135513425,26,0.1073865,0.11241475000000001,0.14850725,0.1717045,0.19201175,0.21569925,0.23720575,0.2627131261261261,0.03971059034682107,111,0.179172,0.196721,0.236207,0.269684,0.2875375,0.3232465,0.33088670000000003,0.3824974464944647,0.05252575858112024,271,0.2840735,0.304622,0.3485145,0.375188,0.41587799999999997,0.480444,0.5133483000000001
-45.2691,0.20006057692307688,0.034903504745710655,26,0.1442525,0.14453749999999999,0.174562,0.199655,0.222572,0.24935649999999998,0.269418,0.29622092792792803,0.03835801741196457,111,0.2200943,0.2312365,0.27096699999999996,0.30187,0.32080699999999995,0.356004,0.36474910000000005,0.409389110701107,0.05067398557133626,271,0.31863790000000003,0.336522,0.3733835,0.401837,0.441059,0.500131,0.5323985
-44.2691,0.22020665384615384,0.0363981824655488,26,0.15904675000000001,0.16435875,0.19518324999999997,0.218304,0.24426375,0.2685685,0.29392850000000004,0.31818999099099093,0.03861256197393314,111,0.2359433,0.253685,0.292975,0.3227,0.3451075,0.3752495,0.38233550000000005,0.42853877859778555,0.05030912875335022,271,0.33623759999999997,0.3551265,0.391812,0.424527,0.459356,0.5120785,0.5518037000000001
-43.2691,0.20324646153846151,0.03549983681791315,26,0.14501675,0.146293,0.18023325,0.205533,0.2285025,0.247359,0.2758655,0.30150750450450453,0.03893546316286475,111,0.2192368,0.235669,0.275474,0.307878,0.328247,0.36035649999999997,0.3641281,0.4158172472324722,0.0506279130592497,271,0.3222206,0.3421705,0.379423,0.410337,0.44805300000000003,0.5031815,0.5392605000000001
-42.2691,0.19280973076923075,0.03526103827008807,26,0.1336795,0.135138,0.1687535,0.1956595,0.2170465,0.237905,0.2664935,0.29186771171171166,0.03969455568151,111,0.2084467,0.224015,0.265492,0.297982,0.319363,0.3518175,0.35976240000000004,0.4091653062730627,0.05135131775400234,271,0.3173223,0.33295600000000003,0.37262850000000003,0.40187,0.4414265,0.497411,0.5347633
-41.2691,0.18575115384615384,0.035271958134123836,26,0.1251705,0.1273455,0.1634345,0.185499,0.2122185,0.23149350000000002,0.25995625,0.2857909009009011,0.040416236283309113,111,0.2014445,0.21748099999999998,0.25838099999999997,0.29072,0.3122905,0.3479175,0.3577562,0.40516854612546116,0.052052152386107615,271,0.3115444,0.3269795,0.3681365,0.396736,0.43823999999999996,0.49668599999999996,0.5329524
-40.2691,0.1801000384615385,0.03531098074251778,26,0.11849475,0.12121024999999999,0.158726,0.17846800000000002,0.20631875,0.22558475,0.25414775,0.28107644144144145,0.04106793218773116,111,0.195957,0.2119635,0.251975,0.285396,0.3077795,0.346649,0.35575770000000007,0.40191616605166064,0.052623580141434256,271,0.30679880000000004,0.3234165,0.3649115,0.394706,0.4360995,0.4954375,0.5297855
-39.2691,0.174584,0.035304670512554,26,0.11211075,0.11532175,0.15601425000000002,0.171974,0.2000165,0.219557,0.24803975,0.27632187387387397,0.04172678986609685,111,0.19013860000000002,0.20647949999999998,0.245566,0.280219,0.3027875,0.344479,0.352756,0.3983428118081182,0.05316672394059618,271,0.30200710000000003,0.317488,0.360251,0.391253,0.431569,0.49326000000000003,0.5270042
-38.2691,0.16657869230769234,0.03541785553843624,26,0.10288975,0.1066755,0.151761,0.1620405,0.19084525,0.21088525,0.2390925,0.2691645855855855,0.042681749317790375,111,0.183442,0.19825500000000001,0.2365485,0.272567,0.296879,0.33952950000000004,0.348136,0.3926587380073798,0.05397427337141137,271,0.2951197,0.3119585,0.358143,0.385165,0.4259625,0.4908085,0.5234960000000002
-37.2691,0.16565126923076923,0.03556031416796842,26,0.10143975,0.10540425,0.15246275,0.1610525,0.188327,0.21002975000000002,0.23820675,0.2689745765765766,0.04298710213340943,111,0.1835512,0.197979,0.2363515,0.272499,0.295292,0.340891,0.34652720000000004,0.39202215867158674,0.054062160818963485,271,0.2957144,0.310365,0.356915,0.383389,0.42473249999999996,0.4899505,0.5233885000000003
-36.2691,0.1659251923076923,0.035867400871564946,26,0.101171,0.1051225,0.151845,0.1619205,0.1871085,0.21030075,0.23903425,0.26979005405405415,0.042967632427600835,111,0.18560490000000002,0.2000105,0.2387955,0.272645,0.295635,0.34084800000000004,0.3472886,0.391591365313653,0.05376316872312528,271,0.2970306,0.310037,0.355396,0.38308,0.42431399999999997,0.4919215,0.5224097000000003
-35.2691,0.167125,0.03654984848231248,26,0.10118875000000001,0.10495850000000001,0.15183575,0.16466799999999998,0.18718400000000002,0.211254,0.24091075,0.27157225225225207,0.04289332032347407,111,0.1888746,0.20328600000000002,0.2421055,0.273881,0.2970005,0.3415895,0.351082,0.3917700774907748,0.053288076340646466,271,0.2993139,0.308342,0.3559415,0.383386,0.4258,0.490921,0.5215969000000003
-34.2691,0.16938219230769228,0.037711758524915526,26,0.1013915,0.10552,0.15334025,0.1690685,0.18998099999999998,0.21377775,0.24435400000000002,0.2747582792792792,0.04287426650168674,111,0.1935013,0.2067495,0.24469200000000002,0.276614,0.301054,0.3429165,0.3561451,0.3933517047970483,0.05290841012137666,271,0.30239740000000004,0.3129275,0.356408,0.383867,0.427338,0.493203,0.5225363000000003
-33.2691,0.17283023076923076,0.03931229825620241,26,0.1018535,0.10651075,0.15665449999999997,0.174313,0.1943,0.21900725,0.24998474999999998,0.2793815225225225,0.04290919535798758,111,0.1995138,0.21060649999999997,0.24921749999999998,0.279752,0.3063925,0.34548049999999997,0.36223210000000006,0.3965443321033211,0.052770858389557966,271,0.3040171,0.3172,0.359661,0.387217,0.43079,0.4967215,0.5259412000000003
-32.2691,0.17745965384615386,0.041099045318296445,26,0.10285875,0.1080525,0.16159300000000001,0.181234,0.20098775,0.22643125,0.25706525,0.28494293693693695,0.0428704952006684,111,0.205908,0.21551,0.255057,0.286008,0.3116925,0.351643,0.3689354000000001,0.40085715129151295,0.05297533740255047,271,0.3093713,0.3213365,0.3633635,0.393367,0.4358695,0.504275,0.5305302000000002
-31.2691,0.18289346153846153,0.04265143856915569,26,0.10481525,0.11032325,0.16800425000000002,0.187855,0.20916775,0.23338975,0.26395975,0.29054356756756755,0.04255218446643894,111,0.21208339999999998,0.2225435,0.26009899999999997,0.290968,0.31912850000000004,0.355873,0.37118350000000006,0.4052310959409593,0.053465407411449166,271,0.31583609999999995,0.325387,0.366594,0.397589,0.441018,0.5086175,0.5386561000000001
-30.2691,0.1887608846153846,0.04370233978571575,26,0.108099,0.11368475,0.17536775,0.193434,0.21816325,0.241693,0.27111074999999996,0.29542349549549546,0.04173332766678403,111,0.2192432,0.228642,0.2635785,0.295746,0.32619549999999997,0.3613885,0.37088030000000005,0.4084554612546126,0.05393287142383381,271,0.3190061,0.3275,0.36937200000000003,0.40101,0.444542,0.5131735,0.5452375
-29.2691,0.19485273076923076,0.04425890652834315,26,0.11274975,0.118235,0.182973,0.1989445,0.223795,0.25018475,0.2773635,0.299233990990991,0.04031691286578364,111,0.2253522,0.2357175,0.269708,0.29762,0.32868149999999996,0.364313,0.373226,0.40972978966789647,0.054101710973252726,271,0.31893930000000004,0.332134,0.370904,0.400747,0.4452335,0.5169275,0.5468969
-28.2691,0.20104546153846156,0.0444329869779026,26,0.11855175,0.12367800000000001,0.188915,0.2038255,0.229425,0.258717,0.282342,0.30211830630630626,0.03847341228286285,111,0.2310736,0.242193,0.2734785,0.300448,0.3299335,0.3644425,0.37848080000000006,0.408997594095941,0.053777029369333776,271,0.3174331,0.3331675,0.3715325,0.399418,0.441978,0.517432,0.5415897000000001
-27.2691,0.20721780769230766,0.04438905880779112,26,0.1252205,0.12973774999999999,0.1928855,0.209144,0.23646725,0.2670665,0.2860665,0.30454662162162166,0.036498985238709425,111,0.2367438,0.2479575,0.278017,0.303928,0.32907,0.36527699999999996,0.37777330000000003,0.4069772988929889,0.05295026540760922,271,0.3139228,0.331355,0.3704655,0.398765,0.439797,0.5118385,0.5417027
-26.2691,0.21310226923076925,0.044195829165709924,26,0.13187625,0.13657025,0.19819150000000002,0.214535,0.24406575,0.274033,0.288692,0.30694383783783796,0.034809999590906616,111,0.24176309999999998,0.25416,0.283118,0.307386,0.32962800000000003,0.3680835,0.3742501,0.4047229889298892,0.05180471978343882,271,0.3144038,0.330052,0.3691585,0.396398,0.43562,0.5011815,0.533532
-25.2691,0.2185308461538462,0.043944435012130766,26,0.13800825,0.142824,0.20378575000000002,0.22086,0.24999700000000002,0.2795855,0.29043725,0.30965342342342334,0.03369591028881413,111,0.24553219999999998,0.25844,0.285253,0.309109,0.3308465,0.369662,0.3761618,0.40331312177121753,0.0506870046080548,271,0.31576770000000004,0.3324915,0.3696135,0.396839,0.434007,0.4937975,0.5281088
-24.2691,0.2230556538461538,0.043704577785803916,26,0.14289849999999998,0.14710825,0.207694,0.2263095,0.25367575,0.283905,0.29153700000000005,0.31261690090090116,0.03322907171191432,111,0.2463046,0.26191949999999997,0.289972,0.312355,0.334173,0.3705175,0.3770133,0.4032336568265683,0.04983473563790937,271,0.3186839,0.3322895,0.36902900000000005,0.395584,0.43531,0.491072,0.5272471000000001
-23.2691,0.2270135,0.04361543092369947,26,0.146381,0.14998675,0.2087475,0.231169,0.25546925,0.28786849999999997,0.29293025,0.31616143243243244,0.033235148409921145,111,0.2485268,0.2653315,0.2929835,0.316921,0.3399435,0.37322500000000003,0.3843947000000001,0.4049144723247233,0.04929585214417667,271,0.32098010000000005,0.3343335,0.37130799999999997,0.399932,0.436573,0.49171,0.5308080000000001
