Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-50.2817,0.23596868000000001,0.04592131631635429,25,0.1660314,0.16802999999999998,0.196941,0.23755,0.262444,0.2981986,0.33302503999999994,0.29748223008849556,0.053404892315185755,113,0.17992824000000002,0.21977539999999998,0.264753,0.289522,0.32317,0.388528,0.4334392399999999,0.31851585283018896,0.06350166882790576,265,0.16819856,0.20880200000000002,0.278695,0.31926,0.363869,0.4133164,0.46597368000000006
-49.2817,0.23938283999999999,0.0429501269581748,25,0.16340224,0.1740222,0.209598,0.239358,0.269749,0.2852998,0.3295030399999999,0.29774516814159285,0.047439724370567385,113,0.19541588,0.2261098,0.267389,0.29265,0.323354,0.3794433999999999,0.41497308,0.3249706188679246,0.05732891464684509,265,0.19812364,0.230498,0.287835,0.326632,0.365715,0.418834,0.45530240000000005
-48.2817,0.25055188,0.04055742677192427,25,0.17536308,0.1908564,0.227678,0.250603,0.2764,0.3017372,0.3353086799999999,0.3071121769911505,0.041117106719759704,113,0.22413184,0.243451,0.280208,0.30464,0.329519,0.37648459999999995,0.40594099999999994,0.3388173773584907,0.051581991920126254,265,0.22938024,0.2524826,0.302848,0.339129,0.373402,0.4231604,0.4546662400000003
-47.2817,0.26178176000000003,0.03827868090538997,25,0.18781456000000002,0.1980054,0.243539,0.263954,0.28616,0.313571,0.33970655999999994,0.31722170796460164,0.03633224041956435,113,0.2450166,0.26144799999999996,0.289067,0.318228,0.339898,0.37913379999999997,0.39235444,0.35118876981132086,0.047910152332689464,265,0.24967296,0.27552459999999995,0.31779,0.350681,0.38346,0.43181259999999994,0.46066360000000023
-46.2817,0.27293124,0.03658892829495466,25,0.20152531999999998,0.204704,0.249591,0.274191,0.296277,0.3207774,0.34119471999999995,0.32684478761061947,0.03270979196129068,113,0.25961140000000005,0.277915,0.297233,0.331648,0.347731,0.3819514,0.38847252,0.36222638867924545,0.04527004645027129,265,0.27067756,0.29328899999999997,0.32975,0.359649,0.393376,0.4391468,0.47231012000000006
-45.2817,0.28330668,0.03608988327624977,25,0.20844788,0.219496,0.268366,0.2857,0.307638,0.32532339999999993,0.33965667999999993,0.3348480619469026,0.03096244655548856,113,0.2798624,0.28632460000000004,0.307902,0.338889,0.356289,0.3856551999999999,0.39430976,0.37077701509433963,0.04366262824929501,265,0.2870104,0.3041666,0.337577,0.370633,0.399946,0.44854079999999996,0.47684508000000003
-44.2817,0.29213992,0.037561901815447704,25,0.20747504,0.2183882,0.282797,0.295624,0.317976,0.33543219999999996,0.33737227999999997,0.34039797345132755,0.030789801806958565,113,0.28089068,0.2923244,0.315822,0.345336,0.362996,0.39378799999999997,0.4056114,0.3761067283018867,0.04271922921169168,265,0.29987068,0.3103046,0.345921,0.375599,0.403489,0.44885379999999997,0.4773286800000001
-43.2817,0.2960387199999999,0.04075288264703901,25,0.19938519999999998,0.2071472,0.287701,0.305288,0.323836,0.336559,0.34620251999999996,0.3406699646017699,0.0318429516281326,113,0.27746492,0.2869602,0.316268,0.341881,0.363464,0.391289,0.40914375999999997,0.37467286792452836,0.04195626031060716,265,0.29376824,0.3105388,0.344418,0.372678,0.402896,0.4475094,0.4733036
-42.2817,0.29056164,0.04393786454270773,25,0.18549948,0.192254,0.284756,0.301523,0.323754,0.3341548,0.34508111999999996,0.33125160176991164,0.03279072592309007,113,0.26564308,0.2796146,0.310893,0.331195,0.356946,0.3821508,0.40231555999999996,0.362076486792453,0.041012132722682115,265,0.2799706,0.2977622,0.332811,0.359589,0.389816,0.4307658,0.45702592000000003
-41.2817,0.2779291199999999,0.045224170117980064,25,0.17181068,0.17812599999999998,0.264833,0.285328,0.312855,0.32847719999999997,0.33506188,0.3151441150442479,0.03290004887907578,113,0.25244208,0.2635972,0.293943,0.313696,0.338271,0.3673572,0.398841,0.3426068754716979,0.03926832958125235,265,0.26488,0.2804322,0.314328,0.339242,0.371308,0.4063874,0.436701
