Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-49.2867,0.22574388461538458,0.09827558786853505,26,0.12418125,0.1268985,0.16378725,0.1914825,0.23691674999999998,0.42615975,0.47035950000000004,0.20097527433628312,0.024132818736424862,113,0.15230291999999998,0.1600082,0.186742,0.201213,0.214758,0.240276,0.26052123999999993,0.2209909924812031,0.03097744429778843,266,0.16191875,0.178229,0.20148175,0.21900350000000002,0.23561825,0.269701,0.3276834500000012
-48.2867,0.22767315384615383,0.09928428341109878,26,0.1282875,0.12964175,0.16472175,0.194633,0.237091,0.42790575000000003,0.47564725,0.20148455752212377,0.02383101002480728,113,0.15080668,0.1626542,0.187286,0.199725,0.214414,0.2436534,0.26400471999999997,0.22225751503759392,0.030507463379733996,266,0.16460025,0.1832485,0.203789,0.2192005,0.236143,0.26760975000000004,0.3284062500000014
-47.2867,0.2297184999999999,0.10001496136328804,26,0.12991875,0.13166699999999998,0.16189025,0.19724999999999998,0.2384215,0.428586,0.48102075,0.20316233628318583,0.023562635209771445,113,0.15370931999999998,0.1647012,0.189075,0.201196,0.217464,0.24537059999999997,0.2630984799999999,0.2240848157894736,0.02991514225573786,266,0.16754619999999998,0.1851485,0.2052515,0.221879,0.23684349999999998,0.26727225,0.3307898500000015
-46.2867,0.23080999999999996,0.09967884816549598,26,0.12905175,0.132923,0.15860525,0.2006995,0.24149099999999998,0.42917700000000003,0.4805265,0.204722982300885,0.02336970293226983,113,0.15569324,0.1676902,0.190186,0.203975,0.219831,0.24493599999999996,0.26351803999999995,0.2252284511278195,0.02933529736925954,266,0.1702938,0.18787500000000001,0.20578375,0.222392,0.23802774999999998,0.2685585,0.3298451500000015
-45.2867,0.23158846153846155,0.09943401257003792,26,0.12755425,0.13316575,0.1579125,0.2029645,0.243818,0.43174049999999997,0.476942,0.20570733628318583,0.02336057432811692,113,0.15562656,0.16862939999999998,0.190483,0.206789,0.218566,0.246547,0.26325792,0.22567007142857146,0.02897775700772322,266,0.1734028,0.18919975,0.2061105,0.222742,0.23896299999999998,0.26910449999999997,0.32753870000000135
-44.2867,0.23227553846153848,0.09971620474014471,26,0.12673925,0.133457,0.15770825,0.20424750000000003,0.244606,0.43630675,0.47416175,0.20631091150442477,0.02340792417817916,113,0.155182,0.1699176,0.189938,0.206231,0.220881,0.2454594,0.26038084,0.2255300676691728,0.028711734498106226,266,0.177225,0.19054175,0.20612825,0.2222,0.23995375,0.27019725,0.32539065000000117
-43.2867,0.23496192307692312,0.10132497723342378,26,0.127142,0.13606574999999999,0.1590915,0.20536500000000002,0.24756025,0.445015,0.47883149999999997,0.2080577168141592,0.023628965122458823,113,0.15732008,0.1753042,0.191718,0.206814,0.224093,0.2480794,0.27014207999999995,0.2265301541353384,0.02853450574732419,266,0.17804585,0.1924,0.2082855,0.22296850000000001,0.240335,0.2691215,0.3250155500000011
-42.2867,0.23936873076923082,0.10310753348715415,26,0.12992625,0.141,0.16095574999999998,0.20999400000000001,0.2530615,0.45496425,0.48889574999999996,0.2113239292035399,0.02415933116487766,113,0.15988604,0.178548,0.194139,0.209911,0.227173,0.2517998,0.2824590799999999,0.22862645864661651,0.02850447696064901,266,0.17963175,0.1938125,0.21114125,0.224609,0.24416525,0.2709545,0.326166250000001
-41.2867,0.24520576923076925,0.10432467973104263,26,0.1361045,0.14915499999999998,0.16619875,0.2135795,0.2610555,0.46666525000000003,0.499343,0.2159246194690265,0.02492404420338155,113,0.16328904,0.1813166,0.197807,0.213837,0.231709,0.25638500000000003,0.29054619999999987,0.23178504135338357,0.028634519734750095,266,0.18196795000000002,0.19386375,0.21276825,0.228757,0.247224,0.2767795,0.32602045000000096
-40.2867,0.2517396153846153,0.10484371252414784,26,0.14360125,0.15940749999999998,0.17408525,0.217215,0.27029025,0.47977175,0.5073755,0.2212967256637168,0.025926313670824784,113,0.16782919999999998,0.18545340000000002,0.202624,0.219441,0.237553,0.261025,0.29863627999999987,0.23517548496240598,0.0289855487072138,266,0.18416725,0.195899,0.21572925,0.2340825,0.250363,0.28090175,0.322393150000001
-39.2867,0.25754665384615383,0.10422945592218825,26,0.14995225,0.16713899999999998,0.18140725000000002,0.22298849999999998,0.2796455,0.48251175,0.51761975,0.2264845044247788,0.027141014438853785,113,0.17236012,0.187755,0.209094,0.223499,0.242225,0.2676074,0.30587183999999984,0.23715289473684215,0.02956343488756241,266,0.18053740000000001,0.19701025,0.21700875,0.23734850000000002,0.25340549999999995,0.282916,0.3211088000000008
-38.2867,0.2605262307692307,0.10192675375241093,26,0.15422225,0.17064025,0.18735425,0.22762349999999998,0.2872305,0.47330975,0.52452475,0.22969733628318584,0.028277564472125063,113,0.17644664,0.1883372,0.213753,0.226742,0.246867,0.270666,0.31180383999999983,0.2362688345864661,0.030406086270507032,266,0.17607265,0.19407275000000002,0.21563575,0.2356915,0.25401175,0.28487874999999996,0.3185930500000005
