Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-48.2751,0.18559903846153844,0.034809152742898836,26,0.12052225,0.1261995,0.1656875,0.19634800000000002,0.2065235,0.22342375,0.25078825,0.2886005044247788,0.041913708216815594,113,0.20655472,0.227725,0.25606,0.286237,0.319932,0.35414779999999996,0.37079572,0.4169806404494382,0.062580570949028,267,0.30794776,0.3330171,0.368198,0.410382,0.455007,0.5375454,0.5699943399999999
-47.2751,0.1847656923076923,0.035177011836447086,26,0.11410375,0.12140425,0.16714625,0.19306050000000002,0.204582,0.2243765,0.25239925,0.2923888495575222,0.04324075122316027,113,0.20674904000000002,0.23106459999999998,0.255905,0.291524,0.3235,0.3648096,0.37581884,0.42457407490636684,0.06310824452450164,267,0.31621146,0.3398298,0.37522350000000004,0.416984,0.46177599999999996,0.5498858999999999,0.5763844399999999
-46.2751,0.1861509230769231,0.03561506544924277,26,0.11053875,0.1192895,0.16995725,0.18972450000000002,0.207143,0.22874325,0.25655075,0.29665621238938045,0.04465523812728455,113,0.20874936,0.23307819999999999,0.260059,0.297159,0.326925,0.37200419999999995,0.38430484,0.43164578277153576,0.06351149818684484,267,0.3195767,0.3440475,0.38061049999999996,0.424493,0.4663195,0.5593800999999999,0.5833244599999998
-45.2751,0.1882625769230769,0.03604369142268653,26,0.10774824999999999,0.11767575,0.1729905,0.19485049999999998,0.209369,0.2318575,0.26036425,0.3012978495575221,0.04594846112381575,113,0.21215872,0.234651,0.26316,0.303346,0.332344,0.3786024,0.39315416,0.43808531086142327,0.06380697150797508,267,0.32369758,0.3517986,0.386505,0.43269,0.47555899999999995,0.5640585,0.5915323599999998
-44.2751,0.19111842307692303,0.03705661513217102,26,0.104701,0.1156245,0.17454125,0.200816,0.2116635,0.23548625,0.264747,0.30642115044247786,0.04741506990967814,113,0.2145996,0.2405978,0.267465,0.310091,0.33927,0.3841038,0.40234783999999996,0.4449411348314609,0.06431628408720659,267,0.3322806,0.3609996,0.392005,0.442715,0.479647,0.5735098999999999,0.5979126
-43.2751,0.195237,0.038405265672300716,26,0.10284850000000001,0.11432700000000001,0.1787745,0.206745,0.21496,0.2373775,0.26875275,0.31210078761061943,0.04861104994282446,113,0.21901248,0.2445718,0.271551,0.31547,0.345859,0.39487279999999997,0.40916359999999996,0.45140926217228505,0.06474463751619851,267,0.33909314,0.3679475,0.3986235,0.447773,0.486019,0.5753617999999999,0.6005023999999999
-42.2751,0.1993995,0.040297750256062685,26,0.1007995,0.1126635,0.18367825,0.21029799999999998,0.22293575,0.24283225,0.272755,0.3166241681415929,0.049569188705554115,113,0.22445608,0.2456334,0.276,0.320256,0.353817,0.40364340000000004,0.4150626,0.4559222434456931,0.06495938229910374,267,0.34209262,0.3734108,0.40389949999999997,0.450112,0.493259,0.5808011,0.6070081399999999
-41.2751,0.20370003846153845,0.04212697992354142,26,0.10072924999999999,0.112044,0.1857185,0.2155065,0.22965575,0.250369,0.27784975,0.3200754070796461,0.049786452346969774,113,0.22966924,0.2461902,0.277978,0.323014,0.355521,0.4031054,0.41549684,0.4581131348314606,0.06474182991783266,267,0.3441106,0.3739852,0.40622800000000003,0.450009,0.495662,0.5818671999999999,0.6118203999999999
-40.2751,0.20576049999999996,0.04365115141413798,26,0.10053175,0.11080375,0.1859775,0.21676,0.23103174999999998,0.25785,0.28034775,0.320822628318584,0.04940398268127109,113,0.2308124,0.2458072,0.279185,0.326763,0.359195,0.39877199999999996,0.41431544000000003,0.4568324382022471,0.06418226425970609,267,0.34528736,0.3704391,0.406731,0.449049,0.4950105,0.5810441,0.61419762
-39.2751,0.20532688461538456,0.04464560307338399,26,0.10059375,0.10917924999999999,0.184392,0.21524100000000002,0.230566,0.26165075000000004,0.2794105,0.31838811504424774,0.048324555083819935,113,0.22503028,0.2449256,0.280579,0.3219,0.357098,0.39109499999999997,0.40891036000000003,0.45222664794007505,0.0634238447189678,267,0.34166736,0.36550530000000003,0.4020395,0.446444,0.492907,0.5735564,0.6080360799999999
-38.2751,0.2022451153846154,0.04503047925778888,26,0.1005895,0.10725599999999999,0.17969275,0.2111265,0.23136099999999998,0.260504,0.274467,0.3129515663716814,0.046722737147276615,113,0.21956872000000002,0.24070380000000002,0.278262,0.313074,0.350952,0.3834974,0.39813264,0.44501415730337057,0.0627549726860333,267,0.33182244,0.3576645,0.395901,0.438818,0.4885865,0.5656433999999999,0.5977611599999999
-37.2751,0.19664307692307686,0.04449786977366272,26,0.10048825,0.105275,0.17354275000000002,0.2050995,0.22799425,0.25431875,0.26580950000000003,0.30449217699115044,0.04507167879813975,113,0.21312816,0.2360276,0.272878,0.30352,0.341417,0.37219759999999996,0.3846186,0.4359904082397004,0.062367227283923674,267,0.32288482,0.3486068,0.386874,0.429244,0.477601,0.5538538999999999,0.5847371199999999
-36.2751,0.1886186923076923,0.042770878574814646,26,0.10028999999999999,0.10336875,0.164395,0.1967955,0.220665,0.242693,0.25313825,0.2931133185840709,0.04375650832902002,113,0.20022299999999998,0.2297222,0.262655,0.293014,0.330673,0.36160159999999997,0.36987224,0.4252260561797752,0.062074752781891306,267,0.31359655999999997,0.3373892,0.377406,0.418393,0.4652625,0.5443975999999999,0.5709783999999998
-35.2751,0.1795002307692308,0.04039238571444642,26,0.1000985,0.10181125,0.15533925,0.18559,0.21119949999999998,0.23204025,0.239317,0.28060936283185844,0.04267770997003963,113,0.18585404,0.220663,0.249495,0.280497,0.31546,0.3464408,0.35486276,0.4145128689138575,0.06198556958772203,267,0.30389878,0.3284302,0.365051,0.406972,0.452336,0.53443,0.5583972999999998
-34.2751,0.17157634615384618,0.03826684314750022,26,0.10002875,0.10079325,0.14613075,0.1764845,0.201933,0.2261355,0.229485,0.2707528672566372,0.042158008809652314,113,0.1762994,0.2084074,0.238054,0.271069,0.3047,0.3350214,0.34619252,0.4080460861423221,0.06252180533874449,267,0.30017908,0.3203314,0.36029100000000003,0.401029,0.447264,0.5306257,0.5538243599999998
-33.2751,0.16720099999999996,0.037057223476132155,26,0.10043200000000001,0.100791,0.1393375,0.172443,0.19709575000000001,0.2212925,0.22522674999999998,0.2660728053097346,0.04248185587208682,113,0.17226296,0.2025604,0.23154,0.265192,0.299917,0.33208819999999994,0.34155947999999997,0.4074539288389512,0.0636565308084142,267,0.29675186000000003,0.3210178,0.3611205,0.398828,0.4476205,0.536617,0.5563244199999999
-32.2751,0.16766123076923078,0.03676300750407419,26,0.10213525,0.1025635,0.136986,0.17403,0.19750600000000001,0.222063,0.2263095,0.2671516194690266,0.04308362048375034,113,0.17495571999999998,0.20416020000000001,0.230666,0.263908,0.300172,0.3347598,0.34873255999999997,0.41179246816479387,0.0648501951593425,267,0.29762824,0.3225709,0.366737,0.40543,0.4530945,0.5464898,0.5702961
-31.2751,0.17352669230769233,0.03777068424560956,26,0.10586475000000001,0.10679825000000001,0.14569025,0.18025249999999998,0.2041905,0.22599025,0.2362475,0.27417863716814167,0.043371623323497956,113,0.18548792,0.2136388,0.23954,0.271327,0.307093,0.3409076,0.3606505199999999,0.4204272134831462,0.06584908880875251,267,0.30285056000000005,0.3302945,0.37693699999999997,0.413454,0.4628715,0.5546190999999999,0.5833050599999999
-30.2751,0.18501915384615383,0.039858538536872934,26,0.11166124999999999,0.11362125000000001,0.1579685,0.189924,0.2180545,0.2360245,0.25369475,0.28661473451327424,0.04305194870714285,113,0.20447984,0.226961,0.254279,0.286678,0.317927,0.3540696,0.37168564,0.4327592059925097,0.06646859588166402,267,0.31591769999999997,0.3412988,0.387274,0.424106,0.4754695,0.5662166,0.5984095599999999
-29.2751,0.20088988461538462,0.042570932271047975,26,0.11942849999999999,0.1226115,0.16898225,0.2060345,0.23470924999999998,0.25066774999999997,0.27577825,0.3021156902654867,0.04226079844993966,113,0.21915276,0.24337940000000002,0.270859,0.303254,0.33456,0.369432,0.38314312,0.44649850936329594,0.06622891391201532,267,0.3320214,0.3531086,0.3991305,0.438065,0.489346,0.5807445999999999,0.6096909399999999
