Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-48.2751,0.15930636538461534,0.04958185676102856,26,0.098384875,0.10233924999999999,0.12717375,0.143552,0.176566,0.2722195,0.2888595,0.1474773566371681,0.027793690542272733,113,0.092499468,0.103982,0.125947,0.150725,0.165244,0.1908658,0.20260296,0.13149069812734088,0.033071293396535514,267,0.07023841,0.08586227,0.10574800000000001,0.129325,0.155184,0.1850684,0.21486025999999994
-47.2751,0.14961191923076925,0.04441111643732474,26,0.096379175,0.101156,0.121154,0.13256,0.165391,0.24930425,0.26415925,0.13960990619469027,0.023566435589449194,113,0.091690348,0.1005916,0.123534,0.139554,0.154572,0.17458259999999998,0.19172219999999998,0.1217136996254682,0.02828105872364644,267,0.070143686,0.08138162,0.10022244999999999,0.120327,0.143586,0.1697671,0.19586461999999996
-46.2751,0.14014389615384615,0.04123958636524358,26,0.090602825,0.09667547500000001,0.11351699999999999,0.1250775,0.15789599999999998,0.228766,0.2487675,0.13071440265486733,0.020752223617919067,113,0.09059994399999999,0.0979469,0.114995,0.130602,0.144937,0.1631394,0.17866104,0.11166551310861426,0.024637143828229614,267,0.065514112,0.07407527,0.09270809999999999,0.110954,0.12957849999999999,0.15008929999999998,0.18043737999999998
-45.2751,0.13045501538461537,0.038064910332375065,26,0.08310914999999999,0.089629375,0.107325,0.11730750000000001,0.1484475,0.20680225,0.23467,0.12170030088495577,0.01919891888119008,113,0.086190692,0.09246688,0.108277,0.121066,0.134978,0.15434339999999996,0.16317827999999998,0.10211622434456932,0.021582254648938398,267,0.062249514,0.06758952,0.08652295,0.100842,0.117816,0.1398343,0.15978513999999988
-44.2751,0.11920704615384614,0.034637626287841734,26,0.073551875,0.0790744,0.098389725,0.110469,0.13528875,0.182871,0.21644525,0.11172806902654872,0.01843169054291645,113,0.082215224,0.08470808,0.097744,0.11085,0.124346,0.1442862,0.15304232,0.09190544007490636,0.01903317032311752,267,0.058845855999999995,0.0627725,0.07849995,0.0903046,0.10378000000000001,0.1252959,0.14165729999999999
-43.2751,0.1079529846153846,0.03156956726072364,26,0.06388805,0.067779875,0.08842235,0.10527349999999999,0.119037,0.1571835,0.198104,0.10195391061946905,0.018458941459045197,113,0.068378636,0.07494966,0.0898428,0.0998746,0.11433,0.13089779999999998,0.15130635999999997,0.08249904194756559,0.017125746239776276,267,0.053070374000000003,0.05783214,0.06981045,0.081732,0.0930202,0.11509699999999996,0.13367256
-42.2751,0.09631003076923077,0.029975308549948496,26,0.051648975,0.05544784999999999,0.079872525,0.09589775,0.107063,0.13537749999999998,0.1845245,0.09150974424778763,0.0190633677897368,113,0.052259068,0.06382454,0.0787394,0.0902491,0.103401,0.116295,0.14627947999999996,0.07281776179775284,0.016107548783387615,267,0.045869230000000004,0.05072476,0.06104725,0.0702773,0.0815799,0.1031695,0.1167663999999999
-41.2751,0.08758440384615383,0.029501702949673678,26,0.043235075,0.0478576,0.06912655000000001,0.08878395,0.09626825,0.1208815,0.17484275,0.08446841946902653,0.019463017778050883,113,0.044248752,0.053884720000000004,0.0728833,0.0837148,0.0953641,0.11482059999999998,0.14071988,0.06693551610486896,0.01583956390063133,267,0.041347004,0.04683346,0.0561459,0.0635408,0.07496444999999999,0.101117,0.11222005999999998
-40.2751,0.0830735653846154,0.029907260056741304,26,0.0402882,0.04547665,0.060812450000000004,0.08411015,0.0897913,0.118685,0.17101775,0.08193521858407077,0.019832433778272453,113,0.041564612,0.04897374,0.0704692,0.0802066,0.0947534,0.11488419999999999,0.13992755999999998,0.06540835131086147,0.01624453673253991,267,0.040522958000000005,0.044585719999999995,0.05407885,0.0616387,0.0738374,0.09853187,0.11516441999999992
-39.2751,0.0846037346153846,0.03146566245503746,26,0.042552375,0.048593750000000005,0.0607916,0.0835898,0.09163895,0.1254365,0.17684850000000002,0.08512007610619472,0.020302204614045853,113,0.044026192,0.05210992,0.0709084,0.0852407,0.0995528,0.12018699999999993,0.13703559999999995,0.06891029812734083,0.017221076538717458,267,0.043012004,0.04649016,0.0566868,0.0652029,0.0765203,0.1025098,0.12123785999999996
-38.2751,0.09341673461538462,0.03390844912688214,26,0.0501862,0.057736075,0.06906462499999999,0.08466225,0.103052,0.1368995,0.19387075,0.09509803628318586,0.02064126187720615,113,0.05596008,0.061540840000000006,0.0790374,0.0953908,0.110153,0.128604,0.13934327999999996,0.07888994269662922,0.018571595464868564,267,0.049447164,0.05425493,0.06596915,0.0755719,0.08828595,0.11555739999999999,0.12861325999999992
-37.2751,0.10962256153846155,0.03665067460871166,26,0.0654629,0.07267275,0.0893856,0.09859319999999999,0.1191595,0.15922425,0.222116,0.11279845221238934,0.02072085746104418,113,0.072884184,0.07868971999999999,0.0976875,0.112302,0.128079,0.1460842,0.15029779999999998,0.09767831460674152,0.020435519365628593,267,0.06036775,0.06765038,0.084058,0.0959206,0.1089695,0.13780219999999999,0.15132641999999982
-36.2751,0.1319915576923077,0.041134759218404794,26,0.086684625,0.092864025,0.1046695,0.1224475,0.14415525,0.1924355,0.2633145,0.1383207955752212,0.02092964385660576,113,0.097907416,0.1052892,0.122376,0.140267,0.151808,0.17257979999999998,0.17855436,0.12639489737827717,0.023226048538857267,267,0.07627771400000001,0.08845698,0.1103725,0.127043,0.140915,0.1647616,0.1795780399999999
-35.2751,0.15776723076923077,0.04729810329161853,26,0.10842525,0.11022675,0.12906475,0.1511525,0.16838825000000002,0.22886725,0.3127435,0.1682632566371681,0.0216472922196398,113,0.12757232,0.1327682,0.152781,0.17008,0.181179,0.203708,0.21103688,0.16251428464419465,0.0261177525270977,267,0.10091451,0.1169787,0.14561200000000002,0.164693,0.17989549999999999,0.1988641,0.21814045999999987
-34.2751,0.17945315384615387,0.05179159499586186,26,0.12154075,0.12967075,0.149379,0.1691565,0.1913435,0.2603805,0.35039149999999997,0.19559263716814165,0.022696733550802112,113,0.14823216,0.1564202,0.180045,0.19667,0.21002,0.2320578,0.23720108,0.19850213483146067,0.028105790594406686,267,0.13198006,0.1457756,0.18195450000000002,0.201838,0.217359,0.2349075,0.25029535999999974
-33.2751,0.19308473076923083,0.05426424437698009,26,0.13035025,0.14251149999999999,0.16577675,0.1810405,0.2016945,0.27767975,0.3738615,0.21458446902654868,0.02395515937347124,113,0.16150508,0.1724554,0.197822,0.217527,0.231786,0.2513752,0.26108204,0.227084202247191,0.02984064048206732,267,0.14422282,0.1695217,0.2102055,0.232333,0.24837,0.26544959999999995,0.28224991999999993
-32.2751,0.19741003846153843,0.054559598487144874,26,0.13177675,0.14879825000000002,0.1689475,0.1827785,0.21045075,0.27845000000000003,0.37926225,0.22310080530973453,0.02515172632312116,113,0.16716483999999998,0.1794268,0.201243,0.228179,0.241118,0.25694239999999996,0.27251095999999997,0.24365375280898874,0.03146781445816111,267,0.1493495,0.1860365,0.22599,0.248545,0.26583999999999997,0.2827538,0.2976479599999998
-31.2751,0.19384288461538463,0.05324508027626735,26,0.12901525,0.148104,0.16509425,0.1804655,0.20139375,0.26559575,0.37006175,0.22101154867256642,0.025163069809739865,113,0.16674692,0.1768664,0.202774,0.226257,0.237685,0.253561,0.27001164,0.24705995131086153,0.03149400685906723,267,0.15284638,0.1933703,0.228712,0.251699,0.27092,0.288662,0.30230877999999994
-30.2751,0.185331,0.04780748689232681,26,0.1237685,0.1443355,0.15815425,0.175436,0.19537775000000002,0.2405195,0.34099999999999997,0.2102919911504425,0.023828362146780784,113,0.15954195999999998,0.1644122,0.193595,0.214061,0.227872,0.24276319999999998,0.25316056000000003,0.23893455805243444,0.03019690320263838,267,0.14609132,0.1871942,0.2215855,0.242254,0.259483,0.28054399999999996,0.2969294799999998
-29.2751,0.17478576923076922,0.03950029936018986,26,0.11537725,0.1353305,0.15176525000000002,0.1682845,0.18804375,0.21162324999999998,0.29953549999999995,0.19597102654867263,0.02215203132755073,113,0.14703236,0.1580418,0.181845,0.195063,0.212459,0.2295756,0.2384788,0.22455691011235945,0.028553295440731957,267,0.14064459999999998,0.1759117,0.2092415,0.225742,0.24464049999999998,0.2655581,0.28141024
-28.2751,0.16774130769230772,0.03247996079649017,26,0.11114475,0.12906675,0.15026450000000002,0.16153050000000002,0.17966875,0.19350425,0.2664435,0.18443700000000002,0.02142694527966731,113,0.14049764,0.150507,0.170701,0.183796,0.200686,0.2167198,0.22664855999999997,0.2116854906367041,0.026838765997870426,267,0.13629623999999999,0.1651196,0.19640400000000002,0.212163,0.232271,0.24999670000000002,0.26785187999999993
-27.2751,0.16562330769230768,0.026900170131460854,26,0.11524899999999999,0.13054675,0.15304225,0.167812,0.17530874999999999,0.18819575,0.24270875,0.17888276991150442,0.021484716919828336,113,0.13703332000000001,0.1437086,0.164143,0.179784,0.195046,0.21113959999999998,0.22291655999999999,0.20487814981273408,0.02518502641817631,267,0.1397243,0.1575476,0.1872275,0.207438,0.2231475,0.24315789999999998,0.2572220399999999
-26.2751,0.16784257692307689,0.022506237987141388,26,0.129728,0.13782075,0.15733775,0.16965550000000001,0.179645,0.185956,0.22842449999999997,0.17924832743362829,0.021009592127102017,113,0.13661008,0.1459584,0.165637,0.180144,0.19362,0.2117186,0.22799471999999993,0.20456961797752812,0.0235914480784876,267,0.14646664,0.1649464,0.18867499999999998,0.207656,0.2199545,0.24173019999999998,0.25618377999999986
-25.2751,0.17302646153846155,0.02014246133168589,26,0.14246225,0.14667175,0.15724950000000001,0.174597,0.18430249999999998,0.20123875000000002,0.22559,0.18443645132743364,0.02014117587980579,113,0.14674636,0.150789,0.171288,0.183817,0.198282,0.2140636,0.227292,0.2090019775280897,0.02282001415044611,267,0.15524368,0.1727333,0.19343700000000003,0.209859,0.22536699999999998,0.24518959999999998,0.26333454
-24.2751,0.17796426923076922,0.021345795523348744,26,0.14299225000000002,0.1457765,0.16294124999999998,0.178054,0.18811350000000002,0.21535125,0.22880725,0.18998971681415933,0.019864498277377834,113,0.14846976,0.1592916,0.175066,0.192291,0.201928,0.2221752,0.23505787999999997,0.21270820973782775,0.022740038373461936,267,0.16169139999999999,0.1750532,0.197077,0.21099,0.2284165,0.2493769,0.2648695199999999
-23.2751,0.1779321153846154,0.023521295449574067,26,0.13720125,0.14445875,0.162384,0.17705300000000002,0.18749675,0.21870725,0.22984549999999998,0.18795836283185835,0.0203500886616452,113,0.14208212,0.1552606,0.174993,0.189033,0.200371,0.22292759999999995,0.23483336,0.2059392734082397,0.022420834918609148,267,0.15854584,0.17261970000000001,0.190578,0.203962,0.220157,0.2442309,0.2523240399999999
-22.2751,0.17011873076923076,0.024759292683851356,26,0.126744,0.13643025,0.15747550000000002,0.169903,0.18119575,0.20905625,0.220333,0.1759884690265487,0.020632071869020014,113,0.13234944,0.13994959999999998,0.164328,0.175428,0.189184,0.2113552,0.22565011999999993,0.18755821722846458,0.02133839411985561,267,0.14584434,0.15662930000000003,0.17294500000000002,0.186124,0.2013965,0.2234407,0.23586417999999995
-21.2751,0.1553381923076923,0.024251455464807437,26,0.11262275000000001,0.120951,0.1403445,0.1520955,0.16452775,0.201382,0.20379525,0.15631056637168134,0.020033822721068892,113,0.11527316,0.1206452,0.14653,0.155023,0.170509,0.184026,0.20915055999999999,0.16127306966292135,0.01941950137608405,267,0.12422261999999999,0.1313911,0.14827800000000002,0.160702,0.1733835,0.1950136,0.20993043999999986
