Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-48.2751,0.3336845769230769,0.04950894011159849,26,0.24549300000000002,0.257367,0.3042955,0.324827,0.3703555,0.41104275,0.41653799999999996,0.40927778761061945,0.05407642336074199,113,0.30195239999999995,0.330428,0.366949,0.40349,0.450164,0.504137,0.52119732,0.4797270524344568,0.0689199998371018,267,0.35466928000000003,0.3856218,0.423906,0.470794,0.52945,0.5866705,0.6795598599999995
-47.2751,0.34872807692307695,0.04945038237419248,26,0.25786375,0.2692085,0.32016475,0.3458825,0.39098675,0.42102724999999996,0.4237495,0.42153584070796457,0.04538881311228854,113,0.32580032,0.35739740000000003,0.387983,0.417594,0.452907,0.5019971999999999,0.51674508,0.4950964119850189,0.062339210195747834,267,0.38761348,0.4034748,0.4492555,0.488062,0.542575,0.5914974999999999,0.6719828999999993
-46.2751,0.3655824615384616,0.04924342496799407,26,0.2694835,0.278592,0.3348345,0.372715,0.40089425,0.432996,0.43402874999999996,0.43737674336283194,0.03970981989017748,113,0.36127072,0.37977479999999997,0.409318,0.435926,0.465526,0.5071594,0.51973784,0.5128562883895132,0.05817020380042893,267,0.41055126,0.43262660000000003,0.470385,0.51117,0.5527335,0.6020495,0.6716749399999992
-45.2751,0.3834136153846154,0.049841593318895344,26,0.27946125,0.2871035,0.3550675,0.396866,0.41944,0.44794999999999996,0.451306,0.4544980796460177,0.03708153052737344,113,0.37594768,0.398414,0.42662,0.452054,0.484196,0.511186,0.5304127999999999,0.5306574494382025,0.0554892678526877,267,0.42732188,0.45052000000000003,0.491135,0.528424,0.5675874999999999,0.6142113,0.6739230599999991
-44.2751,0.40419842307692316,0.05268145963139068,26,0.2897995,0.2968005,0.37366299999999997,0.41846300000000003,0.440697,0.4699905,0.4723085,0.47345674336283183,0.037770408673367464,113,0.40219804,0.41550319999999996,0.446859,0.474486,0.498243,0.5336114,0.54363368,0.5500702059925094,0.054873394920252096,267,0.44308268,0.4698491,0.507509,0.547452,0.5879905000000001,0.6423631999999999,0.6774200199999995
-43.2751,0.42520853846153855,0.056384540827592644,26,0.30258125,0.30883025,0.3931685,0.44678249999999997,0.46682475,0.48902100000000004,0.49132825,0.49258472566371686,0.04182562670827706,113,0.40953692,0.4276876,0.462371,0.490673,0.524878,0.5546886,0.58307328,0.5685856591760298,0.05599662186581796,267,0.45124756,0.4825749,0.526752,0.566579,0.6040595,0.6674825,0.6879791399999999
-42.2751,0.4464804615384615,0.061368943635184574,26,0.318205,0.3224885,0.40991974999999997,0.464405,0.4977305,0.5102592499999999,0.5119375,0.5117918761061947,0.04849970975191736,113,0.41343752,0.430374,0.476925,0.513223,0.547277,0.585622,0.62074584,0.585533501872659,0.0591511979145361,267,0.45122522,0.493464,0.5443105,0.582364,0.6259465,0.6820475,0.7165573799999999
-41.2751,0.46203011538461536,0.06583877760975028,26,0.33057525,0.33148125,0.4229005,0.479728,0.511764,0.53684975,0.5397032500000001,0.5241072123893804,0.05414793232522684,113,0.41133200000000003,0.4351052,0.485861,0.524538,0.555393,0.6179734,0.6406658,0.5944679812734083,0.06237151899009055,267,0.45323762,0.4991459,0.5511835,0.591059,0.635356,0.6952317,0.7410915599999999
-40.2751,0.46692049999999996,0.06861970303943322,26,0.33233675,0.33733575,0.427759,0.48649149999999997,0.51204675,0.54199425,0.55635,0.5252586725663716,0.056968094486620074,113,0.40886636,0.4397944,0.4855,0.523873,0.561439,0.627042,0.63908964,0.5917645393258427,0.06432330106538871,267,0.44357544000000004,0.49313260000000003,0.5449740000000001,0.592165,0.633001,0.6993313,0.7473246399999998
-39.2751,0.4586364230769231,0.06851449409295704,26,0.326194,0.3326155,0.4239845,0.47872,0.50891,0.53750975,0.55228575,0.5132355752212389,0.056226921110831475,113,0.39468376,0.4190452,0.475543,0.512323,0.549071,0.6127292,0.618613,0.5763826142322096,0.06409795680564938,267,0.42980130000000005,0.477034,0.5324595000000001,0.573884,0.6157045,0.6886745999999999,0.7349151599999999
-38.2751,0.4363656538461539,0.06498743731826472,26,0.30653075,0.3112385,0.40627475,0.45081150000000003,0.48601574999999997,0.5176189999999999,0.5254807499999999,0.4873485309734514,0.05174135210473595,113,0.37418552,0.3968236,0.454914,0.485501,0.522811,0.5715306,0.5806750399999999,0.5481608539325844,0.0613008051929021,267,0.41234632,0.4538045,0.5090414999999999,0.548146,0.5848255,0.6588687999999999,0.6993395399999999
-37.2751,0.4013404230769231,0.059210532367931355,26,0.27720075,0.28552325,0.38172375000000003,0.411805,0.439317,0.47059225000000005,0.483436,0.448847,0.04459155061620018,113,0.34319804,0.3704138,0.420958,0.447643,0.481847,0.5139018,0.52905152,0.5087298951310859,0.05661084638432695,267,0.3905028,0.4200439,0.468819,0.507898,0.5414479999999999,0.6174522,0.6470264799999998
-36.2751,0.3581406538461539,0.05292243449346774,26,0.24292525,0.252261,0.3386015,0.3745585,0.38574825,0.41710025,0.43023475,0.4022459115044247,0.03702528305466162,113,0.31717236,0.3398624,0.378238,0.403255,0.428037,0.455267,0.47037967999999997,0.46146868913857664,0.051264164461950895,267,0.36305564,0.3778156,0.4243635,0.460215,0.49130949999999995,0.5585524000000001,0.5873449
-35.2751,0.31407934615384614,0.046590665384338356,26,0.20989275,0.21940125,0.29561875000000004,0.3264205,0.341775,0.36765275,0.37019425,0.35493659292035423,0.0313265416427842,113,0.28292175999999997,0.2992392,0.335627,0.355658,0.376452,0.40083099999999994,0.41176604,0.41284989513108633,0.046532870207099473,267,0.32579328,0.33964269999999996,0.379217,0.410898,0.43746799999999997,0.499631,0.52730596
-34.2751,0.2783597692307692,0.04129122733977056,26,0.18311975,0.19321675,0.2646965,0.2855395,0.30609975,0.3268415,0.3394445,0.3164434247787609,0.02805027717771294,113,0.24414984,0.2699406,0.299696,0.316187,0.333237,0.3625882,0.37579963999999993,0.3720820299625469,0.04280725518858987,267,0.2973525,0.3078627,0.33998249999999997,0.367764,0.39701699999999995,0.4584469,0.47742935999999997
-33.2751,0.2568642307692308,0.038008168727585584,26,0.1617785,0.182655,0.24443575,0.2629055,0.27846275,0.30430225,0.3217125,0.2928481238938052,0.026880228732263402,113,0.23530052,0.2510972,0.274889,0.290182,0.309419,0.3362386,0.351011,0.34519484269662914,0.04055811160532749,267,0.27588982,0.2876917,0.3153435,0.339898,0.370996,0.42050789999999993,0.4462073999999998
-32.2751,0.2519855384615384,0.03678419259435311,26,0.1525965,0.18473299999999998,0.23793125,0.2585855,0.26697375,0.30024575000000003,0.31707275,0.28623107964601774,0.026745053127414847,113,0.22987211999999999,0.24654820000000002,0.268173,0.283935,0.302136,0.3307338,0.35082884,0.33453907490636703,0.039556328260792493,267,0.26837338,0.2776043,0.30536450000000004,0.330693,0.36126650000000005,0.40612729999999997,0.4327483199999996
-31.2751,0.2622603461538461,0.03696910815580198,26,0.15713625,0.19659474999999998,0.24884024999999999,0.269398,0.27789425,0.307979,0.32725225,0.29530901769911505,0.02709454786516175,113,0.23783316,0.2577996,0.275986,0.292982,0.312128,0.3420024,0.35755924,0.33942777153558024,0.039361186451677216,267,0.2715279,0.28323160000000003,0.30950449999999996,0.334705,0.365476,0.4059834,0.44044257999999964
-30.2751,0.28293511538461535,0.03782933293445913,26,0.174168,0.21685875,0.27224099999999996,0.29203599999999996,0.3020465,0.32111775,0.34699575,0.3155134955752212,0.02784892588276325,113,0.25775452,0.2728354,0.296712,0.312464,0.331428,0.3649694,0.3866935999999999,0.3560848127340823,0.039688577099972214,267,0.28645308,0.2980446,0.327904,0.352479,0.382285,0.4229303,0.4606278799999999
-29.2751,0.3072714615384615,0.04039650748392071,26,0.19735724999999998,0.239628,0.2985165,0.31814050000000005,0.32764475000000004,0.3449695,0.37538099999999996,0.34036646017699096,0.02937599405249226,113,0.27929784,0.29567319999999997,0.320056,0.340198,0.356962,0.384462,0.4178276799999999,0.3781345355805241,0.04039380662050535,267,0.30655340000000003,0.3161153,0.3495635,0.374477,0.4050675,0.4451747,0.4808915599999999
-28.2751,0.32909723076923086,0.045085599399637744,26,0.21713,0.249391,0.3202835,0.3331545,0.35504725000000004,0.37407375,0.4028265,0.3627625575221239,0.031933065115325336,113,0.3011626,0.3174408,0.340723,0.362754,0.383492,0.41057799999999994,0.4431767199999999,0.398409116104869,0.04149973358322858,267,0.32569328000000003,0.3341765,0.367852,0.397018,0.4276355,0.4683702,0.50319158
-27.2751,0.34418915384615395,0.05046425346138972,26,0.22838999999999998,0.24856425,0.320448,0.3488565,0.37606675,0.402385,0.4219505,0.37920884070796457,0.03519350415878475,113,0.30774164,0.3342592,0.353733,0.376592,0.403279,0.4331339999999999,0.4649224799999999,0.41360555056179754,0.042520585291527774,267,0.33615262,0.3527428,0.3822875,0.411523,0.4417725,0.48542969999999996,0.5212575999999998
-26.2751,0.35113011538461536,0.05267825101525442,26,0.23674699999999999,0.25254925,0.31865675,0.35573849999999996,0.3893145,0.4200935,0.42358775,0.38840135398230075,0.03630160131255535,113,0.31389852,0.3449258,0.360433,0.384406,0.415911,0.4520126,0.4742808399999999,0.42275468164794006,0.042626319936344075,267,0.3466033,0.36462510000000004,0.3894425,0.418692,0.449257,0.4914596,0.5316298599999999
-25.2751,0.35067653846153846,0.05154042249049246,26,0.2443395,0.260129,0.31904525,0.355302,0.39060649999999997,0.420172,0.43183249999999995,0.38932272566371684,0.035055329642745735,113,0.32481728,0.3455496,0.364097,0.383409,0.411174,0.4588779999999999,0.48145647999999996,0.4245185018726593,0.041668312959309936,267,0.34026162,0.3673935,0.3937935,0.420205,0.45089599999999996,0.4942307,0.5296249599999996
-24.2751,0.3472883846153847,0.04944293645412006,26,0.251159,0.265953,0.31594575,0.352094,0.37987825,0.41207550000000004,0.43559225,0.38579298230088493,0.034447974483783485,113,0.33016084,0.34271440000000003,0.361775,0.380167,0.402808,0.4483175999999999,0.49415328,0.4219606329588016,0.04072866865321368,267,0.33621061999999996,0.3614334,0.395737,0.416434,0.44993700000000003,0.4913516,0.5188656199999997
-23.2751,0.3504630384615384,0.04742773246992167,26,0.26188925,0.2749325,0.31631975,0.35775,0.37723850000000003,0.40748225000000005,0.43766150000000004,0.3886587168141592,0.034836220960801766,113,0.33955631999999997,0.3431464,0.36657,0.381531,0.402988,0.4530172,0.5027441199999999,0.4270171610486895,0.04010659258353838,267,0.34359714,0.3666339,0.4005265,0.420389,0.455573,0.5015005,0.5150378199999999
-22.2751,0.365259076923077,0.04649707382614357,26,0.28236775000000003,0.28918775,0.33024050000000005,0.3795035,0.38935375,0.4199405,0.4508565,0.40435596460176987,0.036954226568613906,113,0.34850204,0.3583444,0.379123,0.398202,0.422037,0.45911539999999995,0.5203959599999998,0.4452310524344571,0.03980974088241545,267,0.35990188,0.38678100000000004,0.415522,0.440867,0.4726245,0.516853,0.5453370599999997
-21.2751,0.39119765384615385,0.04647306665322813,26,0.31079049999999997,0.31163525,0.36442225,0.4100815,0.420527,0.44676675,0.4716825,0.43260303539823003,0.03898962546442166,113,0.36875456,0.38020940000000003,0.40965,0.429954,0.449132,0.4868257999999999,0.5457922399999999,0.4758732322097383,0.039641033475978145,267,0.38839802,0.4101912,0.44676000000000005,0.475935,0.502675,0.5428807999999999,0.572744
-20.2751,0.424571653846154,0.049151216550512605,26,0.33079400000000003,0.334124,0.394483,0.438332,0.45811999999999997,0.48289699999999997,0.5011,0.46962964601769913,0.039319274677885485,113,0.39677260000000003,0.411057,0.444976,0.467222,0.488501,0.5272633999999999,0.5733947999999999,0.515389071161049,0.03985659240900209,267,0.42500879999999996,0.4505756,0.489593,0.516105,0.5416055,0.5801535999999999,0.6028746599999999
-19.2751,0.45975696153846146,0.05307418804464616,26,0.35243399999999997,0.35813525,0.42888375,0.4710865,0.49795225,0.522465,0.5350967499999999,0.5107773628318584,0.03777447083373854,113,0.43463631999999996,0.4492914,0.488978,0.508641,0.524544,0.5713098,0.6033461599999999,0.5594163108614236,0.040106416189725214,267,0.4683506,0.4879722,0.5332005,0.560966,0.5857985,0.6263434999999999,0.6517944399999999
-18.2751,0.4920631923076923,0.05614248321121483,26,0.37865150000000003,0.3835,0.46138100000000004,0.5035075,0.53422925,0.55819475,0.569391,0.5499315398230091,0.0359698772926328,113,0.47505816,0.4925526,0.529404,0.547111,0.563151,0.6148036,0.63305148,0.6020256479400747,0.04056714302522389,267,0.5085949200000001,0.5309022,0.5751745,0.603232,0.628363,0.6673461999999999,0.6975432799999998
-17.2751,0.5158759615384615,0.057187394423233354,26,0.40519724999999995,0.40836925,0.484718,0.5214125000000001,0.560938,0.58307825,0.59759725,0.5799113982300884,0.03461905521982383,113,0.5087758,0.523433,0.558879,0.57646,0.596023,0.6416605999999999,0.6619649200000001,0.6341504494382021,0.03993310831031766,267,0.5413277400000001,0.5639244,0.6078325,0.634952,0.6580555,0.6974519,0.72888944
-16.2751,0.5322281923076924,0.0570718123300946,26,0.42629475,0.4280715,0.5031990000000001,0.538798,0.578269,0.5979975,0.6161395,0.6006700000000001,0.0335138492918546,113,0.52918556,0.5443542,0.579551,0.597091,0.623155,0.6609218,0.68804804,0.6558154419475658,0.038464831721168144,267,0.56228796,0.588523,0.6328594999999999,0.656373,0.682474,0.7144389,0.7442732799999998
-15.2751,0.546187,0.05671652487520722,26,0.44277975,0.44660500000000003,0.51591925,0.5521769999999999,0.5878297499999999,0.621336,0.6352215,0.6165936460176991,0.03263298091133098,113,0.55270584,0.5632742000000001,0.595837,0.613451,0.635955,0.6714546,0.7020588799999999,0.6710471835205994,0.03717626685495338,267,0.5834646,0.605693,0.6504405,0.670166,0.696025,0.7274213,0.7557532999999999
-14.2751,0.5601568461538461,0.05633709134464952,26,0.4591245,0.4656675,0.525741,0.5649219999999999,0.59986175,0.6415109999999999,0.6518437499999999,0.6311481415929204,0.031766893242827526,113,0.57241128,0.5827084,0.611059,0.628855,0.650079,0.6819104,0.7164086,0.6832008651685396,0.036158248473009406,267,0.60280414,0.6179858,0.6601845,0.682945,0.7068875,0.7391332,0.7645684599999998
-13.2751,0.5737110384615385,0.057099125514481056,26,0.4716075,0.47686975,0.536939,0.5741845,0.61625475,0.658513,0.666702,0.6441903008849558,0.030875563949125155,113,0.58205612,0.5988838000000001,0.623763,0.643105,0.65824,0.6966135999999999,0.7276980399999998,0.6935154681647948,0.03528614064808433,267,0.6176352599999999,0.634179,0.6699984999999999,0.693689,0.717687,0.7528549999999999,0.7693385399999996
