Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-46.472,0.00059178144,0.00010808025846104675,25,0.00046473796,0.0004817024,0.000510196,0.000570578,0.000634872,0.000752636,0.0008447010799999998,0.0004133567431192663,5.764622819716246e-05,109,0.00030931712000000004,0.0003239968,0.000370773,0.000402928,0.00045641,0.0005149627999999999,0.000531844,0.0003047582230483272,4.626992637686182e-05,269,0.00021337192,0.00023188499999999998,0.000274849,0.00030281,0.000331678,0.00039000099999999995,0.0004219022
-45.472,0.0005926868000000001,0.00010949371333703745,25,0.00046460471999999997,0.00048326500000000003,0.00051199,0.000570568,0.000634524,0.0007601697999999999,0.0008420485999999997,0.0004101567522935779,5.7353359734672394e-05,109,0.0003076854,0.000318922,0.000369616,0.000396611,0.000455095,0.000510142,0.00053779476,0.00030078713754646836,4.608207204024202e-05,269,0.00020921224,0.000230705,0.000271592,0.000297389,0.000326447,0.000383263,0.00041793212
-44.472,0.0005904681999999999,0.00011084215944493622,25,0.00046375699999999997,0.0004826034,0.000511921,0.000566873,0.000626304,0.0007625577999999999,0.0008366847599999998,0.0004049078165137616,5.6843741199362436e-05,109,0.00030782283999999997,0.000316064,0.000361562,0.000394228,0.000454099,0.0005031381999999999,0.00053582116,0.0002954415724907063,4.574130733753848e-05,269,0.0002034208,0.000224184,0.000267334,0.000291207,0.000320797,0.00037755419999999996,0.00041256352
-43.472,0.0005867504800000001,0.00011215765852254585,25,0.00046098024,0.0004780582,0.000505007,0.000562467,0.000614206,0.0007625856,0.0008298234799999999,0.0003988590275229359,5.649363368040599e-05,109,0.00030474859999999996,0.0003145016,0.000355393,0.000389169,0.000444659,0.0004954337999999999,0.0005325312,0.0002896692527881041,4.541725275587553e-05,269,0.00019701120000000002,0.0002173024,0.000260814,0.000287243,0.000315136,0.0003716432,0.00040928367999999997
-42.472,0.0005817397600000001,0.00011339115068950487,25,0.00045673532,0.0004701304,0.000497296,0.000551683,0.000599352,0.0007618708,0.0008220670399999998,0.00039227994495412834,5.609521392765638e-05,109,0.00029832076000000003,0.0003128752,0.000351552,0.00038128,0.000436013,0.00048644259999999995,0.0005275393200000001,0.0002837753085501859,4.5118516721568335e-05,269,0.00019061335999999998,0.0002132132,0.000254621,0.000280893,0.000310617,0.00036561659999999996,0.00040377659999999994
-41.472,0.00057356516,0.00011507501496258864,25,0.00044973836,0.0004573572,0.000490428,0.000534167,0.000580681,0.0007608707999999999,0.0008094505999999998,0.0003825112018348624,5.5756833823105525e-05,109,0.00029075076,0.0003051766,0.000339934,0.000373912,0.000424722,0.00047592559999999997,0.00052010292,0.000275338156133829,4.4917165320767333e-05,269,0.00018120708,0.0002014218,0.000247173,0.000272669,0.000302538,0.0003547038,0.00039108719999999994
-40.472,0.0005649307599999999,0.00011621914667819011,25,0.0004433162,0.0004453022,0.000481605,0.000520404,0.000578295,0.000760238,0.0007986662399999999,0.0003744498348623851,5.535636214272196e-05,109,0.00028627228,0.000301576,0.000332458,0.000372387,0.000415235,0.0004672126,0.0005128785600000001,0.00026906272118959104,4.4689590702417344e-05,269,0.00017254564,0.0001947886,0.000239382,0.000265241,0.000296034,0.000348936,0.00038220699999999997
-39.472,0.0005565066399999998,0.0001164249105199284,25,0.00043583948,0.0004386588,0.000472138,0.000512078,0.000577864,0.0007586461999999999,0.0007901677599999999,0.0003687930642201833,5.4665251644673394e-05,109,0.00028437412,0.0002970756,0.000327695,0.000361931,0.000406755,0.0004662392,0.0005078118,0.0002657363271375465,4.434831587419815e-05,269,0.00016915316,0.0001928994,0.000237778,0.000263076,0.000292918,0.0003461054,0.00037565331999999985
-38.472,0.00055109916,0.00011584491570618598,25,0.00043254396,0.00043413999999999996,0.000463679,0.000506121,0.000581204,0.0007604477999999999,0.0007879568,0.0003672673761467888,5.377768459228422e-05,109,0.00028679916,0.0002967202,0.000324255,0.000360359,0.000401836,0.0004639082,0.00050897264,0.00026660885873605947,4.407752947485641e-05,269,0.00017308888,0.0001945448,0.000237548,0.000264773,0.000290982,0.00034715939999999996,0.0003795804799999999
-37.472,0.000549109,0.0001145254569604505,25,0.00043183092,0.00043389300000000003,0.00046197,0.000499528,0.000585949,0.0007640913999999999,0.00079220084,0.0003697403394495413,5.2952014823209626e-05,109,0.00029194744,0.0003019276,0.00032618,0.000364279,0.000404556,0.0004614462,0.000518088,0.0002713910743494424,4.397959826003251e-05,269,0.00018123555999999998,0.0002005078,0.000240662,0.000269583,0.000295286,0.00035545659999999997,0.00038671267999999993
