Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-46.472,0.3585818076923077,0.05169605581242673,26,0.24616525,0.27844775,0.32017475,0.36288750000000003,0.40440325,0.41963625000000004,0.43022425000000003,0.42394741071428577,0.04817832534917975,112,0.32902086,0.35924595000000004,0.3841755,0.42283950000000003,0.4513165,0.50739335,0.54701862,0.4940461933085502,0.05855548380656334,269,0.37854156,0.3969456,0.45325,0.494053,0.530045,0.5939258000000001,0.6480999199999998
-45.472,0.36770923076923084,0.048452046665797464,26,0.26039825,0.293518,0.3389345,0.37739100000000003,0.41050175,0.42386375,0.432017,0.4355001964285714,0.04438421326537503,112,0.34602252,0.3673962,0.40158075,0.430191,0.4633795,0.5137995499999999,0.54261938,0.5065211710037179,0.05702251249615044,269,0.39218904,0.4130228,0.467882,0.504455,0.543605,0.6002258,0.63746252
-44.472,0.37871446153846156,0.046131972748826404,26,0.27603900000000003,0.30828875,0.35074075,0.3896845,0.41890675,0.4302895,0.4372865,0.4486436250000002,0.04163307593255458,112,0.36635771,0.38173955000000004,0.41954075,0.451271,0.47141525,0.5220163999999999,0.54040572,0.5205554200743497,0.05638573303916447,269,0.40386508,0.4291854,0.482603,0.51553,0.556993,0.6164852,0.6493209600000001
-43.472,0.3909558076923077,0.04451434172400551,26,0.29234225,0.3201755,0.369685,0.401316,0.428892,0.44208175,0.446303,0.46243058035714313,0.040397374587255466,112,0.37727877000000004,0.40121835,0.43494900000000003,0.461703,0.49127525,0.5329155,0.5519425,0.5351677323420079,0.05629172188593378,269,0.4145644,0.444504,0.499411,0.53024,0.574905,0.6392323999999999,0.6653020799999999
-42.472,0.4039231153846154,0.04388303643489308,26,0.30829675,0.32999075,0.38549,0.415028,0.43471550000000003,0.45459875,0.460458,0.4765021696428572,0.04105402120846845,112,0.3859793,0.40882655,0.4489745,0.47516,0.5068280000000001,0.537937,0.5627857199999999,0.5496959368029739,0.056822362872071715,269,0.426775,0.4603636,0.511156,0.546243,0.588049,0.6494628,0.6889853599999999
-41.472,0.4221852307692308,0.04470516305332769,26,0.3310055,0.33999900000000005,0.4206155,0.4304535,0.44947275,0.4723135,0.48073925,0.4958734196428572,0.04567530545046727,112,0.39383672000000003,0.41041185,0.46578325,0.5019365,0.5262865,0.56804795,0.58295301,0.5692339925650562,0.05963649914735257,269,0.43759224,0.47536280000000003,0.528485,0.562609,0.607154,0.6787228,0.7107918799999999
-40.472,0.4364357692307692,0.048044202497539865,26,0.3481525,0.34915999999999997,0.42082825,0.449974,0.46554625,0.49592274999999997,0.49934249999999997,0.5091927410714286,0.050130737601793963,112,0.39187985,0.4227767,0.475676,0.515628,0.547177,0.57732925,0.6068032000000001,0.5820352342007433,0.061943150048642794,269,0.44643856,0.4925196,0.541421,0.573914,0.622811,0.7002539999999999,0.73017764
-39.472,0.444866923076923,0.05289808667687183,26,0.34684125,0.358271,0.41062624999999997,0.452769,0.490427,0.5116555,0.5141985,0.514536580357143,0.05236999872539609,112,0.39209331,0.4276009,0.47852375,0.5205995,0.55970425,0.5826542,0.61140714,0.5862305539033459,0.06312290709686902,269,0.46125872,0.49966900000000003,0.543766,0.578066,0.622896,0.7039835999999999,0.7423458
-38.472,0.44321469230769234,0.05748442486362317,26,0.33315700000000004,0.35000050000000005,0.40305425,0.44892699999999996,0.49711225,0.5177295000000001,0.5217080000000001,0.509037839285714,0.051556082512250426,112,0.38828889,0.42408135,0.47214275,0.5090515,0.54739925,0.5842626999999999,0.6081386799999999,0.5790187583643124,0.06248102657479828,269,0.46732096,0.4919654,0.536818,0.571204,0.61352,0.7059798,0.73945184
-37.472,0.43035784615384604,0.05905499457400181,26,0.31148775,0.33265049999999996,0.391094,0.43605499999999997,0.483032,0.50712775,0.51865825,0.4922138928571429,0.04832929826754638,112,0.37876231,0.42096520000000004,0.459494,0.4941145,0.5248775,0.5669398999999999,0.59915012,0.5599382156133831,0.059930206416007596,269,0.45507416,0.4782554,0.520857,0.548261,0.59001,0.687057,0.7143405999999999
-36.472,0.4070438846153846,0.05705406820084045,26,0.2848725,0.30652125,0.3738175,0.4125725,0.45001800000000003,0.48250725,0.494434,0.4642593660714285,0.04346322804042071,112,0.35247881999999997,0.4028731,0.43723575,0.464086,0.488551,0.53261145,0.57122872,0.5293481375464683,0.055708902105548956,269,0.43166867999999997,0.4540314,0.49212,0.519134,0.557369,0.6402152,0.6754458
-35.472,0.37567630769230764,0.05247532898402389,26,0.25608125,0.27453625000000004,0.35490625,0.3845595,0.40895075000000003,0.448748,0.4524765,0.42760275892857147,0.038206108939208845,112,0.32709449,0.37777735,0.40368075000000003,0.422993,0.44983225,0.49199,0.53401446,0.4893299591078068,0.050790391058131004,269,0.39112044,0.4215542,0.454037,0.482282,0.515824,0.5895668000000001,0.62402536
-34.472,0.33977638461538456,0.04750003818194417,26,0.227313,0.24254625000000002,0.32722525,0.34658900000000004,0.370648,0.39985775,0.40858875,0.38613046428571424,0.03383584207543338,112,0.30044231,0.33827565,0.36371375,0.3833205,0.4057795,0.44778665,0.46770915,0.4438939182156137,0.046369925066414845,269,0.35054764,0.3843394,0.412697,0.440548,0.467828,0.5304778,0.56464596
-33.472,0.30451053846153847,0.043834844450715935,26,0.20016475,0.2202555,0.290393,0.31163799999999997,0.33525625,0.35853575,0.369047,0.34542285714285714,0.03131202934424857,112,0.27479983,0.29625335,0.32240125,0.344594,0.36262275,0.40327494999999997,0.42643596,0.39841452044609665,0.04317115249176157,269,0.30481528,0.33790400000000004,0.367526,0.392544,0.419842,0.475962,0.50285164
-32.472,0.27804703846153844,0.04202199902287446,26,0.17977325,0.2124315,0.25783625,0.2814625,0.3090075,0.33115900000000004,0.33857000000000004,0.3134384285714286,0.03016390693525054,112,0.24960349,0.2665896,0.29252100000000003,0.31190850000000003,0.3304785,0.3642987999999999,0.39815419,0.36133445724907043,0.0413032258731109,269,0.27169172,0.3016918,0.331339,0.355602,0.387244,0.4350492,0.45892012
-31.472,0.26424346153846157,0.04161706016933995,26,0.16474675,0.20501824999999999,0.24576025,0.2640515,0.29738200000000004,0.32043125,0.327731,0.29498217857142855,0.029489601765574067,112,0.23532082999999998,0.2542686,0.27316875,0.292994,0.31060775,0.34302564999999996,0.37681036,0.337715605947955,0.04032062220160721,269,0.25848204,0.2795558,0.308993,0.334984,0.364995,0.4098804,0.43898728
-30.472,0.26388138461538463,0.0407156268782166,26,0.16386525000000002,0.207334,0.24492550000000002,0.2659535,0.2941215,0.313632,0.32777525,0.29098872321428576,0.028832409382126833,112,0.23623049000000002,0.24786945,0.27089625,0.28901350000000003,0.3086,0.3372499,0.36103646,0.3285213122676579,0.040129239817742454,269,0.24977123999999998,0.2704058,0.301862,0.32486,0.354265,0.3988338,0.43462204
-29.472,0.2746959615384616,0.03872987477540382,26,0.175686,0.21764850000000002,0.2555885,0.2809115,0.30559575,0.318095,0.331578,0.2990364642857143,0.028332474334385675,112,0.24680958,0.25337489999999996,0.27922199999999997,0.298872,0.31699225,0.34396594999999996,0.3607854,0.331789583643123,0.040484788328981273,269,0.25381952,0.2736766,0.306349,0.32792,0.358109,0.4007408,0.44739152
-28.472,0.2924551923076923,0.0371191362076428,26,0.19750375,0.2347525,0.273143,0.30163249999999997,0.31927150000000004,0.33417475,0.3376015,0.31498525892857154,0.0286499592408073,112,0.25935336999999997,0.26852244999999997,0.2950945,0.3143805,0.331572,0.3641184,0.37516342,0.3435679033457248,0.04150296560917418,269,0.26139576,0.2813242,0.317065,0.339177,0.370292,0.41632979999999997,0.45968255999999996
-27.472,0.31214057692307695,0.037401386205511776,26,0.22573975000000002,0.251094,0.29776225,0.315791,0.338082,0.3552165,0.3647885,0.333984767857143,0.030861065357934505,112,0.27335925,0.28601875,0.3147505,0.333976,0.351184,0.38719495,0.40996670999999996,0.35916836059479573,0.04296797407137775,269,0.27249608000000003,0.2908672,0.329935,0.355508,0.384691,0.4339454,0.4728222
-26.472,0.32742811538461536,0.03924392622592895,26,0.24900375,0.26366850000000003,0.30274599999999996,0.3335805,0.35493149999999996,0.38012675,0.39270174999999996,0.3503136964285714,0.03430404426603536,112,0.28225407,0.2967371,0.328732,0.3495155,0.36683925,0.40708219999999995,0.43886146,0.37384480297397765,0.04413292950249541,269,0.28281416,0.308639,0.344401,0.370769,0.398498,0.45238,0.49078211999999993
-25.472,0.3354422692307692,0.0397964729156318,26,0.26459525,0.26881925,0.30756,0.34078299999999995,0.35935325,0.38997075000000003,0.40163475,0.3610127410714286,0.03676406404093848,112,0.29317223000000003,0.30340125,0.33972125,0.359794,0.377411,0.41667694999999993,0.45139852,0.38613745353159823,0.04418675526580796,269,0.2939194,0.3209116,0.354544,0.384315,0.41459,0.46929699999999996,0.50192204
-24.472,0.3380911538461539,0.03850992979032011,26,0.274195,0.275086,0.3079685,0.340232,0.3659305,0.3922285,0.39760275,0.3672859642857142,0.03784485417647098,112,0.30236719,0.30940870000000004,0.34767275,0.368118,0.38209025,0.42693519999999996,0.45631192000000004,0.3967820966542752,0.0428833919572517,269,0.30756736,0.333284,0.365899,0.392903,0.422752,0.47476179999999996,0.5040794799999999
-23.472,0.33997749999999993,0.03685918871950385,26,0.2771665,0.27930975,0.3079895,0.3405625,0.36675575,0.392522,0.39505075,0.3725474910714285,0.037674493861625385,112,0.31098274,0.3135815,0.35036724999999996,0.373209,0.388569,0.42826494999999987,0.46434686,0.40724264684014894,0.0410092529181939,269,0.32339636,0.34751180000000004,0.37788,0.401489,0.430256,0.4818622,0.5093088
-22.472,0.34753673076923075,0.035714465396035476,26,0.28297,0.28587425,0.320317,0.34656200000000004,0.3731785,0.39858875,0.408463,0.3830419553571428,0.036351427177055924,112,0.32302848,0.329253,0.3573655,0.3829785,0.40178475,0.4271554,0.48220429000000004,0.42286448327137555,0.03957809210872942,269,0.34039428,0.365771,0.395841,0.419134,0.447811,0.4935806,0.52401672
-21.472,0.36516361538461545,0.036059967652871706,26,0.2954395,0.30040750000000005,0.34214625,0.36909400000000003,0.387972,0.41471399999999997,0.4296895,0.40268050000000016,0.033918074755993344,112,0.34536881,0.35491065,0.377347,0.4029125,0.4205235,0.44864099999999985,0.50432641,0.44721648698884775,0.03892915753289444,269,0.36402684,0.3898658,0.419596,0.442766,0.470347,0.5155268000000001,0.5457071199999999
-20.472,0.3925566538461538,0.03778746417842013,26,0.31575925,0.32230475000000003,0.368358,0.39480550000000003,0.41661525,0.4408845,0.4592475,0.4315834821428573,0.031893392229293674,112,0.37592798,0.38728680000000004,0.4085385,0.4316,0.44814275000000003,0.48168144999999996,0.53177294,0.4795051003717472,0.038730859736474416,269,0.39692144,0.4199344,0.450037,0.475941,0.502255,0.5472466,0.57742488
-19.472,0.4268581153846153,0.04047504803142491,26,0.33993275,0.34694274999999997,0.40508849999999996,0.4349415,0.45353224999999997,0.48046675,0.4959265,0.46824275000000004,0.031325437296401956,112,0.41660719,0.4238311,0.44523324999999997,0.46793300000000004,0.4876195,0.52032545,0.5440667299999999,0.5174030780669143,0.03860699697503614,269,0.43897108,0.4551194,0.489995,0.515654,0.542124,0.5848452,0.6083597999999999
-18.472,0.46446673076923073,0.043905968625286194,26,0.366981,0.373896,0.44761775,0.4765815,0.4927105,0.5236595,0.5350015,0.5091832232142856,0.030898706490232672,112,0.46068872,0.4635138,0.486228,0.5097495,0.5286690000000001,0.5615312,0.5828597400000001,0.5583855724907066,0.0381592768011196,269,0.47435564,0.4976024,0.531315,0.556422,0.584594,0.6268412,0.6452877199999999
-17.472,0.5006178076923077,0.047135025230942006,26,0.39675,0.40251349999999997,0.48615699999999995,0.508989,0.53286875,0.5627840000000001,0.5731937500000001,0.5502700624999998,0.030634011090919535,112,0.49868829000000003,0.5014258500000001,0.52658775,0.552295,0.568283,0.6011164,0.62159889,0.5996925985130114,0.03742409493569774,269,0.51371888,0.5401096,0.574453,0.598741,0.626764,0.6650112,0.6838685199999999
-16.472,0.530379423076923,0.04980886882246821,26,0.42281225,0.4301715,0.5146157499999999,0.537552,0.56641975,0.59377125,0.6056284999999999,0.5856073125000003,0.03030596941139694,112,0.52294302,0.5357154000000001,0.5611555,0.588024,0.6040635000000001,0.6309081,0.65224058,0.6350975464684014,0.035872816293967026,269,0.54990988,0.5807544,0.609405,0.633852,0.66196,0.6932608,0.71378524
-15.472,0.5528241153846153,0.05207110844553007,26,0.44307675,0.45138975000000003,0.5343445,0.5573895,0.59032125,0.6187675,0.6304792499999999,0.6137524017857142,0.030022491889140555,112,0.55887465,0.5653275,0.5903815,0.6158935,0.6352007500000001,0.66210615,0.67702597,0.6628174907063196,0.03426836497049204,269,0.58176936,0.6089966,0.638385,0.66246,0.688317,0.7173922,0.7414928399999999
