Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-46.472,0.0008868128076923077,0.00011039176821086589,26,0.0007696307499999999,0.0007792745,0.0008083445,0.000841921,0.00091619575,0.00112146,0.00115595,0.0007240158392857144,7.16259519807249e-05,112,0.00056623013,0.0006009088,0.0006763005,0.0007186860000000001,0.00078460175,0.0008346797999999999,0.0008630143800000001,0.0005833215427509297,7.083476759186745e-05,269,0.00042640148,0.0004663234,0.000538022,0.000581548,0.000635183,0.0006924874,0.0007439548
-45.472,0.0008765383076923077,0.00010733983888259542,26,0.00077016675,0.0007746852500000001,0.00080202925,0.0008349424999999999,0.00090111775,0.00109975,0.0011352975000000001,0.0007115069553571431,6.777985852483493e-05,112,0.00056683675,0.0005919487,0.00066244625,0.000711224,0.00077092225,0.00081028025,0.00086082043,0.0005716018959107805,6.990558434484045e-05,269,0.00041614444,0.0004539176,0.000528931,0.000569945,0.000624721,0.0006750946,0.0007282148399999999
-44.472,0.0008643357307692308,0.00010518337983143827,26,0.00076597,0.0007664735,0.0007919864999999999,0.000827359,0.00088147925,0.0010794075,0.0011139625,0.0006978548482142856,6.51145372354835e-05,112,0.00056375016,0.0005928711,0.00065148275,0.000698788,0.0007506907500000001,0.0008023826499999998,0.0008444123600000001,0.0005587848810408925,6.930074370258998e-05,269,0.00039993723999999997,0.000443187,0.000514809,0.000558002,0.000609841,0.0006646363999999999,0.0007180067199999999
-43.472,0.0008508462692307691,0.00010391493702160733,26,0.000752366,0.00075583025,0.00078294,0.0008166555,0.000859736,0.001061635,0.0010926725,0.000683765839285714,6.357906842502301e-05,112,0.00055931695,0.0005866754,0.0006374065,0.0006809325,0.00072657975,0.0007867666499999997,0.00082383813,0.000545765037174721,6.891166122083425e-05,269,0.00038721932000000003,0.00042678540000000003,0.000501379,0.000546367,0.000593316,0.0006544858,0.00070474132
-42.472,0.000836702576923077,0.00010342931186319402,26,0.0007337929999999999,0.00074282175,0.00077330575,0.0008064045,0.00084378975,0.0010459574999999999,0.001071645,0.0006696914821428566,6.306901807393619e-05,112,0.00055094727,0.00057931095,0.0006227642499999999,0.0006611144999999999,0.000713169,0.00077682665,0.00081717083,0.0005331311710037175,6.883519559691953e-05,269,0.00037831320000000004,0.0004112278,0.000485581,0.000535513,0.000576558,0.0006398572,0.0006908792399999999
-41.472,0.0008162688461538461,0.0001033793987843583,26,0.0007085380000000001,0.00072267825,0.00075895175,0.0007818090000000001,0.00081311775,0.0010209124999999999,0.0010385,0.0006497636875000001,6.424644325346955e-05,112,0.00053929243,0.0005574774500000001,0.0006012807500000001,0.000643972,0.00069012725,0.0007545720999999998,0.0008119576,0.0005158382899628251,6.971827918945999e-05,269,0.00036226968,0.0003883962,0.000473609,0.00052008,0.000564751,0.0006281867999999999,0.00066825172
-40.472,0.0008005979615384614,0.00010523123490807499,26,0.000687813,0.00069811025,0.00074189175,0.0007648155,0.000796926,0.0010064849999999999,0.0010142825,0.0006364555803571426,6.572619904027444e-05,112,0.00052046368,0.00054219045,0.0005850759999999999,0.000629095,0.000679834,0.0007430840499999999,0.0008050624300000001,0.0005049898364312268,7.036759053237048e-05,269,0.00035059252,0.0003726866,0.000464991,0.000511329,0.00055028,0.0006181958,0.0006652418
-39.472,0.0007910285000000001,0.00010835620091171525,26,0.00067339225,0.0006804914999999999,0.00072613175,0.0007531485,0.0008045320000000001,0.00100073,0.0010048175,0.0006306686964285716,6.611813113639918e-05,112,0.00050171782,0.00053529525,0.00057914475,0.0006243245000000001,0.000674831,0.0007356255499999999,0.0008078849400000001,0.0005014232230483275,7.041129274411759e-05,269,0.00034403284,0.00036855140000000003,0.000460617,0.000507988,0.000546121,0.0006087072,0.0006623713199999999
-38.472,0.0007914788076923076,0.00011258727205257944,26,0.0006708995,0.00067487175,0.0007069239999999999,0.0007569825,0.0008197747499999999,0.0010074774999999998,0.00102408,0.0006345872857142854,6.504368722752321e-05,112,0.00050109563,0.0005326085,0.0005887955,0.000626817,0.0006751807500000001,0.0007347234999999999,0.00079325644,0.0005070498884758362,6.96690943863517e-05,269,0.00034413712,0.0003786188,0.000468458,0.000516813,0.000552468,0.000611056,0.00066410376
-37.472,0.0008028454230769232,0.00011702276815190217,26,0.00067993,0.0006872175,0.0007144887499999999,0.000766698,0.00082491875,0.00102878,0.001056175,0.0006480817946428568,6.313231886179502e-05,112,0.00052026603,0.0005425904,0.00060946975,0.0006487445,0.00068911075,0.0007425667999999998,0.0007949265100000001,0.0005214017286245353,6.826989448912805e-05,269,0.00036080671999999997,0.0003995162,0.00048555,0.000529365,0.000567125,0.00061865,0.0006723527599999999
-36.472,0.000824526,0.00012225833909095937,26,0.0007016565,0.0007097257500000001,0.00074156875,0.000787016,0.000832286,0.0010729625,0.0011038150000000002,0.0006705777232142856,6.079521644488452e-05,112,0.00055169746,0.0005689814,0.0006350302500000001,0.000669148,0.000713955,0.0007620284,0.00080375851,0.0005436443568773237,6.663390046739745e-05,269,0.0003890228,0.0004248624,0.000504275,0.00055053,0.000591076,0.0006388521999999999,0.00068878936
-35.472,0.0008548168076923079,0.00012885331184785871,26,0.0007351895,0.00074432025,0.0007727475,0.0008169245000000001,0.0008485315,0.0011346325,0.0011622775,0.0007008221964285716,5.875314643732191e-05,112,0.0005795984900000001,0.0006029849,0.000660315,0.0007029264999999999,0.0007411225,0.00078847945,0.00082447094,0.0005729207657992568,6.559846716715277e-05,269,0.00042717224000000004,0.0004602662,0.000530455,0.000580182,0.000617174,0.0006715176,0.00071678968
-34.472,0.0008906598076923078,0.00013541025596136184,26,0.00077486875,0.00078510725,0.0008064575000000001,0.000851653,0.0008775975,0.0012023475,0.00122267,0.0007368448125,5.771756075623095e-05,112,0.00062696765,0.0006382278000000001,0.00069202875,0.0007413265,0.0007791285,0.0008259192499999998,0.0008540408399999999,0.0006072800929368033,6.575195245942439e-05,269,0.00046905188,0.0004933158,0.0005649,0.000611702,0.000650924,0.0007132671999999999,0.00074815596
-33.472,0.0009260860769230771,0.00013947273233429482,26,0.00081288575,0.0008208395,0.00084488575,0.0008818565,0.0009121017499999999,0.0012504925,0.0012840025,0.0007738500089285713,5.7746363953939305e-05,112,0.00066007688,0.0006780852,0.00072955025,0.000781508,0.0008125105,0.0008702556999999998,0.00089522481,0.0006425798029739772,6.678123213659048e-05,269,0.00050506692,0.0005259214000000001,0.000598081,0.000646088,0.000684839,0.0007554241999999999,0.00078395832
-32.472,0.0009507759615384616,0.00013918632404585755,26,0.0008282770000000001,0.0008416075,0.00087297525,0.0009057945000000001,0.000941119,0.0012766325,0.0013233725,0.0008027760000000002,5.8057871809782016e-05,112,0.0006858958999999999,0.0007101433999999999,0.00075250675,0.0008050195,0.0008423129999999999,0.0009033711499999999,0.0009263844599999999,0.0006706807992565053,6.759792711940322e-05,269,0.00052881596,0.0005518446,0.000627414,0.000673112,0.000714143,0.000790308,0.00081697592
-31.472,0.0009589608846153847,0.0001340003815891065,26,0.0008335969999999999,0.0008554915,0.00088693625,0.0009190655,0.0009428455,0.00127563,0.0013277025,0.0008174390446428571,5.780305220227467e-05,112,0.00069999031,0.000728398,0.00076851325,0.0008176455,0.0008572417499999999,0.0009220997499999999,0.00093886812,0.0006864527732342009,6.750091397051674e-05,269,0.0005451027199999999,0.0005665634,0.000643398,0.000686751,0.000728068,0.0008072172,0.00083796144
-30.472,0.0009488937692307694,0.00012361366633355963,26,0.0008301782500000001,0.0008484440000000001,0.0008828895,0.0009107805,0.000941324,0.0012433925,0.00129357,0.0008162274285714287,5.66784161433378e-05,112,0.0007051775499999999,0.00073190985,0.00077020675,0.0008164445,0.00085303875,0.0009215673,0.00093332625,0.0006888008661710035,6.648862665903404e-05,269,0.00054866216,0.0005702388,0.000647379,0.000689784,0.000730336,0.000804667,0.00084078064
-29.472,0.0009224946153846155,0.0001097945770063629,26,0.0008212425,0.0008287855,0.00085652,0.0008823640000000001,0.00092423175,0.0011862675,0.0012284499999999999,0.0008004328035714286,5.487389062021123e-05,112,0.00069447108,0.0007210949,0.0007563445,0.00079897,0.00083684725,0.0009027779999999999,0.00091148934,0.0006786560929368029,6.451502449206293e-05,269,0.0005395000800000001,0.0005632354,0.000635845,0.000680333,0.000718739,0.0007936175999999999,0.00082668892
-28.472,0.0008849326538461538,9.62705318879842e-05,26,0.0007983432500000001,0.000803355,0.0008179755,0.0008588915,0.00089457625,0.0011101675,0.0011512949999999999,0.0007736303660714286,5.3079684574783204e-05,112,0.0006766166300000001,0.00069447065,0.00073069575,0.0007774769999999999,0.000805722,0.0008706367,0.0008784902899999999,0.0006592709776951674,6.200247767027728e-05,269,0.00052503732,0.0005459894,0.000617696,0.000660482,0.000698529,0.0007721904,0.0008019706799999999
-27.472,0.0008433146923076924,8.51324840256734e-05,26,0.000755906,0.0007624999999999999,0.000781412,0.0008264105,0.000861095,0.00103179025,0.00107011,0.0007417919285714285,5.233688731010058e-05,112,0.00064708813,0.0006596212500000001,0.0007013865,0.0007467035,0.0007734712499999999,0.0008360586999999999,0.00084453921,0.0006359303159851296,5.9462739829872916e-05,269,0.00050776188,0.0005274718,0.000599548,0.000636147,0.000674407,0.0007411006000000001,0.00077352968
-26.472,0.0008065616153846157,7.797937082130215e-05,26,0.00071472375,0.000730276,0.0007448805,0.0007961595,0.0008272537500000001,0.0009686892499999999,0.0010000097499999999,0.0007125439642857143,5.29985230186736e-05,112,0.00061347775,0.00063928475,0.00067223125,0.0007177835,0.00074551,0.00080333635,0.0008121901100000001,0.0006146494758364307,5.718756978069613e-05,269,0.00049198848,0.0005103584,0.000579864,0.000615922,0.000649625,0.0007160612,0.00074604864
-25.472,0.0007785719230769232,7.422261392967676e-05,26,0.00068438975,0.0007030142499999999,0.0007166422500000001,0.000773569,0.000804722,0.0009246285,0.0009501889999999999,0.0006891799196428577,5.423503768510903e-05,112,0.00058692298,0.0006141889,0.00065022175,0.0006941165,0.00072213075,0.00077472665,0.00078649267,0.0005970331078066909,5.502307609498721e-05,269,0.00047776096,0.0004961738,0.000562485,0.000598254,0.000629675,0.000692786,0.00071928328
-24.472,0.0007576675,7.23656497740468e-05,26,0.0006659764999999999,0.000679692,0.00069834,0.00075227,0.00078821025,0.000894591,0.0009172115,0.0006700825267857143,5.504625106069544e-05,112,0.00056436834,0.00059498655,0.000632245,0.0006721015,0.00070250725,0.0007514832,0.0007621658400000001,0.0005815446245353162,5.265959524013424e-05,269,0.0004673772,0.0004887818,0.000546089,0.00058293,0.000613238,0.0006717294,0.00069175912
-23.472,0.0007406993076923078,7.182904887677087e-05,26,0.0006535194999999999,0.00065695575,0.00068469775,0.0007298315,0.0007737375,0.0008732395,0.00089456775,0.0006529174196428572,5.4559943997097895e-05,112,0.00054526868,0.00058337495,0.00062171975,0.0006536070000000001,0.0006852735,0.0007314836999999999,0.00074271607,0.0005670060780669144,5.0111060258256056e-05,269,0.000460365,0.0004794664,0.000533111,0.000569629,0.000597276,0.0006517248000000001,0.0006680778399999999
-22.472,0.0007236819999999999,7.199872542538512e-05,26,0.0006341625,0.00064541525,0.00067096425,0.0007105845,0.0007554127499999999,0.0008556605,0.00087664625,0.0006343854464285713,5.246038167574339e-05,112,0.0005281432699999999,0.0005682697,0.00060673525,0.0006327625,0.000667506,0.000708419,0.0007224248,0.0005508449739776949,4.7553725842415215e-05,269,0.00044938412,0.0004690576,0.000520859,0.000552971,0.000578269,0.0006282008,0.0006479528399999999
-21.472,0.0007040125384615384,7.296539100654817e-05,26,0.000610157,0.000624234,0.0006566075,0.0006843330000000001,0.0007334172500000001,0.00084639375,0.000859454,0.000613131473214286,4.838823452615145e-05,112,0.00050896119,0.000548867,0.000586795,0.0006099125,0.00064926625,0.00068011755,0.0006994470000000001,0.0005316628178438659,4.528926091579311e-05,269,0.00043364144,0.0004526526,0.00050039,0.00053465,0.000558076,0.0006013478000000001,0.0006236760799999999
-20.472,0.0006811830769230769,7.43894514634558e-05,26,0.00058455525,0.00059859125,0.00063766625,0.0006561465,0.00070424675,0.00083417075,0.0008383280000000001,0.0005892197767857142,4.4507419641942403e-05,112,0.00048808938,0.0005224575999999999,0.00056169475,0.0005902735,0.00062221725,0.0006546187,0.0006752007099999999,0.0005099943382899633,4.342240796276027e-05,269,0.00041392572,0.00043385,0.000480175,0.000511406,0.000537849,0.0005749858,0.0006020494799999999
