Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-47.7271,0.0013407815384615385,0.00010567308348647002,26,0.001190815,0.0012185975,0.0012562925000000002,0.0013059249999999999,0.0014274449999999998,0.0015236,0.0015440675,0.0012484658035714288,0.00010631884163771865,112,0.00095708295,0.0010919825,0.0011856674999999998,0.00124493,0.0013041774999999999,0.00143287,0.0015221654,0.001201557643122677,9.866172370147046e-05,269,0.00095020372,0.001064294,0.00114192,0.00119932,0.00125144,0.00137316,0.0014554163999999999
-46.7271,0.0013600176923076921,0.00010485731063908485,26,0.00123301,0.00123771,0.001263295,0.0013254550000000001,0.0014480875,0.0015373225,0.00156457,0.0012669142232142852,0.00010707385526306444,112,0.00096743166,0.0011168495,0.00120137,0.001263835,0.0013232925,0.0014624914999999997,0.0015241083,0.0012170515724907063,9.919020598953133e-05,269,0.00096786372,0.001071226,0.00115174,0.00121564,0.00127501,0.0013886019999999998,0.0014704599999999998
-45.7271,0.0013778850000000001,0.00010433657959699465,26,0.00124643,0.00125125,0.001285965,0.001347,0.0014684475,0.0015524975,0.0015775099999999998,0.0012829193035714293,0.00010693409621496982,112,0.00098146574,0.001137963,0.0012189575,0.001283605,0.0013393049999999998,0.0014656674999999999,0.0015348159,0.001229697951672862,9.89945133015705e-05,269,0.00099862112,0.0010727100000000002,0.00116096,0.00122821,0.0012902,0.001388568,0.0014905328
-44.7271,0.0013940988461538463,0.00010357088441553148,26,0.001242305,0.001259245,0.0013203625,0.001365505,0.00148602,0.0015637875,0.0015834475000000002,0.0012971386428571434,0.00010548698200951102,112,0.0009980126100000001,0.0011489075,0.0012365874999999999,0.001299335,0.001353565,0.0014743215,0.0015477678,0.0012407014423791822,9.793684894577069e-05,269,0.0010115444,0.001086098,0.00117168,0.00123959,0.0012962,0.00139714,0.0015014599999999998
-43.7271,0.0014147803846153847,0.00010386201937111637,26,0.00123266,0.00125755,0.00134693,0.00138602,0.0014974325,0.0015757825000000001,0.00158441,0.0013168458928571427,0.00010365038267186693,112,0.0010374341,0.0011686399999999999,0.001255265,0.00131529,0.00137412,0.0014776474999999999,0.0015790953,0.0012562795539033437,9.762109948915704e-05,269,0.0010181444,0.001107672,0.00119191,0.0012587,0.00131462,0.001415984,0.0015129624
-42.7271,0.0014350969230769233,0.00010606466898149376,26,0.0012267925,0.0012471275,0.0013753825,0.00142294,0.00151864,0.0015832875,0.001594485,0.0013346801785714278,0.00010083043191402002,112,0.0010651584,0.0011727775,0.0012778625,0.00133352,0.001386485,0.0014906415,0.0015961867000000001,0.0012694190706319711,9.589324927346348e-05,269,0.0010465192,0.00111871,0.0012057,0.0012682,0.00133023,0.00142911,0.0015117695999999998
-41.7271,0.001450178076923077,0.0001075519703964267,26,0.00120733,0.001262535,0.0013903975,0.00144024,0.0015323425,0.0016002025,0.00161337,0.0013482719642857147,9.696882315762779e-05,112,0.0011057072,0.001201965,0.0012919525,0.0013536099999999999,0.00140054,0.0014951779999999998,0.0015920264,0.0012783845353159862,9.320106596235012e-05,269,0.0010700072,0.001130058,0.00121232,0.00127922,0.00133935,0.0014279919999999999,0.0014954787999999998
-40.7271,0.0014618507692307696,0.00010683741842343725,26,0.0011986825000000001,0.0012853675,0.00140879,0.00147017,0.001537695,0.00160644,0.0016214074999999998,0.001359636339285714,9.322089343577934e-05,112,0.0011538626,0.001211237,0.001311165,0.001367235,0.0014136650000000001,0.0015017495,0.0015869227,0.001285343234200744,9.12009288560287e-05,269,0.001072756,0.001127514,0.00122277,0.00128766,0.00135275,0.0014237520000000001,0.0014857196
-39.7271,0.0014732407692307692,0.0001031406297798526,26,0.0012092075,0.0013170575000000001,0.0014272725,0.00148985,0.0015399025,0.0016132775,0.0016269925,0.001370840982142857,8.967607593177904e-05,112,0.0011884084,0.001220367,0.0013171675,0.00137947,0.001427995,0.0015111275,0.0015732269,0.0012916745724907057,9.027500653012613e-05,269,0.001080958,0.001140262,0.00122728,0.00129256,0.00135531,0.00143003,0.0014862152
-38.7271,0.0014850473076923078,9.56710150696727e-05,26,0.001239925,0.0013549425,0.001439515,0.0014980150000000001,0.0015496124999999999,0.0016198775,0.00162862,0.001381146517857143,8.624122329764088e-05,112,0.0011675663,0.0012345385,0.0013225025,0.00139308,0.001445055,0.0015136235000000001,0.0015562610000000002,0.0012965547211895919,8.933772959252213e-05,269,0.0010856680000000001,0.001152134,0.00122974,0.001303,0.00136286,0.001426324,0.0014951052
