Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-47.7271,0.28762776923076927,0.05499013774946027,26,0.21122,0.21643925,0.247096,0.286205,0.31375549999999996,0.37729725000000003,0.40825900000000004,0.3317186250000001,0.060208490866759834,112,0.16060849,0.22808640000000002,0.299061,0.331252,0.36926,0.42947939999999996,0.44350044,0.37897618215613355,0.07081139502032253,269,0.1661544,0.24368499999999998,0.342809,0.383736,0.424365,0.48561879999999996,0.5162933199999998
-46.7271,0.29869588461538454,0.05637559574307091,26,0.2178515,0.22698849999999998,0.25875375,0.295868,0.32458475,0.39090650000000005,0.42957775,0.34475084821428587,0.061102309429115265,112,0.15784240000000002,0.23629300000000003,0.307748,0.34349450000000004,0.38727075,0.44051165,0.45232663,0.39342574721189605,0.070818320611034,269,0.17829124000000002,0.26952339999999997,0.355851,0.399258,0.438506,0.4976814,0.5337036
-45.7271,0.3082884615384615,0.05664727490160901,26,0.22351975000000002,0.23636025,0.269487,0.300871,0.335655,0.40043075,0.443588,0.3564848214285714,0.061546725100369376,112,0.15185489000000002,0.2505177,0.32308574999999995,0.357928,0.40163825000000003,0.4441573,0.46304596000000003,0.4065199999999999,0.0700395849315271,269,0.19568232,0.2858098,0.36579,0.411816,0.449406,0.508122,0.54428376
-44.7271,0.3169181923076923,0.05605434366328393,26,0.23042425,0.2452675,0.28410975,0.306772,0.34635024999999997,0.41156725,0.45465025000000003,0.36791292857142854,0.06217440021448448,112,0.15910848,0.26383325,0.3333025,0.369539,0.41167375,0.45209235,0.47635099000000003,0.4197450706319701,0.06913943550707896,269,0.21373652,0.301585,0.382347,0.422822,0.463535,0.517963,0.5615201999999999
-43.7271,0.32892369230769236,0.055546289373652476,26,0.2426825,0.257609,0.29246225000000003,0.32021599999999995,0.35856774999999996,0.424891,0.46711899999999995,0.3850277767857144,0.06393243826352234,112,0.16666053,0.2850345,0.35167375,0.387654,0.427739,0.47559419999999997,0.49295549,0.4398260817843866,0.06933363735101199,269,0.2377768,0.3286196,0.405902,0.440544,0.485919,0.5428274,0.5858061599999999
-42.7271,0.3416721153846154,0.05511662279372852,26,0.25388374999999996,0.25855075,0.30978300000000003,0.341058,0.37122875,0.43948275,0.47213525,0.40267876785714296,0.06530706713050945,112,0.16161802,0.29902335,0.36978025000000003,0.403497,0.44665774999999996,0.4994258,0.50918422,0.4605470223048331,0.06872274804066478,269,0.26738328,0.3478836,0.425962,0.460344,0.500864,0.5692166,0.6178014
-41.7271,0.3540229615384615,0.055310190599910804,26,0.247042,0.2681735,0.31839275,0.3618535,0.38180475,0.44923225,0.46916175,0.4197052142857144,0.06523115387541165,112,0.19890988,0.31821725,0.38461449999999997,0.42306750000000004,0.46852475,0.5091561,0.52248259,0.48016054275092923,0.0675387062955566,269,0.2990492,0.3728412,0.443511,0.480795,0.518149,0.5833868,0.64016544
-40.7271,0.3679705,0.056153454144335584,26,0.24283075,0.27544725000000003,0.33234275,0.37985,0.4022865,0.4554015,0.46397,0.4373840000000002,0.0639347359857501,112,0.25606606,0.34577975,0.40057775,0.439141,0.48502725,0.5246872499999999,0.53389751,0.4994937918215613,0.06704997861053288,269,0.31735631999999997,0.3979512,0.45894,0.501269,0.544403,0.6026696,0.6609143599999999
-39.7271,0.38452130769230763,0.05708234689482851,26,0.24928525,0.28429325000000005,0.355508,0.39071849999999997,0.42653975,0.4589155,0.46317575,0.4558242857142856,0.062259083697662844,112,0.31960403000000004,0.35459715,0.41673525,0.4625065,0.5027485,0.54135775,0.5531378699999999,0.5182742676579924,0.06753343833615107,269,0.34679536,0.40762940000000003,0.472004,0.52517,0.560708,0.6249051999999999,0.67274808
-38.7271,0.40283365384615394,0.05754637058229984,26,0.26906549999999996,0.29556000000000004,0.37218249999999997,0.403359,0.4502155,0.46939325,0.47454525000000003,0.4733766875000001,0.06046889099557554,112,0.32999878,0.3709711,0.43503925,0.47949200000000003,0.51527,0.5671842500000001,0.57127681,0.5346706654275097,0.06767534594031548,269,0.3765118,0.41816939999999997,0.489901,0.540585,0.577708,0.6444736,0.6830852000000001
-37.7271,0.4201009230769231,0.057770535336223484,26,0.298482,0.3057865,0.38886125,0.43166950000000004,0.46678050000000004,0.484577,0.50004475,0.4877619375,0.05831304579799705,112,0.34137425000000005,0.39581945,0.44727175,0.4904755,0.5301525,0.5775208,0.58781275,0.546727282527881,0.06651578905279108,269,0.3981866,0.4346484,0.504557,0.551628,0.591966,0.657982,0.6984655999999999
-36.7271,0.433200423076923,0.05732222345036737,26,0.31630975,0.324298,0.39689625,0.44735800000000003,0.4775135,0.5004435,0.518148,0.4969201071428571,0.05543593101453133,112,0.36851705,0.40507855,0.45247925,0.501287,0.5366525,0.5825553499999999,0.60044519,0.5533723345724907,0.06385926237361789,269,0.41637716,0.4448978,0.513427,0.55807,0.595959,0.6534251999999999,0.7097674399999998
-35.7271,0.44023057692307693,0.05513794919085988,26,0.3278005,0.3393905,0.40250075,0.4494895,0.48446625,0.511452,0.52334825,0.49949526785714315,0.05235511205255619,112,0.39800197,0.4110164,0.460366,0.5001995,0.538038,0.5806100000000001,0.6057578699999999,0.554350167286246,0.06012886562083786,269,0.4297258,0.4516398,0.514405,0.556218,0.594701,0.6472522,0.6972867199999999
-34.7271,0.440604576923077,0.051979981124408325,26,0.3350705,0.34706325,0.40598875,0.449187,0.4762595,0.5144215,0.5167655,0.4953910535714288,0.049580534180086136,112,0.40484921999999995,0.41813615000000004,0.459787,0.49202199999999996,0.53065175,0.5732191999999999,0.61699296,0.5500369182156131,0.056036683180585786,269,0.43707772,0.45500640000000003,0.513164,0.550518,0.589203,0.6372582,0.6797843999999998
-33.7271,0.4345677307692309,0.0484180484353161,26,0.33796800000000005,0.3492575,0.406833,0.4445925,0.46561225,0.50260925,0.5088555,0.48550907142857147,0.04679651052839829,112,0.39746586,0.41836085,0.45375775,0.481132,0.5147740000000001,0.56341095,0.6058719100000001,0.540920405204461,0.05237037898913653,269,0.4262132,0.4519332,0.502857,0.53647,0.577322,0.6247197999999999,0.65667972
-32.7271,0.42229265384615383,0.04438749237516561,26,0.33724825,0.34595725,0.3964535,0.425192,0.45378525,0.48988600000000004,0.494449,0.46997592857142845,0.04380204011389191,112,0.38914952,0.4047457,0.441041,0.466032,0.49641825,0.5473614499999999,0.57022745,0.5263731449814124,0.04960144288988732,269,0.42205156,0.4441754,0.492449,0.522073,0.558776,0.6081604,0.63172124
-31.7271,0.4042255769230768,0.039492381246182734,26,0.332989,0.338298,0.38264600000000004,0.4053055,0.4327105,0.46352025,0.471999,0.44827998214285725,0.040524752779029755,112,0.37784051999999996,0.38872225,0.420482,0.4422745,0.47498575,0.5226476999999999,0.5389630700000001,0.5050232676579924,0.04770888975489274,269,0.40663164,0.428029,0.469764,0.501538,0.533128,0.5908716,0.6036448799999999
-30.7271,0.38130346153846156,0.035313518393080875,26,0.32137150000000003,0.32356225,0.36645275,0.378843,0.40439175,0.4355915,0.4419885,0.4212239910714287,0.03745128948657345,112,0.35579653,0.36717335,0.39624275000000003,0.4197885,0.43885725000000003,0.4864111,0.51108572,0.47633367657992554,0.046450814033275716,269,0.38676699999999997,0.4068522,0.443905,0.472476,0.504219,0.561212,0.57838768
-29.7271,0.35757265384615383,0.03223795164577589,26,0.304763,0.30705825,0.3375775,0.3582755,0.37692025,0.4076495,0.41097249999999996,0.39314803571428564,0.035473748198124454,112,0.32101154000000004,0.338521,0.37090625,0.394869,0.4137505,0.45548425,0.47977736,0.44439240148698883,0.04579374905611383,269,0.35928716,0.37381380000000003,0.413817,0.440942,0.46912,0.53393,0.5562451199999999
-28.7271,0.3384916923076923,0.029732751054376696,26,0.28746675,0.297805,0.3163285,0.3386905,0.35956775,0.387616,0.39074275,0.37052186607142834,0.03455700817268136,112,0.29548437,0.3175755,0.34841449999999996,0.371985,0.39287225,0.42996205,0.45571995,0.41696350929368,0.04526444709221884,269,0.33113628,0.34869,0.387798,0.413474,0.440617,0.5056912,0.5304818
-27.7271,0.32739599999999996,0.027787242990984194,26,0.27748249999999997,0.29010199999999997,0.3051425,0.32497849999999995,0.348801,0.37398025,0.38108200000000003,0.3573350892857142,0.03408543770579395,112,0.27334125,0.30350735,0.3346365,0.359807,0.3784545,0.413574,0.43192567000000004,0.39873769516728597,0.04458072059160138,269,0.31371676,0.3331544,0.36964,0.39658,0.424228,0.48754780000000003,0.52228436
-26.7271,0.32534634615384606,0.026780503814442785,26,0.277251,0.290646,0.30484174999999997,0.3228045,0.345996,0.3700255,0.37892325,0.3547991071428571,0.03331654833423379,112,0.26521053,0.30173925,0.33432525,0.35825149999999994,0.375967,0.40968635,0.42270284,0.3919872936802975,0.043946133685227054,269,0.30870176,0.3271018,0.363777,0.387872,0.418591,0.4752586,0.5137222799999999
-25.7271,0.33232334615384607,0.026530001533271435,26,0.28645075,0.29904775,0.30976725000000005,0.33281,0.3489065,0.3771055,0.38426325,0.3628438035714286,0.03225302711481787,112,0.28648620999999996,0.31209295,0.34283725,0.3656915,0.38226375,0.41316569999999997,0.43131916000000003,0.3975979033457252,0.043240013352213225,269,0.31541012,0.3366552,0.369081,0.393861,0.424432,0.4721268,0.5126232399999999
