Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-45.6552,0.019960898461538458,0.005891464670076324,26,0.004298655,0.0077525875,0.01993895,0.02067045,0.022246349999999998,0.026906425,0.02975375,0.018827224907407406,0.005681665159071297,108,0.0032715699,0.007244667000000001,0.01606055,0.01982125,0.022199725,0.025838839999999995,0.030886799999999992,0.02923663125925926,0.01379937707743977,270,0.0075925918,0.013677675,0.020807275,0.02594825,0.0342976,0.053906819999999994,0.07488407500000001
-44.6552,0.014727380769230766,0.004548736026467065,26,0.00297081,0.005894775,0.014159325,0.015042699999999999,0.01648065,0.020187175,0.0231961,0.014432723425925933,0.004584038725263585,108,0.0024034881,0.0061900785000000005,0.01215045,0.014501549999999998,0.016981074999999998,0.020519,0.024742174999999998,0.025372032296296306,0.01384214892774062,270,0.0060678978,0.011789355,0.016750374999999998,0.021114,0.030008649999999998,0.05265453999999997,0.07122853
-43.6552,0.010754912307692311,0.0034496755112019537,26,0.0020875875,0.0042880800000000005,0.01019505,0.01086045,0.0119049,0.0151535,0.0178358,0.010944044259259256,0.0037840136561193296,108,0.0018547283,0.004670841,0.0090312875,0.01092225,0.012696425,0.016300005,0.019696116,0.02248017500000001,0.014145201576715775,270,0.0057740987,0.009347613000000001,0.013337375,0.01808585,0.027708075,0.04921396,0.07176508300000001
-42.6552,0.007858676153846151,0.002614210163983113,26,0.001471775,0.00313201,0.007329475,0.007848075,0.008629105,0.0113468,0.013620125,0.00849731,0.0033969161042168607,108,0.0014441125000000002,0.003548596,0.006957410000000001,0.008238305,0.0097405875,0.013166315,0.01686400399999999,0.020841506185185186,0.01469648019377598,270,0.0050821812999999995,0.007231548,0.010936625,0.01680285,0.02572775,0.048687035,0.07483703200000005
-41.6552,0.005165149307692308,0.0018562956856763044,26,0.000779474,0.00198094,0.0046845624999999995,0.005052775000000001,0.005747375,0.007758092500000001,0.00957237,0.006316699175925929,0.0032659921788958206,108,0.00100134515,0.002400509,0.0046554875,0.00557379,0.007227825,0.011398054999999992,0.014601669999999995,0.0196605953851852,0.015479376337458696,270,0.0036060390999999997,0.005420800000000001,0.0090850975,0.01506,0.025370524999999998,0.047963564999999944,0.07532909600000007
-40.6552,0.0016414434576923075,0.0009471133354930435,26,0.000211989925,0.0006714315000000001,0.0010921799999999999,0.00146027,0.001879455,0.0036216350000000002,0.0044361975,0.003526749787037039,0.003456023440469156,108,0.00067141046,0.00096969445,0.0015181975,0.00220958,0.00434779,0.009892951499999997,0.012831496999999992,0.018292225044444443,0.01693928363729262,270,0.0015129099,0.0024405235,0.00718277,0.0128343,0.02333615,0.047182194999999955,0.07661197300000007
-39.6552,0.0006383483038461539,0.0005258791056110676,26,5.6744925e-05,0.0001997225,0.00037921175,0.0004891229999999999,0.0007157445,0.0017424125,0.0023185675,0.0029680206944444434,0.003973211932720641,108,0.00018658212,0.000340108,0.00066866875,0.001276415,0.0037242025,0.01026711,0.019056404999999946,0.019369129622222224,0.0183430330661766,270,0.00076600494,0.001642943,0.0074109275,0.01382235,0.025314425,0.05230712499999999,0.08382890700000006
-38.6552,4.595096230769231e-05,0.00014945324802305925,26,0.0,0.0,0.0,0.0,0.0,0.00017668475,0.0006016274999999999,0.0027710429542962965,0.004539995774523659,108,0.0,0.0,8.0627e-06,0.00079038,0.00367656,0.010828874999999991,0.024465265999999927,0.020857384277777773,0.01957292613005229,270,0.00036949117,0.001854451,0.0083564875,0.01499485,0.02699535,0.0578374,0.09402874900000004
-37.6552,3.360652507692308e-05,8.551102229576872e-05,26,0.0,0.0,0.0,0.0,0.0,0.00024736675,0.0002974665,0.0031641238043981492,0.005099807515112814,108,0.0,0.0,3.3454e-05,0.0010825700000000001,0.0042885775,0.013553359999999967,0.026268436999999947,0.02298811877777778,0.020539532147437138,270,0.00045667738999999996,0.0023167920000000002,0.009642945,0.01820215,0.031917025,0.0601757,0.10201045500000003
-36.6552,5.283840384615385e-05,0.0001858335987716053,26,0.0,0.0,0.0,0.0,0.0,0.000294328575,0.00076042175,0.0036043064254611115,0.005538142195956091,108,0.0,0.0,9.638975e-05,0.00129825,0.00498238,0.015229064999999957,0.02681086299999998,0.025053380633333348,0.021132317002812307,270,0.00044640442,0.0030602000000000003,0.010482,0.02066145,0.0344955,0.05890529499999998,0.10562985000000004
