Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-45.6552,0.3087135384615385,0.04492764246049932,26,0.230568,0.2422615,0.2749605,0.31219549999999996,0.33952425,0.37893925,0.385124,0.3472258571428572,0.05199531456036842,112,0.19674148000000002,0.2614976,0.32208,0.34280900000000003,0.37997250000000005,0.42536579999999996,0.47021664,0.3983519070631973,0.058749436031484165,269,0.21000888,0.30161540000000003,0.369382,0.402483,0.436907,0.48358419999999996,0.5164695599999998
-44.6552,0.31473223076923074,0.04493765256201769,26,0.2399125,0.24795450000000002,0.28281725,0.321225,0.34807525,0.38455150000000005,0.39529525,0.35571956250000003,0.051244911736473324,112,0.21139659,0.2654691,0.3287785,0.352889,0.38989325,0.4326514,0.47756834000000004,0.4081031821561335,0.054968228395981755,269,0.24459672000000002,0.3205984,0.377441,0.412173,0.443705,0.4909576,0.5346945199999998
-43.6552,0.32327088461538456,0.04446444830407945,26,0.2500545,0.25428575,0.28943624999999995,0.3273085,0.35695125,0.38950450000000003,0.402841,0.36582992857142876,0.04995757285517819,112,0.23551794,0.2823487,0.33806125000000004,0.3659525,0.399556,0.44169835,0.48485692999999996,0.41946192193308546,0.05283608738972191,269,0.26667724,0.34196519999999997,0.388828,0.422782,0.453047,0.50091,0.5548803999999999
-42.6552,0.33343946153846155,0.043715394135458295,26,0.26062275,0.2619125,0.29693125,0.33785350000000003,0.36880075,0.394576,0.40894075,0.37733281250000017,0.04822377861866306,112,0.24598715000000002,0.29583905,0.35080125,0.377109,0.40710825,0.45243595,0.4924032,0.43214196654275117,0.05130472387326106,269,0.28941056,0.3518296,0.40054,0.433681,0.462368,0.513878,0.57274656
-41.6552,0.34598296153846153,0.04256871424366093,26,0.27181025,0.27340975,0.3179845,0.3514835,0.381086,0.4002715,0.413711,0.3915700892857143,0.046589526197883875,112,0.26716666,0.3088796,0.36688624999999997,0.389981,0.4196735,0.46562824999999997,0.50259217,0.4474547323420075,0.05045113722779047,269,0.31540732,0.373606,0.414625,0.448129,0.478259,0.527515,0.5883717599999999
-40.6552,0.3599089230769232,0.040979626847420736,26,0.28343050000000003,0.2860275,0.34324075,0.366653,0.39247699999999996,0.4091255,0.416468,0.40841928571428554,0.0446847978313984,112,0.30309799000000004,0.3325323,0.38451650000000004,0.4071765,0.43956649999999997,0.47850025,0.51176259,0.46455676579925653,0.049962931163126965,269,0.34385008,0.388075,0.42959,0.464466,0.496801,0.5419366,0.5883843999999999
-39.6552,0.37535873076923065,0.039944917013865676,26,0.29365549999999996,0.2968675,0.35734475,0.387097,0.4085765,0.4162575,0.4252105,0.4258785267857144,0.04366199199562822,112,0.33160123,0.3481019,0.40162125,0.42230599999999996,0.45640250000000004,0.49111769999999993,0.52127578,0.482420059479554,0.05074022053172798,269,0.37448696000000004,0.3978734,0.449045,0.477979,0.517948,0.5651776,0.5895566
-38.6552,0.38792699999999997,0.040231703728278785,26,0.30252075,0.30541925,0.37022875,0.40193500000000004,0.417728,0.43155,0.44064325,0.44025212500000005,0.04324151138800966,112,0.3350406,0.37249895,0.41057625,0.4406025,0.47001925,0.5039798499999999,0.52692413,0.49682671375464676,0.05143532355896596,269,0.3796904,0.4091998,0.4643,0.492983,0.535375,0.5791578,0.6113315599999999
-37.6552,0.3941757692307692,0.04116966560593631,26,0.3063195,0.30935325,0.3790235,0.4014505,0.42255699999999996,0.44408349999999996,0.452075,0.44855111607142834,0.04262567775282062,112,0.34828421,0.37418325,0.4177375,0.453647,0.47785849999999996,0.5156603999999999,0.5301486400000001,0.5049800185873607,0.0514038579105253,269,0.38056504,0.41786,0.474223,0.499447,0.539713,0.5918106000000001,0.6249337199999998
-36.6552,0.39439492307692314,0.0416282088127011,26,0.30570074999999997,0.30953824999999996,0.38423975,0.3994035,0.42175025,0.44750825,0.45620799999999995,0.45081894642857157,0.041401048568093596,112,0.35592153,0.37846860000000004,0.4176785,0.455117,0.47877875,0.5135834499999998,0.53044386,0.5072528884758367,0.05088115854508917,269,0.3856674,0.4273564,0.473852,0.505615,0.538601,0.5971664,0.63244156
-35.6552,0.3902861538461539,0.04138768598092173,26,0.3014165,0.307154,0.37327925,0.394254,0.417984,0.44163575,0.454198,0.4478839196428573,0.04007029723394759,112,0.35933587,0.3766898,0.42030575,0.4506405,0.47406375,0.51800665,0.52709792,0.5050053568773235,0.05003692412249998,269,0.39039828,0.4277506,0.472036,0.503865,0.533382,0.5992496,0.63325116
-34.6552,0.383237423076923,0.04084203615313329,26,0.29531725,0.30305899999999997,0.36161475,0.3894185,0.41303599999999996,0.43586025,0.4501995,0.4410712857142859,0.03873617795110889,112,0.35919839,0.3681958,0.41708925,0.4447845,0.46710549999999995,0.50534515,0.51694403,0.4995561561338292,0.04955385735228345,269,0.39299188,0.4231018,0.467646,0.496623,0.52816,0.5917032,0.6306926399999999
-33.6552,0.3743188076923077,0.04001997158121852,26,0.289318,0.29872350000000003,0.350641,0.3806035,0.39991725,0.4334665,0.44484925,0.4315540178571429,0.03770353643699135,112,0.35544857,0.36366355,0.40746475,0.43444150000000004,0.45692,0.48675064999999995,0.51045149,0.4915751933085504,0.049813425727720725,269,0.39231608,0.4150092,0.45942,0.490217,0.519289,0.5853740000000001,0.63299072
-32.6552,0.36391469230769236,0.03945507601388621,26,0.28040875,0.29163249999999996,0.34149875,0.373033,0.38280149999999996,0.4279,0.43632875,0.4196806785714285,0.03689188756992964,112,0.34696095,0.35883745,0.39539575000000005,0.42342650000000004,0.44109875,0.4718775499999999,0.50136605,0.4805973234200746,0.05051007139119402,269,0.38599876,0.4043278,0.447005,0.478244,0.506674,0.5709022,0.61845904
-31.6552,0.35322819230769237,0.03872031256280788,26,0.273127,0.28288399999999997,0.3294035,0.36098600000000003,0.3719515,0.41582175,0.42741799999999996,0.4052356428571429,0.03628176115118532,112,0.33069104,0.34628895000000004,0.38306450000000003,0.4041095,0.42839700000000003,0.46170995,0.48724306,0.46518035315985107,0.05100193577382187,269,0.36868096,0.39008400000000004,0.432745,0.459644,0.490699,0.5585144,0.59557156
-30.6552,0.3428351923076924,0.0379838364392216,26,0.26738700000000004,0.27642125,0.31513925,0.3494175,0.36422725,0.40105825,0.41865,0.38858631250000014,0.036323549870927924,112,0.3046848,0.3334173,0.36463,0.38409499999999996,0.411196,0.4476069499999999,0.46643925,0.4447046728624533,0.05132848692814625,269,0.34307656,0.3698128,0.410748,0.440755,0.470633,0.5447614000000001,0.58112864
