Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-28.7882,0.0010102345384615386,9.6148222695682e-05,26,0.0008422569999999999,0.0008724469999999999,0.00094146025,0.000994296,0.00106199,0.0011888925000000002,0.001204345,0.0009239329906542053,7.356245323269962e-05,107,0.00075766264,0.000791669,0.0008738624999999999,0.000937277,0.0009723965,0.001035339,0.0010623158,0.0008606697303370787,7.202296507173251e-05,267,0.00069728394,0.0007417899,0.0008138005,0.000868987,0.0009172715000000001,0.0009672804999999999,0.0009938754999999997
-27.7882,0.0010504731538461538,0.00010052755538803967,26,0.00085814375,0.00089071175,0.00098070925,0.00103338,0.0011142225,0.0012295125,0.0012482374999999999,0.0009643073644859815,7.846998815571689e-05,107,0.00078921926,0.0008223834,0.0009102665,0.00096984,0.0010224499999999998,0.0010834590000000002,0.0011037102,0.0008977917003745317,7.909406197515358e-05,267,0.00070534534,0.0007635310999999999,0.0008405395,0.000905757,0.0009586255,0.001015985,0.001041267
-26.7882,0.001085859230769231,0.00010175287420345733,26,0.000873753,0.000912971,0.0010223825,0.001071655,0.001148905,0.00125711,0.001281605,0.0009979143084112153,8.163952378474664e-05,107,0.00080164636,0.0008587123000000001,0.0009470934999999999,0.00100421,0.001052795,0.001116663,0.0011403304,0.0009283551722846443,8.429198220676831e-05,267,0.00071599494,0.0007844361,0.0008702130000000001,0.000935984,0.000993463,0.001054158,0.0010834353999999997
-25.7882,0.0011149534999999996,9.990281933288968e-05,26,0.00088887975,0.00093693025,0.0010678200000000001,0.00110614,0.0011713025,0.0012727075,0.00130288,0.0010237579813084112,8.34252528782029e-05,107,0.00081303062,0.0008918797000000001,0.0009699045,0.00103456,0.001079235,0.001139874,0.0011833688,0.0009512012471910113,8.731926068656583e-05,267,0.0007318736000000001,0.0008060311000000001,0.000894368,0.000957716,0.001018545,0.0010815220000000001,0.0011182039999999998
-24.7882,0.0011531041153846156,9.965687893500455e-05,26,0.0009077072500000001,0.00097043075,0.0011067825,0.001167025,0.0011996925,0.001308245,0.0013312775,0.0010574962897196261,8.746666663633566e-05,107,0.00083467186,0.0009166363000000001,0.0010027600000000001,0.00106589,0.00111852,0.001188642,0.0012412539999999998,0.0009800723820224718,9.189182007720618e-05,267,0.00076001124,0.0008241884,0.000923336,0.000981424,0.001049725,0.001116487,0.001162156
-23.7882,0.0011741793076923076,9.763638424430486e-05,26,0.000920845,0.001006756,0.0011253725,0.001189575,0.0012198475,0.001324885,0.00134007,0.0010724157570093454,8.879263008553376e-05,107,0.0008598471,0.0009252138,0.0010145850000000001,0.00107571,0.001126635,0.0012125719999999999,0.0012782596,0.0009906739176029963,9.163106872634978e-05,267,0.00078480356,0.0008243212,0.0009345275000000001,0.000992391,0.001055585,0.001133622,0.001175308
-22.7882,0.0011764408076923077,9.667134356034129e-05,26,0.0009274007499999999,0.0010382675,0.0011216625,0.0011893099999999998,0.0012256975000000002,0.0013192850000000001,0.0013271375,0.0010685569345794388,8.865555496161694e-05,107,0.00088674558,0.0009249748999999999,0.00101161,0.00107052,0.001115135,0.00121606,0.0012950894,0.0009827812359550561,8.82537633066714e-05,267,0.00077528156,0.0008301025,0.0009195225,0.000992025,0.00103922,0.001133534,0.0011648197999999997
-21.7882,0.0011676373076923074,9.77434931464061e-05,26,0.000932955,0.0010538524999999998,0.0010987875,0.00117903,0.001221135,0.00129881,0.00131108,0.0010554286074766351,8.793668503400047e-05,107,0.0008872369399999999,0.00091805,0.00100147,0.00105366,0.0011099999999999999,0.0012025089999999998,0.0012955152,0.0009659342509363295,8.390192478381694e-05,267,0.0007704564199999999,0.0008244781,0.0009099955,0.000969962,0.001019565,0.001110006,0.001138338
-20.7882,0.0011562682307692312,9.895856064325418e-05,26,0.0009358605,0.001030985,0.001077035,0.00116998,0.0012303875,0.001280605,0.0012958450000000001,0.001041656485981308,8.664153969229864e-05,107,0.0008582063199999999,0.0009024656000000001,0.000981682,0.00103286,0.0011027250000000001,0.001171553,0.0012742403999999998,0.0009489432734082395,8.059576279565159e-05,267,0.00076630904,0.0008120245,0.0008993384999999999,0.000948762,0.00100342,0.001085694,0.0011153232
-19.7882,0.0011511318461538463,9.840883064753582e-05,26,0.0009494435,0.0010084775,0.0010734575,0.001174445,0.00123646,0.001279985,0.00128852,0.0010347720747663554,8.548483226983546e-05,107,0.00084821126,0.0008958701,0.0009800305,0.00103642,0.0010932799999999999,0.0011571199999999998,0.0012549748,0.0009395433370786517,7.982796246543056e-05,267,0.0007557308,0.0008028121,0.0008866074999999999,0.000941401,0.0009973155,0.001064274,0.0011100536
