Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-28.7882,0.37143365384615373,0.07388452993093604,26,0.22275024999999998,0.2484505,0.3306685,0.3739095,0.43946549999999995,0.46952249999999995,0.481522,0.46035495327102804,0.05941914094680507,107,0.32091073999999997,0.3631704,0.418066,0.46266,0.5087615,0.5548331,0.5816744599999999,0.5012597378277154,0.07580519168052068,267,0.30241007999999997,0.34977600000000003,0.455851,0.514127,0.5538175,0.6014560999999999,0.6457744799999995
-27.7882,0.38797561538461534,0.08025123141488955,26,0.22315600000000002,0.252791,0.34273425,0.39232,0.45843975000000003,0.49013975,0.50639675,0.4817082336448597,0.06248057825928555,107,0.33690726,0.3728064,0.4440185,0.481346,0.526888,0.5797224999999999,0.60110778,0.5241563520599251,0.081129126373524,267,0.30188596,0.3631776,0.4784665,0.538596,0.5784484999999999,0.6297457,0.6702144599999994
-26.7882,0.40490953846153843,0.08490210648752163,26,0.22585475,0.261061,0.35506424999999997,0.4118485,0.47926274999999996,0.5081035,0.5240555,0.5021172897196263,0.0638980493339149,107,0.3593029,0.37525390000000003,0.4647445,0.501805,0.5489135,0.6017684999999999,0.61868298,0.5464170187265918,0.08425233666751171,267,0.30216818,0.372756,0.5034855,0.56223,0.605045,0.6521492,0.6832933799999995
-25.7882,0.42054357692307687,0.08738773087438445,26,0.23108825,0.2740595,0.3655895,0.4251665,0.4987705,0.526417,0.53649475,0.5203401121495326,0.06373108940998522,107,0.37123704,0.3892536,0.4839425,0.524145,0.5675475,0.6189061999999999,0.63279566,0.5668192584269663,0.0849238639424849,267,0.31099556,0.3888829,0.5295300000000001,0.583915,0.624378,0.6741058,0.6950349999999998
-24.7882,0.4399995769230769,0.09072152779100366,26,0.23860075,0.2929795,0.37782875000000005,0.44767049999999997,0.5196735,0.54972275,0.55555,0.5439269906542057,0.06442459656465672,107,0.38268124000000003,0.4158876,0.5114005,0.549615,0.5912904999999999,0.6350722,0.6665817399999999,0.5934485655430711,0.08601308063215207,267,0.32523440000000003,0.405727,0.5539805,0.612196,0.64985,0.702464,0.71934486
-23.7882,0.45602784615384606,0.09180511961571307,26,0.25062275,0.316665,0.3799035,0.4698255,0.5351585,0.5736595,0.5778095,0.5623594485981308,0.06285575579597824,107,0.40951858,0.4493707,0.528721,0.567327,0.6072285,0.6536581999999999,0.67183426,0.6148698239700374,0.08202513420605619,267,0.34912436,0.4514939,0.5757464999999999,0.632133,0.667867,0.7194275,0.7437298999999999
-22.7882,0.465402423076923,0.09128494062184543,26,0.264797,0.33434949999999997,0.39294025,0.4817715,0.53673725,0.59161275,0.59571125,0.5730617570093457,0.06038259497692979,107,0.43151002,0.4567664,0.538042,0.579945,0.6139349999999999,0.6567523,0.68262922,0.6282014269662921,0.07473175817285772,267,0.38673918,0.4854824,0.592638,0.636988,0.6746095,0.7290057,0.7530854999999997
-21.7882,0.46979646153846166,0.09003009989119451,26,0.27525499999999997,0.337148,0.39833975,0.4836205,0.531095,0.59422075,0.6082942499999999,0.5785146635514019,0.05842664754072407,107,0.44898732,0.48102280000000003,0.535482,0.588753,0.622093,0.6566715999999999,0.6908544999999999,0.6356711011235955,0.0669614923495415,267,0.425907,0.512143,0.602861,0.644448,0.6795715,0.7268719,0.75958056
-20.7882,0.4734290384615385,0.08835059993072181,26,0.28179575,0.3309925,0.4027805,0.483684,0.536478,0.5933865,0.60915425,0.5833263831775702,0.05706856795477168,107,0.45965452,0.4803412,0.5387065,0.589948,0.6272800000000001,0.6583631,0.69615926,0.6416471123595505,0.060543263090590854,267,0.45692016,0.5225123,0.6109150000000001,0.646426,0.6794039999999999,0.7242014999999999,0.7681234999999997
-19.7882,0.4806876923076923,0.08664710910204414,26,0.29049575,0.329278,0.409351,0.48727,0.53870525,0.59757125,0.606248,0.5913374392523364,0.056332763198588584,107,0.47428438,0.4886631,0.554637,0.600895,0.6351475,0.6674089,0.69565196,0.6498037677902622,0.05669503572218524,267,0.47683294,0.5340227,0.6220114999999999,0.653468,0.6875655,0.7221195,0.7705087799999998
-18.7882,0.4938872692307692,0.08582998719308198,26,0.3024015,0.33381225000000003,0.4263885,0.512016,0.5519715,0.59987475,0.60992475,0.6043232056074767,0.05617463229506383,107,0.4891836,0.5018853,0.5701485,0.611488,0.646737,0.6862413999999999,0.7047187,0.6619623370786517,0.055226842554505017,267,0.50094674,0.5660557,0.6315284999999999,0.666144,0.7028455,0.733279,0.7761956199999996
-17.7882,0.5123998461538462,0.08639403824231962,26,0.31689275,0.34432300000000005,0.45139074999999995,0.5407625,0.5771025,0.612114,0.62658275,0.6212806542056076,0.05618245471844942,107,0.48785293999999996,0.5238889,0.5790280000000001,0.630905,0.6624384999999999,0.7015617,0.71882428,0.6773430823970037,0.05507100515794103,267,0.52074266,0.5877008,0.6460375,0.683441,0.7175305000000001,0.751707,0.7815585399999998
-16.7882,0.5341009615384616,0.08798928645942335,26,0.33241299999999996,0.3588005,0.4848405,0.5606425,0.5976192499999999,0.63315575,0.6466735,0.6399849252336448,0.05548840815027009,107,0.49736922,0.5505489,0.595666,0.644289,0.6811590000000001,0.7219517,0.73570212,0.6939182209737828,0.05492193611633494,267,0.54481162,0.6010908,0.662067,0.698993,0.7338935,0.7698178999999999,0.80451926
