Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-28.7882,0.001422287307692308,0.00014518869943787476,26,0.00109031,0.0011867575,0.0013469925000000002,0.0014181900000000002,0.0014903375000000002,0.001622135,0.001729095,0.001339158937500001,0.00013287117102113457,112,0.00098604647,0.0010689270000000001,0.0012653224999999999,0.00135899,0.0014269250000000001,0.0015081600000000001,0.0015524289,0.0012821139377289367,0.00014344289885213115,273,0.00090417224,0.001004506,0.00119784,0.00130563,0.00137899,0.0014816039999999999,0.0015310859999999999
-27.7882,0.001442879230769231,0.00013918488271139442,26,0.0010977674999999999,0.0012033974999999999,0.0013725325,0.001437295,0.001532825,0.0016356349999999999,0.001724355,0.0013616251874999999,0.00013126437588698833,112,0.001028932,0.0010780665,0.001300585,0.0013824800000000002,0.0014495475,0.001534324,0.0015692806,0.001301139424908423,0.00013983238901954862,273,0.00092357068,0.001020736,0.00122348,0.00132521,0.00140086,0.0014945059999999998,0.0015499664
-26.7882,0.0014592380769230767,0.000129731483365272,26,0.0011188075,0.0012169875,0.0014210525,0.0014559199999999999,0.0015440900000000001,0.0016284625,0.0017098125,0.0013775062767857147,0.00012888090426200138,112,0.0010212999000000001,0.00111279,0.001319585,0.00139661,0.0014588975,0.0015615425,0.0015903404,0.001314341010989011,0.0001351719981909074,273,0.00095188732,0.001053842,0.00123129,0.00133638,0.00141092,0.0015022279999999998,0.0015553335999999997
-25.7882,0.0014703423076923075,0.00011880710151527784,26,0.0011495750000000001,0.001231715,0.00144026,0.0014634000000000001,0.0015367225,0.0016197149999999999,0.0016885475,0.0013863916964285716,0.0001261929348180678,112,0.0010149813,0.0011331124999999999,0.0013259349999999999,0.0014062649999999999,0.0014616675,0.0015723479999999999,0.0016177499,0.0013203912051282054,0.00012877644615040006,273,0.0009819890799999998,0.001082326,0.00124326,0.00133498,0.00140975,0.0014974279999999999,0.0015446331999999993
-24.7882,0.001482803076923077,0.00010899862075344737,26,0.00118976,0.0012533675,0.0014431125,0.0014671649999999999,0.0015473525,0.0016292225,0.0016672925,0.0013968330714285708,0.00012438662429464943,112,0.0010143919,0.001180051,0.0013376999999999998,0.00141919,0.0014689525,0.0015723154999999996,0.0016507344,0.001325162069597069,0.00012127320004799563,273,0.0010144116,0.001103174,0.00125377,0.00133896,0.00141287,0.001499758,0.0015511023999999999
-23.7882,0.0014844211538461538,0.00010161834567938693,26,0.0012127350000000002,0.0012846775,0.0014338075,0.00147979,0.00154682,0.0016294925000000001,0.001637355,0.0013935923571428567,0.00012010099866938997,112,0.0010306504,0.0012131765,0.0013289125,0.001409535,0.0014671950000000001,0.0015609539999999998,0.0016575767,0.0013168072380952394,0.00011162551362758987,273,0.001030722,0.001107676,0.00124711,0.00132312,0.00139005,0.001486538,0.001552411999999999
-22.7882,0.0014768134615384617,9.739289682280976e-05,26,0.0012317324999999999,0.0013024525,0.0014138,0.001495765,0.001553845,0.0015993275,0.00163181,0.0013808102232142853,0.00011390729950031399,112,0.0010522077,0.0012178345,0.0013085899999999999,0.001387605,0.0014430275000000001,0.0015463179999999999,0.0016392293,0.0012991124871794876,0.00010203705564236219,273,0.0010453104,0.00110661,0.00123873,0.0013054,0.00136504,0.0014579159999999999,0.0015417795999999996
-21.7882,0.0014641865384615385,9.695566805266445e-05,26,0.0012548075,0.0012983925,0.00138844,0.001486105,0.001542245,0.0015601875,0.00161908,0.0013638709732142866,0.00010614698860308653,112,0.0010652018,0.001192815,0.0013086975000000001,0.00137065,0.0014237025,0.0015234855,0.0016085375000000001,0.0012780574871794868,9.408878574392095e-05,273,0.001035884,0.001111994,0.00122284,0.00127882,0.0013377,0.001424682,0.0014995724
-20.7882,0.0014546492307692305,9.729241696753461e-05,26,0.0012726975,0.00128545,0.0013673125,0.001473335,0.0015323000000000001,0.0015588325,0.0015978075,0.0013516945535714281,9.781589448659825e-05,112,0.0010826142999999999,0.0011933455,0.0013005924999999999,0.00135754,0.0014115775,0.0014988004999999995,0.0015789021000000001,0.0012619651282051282,8.93412411401239e-05,273,0.0010369215999999999,0.0011091879999999999,0.00120933,0.00126733,0.00132242,0.0014017139999999999,0.001475204
-19.7882,0.0014534684615384612,9.575266699961135e-05,26,0.0012569925000000001,0.00129952,0.001366445,0.00147391,0.0015401125,0.001566015,0.0015702875,0.001348582142857143,9.082087114208074e-05,112,0.0011106285,0.001193515,0.0013101625,0.001352715,0.00140105,0.0014967685,0.001556268,0.0012561512820512817,8.828824231082868e-05,273,0.0010475244,0.001107866,0.00119309,0.00125785,0.00131918,0.001391032,0.0014625004
