Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-27.2205,0.39773296153846166,0.06543954456411247,26,0.27003275000000004,0.294805,0.34244275,0.414998,0.4467875,0.473898,0.506672,0.4647557027027026,0.07741076055369642,111,0.2436736,0.32560049999999996,0.42407700000000004,0.479169,0.5131505000000001,0.566312,0.6057698000000001,0.5146648783269961,0.07415492780406681,263,0.27780900000000003,0.3758651,0.473789,0.522532,0.567596,0.6105901,0.65375306
-26.2205,0.4162750384615385,0.06836256823758496,26,0.28448675,0.2978305,0.359305,0.4344665,0.46371999999999997,0.49461124999999995,0.522731,0.48681390090090104,0.07794582260355354,111,0.258168,0.34640099999999996,0.44483300000000003,0.497876,0.53687,0.5852459999999999,0.6219411,0.5373846311787072,0.07219834050764677,263,0.31048214,0.4047379,0.4946525,0.545946,0.588569,0.6341966,0.67125104
-25.2205,0.43319419230769224,0.07148885433913135,26,0.29317175,0.29987025,0.37692725,0.454675,0.486646,0.51610125,0.53718225,0.5075892342342343,0.07792789410135442,111,0.3011528,0.362759,0.4648525,0.520254,0.5613745,0.6073875,0.6334515000000001,0.5581539163498099,0.07060756607102309,263,0.34449564,0.4277365,0.5176345,0.562959,0.606859,0.6530167,0.68770138
-24.2205,0.44821034615384614,0.07421282046382138,26,0.29402125,0.3112565,0.39293500000000003,0.4696015,0.50875225,0.5348364999999999,0.5495255,0.526621171171171,0.0764777620765283,111,0.3275326,0.376657,0.48932549999999997,0.540357,0.5827825,0.622838,0.6449254,0.5770472509505704,0.06872592595544251,263,0.38371258,0.4509489,0.5374515,0.584637,0.6260840000000001,0.6749553,0.7031445
-23.2205,0.4709092307692308,0.07826375295182704,26,0.29855175,0.32765225,0.41611675000000004,0.4883445,0.5325745,0.5619885,0.57077925,0.5561210810810808,0.07493645865630368,111,0.32936109999999996,0.4179215,0.5214274999999999,0.567231,0.6083305000000001,0.6542295,0.6706045,0.6069265437262358,0.06727700548124778,263,0.41859850000000004,0.4822465,0.5694575,0.617886,0.65586,0.7030382,0.72720844
-22.2205,0.48536496153846165,0.0800726598201812,26,0.30238824999999997,0.33537,0.4281325,0.5056525000000001,0.54325075,0.57198275,0.5837227500000001,0.5761992342342342,0.07074115578835213,111,0.33855230000000003,0.44969499999999996,0.5373775000000001,0.587965,0.626196,0.6710785,0.687397,0.6273186463878326,0.06496607994247489,263,0.46184234,0.5037259000000001,0.5839304999999999,0.640074,0.676667,0.7194332999999999,0.7435801400000001
-21.2205,0.49241061538461545,0.08023120812455808,26,0.30758825,0.3350185,0.43301575000000003,0.5249995000000001,0.54680675,0.5744717500000001,0.5857157500000001,0.5879566216216217,0.06555094986220525,111,0.3882393,0.4745745,0.5466565,0.598865,0.6319985,0.6809675,0.6941603000000001,0.6392279961977185,0.06190390775882377,263,0.4829872,0.5314684000000001,0.593503,0.648004,0.683867,0.7261922,0.76124578
-20.2205,0.49777330769230776,0.07973456391090089,26,0.31790675,0.33415125,0.43914175,0.520741,0.55664625,0.580739,0.585352,0.596470657657658,0.06131994243703868,111,0.4180515,0.499799,0.5605,0.604035,0.6390825,0.685095,0.6960941,0.6484156159695817,0.05880517890063055,263,0.50116786,0.5460806,0.610508,0.652321,0.6905095,0.7330454,0.77145136
-19.2205,0.5053790769230768,0.07964986578013705,26,0.32176174999999996,0.3554485,0.44693725,0.523301,0.5688485,0.58733075,0.5899985,0.6056552432432434,0.05829655091609642,111,0.4243467,0.512567,0.5721025,0.613375,0.64469,0.6952465,0.703627,0.6585217186311787,0.05557806293699814,263,0.52643,0.5671861,0.625795,0.662527,0.6984485,0.7414909999999999,0.77791616
-18.2205,0.5173663076923077,0.08044163041548535,26,0.330327,0.379741,0.45431999999999995,0.5417445,0.57012625,0.5997805,0.6172285000000001,0.6181316306306304,0.05610712039919353,111,0.4451878,0.52569,0.586078,0.623168,0.6554234999999999,0.706589,0.7187539,0.6717271102661597,0.05314819924979047,263,0.5389493,0.5845046,0.6398874999999999,0.674593,0.7077915,0.7500666,0.7907035
