Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-26.5924,0.001093383307692308,6.631047223886691e-05,26,0.000973213,0.00098339225,0.0010513525,0.0010950550000000002,0.00113079,0.0012026125,0.0012135625,0.0009867243999999995,6.61878346817365e-05,110,0.00082969587,0.0008639681500000001,0.0009480625,0.0009906815,0.0010264825,0.0011004055,0.0011490146,0.0009205626539923955,6.980133731213915e-05,263,0.00076118576,0.0008078073,0.000872376,0.000927586,0.0009695005,0.0010249780000000002,0.0010501362
-25.5924,0.001109218,6.849344170648749e-05,26,0.0009942185,0.0010054475,0.00106938,0.0011138699999999999,0.0011446175,0.001224865,0.0012294475,0.0009984682181818187,6.432214709553376e-05,110,0.00085086292,0.0008897716499999999,0.00096250375,0.000996945,0.0010349925,0.0011031559999999999,0.0011567317,0.0009258383878326998,6.925464182746554e-05,263,0.00076351648,0.0008119972,0.000875833,0.000933342,0.000976616,0.001032796,0.0010628794
-24.5924,0.001124311923076923,7.043250891565517e-05,26,0.00101636,0.0010217525,0.00108026,0.0011201549999999998,0.001160265,0.0012402875,0.00125091,0.001007916781818182,6.355314634317563e-05,110,0.00087298707,0.00090923145,0.0009706725,0.00100643,0.001050405,0.001109301,0.0011561672000000001,0.0009290743650190114,6.899940683595461e-05,263,0.00076961404,0.0008195654,0.0008811015,0.000934885,0.000981636,0.00104005,0.001065914
-23.5924,0.0011405876923076923,7.239446262292121e-05,26,0.001027825,0.0010437674999999999,0.0010908175,0.00112706,0.001182455,0.0012541775000000002,0.0012748625,0.0010175873545454541,6.406257354782426e-05,110,0.0008848545300000001,0.0009213572,0.0009804644999999999,0.00101506,0.00106111,0.001119753,0.0011546801,0.0009323054372623575,6.962297811420651e-05,263,0.00077602244,0.0008181295000000001,0.0008852155,0.000935953,0.0009820255,0.001048001,0.001068219
-22.5924,0.0011579534615384615,7.554780848931662e-05,26,0.0010341475,0.0010665625,0.0011062675000000001,0.001140495,0.0012065325,0.0012724275,0.0013005075,0.0010276029999999993,6.62341501276918e-05,110,0.00089681252,0.00092143605,0.000981374,0.0010281399999999999,0.0010702350000000001,0.001136804,0.0011521007,0.0009342186692015209,7.126910558778808e-05,263,0.0007850559600000001,0.0008218082,0.000887086,0.000932488,0.0009848225,0.001055079,0.0010785316
-21.5924,0.0011742238461538463,7.909677197342117e-05,26,0.0010372100000000002,0.0010807075000000001,0.001114915,0.0011552749999999999,0.001228195,0.001293235,0.001322445,0.0010367445727272725,6.964716869558428e-05,110,0.00089976215,0.0009271825,0.0009856885,0.001035215,0.001082025,0.0011532905,0.0011723016,0.0009347686159695816,7.341501056350111e-05,263,0.00078738686,0.0008228345999999999,0.000883367,0.000932413,0.0009848115,0.001065319,0.0010933566
-20.5924,0.001188112307692308,8.26517512123097e-05,26,0.001040685,0.001084085,0.001124955,0.00118728,0.0012469249999999999,0.001311395,0.001336905,0.0010429062090909092,7.357437820903272e-05,110,0.00090160106,0.0009294896,0.0009828699999999998,0.001041715,0.0010982475,0.0011565759999999999,0.0011973234999999999,0.0009328770266159697,7.541154031799694e-05,263,0.00078510474,0.0008200614999999999,0.000878094,0.000927801,0.000981754,0.001075397,0.0011051526
-19.5924,0.001195484230769231,8.487407873658844e-05,26,0.0010439075,0.0010840675,0.001125135,0.0012017249999999998,0.001258465,0.001319925,0.001338975,0.0010437359090909094,7.680182889851515e-05,110,0.00090879246,0.0009249975000000001,0.00097843175,0.00104195,0.001102575,0.0011660605,0.0012163734,0.00092758836121673,7.674145838812919e-05,263,0.0007773292599999999,0.0008125998,0.0008758170000000001,0.000918847,0.0009780915000000001,0.001078345,0.0011051102
-18.5924,0.0011997807692307693,8.596993669524606e-05,26,0.001049155,0.0010849875,0.0011225125,0.00120192,0.001276025,0.0013327999999999999,0.0013364625,0.0010423701909090905,7.919396406865977e-05,110,0.00090802383,0.0009287642000000001,0.00097527975,0.001034605,0.0010925400000000001,0.0011763655000000001,0.0012226396,0.0009214000874524715,7.7884075775039e-05,263,0.00078416964,0.0008066926999999999,0.000867968,0.000911341,0.0009707215000000001,0.0010789259999999998,0.0011077216
-17.5924,0.0012008715384615382,8.583964453292232e-05,26,0.0010564075,0.001085115,0.0011210775,0.00120191,0.001278365,0.0013333174999999998,0.001346365,0.0010383529818181816,8.030228716029187e-05,110,0.00089705698,0.00091747775,0.00097570575,0.001034505,0.0010874075,0.0011715855000000001,0.0012338849999999999,0.0009144588783269961,7.852545084904771e-05,263,0.0007758382,0.0008075165,0.0008600814999999999,0.000905576,0.0009602205000000001,0.001070897,0.0011068322
