Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-29.8048,0.000885810346153846,4.8259583486758184e-05,26,0.0008288202500000001,0.000831689,0.0008483095,0.000886547,0.00090442775,0.0009813145,0.00100148825,0.0008319286846846845,3.5013741018214283e-05,111,0.0007475162,0.000783281,0.000808604,0.000832099,0.000846259,0.000890616,0.000912054,0.000803512213483146,3.725657478590271e-05,267,0.00073005232,0.0007516272,0.0007753125,0.000801075,0.0008240000000000001,0.000874102,0.00088903144
-28.8048,0.0008841088076923079,4.851103195028466e-05,26,0.000823421,0.00082747325,0.00084495975,0.000883212,0.000905677,0.00097893075,0.001001333,0.0008292441261261261,3.4192165562547735e-05,111,0.0007480567,0.0007766229999999999,0.0008076475,0.000829206,0.00084687,0.00088928,0.0009107042000000001,0.000800774393258427,3.6587930455259445e-05,267,0.00072560542,0.0007467312,0.0007737445,0.000798599,0.0008219955,0.0008644368,0.00088689908
-27.8048,0.0008806646538461538,4.954411662261611e-05,26,0.000816008,0.00082480275,0.000839779,0.0008750105,0.0009045712499999999,0.0009782492500000001,0.00099960625,0.0008231194414414415,3.334543441903655e-05,111,0.0007523869,0.0007723364999999999,0.000800805,0.000822235,0.0008415395,0.0008822725,0.000902114,0.0007952242921348314,3.6273965254162674e-05,267,0.0007194086799999999,0.0007405312,0.000768466,0.000793798,0.000817495,0.0008628605,0.00088076758
-26.8048,0.0008813470000000001,5.045755623491887e-05,26,0.0008148272499999999,0.0008252415,0.0008382332499999999,0.0008744055,0.0009036935000000001,0.00098037475,0.00099973275,0.0008217585945945945,3.258617178145533e-05,111,0.0007590339,0.0007714115,0.0008021915,0.000820325,0.0008399925,0.000879853,0.0008963350000000001,0.0007943618464419475,3.59363451147394e-05,267,0.00071402432,0.0007419504,0.000769886,0.0007938,0.0008159365,0.0008573357,0.00087786094
-25.8048,0.0008867835769230768,5.176884780496708e-05,26,0.00081897,0.00083060375,0.000840832,0.0008795715,0.0009062759999999999,0.000990595,0.001004809,0.0008250050630630631,3.229720240664796e-05,111,0.0007604646,0.000777072,0.0008048714999999999,0.000824424,0.000844961,0.000879728,0.0008967560000000001,0.000797115,3.544538783851231e-05,267,0.00071571006,0.0007472513,0.0007714075,0.000795947,0.000817494,0.0008621855,0.0008803539399999999
-24.8048,0.0008944738076923077,5.2299656349937306e-05,26,0.0008262125,0.00083773225,0.00085118425,0.0008863035,0.00091287575,0.00099832225,0.0010107574999999999,0.0008315722612612613,3.191891502192041e-05,111,0.000766589,0.000785972,0.0008113555,0.000827959,0.000852991,0.000881902,0.0009041515000000001,0.0008030154831460674,3.5129283397117787e-05,267,0.00072699498,0.000752943,0.0007770805,0.000802742,0.0008232125,0.0008679345,0.0008840744199999999
-23.8048,0.0009056024615384615,5.289849257680659e-05,26,0.00083681325,0.00084690275,0.0008642342499999999,0.0008967705,0.0009244800000000001,0.0010082350000000001,0.0010203025,0.0008419311261261259,3.181192686002506e-05,111,0.0007737629,0.0007976435,0.000820829,0.000838026,0.0008616514999999999,0.000892696,0.0009142922000000001,0.0008124040000000001,3.520982064324275e-05,267,0.00074225352,0.000763752,0.0007849879999999999,0.000811229,0.0008348385,0.0008801384,0.0008926249599999999
-22.8048,0.000917435653846154,5.272883334035928e-05,26,0.0008499585,0.00085806475,0.0008754915,0.0009071225,0.0009366309999999999,0.0010205925,0.0010329599999999999,0.0008530893333333332,3.19048412203692e-05,111,0.0007814356,0.0008078135000000001,0.0008306555,0.000849955,0.0008726525,0.0009052114999999999,0.000926451,0.0008227023071161049,3.5373570152925924e-05,267,0.00075277612,0.0007718679,0.0007948565,0.000822266,0.0008445130000000001,0.0008898576,0.00090599486
-21.8048,0.0009295509615384616,5.204653161968108e-05,26,0.00086425075,0.0008699304999999999,0.00088656225,0.0009164545000000001,0.00095024125,0.0010318425,0.0010448375,0.0008641583873873872,3.218588658520749e-05,111,0.0007891604,0.0008193005,0.0008408560000000001,0.000861742,0.000883383,0.0009168,0.0009383917,0.0008330592209737828,3.545541037262985e-05,267,0.0007621366,0.000780392,0.0008059174999999999,0.000833301,0.000855236,0.0008985735999999999,0.0009169133599999999
-20.8048,0.0009377698461538462,5.177415724833561e-05,26,0.00087392625,0.000878074,0.0008944452500000001,0.0009236159999999999,0.0009606815000000001,0.001039225,0.001053275,0.000870631063063063,3.249330691312492e-05,111,0.0007932193,0.0008245780000000001,0.0008474235,0.0008685,0.000892351,0.0009223275000000001,0.000944285,0.0008393490486891385,3.542611975246041e-05,267,0.0007682667,0.0007866257,0.0008125465000000001,0.000840753,0.0008614145,0.0009028368,0.0009212397999999999
-19.8048,0.000942975807692308,5.20001138245056e-05,26,0.00087803475,0.00088606775,0.00090065625,0.0009269225,0.00096757625,0.00104623,0.00105938,0.0008735637927927933,3.271255767247276e-05,111,0.0007942565,0.0008260165,0.0008492905,0.000872751,0.0008960725,0.0009246,0.0009469481000000001,0.0008429148277153558,3.5345911333565606e-05,267,0.00077033008,0.0007892379999999999,0.0008187975,0.000842763,0.000864907,0.0009048264,0.0009248865599999999
-18.8048,0.0009429056923076925,5.300394815012877e-05,26,0.00087579225,0.000888503,0.000902093,0.0009250935,0.000969795,0.0010523175,0.0010615875,0.0008708684684684686,3.299783266541768e-05,111,0.0007902802,0.0008220335,0.0008465085,0.000871634,0.000893384,0.0009251785,0.000943681,0.0008408071872659177,3.4896766505239284e-05,267,0.00076857744,0.0007867309,0.0008179315,0.000841121,0.0008631439999999999,0.0009013604000000001,0.0009207818999999998
-17.8048,0.0009410586538461537,5.4175703752839094e-05,26,0.0008726455,0.00088811975,0.000901328,0.0009218995000000001,0.0009702395,0.0010562825,0.0010617325,0.0008655922342342344,3.322645424711377e-05,111,0.0007859743,0.0008156875,0.0008412005,0.000864591,0.000888203,0.0009206934999999999,0.0009368943000000001,0.0008355305056179775,3.431087880609293e-05,267,0.00076376524,0.0007810123,0.0008127255,0.000836419,0.0008582119999999999,0.0008943343,0.0009125796799999999
