Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-29.8048,0.31519719230769233,0.04010653058644612,26,0.22039275,0.241331,0.30271975,0.3237025,0.34241725,0.35674900000000004,0.358954,0.38159102702702724,0.02815315136452415,111,0.3139272,0.3385825,0.36128649999999995,0.381648,0.400267,0.42920749999999996,0.4433322,0.4222260524344569,0.02941093560169695,267,0.34430892,0.3785711,0.402845,0.421583,0.439259,0.4782744,0.4901352799999999
-28.8048,0.3137359230769231,0.039023681589438045,26,0.22141349999999999,0.2442995,0.30238025,0.321019,0.34242649999999997,0.3563695,0.35833149999999997,0.3784207117117116,0.0270505141952094,111,0.3131625,0.33890549999999997,0.3595005,0.377755,0.39678,0.425451,0.4409038,0.41766764794007494,0.02891798726674798,267,0.34429252,0.37401809999999996,0.3974895,0.417298,0.4337685,0.47463489999999997,0.48289773999999996
-27.8048,0.30924911538461536,0.03720362956629573,26,0.22235375000000002,0.24614599999999998,0.29626874999999997,0.3139265,0.33817825,0.3512465,0.35335,0.3702490720720721,0.02567060901169121,111,0.30711289999999997,0.32946850000000005,0.35188149999999996,0.370367,0.388573,0.41412550000000004,0.42747450000000004,0.4074230486891386,0.02818825835239257,267,0.34053786,0.36509939999999996,0.389467,0.406163,0.4239545,0.4607794,0.47413363999999997
-26.8048,0.3087837692307692,0.036078264755730914,26,0.22531125000000002,0.247585,0.29546174999999997,0.3125285,0.3375195,0.34918974999999997,0.35330700000000004,0.36705447747747744,0.024678554224577206,111,0.31100490000000003,0.326975,0.35021250000000004,0.366675,0.3845375,0.4071455,0.4204338,0.40271765168539325,0.02759656774334097,267,0.33970120000000004,0.3620202,0.385522,0.401072,0.420377,0.4527711,0.46829376
-25.8048,0.3105781153846153,0.03531684044795279,26,0.23074575,0.2512085,0.29368375,0.314839,0.340513,0.34984825,0.35655424999999996,0.3673243243243242,0.023654049254797856,111,0.31321099999999996,0.3283215,0.3528545,0.367484,0.38443099999999997,0.4062945,0.4146609,0.4015798988764045,0.027269240300196958,267,0.34308012,0.3593434,0.3847925,0.400606,0.41864199999999996,0.44934529999999995,0.4680678
-24.8048,0.3152561923076923,0.035569889289700334,26,0.2375195,0.255653,0.29543624999999996,0.32152400000000003,0.34463375,0.35578624999999997,0.3649105,0.3716082162162163,0.023044947780135872,111,0.3129905,0.334415,0.357638,0.371565,0.3879935,0.4103125,0.4161709,0.40515434082397006,0.02712221290528564,267,0.3486133,0.3602675,0.38833399999999996,0.404434,0.421407,0.4518467,0.47199268
-23.8048,0.3243324615384615,0.03669993109446476,26,0.24720725,0.262489,0.30114775,0.33133999999999997,0.35411775,0.36797375,0.378976,0.3811686126126126,0.022850211393957973,111,0.3169382,0.3424485,0.36702749999999995,0.381981,0.39738799999999996,0.41683950000000003,0.4246352,0.4145296142322098,0.02739824311414148,267,0.3577092,0.3698399,0.397699,0.413391,0.429883,0.4603661,0.48117133999999995
-22.8048,0.33508761538461546,0.03828266740244408,26,0.25684,0.26951575,0.30978900000000004,0.342383,0.36616275,0.38063175,0.39414974999999997,0.39349409909909927,0.023027400522363847,111,0.3271295,0.354004,0.3796225,0.393989,0.40933299999999995,0.42951799999999996,0.43730110000000005,0.427667936329588,0.02782707442752793,267,0.36938568,0.38255110000000003,0.4104945,0.427012,0.4441905,0.4771323,0.49519219999999986
-21.8048,0.34811742307692306,0.04015966777469463,26,0.26737325,0.27821125,0.3201805,0.3553925,0.37818949999999996,0.395104,0.41129675,0.40858694594594586,0.023334117333692016,111,0.3422579,0.367203,0.3963415,0.409421,0.4238825,0.44310499999999997,0.4527055,0.44400740823970036,0.028420029288536725,267,0.3839559,0.3973606,0.4263995,0.443296,0.460833,0.4970021,0.5126811199999998
-20.8048,0.3593451153846154,0.04173860568857271,26,0.27637775,0.28484425,0.32804049999999996,0.36603549999999996,0.38951025,0.40819174999999996,0.42569425,0.42138428828828844,0.023623892173886312,111,0.3568555,0.37951250000000003,0.40850200000000003,0.422941,0.43606049999999996,0.4565625,0.4661831,0.4578908052434456,0.02909176437138392,267,0.3973357,0.4088292,0.4396585,0.458189,0.47597449999999997,0.5109927999999999,0.5294076399999998
