Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-29.8048,0.02392445292307692,0.03085427496309976,26,0.0007583444999999999,0.0019699925,0.007100055,0.01080672,0.02442705,0.06395144999999999,0.123402475,0.027307216936936943,0.020437045114703605,111,0.002265632,0.004085645000000001,0.01360585,0.020854,0.03615005,0.06255465,0.10108418000000009,0.03697502345724906,0.02701993884438208,269,0.0035572204000000004,0.009076384,0.0186968,0.0293723,0.0443754,0.09214312,0.1323559599999999
-28.8048,0.019674821538461538,0.02715034949507364,26,0.00057029,0.001433805,0.0047239225,0.00858305,0.02152085,0.058397649999999995,0.10835814999999999,0.022466880720720717,0.017352418829118147,111,0.001754527,0.002899825,0.010288950000000002,0.0174455,0.03137295,0.0517604,0.08194853,0.03228228695167287,0.025953720158276974,269,0.0023421936,0.007894308000000001,0.0146913,0.0245132,0.0394456,0.09009112,0.11728791999999992
-27.8048,0.01439633203846154,0.020439854030816933,26,0.00038801825,0.00095958475,0.0030684075,0.006203595,0.0173112,0.04424295,0.081131525,0.01639813855855856,0.01289464126276619,111,0.001197202,0.0019091849999999999,0.00731921,0.0127064,0.0234335,0.03783115,0.061886050000000026,0.02487784257992565,0.02167740020164104,269,0.0016644276,0.005683378,0.0110909,0.0177648,0.0307838,0.07001546,0.096393488
-26.8048,0.010433513000000004,0.015166769769698454,26,0.00026715675,0.0006482325,0.001959035,0.004490895,0.0124699975,0.03306505,0.059934275,0.011948376756756751,0.009541022808720321,111,0.0008523488,0.0013100899999999999,0.004943705,0.00928547,0.017013399999999998,0.028013049999999998,0.04577623000000003,0.018985581215613376,0.01742727756790366,269,0.0013450741600000002,0.004377684000000001,0.00834062,0.0133666,0.023165,0.05358558,0.081012856
-25.8048,0.006430392692307691,0.010114637690583222,26,0.00010735375,0.00013124475,0.00075489,0.002065085,0.007924125,0.022310125,0.038572800000000004,0.007600754606306303,0.006445828467439278,111,0.0003225375,0.0006755895,0.002519355,0.00606372,0.01097555,0.0189332,0.02928779000000003,0.013328927780669148,0.01333414797068426,269,0.0006482774,0.002397898,0.00569418,0.00896453,0.01626,0.0386652,0.06101267199999998
-24.8048,0.003729324976923076,0.006190557786737066,26,6.74463e-05,7.39162e-05,0.00019549875,0.001048237,0.00420473,0.013903249999999999,0.023791025,0.004407501086486487,0.003989975897670735,111,6.959357000000001e-05,0.00022641099999999998,0.00126118,0.00353023,0.006494959999999999,0.0115257,0.017139990000000008,0.008971594457249077,0.009752003354032658,269,0.00030264256000000003,0.001321004,0.00344166,0.00611049,0.0109219,0.02613722,0.046382008
-23.8048,0.0012268113299999995,0.002287191827301618,26,3.3933e-07,1.5285775e-06,4.3856225e-05,0.00022565699999999998,0.00098226375,0.0051186274999999995,0.009015549999999999,0.0013858308459819824,0.0015746689515880468,111,0.0,1.5767649999999998e-05,0.0002755355,0.000760312,0.002124225,0.00418841,0.006782845000000005,0.004750196883382902,0.006168037703345854,269,6.2959824e-05,0.0003318626,0.00139258,0.00324335,0.00601702,0.013100519999999997,0.028492559999999976
-22.8048,0.00024337510576923082,0.0005087704357285064,26,0.0,0.0,0.0,2.118285e-05,0.000184913,0.00106593725,0.0019980325,0.0003963455151765766,0.0007069050554886923,111,0.0,6.59473e-08,5.520655e-05,0.000178447,0.000304212,0.00202394,0.003490326000000002,0.0031163034145353184,0.00406453057431003,269,1.3646020000000003e-05,7.994524e-05,0.000627991,0.00187933,0.00427029,0.009527328,0.016196915999999967
-21.8048,6.944432453846156e-05,0.00016122650624046745,26,0.0,0.0,0.0,4.224395e-07,2.366935e-05,0.00025401875,0.0006271945,0.000339520328145045,0.0007666581502148198,111,0.0,0.0,9.414725e-06,6.02941e-05,0.0002289285,0.002387405,0.003405767000000001,0.002977679904237919,0.003425905920869762,269,5.518537600000001e-06,5.43382e-05,0.000538672,0.00172611,0.00411303,0.009633694,0.014769343999999997
-20.8048,4.840469183846154e-05,0.00010703327782301679,26,0.0,0.0,0.0,0.0,1.6655625e-05,0.000233797,0.00040263,0.00042810503225135113,0.0009320428897082078,111,0.0,0.0,5.930685e-06,9.5266e-05,0.00033097599999999997,0.0028050799999999997,0.004221293000000003,0.0033157505179182167,0.0036530300345862378,269,1.2194300000000003e-05,8.071034e-05,0.000693987,0.00212274,0.00474669,0.010607799999999999,0.015475303999999992
-19.8048,2.167926280769231e-05,4.668278303195661e-05,26,0.0,0.0,0.0,1.97065e-08,1.4511325e-05,0.000143327,0.0001529305,0.0005627910811162162,0.001167963925088357,111,0.0,0.0,2.463145e-06,0.000166103,0.00044182849999999997,0.00344241,0.005367291000000004,0.0038579604342750934,0.004102334454501236,269,1.0314832e-05,8.297892e-05,0.000914859,0.00254525,0.00545926,0.012335259999999999,0.017608739999999998
