Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-18.4488,0.000983197,8.72628268236252e-05,25,0.00085547468,0.0008818270000000001,0.000912662,0.000973904,0.00103271,0.0011395819999999999,0.0011652216000000001,0.0008176937117117117,6.153682066718449e-05,111,0.0007094802,0.0007294630000000001,0.0007696420000000001,0.000808953,0.0008521830000000001,0.0009238345,0.0009781606,0.0006948649999999999,5.073756818796357e-05,270,0.0005858723000000001,0.0006154951,0.00065948975,0.0006929525,0.00073030125,0.0007760307999999999,0.00083255225
-17.4488,0.00098722908,8.675058993599602e-05,25,0.00086083692,0.0008893952,0.000921758,0.000979124,0.00103218,0.0011344439999999999,0.0011665459999999999,0.0008249757477477475,6.088746262863951e-05,111,0.0007145709000000001,0.000737564,0.000777526,0.000820195,0.000858949,0.000932715,0.0009746462000000001,0.0007025119518518519,5.179577505054725e-05,270,0.0005886415,0.00061934285,0.0006671875,0.0006999445,0.00073772575,0.0007866543,0.00083833626
-16.4488,0.0009881124000000001,8.543799305149125e-05,25,0.00086451896,0.0008874735999999999,0.000925299,0.000980018,0.00103123,0.0011354,0.0011654588,0.0008307860270270275,6.00073446858359e-05,111,0.0007208361999999999,0.000746167,0.000782558,0.000828802,0.000864792,0.0009321125,0.0009731018000000001,0.0007097516222222222,5.2846179530872145e-05,270,0.00059510862,0.0006284352500000001,0.00067306225,0.0007072365,0.000744442,0.0007932938,0.00084117766
-15.4488,0.0009888860799999997,8.568441975835904e-05,25,0.00086828624,0.000885141,0.000920561,0.000982041,0.00103724,0.0011419059999999998,0.0011710724,0.0008369071531531534,5.899327760673602e-05,111,0.0007275818,0.0007519015000000001,0.0007885345,0.000837196,0.000870673,0.000940147,0.0009742373000000001,0.0007185281111111112,5.329391450214166e-05,270,0.0006038045800000001,0.0006380017,0.00068012025,0.0007154780000000001,0.00075450175,0.00080278895,0.00084570941
-14.4488,0.0009863868399999998,8.631975756244917e-05,25,0.00086998856,0.0008779168,0.000913777,0.000979892,0.00103911,0.001145426,0.0011744356000000001,0.0008411267477477479,5.747520529655587e-05,111,0.0007336040999999999,0.0007576449999999999,0.0007940635,0.000838565,0.000877683,0.000948289,0.0009689496,0.0007276851592592593,5.2772536609573185e-05,270,0.00061487062,0.00064596975,0.0006901527499999999,0.0007248770000000001,0.00076247375,0.0008126631499999999,0.00084899174
-13.4488,0.0009842977599999999,8.683647565456967e-05,25,0.00086989228,0.0008735136,0.000916055,0.000975829,0.00104406,0.0011501499999999997,0.001177372,0.000845237621621622,5.604906256973829e-05,111,0.0007383528,0.000765285,0.0008014669999999999,0.000845121,0.000879178,0.0009520045,0.0009730211000000001,0.0007384192111111112,5.170990007118195e-05,270,0.00062714052,0.0006577572,0.000701117,0.0007348615,0.0007749122500000001,0.0008261569,0.0008544815
-12.4488,0.0009855376,8.722759457591388e-05,25,0.00086776088,0.0008715664000000001,0.000922757,0.000981333,0.00103468,0.0011559479999999997,0.0011826172,0.0008516374954954957,5.484408143967171e-05,111,0.0007531479,0.0007728545000000001,0.000812913,0.000844895,0.000884606,0.000954978,0.0009803347,0.0007525550407407408,5.030892900056815e-05,270,0.00064250479,0.00067074115,0.0007170297499999999,0.000750983,0.000786735,0.0008362947499999999,0.00086483194
-11.4488,0.00099193312,8.763187631474824e-05,25,0.00087037404,0.0008774338,0.000918192,0.000992809,0.00103832,0.0011633619999999996,0.0011918072,0.0008627176036036037,5.419234510456574e-05,111,0.0007737726,0.0007837935,0.000823444,0.000856762,0.0008948945,0.0009612175000000001,0.0009918188999999999,0.0007725003481481482,4.883077886248594e-05,270,0.0006645014699999999,0.00069649725,0.0007390620000000001,0.0007711355,0.00080838375,0.0008494659,0.00088289856
-10.4488,0.00100475068,8.868576483607727e-05,25,0.00087898992,0.000893542,0.000932671,0.000988153,0.00104624,0.0011731179999999997,0.0012069032,0.0008805598198198195,5.4756197303086286e-05,111,0.0007840157,0.000804467,0.000842959,0.000875312,0.000912797,0.000984637,0.001015404,0.0008012992703703703,4.793932881258329e-05,270,0.00069923397,0.0007275424,0.000769997,0.0007998384999999999,0.000833376,0.00087932085,0.0009119211
-9.4488,0.0010204678399999998,8.956124432554519e-05,25,0.00089447672,0.0009128844,0.000951804,0.00101234,0.00105843,0.0011813619999999998,0.0012207604,0.0009003132432432435,5.616356190452962e-05,111,0.0007953534,0.000827835,0.0008582380000000001,0.000897648,0.0009340645,0.00100945,0.001042083,0.0008315090111111112,4.8026639765560106e-05,270,0.0007265396,0.0007538917500000001,0.00080199775,0.0008285020000000001,0.0008609622499999999,0.0009134020999999999,0.00094130478
