Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-18.4488,0.38800763999999993,0.05873090889804107,25,0.24703352,0.2954758,0.375005,0.39765,0.419671,0.4606454,0.46374492,0.4598633693693694,0.040873864993288794,111,0.3461948,0.389412,0.43534249999999997,0.464618,0.48817350000000004,0.518583,0.5277337,0.49890311481481486,0.04276553858388397,270,0.39322351,0.42505615,0.47187850000000003,0.5048604999999999,0.5286845,0.56041,0.59144067
-17.4488,0.3962194,0.06026145550501858,25,0.25423280000000004,0.3017362,0.38815,0.406554,0.432578,0.4695724,0.47349372,0.46756918018018,0.04153990399586188,111,0.3505624,0.3979545,0.443019,0.471546,0.4952665,0.528754,0.5387786,0.5057354000000001,0.043380421244996095,270,0.39727144,0.42831355,0.4788055,0.51018,0.53569025,0.5684724999999999,0.59638392
-16.4488,0.4032072,0.061319113338202585,25,0.26274272,0.3073738,0.398095,0.413777,0.442864,0.4795052,0.48428523999999995,0.4730469459459458,0.04258025219508513,111,0.3580709,0.403205,0.448208,0.474514,0.49921899999999997,0.5361105,0.5494935,0.5095557370370369,0.044194948836860024,270,0.40040074,0.43148790000000004,0.482819,0.515574,0.5415955,0.5730355,0.60058168
-15.4488,0.41391056,0.06290351725796685,25,0.27293100000000003,0.315352,0.403609,0.422477,0.457474,0.49433499999999997,0.49748867999999996,0.483895945945946,0.043753026530918226,111,0.3648306,0.4126395,0.4605705,0.484726,0.5136265,0.5495135,0.5622845000000001,0.5187712962962963,0.044590025189026064,270,0.40835586,0.44081255,0.49134125,0.524862,0.550917,0.58619055,0.61091163
-14.4488,0.42651652000000007,0.06406051126481899,25,0.2849426,0.325168,0.410303,0.439207,0.474159,0.5080214,0.51006248,0.4972978828828829,0.0444777087430503,111,0.37133320000000003,0.425742,0.47304250000000003,0.497791,0.52923,0.5642959999999999,0.5733808,0.5311905259259259,0.04438491818598575,270,0.42257987999999996,0.45403325,0.50228925,0.5371565,0.5621275,0.59813555,0.62243326
-13.4488,0.44130604000000007,0.06499184693705819,25,0.29868004,0.3347982,0.418483,0.45633,0.48641,0.5202228,0.5228972,0.5127922342342341,0.044662724790662446,111,0.3803603,0.438922,0.488619,0.51555,0.543667,0.5817699999999999,0.5910983,0.5465811518518519,0.04383387624282479,270,0.44221327,0.46780145,0.5171534999999999,0.552635,0.5766027499999999,0.61190435,0.63607355
-12.4488,0.45889592,0.0661212871452404,25,0.31417632,0.3436048,0.431145,0.479621,0.503123,0.533311,0.5368024800000001,0.5308341351351353,0.04445469240177147,111,0.3941258,0.45340749999999996,0.506678,0.533626,0.5587759999999999,0.600357,0.6112299,0.5653039074074073,0.04297689831800341,270,0.46592355,0.48805965,0.5367824999999999,0.5717025,0.592731,0.6276977499999999,0.65605955
-11.4488,0.48034484000000005,0.06768462020877909,25,0.33179652,0.3537046,0.450269,0.506095,0.525776,0.5496596,0.55372776,0.5525964234234233,0.043828321209122216,111,0.4157531,0.4717755,0.5321415,0.555184,0.580967,0.6178515,0.6393308000000001,0.5881591185185185,0.04190643732364542,270,0.4959819,0.5116311,0.5603782500000001,0.5934065,0.61654125,0.65232085,0.6736230000000001
-10.4488,0.50893212,0.07048857481790934,25,0.35333168,0.36754980000000004,0.478584,0.537438,0.54995,0.578194,0.57845208,0.5817543963963964,0.04322010386283412,111,0.4468245,0.4974855,0.5631915000000001,0.583744,0.6084345,0.6430305000000001,0.6752674000000001,0.6188720296296296,0.04083583329720585,270,0.5290846800000001,0.54379795,0.59253875,0.6225974999999999,0.647644,0.6821448,0.69806401
-9.4488,0.53719312,0.07370453646164982,25,0.37016232,0.385786,0.511039,0.566571,0.587711,0.6040438,0.60786056,0.6103036126126127,0.04221482321222577,111,0.4821828,0.524265,0.5919730000000001,0.613242,0.6349750000000001,0.6730885,0.7077999000000001,0.6490788814814815,0.039794267475592345,270,0.56232007,0.5790693,0.62216625,0.651502,0.6774657500000001,0.710938,0.72618884
