Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-18.4488,0.0013911519999999999,0.00010525528672391389,25,0.0012675812000000001,0.001268346,0.00133278,0.0013646,0.0014294,0.0016069639999999998,0.0016526447999999998,0.0012318599107142855,8.202792314613136e-05,112,0.0010898026,0.0011058085,0.001170235,0.001227465,0.0012896625,0.0013532065,0.0014388152,0.0010586968252788102,7.117409533144212e-05,269,0.00089508804,0.0009450868,0.00100928,0.00105598,0.00110426,0.001164996,0.0012144644
-17.4488,0.0013763940000000002,9.146149845700103e-05,25,0.0012630416,0.001267024,0.00133313,0.00136672,0.00140292,0.001564818,0.0016092796000000001,0.0012323420535714287,7.39215379766001e-05,112,0.0011004555,0.001113083,0.0011773625000000001,0.00122627,0.001285605,0.0013489755,0.0014116531,0.001069831620817844,6.911468549769461e-05,269,0.0009070386,0.0009601982,0.00102539,0.00106994,0.0011166,0.00117753,0.0012271492
-16.4488,0.0013504995999999998,7.469099892668907e-05,25,0.0012568944,0.001258196,0.00130544,0.00134109,0.00136819,0.001491124,0.0015463567999999999,0.0012259636607142854,6.579548656438532e-05,112,0.0011015835,0.001120397,0.0011843024999999999,0.00122071,0.0012746024999999999,0.0013237645,0.0013663244,0.0010773956617100367,6.658160550559212e-05,269,0.0009211996,0.0009659848,0.0010357,0.00107805,0.00112379,0.001181882,0.0012327732
-15.4488,0.0013283248,6.490969233738005e-05,25,0.00124115,0.001252008,0.00128004,0.00132056,0.0013455,0.001445778,0.001495978,0.001217890446428571,6.0113789867478314e-05,112,0.0010973101999999998,0.0011248495,0.0011747475,0.001212295,0.0012640475,0.0013271189999999999,0.001346823,0.0010805696840148697,6.470331145843383e-05,269,0.0009308876799999999,0.0009742498,0.00103855,0.00107789,0.00112672,0.001184294,0.0012196236
-14.4488,0.0013069035999999999,5.882740460307026e-05,25,0.0012235948,0.0012414000000000001,0.00127111,0.00129616,0.00132791,0.0014267099999999999,0.0014585211999999998,0.001208520625000001,5.590604921871599e-05,112,0.0010991781,0.0011199365,0.0011702975,0.0012063199999999999,0.00124986,0.0013098975,0.0013353883,0.0010817052267657983,6.284059069567987e-05,269,0.0009383496000000001,0.0009782095999999998,0.00104063,0.00107788,0.00112608,0.00118195,0.0012181764
-13.4488,0.00128582,5.617397291747607e-05,25,0.0012018472,0.001223816,0.00125832,0.00127883,0.00131599,0.0014118999999999998,0.0014278724,0.0011967066964285718,5.309075105464843e-05,112,0.0011023864,0.0011165225000000002,0.0011590725,0.0011915799999999998,0.001229115,0.0012919784999999998,0.0013248222,0.0010811033494423793,6.044287357309343e-05,269,0.00094450808,0.0009852706,0.0010426,0.00108129,0.00112106,0.00117725,0.0012156107999999998
-12.4488,0.0012715412,5.738898706197904e-05,25,0.001182558,0.0012097240000000001,0.00122828,0.00126621,0.00129179,0.0013887999999999997,0.0014245292,0.0011867852678571422,5.1728226841637024e-05,112,0.0010951306,0.0011143885,0.00114569,0.0011832700000000002,0.0012129674999999999,0.0012791179999999999,0.0013115054999999999,0.0010821605464684005,5.746940709846209e-05,269,0.00095219696,0.000987591,0.00104294,0.00108368,0.00111968,0.0011734459999999999,0.0012125952
-11.4488,0.0012687868000000003,6.045390783619093e-05,25,0.0011723451999999998,0.001202018,0.00122798,0.00126573,0.00129577,0.001384226,0.0014336536,0.0011842961607142855,5.155928359438997e-05,112,0.0010900812,0.0011139625,0.0011478525000000002,0.00118023,0.0012127225,0.001274425,0.0013133050999999999,0.0010907486914498144,5.4240011913240504e-05,269,0.00096296816,0.0009984498,0.00105431,0.00109406,0.00112443,0.001178438,0.0012123187999999998
-10.4488,0.0012782368000000001,6.443189050721184e-05,25,0.0011711652,0.001200132,0.0012377,0.00127854,0.00130644,0.0013944459999999997,0.0014501435999999999,0.0011911624107142859,5.296970673010222e-05,112,0.0010920405,0.001111159,0.0011517475,0.001183585,0.001225995,0.0012789085,0.0013273474,0.0011105199628252784,5.111792777364656e-05,269,0.00099701232,0.00102241,0.00107677,0.00111221,0.00114344,0.001196952,0.0012344379999999998
-9.4488,0.0012995224,6.818905858469278e-05,25,0.0011782848,0.001211372,0.00125624,0.00129335,0.00132995,0.0014190919999999998,0.0014700408,0.001207796160714286,5.633167772894503e-05,112,0.0010992229999999999,0.001130715,0.0011665525000000001,0.0011975050000000002,0.001246835,0.0013043205,0.0013614304,0.0011390474386617111,4.9572280511745836e-05,269,0.00103163,0.0010586039999999999,0.00110943,0.00113663,0.00117053,0.0012168440000000001,0.0012661988
-8.4488,0.0013241703999999999,7.04524759134364e-05,25,0.0011922731999999998,0.0012299219999999998,0.00127743,0.00131707,0.0013636,0.0014459679999999997,0.0014869208,0.0012277582142857144,5.9232346443906506e-05,112,0.0011170052,0.001144101,0.001186195,0.00121714,0.00126287,0.001328205,0.0013934174999999998,0.0011686927137546472,4.968397695550869e-05,269,0.0010592864000000001,0.00109194,0.00113654,0.00116615,0.00120268,0.0012514919999999999,0.0012921612
-7.4488,0.0013436356,7.021049453132581e-05,25,0.001208776,0.0012506940000000001,0.00129412,0.00133488,0.00139274,0.0014617879999999997,0.0014956076,0.0012452866964285706,5.953296875066264e-05,112,0.0011323217,0.0011580155,0.0012059575,0.001235625,0.0012819975,0.0013444474999999999,0.0014113469,0.0011928975836431224,5.0083349332222805e-05,269,0.0010785852,0.00111531,0.00116086,0.00119285,0.00122602,0.001274238,0.0013155384
-6.4488,0.001353864,6.807139211886297e-05,25,0.0012200624,0.001259566,0.00131121,0.00134631,0.00139654,0.0014656899999999997,0.0014959976,0.0012568986607142858,5.6903201963383836e-05,112,0.0011567894,0.0011739285,0.001220305,0.0012486049999999999,0.0012940675,0.001353806,0.0014020872999999999,0.001208305241635688,4.9411180336021695e-05,269,0.0010982384,0.001130056,0.00117451,0.00120753,0.00124125,0.001288404,0.0013300556
-5.4488,0.0013551059999999998,6.489136254797963e-05,25,0.0012290228,0.001264662,0.00131381,0.00134697,0.00139499,0.0014611219999999998,0.0014906467999999998,0.0012625042857142854,5.295288593849186e-05,112,0.0011618053,0.0011871155,0.0012257725,0.0012553450000000002,0.0012985625,0.0013541655,0.0013814763,0.001216030111524164,4.7647672959131515e-05,269,0.0010996524,0.001141074,0.00118352,0.00121419,0.00124494,0.00129133,0.0013294992000000001
-4.4488,0.0013538311999999996,6.169345956150187e-05,25,0.0012422296,0.001270606,0.0013067,0.00134217,0.00140165,0.0014577639999999998,0.0014877316,0.001267305982142857,4.9152192649666686e-05,112,0.0011682941,0.0012023335,0.0012340575,0.0012581150000000002,0.0013053774999999999,0.0013496415,0.0013764580000000001,0.0012227886988847587,4.5892977670011626e-05,269,0.0011118692,0.001150538,0.00119312,0.00122034,0.00125148,0.0013005199999999999,0.0013256392
-3.4488,0.0013575879999999999,5.966110821408979e-05,25,0.0012644468,0.001285668,0.00132352,0.001343,0.00139307,0.0014632279999999998,0.0014922935999999998,0.001275891785714286,4.712734747113803e-05,112,0.0011807292,0.001211845,0.0012416575,0.0012704399999999999,0.0013131975,0.0013566165,0.0013757465,0.0012342576951672863,4.540009613421851e-05,269,0.001129172,0.001161548,0.00120449,0.00123242,0.00126447,0.001310702,0.0013365319999999999
-2.4488,0.0013820331999999998,5.947872769038242e-05,25,0.0013063080000000002,0.001307744,0.00134097,0.00136102,0.00140649,0.0014926259999999997,0.0015193288,0.0013053741964285715,4.699926573393072e-05,112,0.0012145924000000002,0.001235133,0.0012717925,0.001299965,0.0013402475,0.0013812459999999998,0.0014025418,0.0012684197397769526,4.630766183992974e-05,269,0.0011722864,0.001196352,0.00123506,0.00126782,0.00129876,0.001346488,0.0013706168
-1.4488,0.0014066139999999998,6.01992755355079e-05,25,0.0013178736,0.001327614,0.00137166,0.00138848,0.00143675,0.0015240499999999999,0.001538762,0.0013336447321428571,4.725261628601694e-05,112,0.0012491068,0.001259586,0.0012999675,0.00132987,0.00136994,0.00141048,0.0014300364,0.0013019692565055764,4.6850281074488615e-05,269,0.00120441,0.001231464,0.00126549,0.00130033,0.00133257,0.001381928,0.0014068595999999999
-0.4488,0.0014260983999999997,6.109780824492261e-05,25,0.0013238800000000002,0.001344284,0.00138847,0.00141472,0.00146308,0.0015436059999999999,0.0015522872,0.0013563933035714276,4.710303770522839e-05,112,0.0012729333,0.001284998,0.00132118,0.001354165,0.001397315,0.0014334635,0.0014468001999999999,0.001331384014869888,4.6856601315137535e-05,269,0.0012377468000000001,0.0012613379999999999,0.001295,0.00132898,0.00136402,0.0014093159999999999,0.00143989
0.5512,0.0014319411999999998,6.139354833911022e-05,25,0.0013212316,0.001349306,0.00139552,0.00142878,0.00147369,0.001544202,0.001554562,0.0013643225892857136,4.702889069393266e-05,112,0.0012789164,0.0012922295,0.001327735,0.001359145,0.0014048074999999998,0.0014367834999999998,0.0014575724,0.001346010669144981,4.670260254659478e-05,269,0.0012409328,0.001275102,0.00131387,0.00134507,0.00138019,0.001419694,0.0014557011999999999
1.5512,0.0014215043999999998,6.133049445966229e-05,25,0.0013045732,0.001338812,0.0013863,0.00142415,0.00146327,0.0015316379999999999,0.0015410335999999998,0.0013543629464285707,4.647244161843756e-05,112,0.0012686861,0.001283869,0.0013218675,0.00135064,0.00139264,0.0014264535,0.0014464238000000001,0.0013419592193308545,4.647074257458188e-05,269,0.0012351064,0.0012704580000000001,0.00131044,0.00133932,0.0013762,0.001415964,0.001445612
2.5512,0.0013971812000000002,6.087890222400532e-05,25,0.0012782455999999999,0.0013153400000000001,0.00136334,0.001391,0.00144079,0.0015056099999999999,0.0015157744,0.0013298148214285713,4.527872777758905e-05,112,0.001239753,0.001254285,0.0012990150000000002,0.00132784,0.0013654750000000001,0.001398785,0.0014141778,0.0013214435315985144,4.566091063746394e-05,269,0.00121626,0.001250102,0.00129185,0.00132022,0.0013552,0.001391122,0.0014160995999999999
3.5512,0.0013554312,5.947001985034141e-05,25,0.0012395044,0.00127627,0.00132446,0.00135205,0.00139938,0.001459106,0.0014725636,0.0012860915178571429,4.372823289054119e-05,112,0.0011929883000000002,0.0012143105,0.00125302,0.00128436,0.001318615,0.0013524655,0.0013625415999999999,0.0012822989591078074,4.449301660400698e-05,269,0.0011863104,0.001215548,0.00125259,0.00128153,0.00131392,0.001353454,0.0013689103999999998
4.5512,0.0013116044,5.7916640101672566e-05,25,0.001205046,0.001235816,0.00127983,0.0013055,0.00135226,0.0014076219999999999,0.0014290067999999999,0.00123914625,4.202623014315042e-05,112,0.0011471581,0.0011706169999999999,0.001210865,0.001237785,0.001273265,0.001302615,0.0013162912,0.0012368062453531592,4.2435701743836125e-05,269,0.0011481724,0.001170344,0.00120712,0.00123592,0.00126829,0.001307002,0.001323864
5.5512,0.0012641128000000002,5.652602317517127e-05,25,0.001173112,0.001192584,0.00123118,0.0012563,0.00129872,0.001352068,0.0013842555999999998,0.0011877912500000002,4.0010566422514576e-05,112,0.0011049481,0.0011249650000000001,0.00116054,0.001186525,0.00121798,0.0012518759999999999,0.0012680788,0.001184283494423792,4.017124645159498e-05,269,0.0011060452,0.001119192,0.00115485,0.00118092,0.00121252,0.001250492,0.0012710648
6.5512,0.0012189415999999996,5.529521857569003e-05,25,0.0011430612,0.001148984,0.00118909,0.00120906,0.00125003,0.001297924,0.0013402963999999999,0.0011396124107142858,3.770120996566078e-05,112,0.0010706907,0.001081989,0.0011135675,0.00113849,0.00116704,0.001204803,0.0012192468999999999,0.0011327516728624543,3.8171795467413034e-05,269,0.0010602084000000001,0.001070886,0.00110675,0.00112928,0.00115941,0.00119953,0.0012160944
7.5512,0.0011814188,5.33674268101183e-05,25,0.0011112004,0.001114574,0.00115039,0.00117159,0.00120656,0.00126323,0.0013039619999999999,0.0011006341964285712,3.5938805562990026e-05,112,0.001042065,0.001045734,0.0010692875,0.00109931,0.0011279674999999999,0.0011649039999999998,0.0011832118,0.0010889229182156127,3.6733364548093564e-05,269,0.0010147684,0.00103186,0.00106311,0.00108692,0.00111463,0.001154352,0.0011640376
8.5512,0.0011506388000000003,5.067374783192313e-05,25,0.0010808416,0.001088608,0.00111705,0.00114135,0.00116951,0.001230712,0.0012681408,0.001069877410714286,3.5070349601381605e-05,112,0.0010130784,0.0010196015,0.0010400075,0.0010664049999999999,0.0010941599999999998,0.001135066,0.0011546753,0.0010533239107806687,3.602699351594552e-05,269,0.00097966204,0.0010005326,0.00102829,0.00105242,0.00107559,0.001112828,0.0011313792000000001
9.5512,0.001124724,4.8489919828764415e-05,25,0.0010570644,0.001065254,0.00108969,0.0011151,0.00113787,0.0011988300000000001,0.0012361352,0.0010444446785714283,3.488727508724162e-05,112,0.00098834583,0.000994339,0.00101716,0.001042645,0.001068065,0.001104386,0.0011257568000000002,0.0010232954126394047,3.593569905520909e-05,269,0.00094447976,0.0009697822,0.000999804,0.00102288,0.00104671,0.001082938,0.0011016504
10.5512,0.0011033967999999998,4.674734392811352e-05,25,0.0010403452,0.0010435960000000002,0.00106527,0.00109864,0.00111509,0.001173388,0.0012088823999999998,0.001023184160714285,3.4999903574012224e-05,112,0.00096348248,0.00097235315,0.0009967980000000001,0.00102287,0.0010473524999999998,0.001084296,0.0011023184,0.000997504535315985,3.624192114787083e-05,269,0.00091243036,0.0009393226,0.000974199,0.000997061,0.00102258,0.001065378,0.0010799764
11.5512,0.0010889936,4.4751921642167145e-05,25,0.0010301131999999999,0.001032462,0.00105097,0.00108278,0.00110198,0.001155372,0.0011872232,0.0010091864107142857,3.574253068182926e-05,112,0.0009457699599999999,0.00095878795,0.0009797995000000001,0.00100925,0.0010337625,0.001072116,0.0010861091999999999,0.0009791659070631966,3.677278744192223e-05,269,0.00089364332,0.0009161384,0.00095637,0.000976618,0.00100372,0.001044282,0.0010649668
12.5512,0.0010804056,4.3586787856719445e-05,25,0.0010222352,0.001024692,0.00104628,0.00107629,0.00109254,0.00114379,0.0011718076,0.0010006431517857145,3.656394400513965e-05,112,0.00093715743,0.000947435,0.00097079175,0.00100085,0.0010266750000000001,0.001064839,0.0010775561,0.000967702613382899,3.752225687298816e-05,269,0.00088548768,0.0009048202,0.00094562,0.000966493,0.000990974,0.0010336640000000001,0.0010542528
13.5512,0.0010670564000000002,4.416118213242638e-05,25,0.0010060327999999999,0.001012512,0.0010351,0.00105947,0.0010885,0.0011334580000000002,0.0011552636000000001,0.0009866614732142861,3.752480749636054e-05,112,0.00092002686,0.0009301205,0.0009566265,0.0009859604999999999,0.001011175,0.0010585615000000001,0.0010659531000000002,0.0009515332973977695,3.832880744833088e-05,269,0.00087079496,0.0008848408,0.000927154,0.000949202,0.000976048,0.0010198240000000001,0.0010415024
14.5512,0.0010486834,4.68711021961649e-05,25,0.00097999588,0.0009895222000000001,0.00101756,0.0010396,0.00107883,0.001118332,0.0011385607999999999,0.0009662281339285715,3.837955732354493e-05,112,0.00089601995,0.0009120537500000001,0.000934833,0.0009625580000000001,0.0009923722500000001,0.0010420665,0.0010539670999999999,0.0009283354237918219,3.915710814837596e-05,269,0.00084491736,0.0008654154,0.000902448,0.000927877,0.000952551,0.0009926116,0.0010228404
