Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-37.5845,0.34956953846153854,0.04946939850471665,26,0.22408925000000002,0.2550425,0.32640725000000004,0.3554505,0.38149775,0.40396725,0.42955675000000004,0.41123582142857146,0.04080743507820013,112,0.31483053,0.3497333,0.38330525000000004,0.41178950000000003,0.437216,0.47888844999999997,0.49936947000000004,0.4513491153846154,0.048076392894589905,260,0.33621365,0.37789445,0.419487,0.4501825,0.48492925,0.5273711,0.55369765
-36.5845,0.34962953846153844,0.04895163509116383,26,0.225833,0.25344774999999997,0.32509625,0.3554465,0.38156725,0.40473375,0.421512,0.4089960178571429,0.038389960647807635,112,0.3095593,0.3510532,0.38309424999999997,0.40837500000000004,0.43166574999999996,0.4693603499999999,0.49425046,0.44747469230769227,0.045821716623136895,260,0.34211502,0.37531285,0.417361,0.44575750000000003,0.48105975,0.5198527,0.5450907500000003
-35.5845,0.3507655769230768,0.04931722419453315,26,0.227912,0.25180125,0.3249415,0.36078849999999996,0.38194,0.40934725,0.417886,0.40919690178571405,0.036475335204347974,112,0.30930343000000005,0.35421025,0.3861875,0.40743399999999996,0.43042525,0.4640681499999999,0.49301169,0.44700705,0.04410803957126053,260,0.34480688,0.37646989999999997,0.41891825,0.4464415,0.47759225000000005,0.5163516999999999,0.5403500100000003
-34.5845,0.3537246538461538,0.050606787006441986,26,0.23087075,0.251394,0.32498075,0.36734350000000004,0.38674675000000003,0.41704725,0.4189415,0.4128097767857143,0.035072686902650446,112,0.316788,0.35818665,0.39175400000000005,0.41247999999999996,0.43455775,0.4631369,0.49475778000000004,0.4504733961538462,0.04316886599665378,260,0.35072868,0.37918314999999997,0.42311224999999997,0.451396,0.4806325,0.5191108999999999,0.5405987000000001
-33.5845,0.3586461538461539,0.05279287930143027,26,0.235367,0.25215875,0.32421325,0.374378,0.39399275,0.4271755,0.42941425,0.41914314285714255,0.03435529804136386,112,0.32630335,0.36272945,0.39627450000000003,0.4211065,0.44306975,0.4702049,0.49710155,0.4565455192307693,0.042821320578430425,260,0.35833843,0.38519970000000003,0.42906900000000003,0.458045,0.486777,0.5238918,0.5458062000000001
-32.5845,0.36659430769230783,0.055908921204236614,26,0.24228725,0.25578075,0.3255575,0.38048499999999996,0.40701875,0.4415975,0.44685749999999996,0.42948691071428574,0.034886638483990935,112,0.33440379,0.37002195,0.40641475,0.4342915,0.45213675000000003,0.48462985000000003,0.50418823,0.46706695000000004,0.04341724546439626,260,0.35606012,0.3923857,0.44019375,0.469808,0.49816075000000004,0.53561455,0.5542930300000001
-31.5845,0.3764661153846154,0.05964960925627387,26,0.25066325,0.26308325,0.32961025,0.391791,0.42303725,0.4556785,0.46707974999999996,0.4426115357142854,0.036664502703121195,112,0.33807405,0.3825067,0.4216315,0.4452685,0.467743,0.5023204,0.5140285600000001,0.48030142692307687,0.0446151845213594,260,0.35611388,0.40319635000000004,0.45526,0.48283149999999997,0.51153025,0.5471455,0.5749597700000001
-30.5845,0.38775342307692306,0.06404871891126197,26,0.25884675,0.2699555,0.332739,0.4018075,0.433657,0.46846525,0.48694025,0.4575279285714285,0.03959431903825295,112,0.33767745,0.3924063,0.43788075,0.45942,0.48571675000000003,0.51910455,0.53228792,0.4955853538461539,0.046215179673403474,260,0.36391732,0.41230855000000005,0.47152375,0.497082,0.52852025,0.5645519999999999,0.5962660600000002
-29.5845,0.40004249999999997,0.0684466147751662,26,0.26674175,0.274162,0.3404785,0.41771199999999997,0.446571,0.481417,0.50260475,0.4727220625000001,0.043764615064190604,112,0.33523197,0.39957895,0.45294975,0.4732065,0.5033070000000001,0.53484415,0.55275583,0.5123666423076924,0.0482605186075455,260,0.37839142,0.42262890000000003,0.488095,0.5152785,0.5429925,0.58199005,0.6175361300000001
-28.5845,0.41275042307692306,0.07179416235331286,26,0.27354825,0.2821865,0.34542249999999997,0.4283555,0.4616445,0.49343375,0.51154225,0.48694119642857114,0.04869842612767295,112,0.32961075,0.4006618,0.46525625,0.4882585,0.51946525,0.5530845,0.57737498,0.5295807423076923,0.05049210875130306,260,0.39350113999999997,0.43597494999999997,0.5035925,0.5346275,0.565032,0.5976462,0.6344162400000002
-27.5845,0.42544492307692316,0.07282002207740565,26,0.27965775,0.297497,0.35871075,0.442837,0.47666149999999996,0.508548,0.515952,0.4996017857142858,0.05268793186546588,112,0.32472156,0.4046564,0.4809955,0.5049435,0.5329677500000001,0.5692351499999999,0.59764646,0.5459497230769231,0.05197302712081165,260,0.40472562,0.4468178,0.5203315000000001,0.5511539999999999,0.58283425,0.6216041,0.6512229
