Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-37.5845,0.22893,0.03824032546714702,25,0.18306008000000001,0.194332,0.211531,0.219774,0.233189,0.28412859999999995,0.3554825999999998,0.231076592920354,0.023712597292758143,113,0.18158772,0.1953432,0.21392,0.228939,0.24629,0.27549539999999995,0.28748283999999996,0.22902271042471034,0.027970074118024053,259,0.1636268,0.190172,0.2112695,0.226739,0.2447995,0.27579929999999997,0.29384773999999997
-36.5845,0.22926056,0.03421405156886081,25,0.18500168,0.1972234,0.211266,0.22218,0.239508,0.2858253999999999,0.33706315999999986,0.2339552477876107,0.022476085923841597,113,0.1885344,0.2006482,0.218646,0.231511,0.248552,0.2745916,0.29296352,0.23227063706563703,0.02639264431425498,259,0.16974918,0.1937306,0.215919,0.230262,0.24772349999999999,0.27297449999999995,0.2976379799999999
-35.5845,0.22872972,0.03165030460032468,25,0.1863812,0.19642099999999998,0.211584,0.221861,0.242625,0.2894287999999999,0.32203299999999996,0.23488753982300892,0.021549364683225165,113,0.19344296000000002,0.2032346,0.219621,0.231988,0.247291,0.2707636,0.29813907999999995,0.2330294826254826,0.02514504210218057,259,0.17269788,0.194677,0.21876050000000002,0.231474,0.2488925,0.2718218,0.2970284799999999
-34.5845,0.22748551999999997,0.03046208808655988,25,0.18741588,0.1944506,0.207895,0.219384,0.242096,0.29522319999999985,0.30980515999999997,0.234045,0.020974783975134796,113,0.19674816,0.2029474,0.220293,0.230846,0.24583,0.26745939999999996,0.3010576,0.23136347104247096,0.02452316914157408,259,0.17242724,0.1921198,0.21735549999999998,0.231225,0.24734499999999998,0.2706548,0.29864478
-33.5845,0.22625212,0.030396969088655315,25,0.18838336,0.190841,0.205178,0.220875,0.239903,0.2845759999999999,0.31022099999999997,0.23282145132743357,0.02081750605731317,113,0.20074908,0.2022456,0.220344,0.230386,0.243232,0.2652488,0.3028146399999999,0.22927516988416996,0.024509425372758343,259,0.17097392,0.1884595,0.21579749999999998,0.229792,0.2422115,0.2694937,0.29584253999999993
-32.5845,0.22574696000000002,0.03184406440044989,25,0.18700672,0.188021,0.202857,0.220699,0.239392,0.2720479999999999,0.3153532799999999,0.23143599999999978,0.02109115724023087,113,0.19566224000000002,0.200341,0.217724,0.228512,0.24129,0.2645724,0.30283175999999995,0.22678671428571426,0.025082573197747805,259,0.16725462,0.1846576,0.2119655,0.227136,0.23881,0.2697237,0.28946891999999996
-31.5845,0.2270354,0.03451602670016737,25,0.18488156,0.1896398,0.200593,0.221729,0.244362,0.2698512,0.3219979199999998,0.2307573451327434,0.021944552634248892,113,0.19092784,0.1960258,0.217218,0.226758,0.243346,0.26543619999999996,0.3014724399999999,0.22524843629343633,0.026337015755801062,259,0.1647518,0.17819590000000002,0.209938,0.224678,0.23941099999999998,0.26997709999999997,0.29006432
-30.5845,0.23054772000000004,0.037808583320590054,25,0.18539751999999998,0.191575,0.199973,0.224686,0.244296,0.28824679999999997,0.3296939599999999,0.23164299115044243,0.02369252605234386,113,0.18703824,0.1970178,0.217369,0.22699,0.24646,0.27022019999999997,0.3011241999999999,0.22517644401544387,0.02816953320617905,259,0.1625759,0.177959,0.2088855,0.22265,0.2419,0.2772376,0.30100831999999994
-29.5845,0.2359488,0.04118284634610224,25,0.18698248,0.1905408,0.203814,0.229178,0.254778,0.31242059999999994,0.33083788,0.2351733097345134,0.02676475636584146,113,0.18540528,0.1954346,0.216931,0.234198,0.253104,0.2823616,0.3035354,0.22712457528957547,0.03050761086278891,259,0.16138492000000002,0.1769394,0.20843,0.225881,0.2454565,0.28092199999999995,0.3066742999999999
-28.5845,0.24175096,0.04387510527383381,25,0.18971968,0.1920286,0.208618,0.230762,0.262501,0.320955,0.3346326399999999,0.2413408584070796,0.031221280262217235,113,0.18436952,0.196803,0.219562,0.238944,0.259213,0.30200459999999996,0.32089035999999993,0.2307443243243243,0.03343228443689721,259,0.16104256,0.1785382,0.2084715,0.230962,0.24864,0.2957199,0.3220479
-27.5845,0.24561655999999998,0.04470216239836726,25,0.19268456,0.1962372,0.214404,0.235898,0.264666,0.32513039999999993,0.3469478,0.24828589380530983,0.03586857460362434,113,0.17930352000000002,0.19877340000000002,0.224754,0.244769,0.265832,0.3107084,0.3448733999999999,0.23451597297297286,0.03642023214185638,259,0.1603377,0.1795062,0.209347,0.233632,0.2537535,0.29870189999999996,0.3344320599999999
-26.5845,0.2460958,0.04334900500780458,25,0.1930412,0.1979802,0.206441,0.236578,0.26727,0.3239029999999999,0.3475212,0.2536804955752211,0.039362918580118894,113,0.17387940000000002,0.1935032,0.227842,0.250336,0.271706,0.32320019999999994,0.3603847999999999,0.23721390347490354,0.03882879519791536,259,0.15694526,0.1810269,0.21018599999999998,0.234541,0.258059,0.3096867,0.33736582
-25.5845,0.24278828000000008,0.04087083644087391,25,0.18896756,0.1906862,0.208749,0.237903,0.264044,0.31678139999999994,0.33919439999999995,0.25609569026548673,0.04137800369936036,113,0.1690418,0.1895196,0.232323,0.251576,0.276302,0.33149719999999994,0.3618659199999999,0.23791694594594595,0.04034650035673263,259,0.15186752,0.17893,0.211017,0.23572,0.25968800000000003,0.3125638,0.34425178
-24.5845,0.23616983999999996,0.03834497061401925,25,0.18218492,0.1837492,0.213361,0.234191,0.256002,0.30564939999999996,0.32631148,0.2548126106194689,0.04175149823005364,113,0.165022,0.18761060000000002,0.229054,0.248531,0.278995,0.3332986,0.35794459999999995,0.23649217374517376,0.040860688107862184,259,0.1500482,0.17767480000000002,0.20987250000000002,0.233865,0.258019,0.3146701,0.34252499999999986
-23.5845,0.2277356,0.03679836118520316,25,0.17301932,0.1755226,0.202201,0.226002,0.244073,0.29615379999999997,0.31451112,0.25009758407079646,0.04045781482600242,113,0.16580044,0.1869402,0.22698,0.246748,0.273002,0.32915279999999997,0.35646124,0.2338275598455599,0.04038893396499552,259,0.14675666,0.1764003,0.2053735,0.232799,0.255807,0.3103925,0.3437143799999999
-22.5845,0.21906288000000004,0.03633496982857332,25,0.16414956,0.1686084,0.192829,0.217115,0.238508,0.2870696,0.30538188,0.24309480530973457,0.038162909580614864,113,0.16938388,0.1868438,0.217266,0.240485,0.264934,0.31160579999999993,0.3518012,0.23085163320463312,0.039170705752585536,259,0.1460288,0.1755322,0.2028515,0.22712,0.252313,0.30333079999999996,0.33317317999999996
-21.5845,0.2113382799999999,0.03690825336168051,25,0.15759304,0.162824,0.188767,0.205423,0.222226,0.281052,0.29753759999999996,0.2357469115044247,0.03585888843826329,113,0.17132072,0.1855132,0.213499,0.232682,0.25542,0.2940297999999999,0.34036619999999995,0.2282208223938224,0.03765717517110861,259,0.14725722,0.1718852,0.20308700000000002,0.224055,0.2506315,0.2992739,0.31932558
-20.5845,0.20453692000000004,0.03787948327582272,25,0.15259804,0.15703899999999998,0.178249,0.203153,0.214337,0.28217739999999997,0.29174288,0.22915564601769906,0.034017536099551535,113,0.16915692000000002,0.18443500000000002,0.205717,0.225274,0.250517,0.2857305999999999,0.32562079999999993,0.22595474131274138,0.036054011701742855,259,0.14900148,0.1704852,0.2023505,0.221386,0.24793500000000002,0.2927782,0.31726862
-19.5845,0.19851848,0.03844400432460178,25,0.14725359999999998,0.1509382,0.168306,0.19517,0.208674,0.27874219999999994,0.28541004,0.22348974336283184,0.03270235242842924,113,0.16799808,0.1814406,0.197801,0.217712,0.244312,0.2794776,0.30548411999999997,0.22399667953667943,0.034576736376629315,259,0.15082858000000002,0.1699346,0.203701,0.219496,0.2463185,0.2834912,0.31037804
-18.5845,0.19302308,0.03811742612519896,25,0.14086192,0.1443462,0.163249,0.187958,0.20397,0.26506539999999995,0.27940755999999994,0.21867299999999995,0.03231561469265726,113,0.17112987999999998,0.1757934,0.192924,0.213779,0.240507,0.281556,0.29716723999999994,0.22214537065637074,0.03330361165729959,259,0.15159464,0.17020359999999998,0.2009965,0.218179,0.243583,0.2844916,0.29997941999999994
-17.5845,0.18776568000000002,0.036727917812067704,25,0.13541292000000002,0.1405838,0.158657,0.183328,0.200191,0.24930219999999997,0.2707518399999999,0.2145186991150443,0.033154821578867184,113,0.16947396,0.1716588,0.189408,0.208799,0.234287,0.2805006,0.29672148,0.21962812355212358,0.03240447776252836,259,0.15630623999999999,0.169457,0.19783,0.214999,0.24182599999999999,0.27860890000000005,0.29126524
-16.5845,0.18313743999999998,0.03473381742754458,25,0.1310626,0.1385624,0.158462,0.180891,0.200265,0.2371848,0.26346183999999995,0.21091296460176992,0.03487178751024171,113,0.16017692,0.1654552,0.188516,0.205662,0.226307,0.2776508,0.30628,0.21623597297297298,0.03220693634982847,259,0.15656218,0.1669418,0.19357200000000002,0.21156,0.24023450000000002,0.27405419999999997,0.28656323999999994
-15.5845,0.17903868000000003,0.032397020726861084,25,0.12902444000000002,0.13724899999999998,0.161532,0.173135,0.193183,0.22930579999999998,0.2570321199999999,0.20777667256637167,0.03689281324116104,113,0.15309284,0.1591584,0.182958,0.202974,0.229153,0.2770604,0.31745176,0.21197778378378374,0.03279138723976325,259,0.1523974,0.1644448,0.18709150000000002,0.207037,0.2347645,0.2729638,0.2833619799999999
