Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-35.5419,0.03351785038461538,0.04297385287295822,26,0.00316525,0.0063412425,0.012382575,0.0219811,0.0301125,0.1049629,0.18703525,0.017371551875000005,0.01386693785753963,112,0.0025747319,0.003207012,0.0079342525,0.013404550000000001,0.020893825,0.04362647499999997,0.06402339600000001,0.02321350381923077,0.036683285933547506,260,0.002014325,0.0041944650000000005,0.009828907500000001,0.015207700000000001,0.024919774999999998,0.05403870999999998,0.10889386000000009
-34.5419,0.03541852346153847,0.03985307364396056,26,0.004802465,0.0076089425,0.019356375000000002,0.02308595,0.031717025,0.115907175,0.17271725000000002,0.01974267169642857,0.017093756950594875,112,0.0027761516000000003,0.003677779,0.0092168775,0.01499565,0.023574,0.0517843499999999,0.086981168,0.02705550215384616,0.03700687008582405,260,0.0027973536,0.0047443685,0.0115857,0.0186956,0.031819475,0.0644448149999999,0.12151137000000031
-33.5419,0.041863457692307704,0.03788654031212851,26,0.010054875000000001,0.0105397,0.026249875,0.030795799999999998,0.04098765,0.13549630000000001,0.16288575,0.02715179526785715,0.022999936799865343,112,0.0026383669,0.005208670500000001,0.012571800000000001,0.0226657,0.03295775,0.06582948999999996,0.10936661,0.03636318034615385,0.03762279764438654,260,0.0043843845,0.007110451,0.016555624999999997,0.02905315,0.04243065,0.09255307999999998,0.13768589000000084
-32.5419,0.05643455384615384,0.04004327930631287,26,0.01636645,0.0193176,0.033386575,0.048049549999999996,0.0651742,0.138505475,0.1875515,0.04344409249999998,0.032607934071368604,112,0.0024523097,0.0092250755,0.021995349999999997,0.035899200000000006,0.051714375,0.10246040499999975,0.16092621000000001,0.05517331730769231,0.040553373157914505,260,0.008497993799999999,0.015785965,0.029701675,0.048045950000000004,0.066265425,0.12260284999999994,0.16751341000000125
-31.5419,0.08301972692307694,0.04736788094037188,26,0.031876225,0.0359646,0.051963225,0.07308424999999999,0.10117425000000001,0.1593735,0.23193000000000003,0.07228386401785716,0.04620758272160801,112,0.0037706647000000006,0.017824505000000004,0.04002295,0.06451760000000001,0.092941125,0.1542409999999998,0.23084461000000003,0.08756556384615388,0.04635783559209165,260,0.019640227,0.03121833,0.056299975,0.07908380000000001,0.10672875,0.16951524999999998,0.22252202000000104
-30.5419,0.12232028846153847,0.05802443079879597,26,0.05555085,0.05805185,0.084186275,0.11499000000000001,0.1499835,0.20595925,0.29039325,0.11398569223214285,0.061198985642458015,112,0.009416336300000001,0.037513825,0.06968830000000001,0.1008455,0.148227,0.21872614999999987,0.31036024000000006,0.13326468884615383,0.0532352357247183,260,0.04492308,0.05931067500000001,0.09546875,0.126524,0.16066575,0.23193029999999998,0.2732342800000003
-29.5419,0.16942571153846153,0.06929506058857775,26,0.071143775,0.07735840000000001,0.126665,0.1668045,0.204143,0.27088999999999996,0.3543105,0.1634502675892857,0.0748826085150291,112,0.022829306000000004,0.06485207500000001,0.1102345,0.1515105,0.20948675,0.29304799999999986,0.38616412000000006,0.1865598619230769,0.0593216268126985,260,0.082404689,0.09566422,0.14353549999999998,0.180339,0.22216375,0.2897758499999999,0.3283384800000003
-28.5419,0.21643267307692307,0.08080950511834388,26,0.08598307499999999,0.0948252,0.1598655,0.2047495,0.25078924999999996,0.34728325,0.41366275,0.2144747866071428,0.0862700171818864,112,0.045634328,0.09540924,0.15486725,0.20952300000000001,0.271714,0.3591059499999998,0.44671118000000004,0.24078321807692316,0.06484113239438823,260,0.1244808,0.14035525,0.18967124999999999,0.23944300000000002,0.28334075,0.3448163499999999,0.38353199
-27.5419,0.25578616153846157,0.09319294284026479,26,0.09587175,0.10672034999999999,0.20083075,0.2478055,0.30084125,0.418948,0.45450725,0.2606722553571427,0.09654936067840066,112,0.070722822,0.1182807,0.195848,0.2585925,0.32584075,0.41070295,0.48987559,0.2893498499999999,0.07127690783149816,260,0.15591258,0.1807855,0.2300105,0.290361,0.33989125,0.3977148999999999,0.46207516000000026
-26.5419,0.2769222269230769,0.1048849143477309,26,0.099283175,0.1101575,0.21165325,0.2680355,0.34528625,0.46418175,0.46640425,0.29012828839285704,0.10570461073448227,112,0.067761766,0.12728865,0.21494375,0.284753,0.35906975,0.45256614999999994,0.50908158,0.32045212307692295,0.07972311717733621,260,0.16385529000000001,0.19095855,0.2588395,0.3236175,0.37627575,0.44333409999999995,0.49302593000000056
