Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-35.5419,0.0012484972000000002,6.947205670387677e-05,25,0.0011499392,0.0011620439999999999,0.00119101,0.00123215,0.0012801,0.001375748,0.0013846084,0.0011630656363636365,5.194252371395533e-05,110,0.0010637605000000001,0.0010744300000000001,0.0011236875,0.001159035,0.0011970275,0.0012497385,0.0012733013,0.0011388941825095057,8.790755337109408e-05,263,0.0010186764,0.001041557,0.0010894799999999999,0.00113211,0.00117522,0.0012414849999999999,0.0013409973999999997
-34.5419,0.0012609808000000004,7.187302118551394e-05,25,0.0011554092,0.001171198,0.00120336,0.00124303,0.00129264,0.00138025,0.0014111176,0.0011722640000000001,5.342950830922121e-05,110,0.0010679778,0.0010859665,0.0011318575000000002,0.0011703,0.0012051975,0.001262356,0.0012935917,0.0011485133840304182,8.541965930931765e-05,263,0.0010337726,0.0010547990000000001,0.001099645,0.0011418,0.00118133,0.0012556199999999998,0.0013606199999999999
-33.5419,0.0012778892,7.407593952154774e-05,25,0.0011693839999999999,0.001187862,0.00122956,0.00125895,0.0013105,0.0013799419999999999,0.0014509883999999998,0.0011869716363636367,5.7402537177044434e-05,110,0.0010783604000000001,0.0011015195,0.001145965,0.001182235,0.001219015,0.00128974,0.0013250374,0.0011638518288973388,8.111321203224645e-05,263,0.0010439574,0.001073676,0.0011172,0.00115779,0.00119863,0.001274139,0.0013813249999999999
-32.5419,0.0013061035999999999,7.962056915353803e-05,25,0.0011968272,0.001212816,0.00125281,0.00128858,0.00134261,0.0014043460000000001,0.0015204655999999997,0.001211755181818182,6.766667949049509e-05,110,0.0010939606000000001,0.0011186705,0.001169025,0.0012077,0.0012417724999999999,0.001319527,0.0014094916,0.0011907230038022815,7.98883346185055e-05,263,0.0010623143999999999,0.0010948590000000001,0.00114094,0.00118303,0.001223955,0.001318804,0.0014004059999999999
-31.5419,0.0013516952,9.075779971624109e-05,25,0.001246486,0.001255082,0.0012843,0.00132589,0.00138226,0.001447472,0.0016247863999999995,0.0012523134545454546,8.582696414945942e-05,110,0.0011079007,0.001141007,0.001201555,0.0012393600000000001,0.001287545,0.0013704985,0.0015029671999999999,0.0012359815969581744,8.600255392819922e-05,263,0.001091188,0.00113167,0.00118226,0.00122491,0.00127634,0.0014057879999999994,0.0014631835999999998
-30.5419,0.0014101804000000004,0.00010427499470470697,25,0.0013106556,0.0013238599999999998,0.00133832,0.00138778,0.00145572,0.001513856,0.0017460203999999993,0.0013064753636363637,0.00010843359590324742,110,0.0011471569,0.001165162,0.0012398425,0.0012904700000000002,0.0013475825,0.001442773,0.0016221543,0.00129634711026616,0.00010070206478480423,263,0.0011272292,0.001178363,0.001228575,0.00127877,0.0013457999999999999,0.0014651229999999998,0.001603778
-29.5419,0.0014724168,0.00011330107956678967,25,0.0013726236,0.00137784,0.00140261,0.00145169,0.0015117,0.0015774219999999998,0.0018487095999999994,0.0013670009999999994,0.00013053106095921234,110,0.0011576816,0.0012074874999999999,0.0012827675000000001,0.0013460149999999999,0.00142014,0.0015252249999999998,0.0017644434999999998,0.0013623901520912554,0.00011894746559287905,263,0.001164542,0.0012198040000000001,0.00128809,0.00133337,0.00142197,0.001569724,0.0017241291999999999
-28.5419,0.0015284728,0.00011469779678645382,25,0.0014184244,0.00142698,0.00146167,0.00150661,0.00155162,0.0016256379999999998,0.001911942399999999,0.0014237718181818184,0.00014816649521710626,110,0.0011870316999999999,0.0012336705,0.001332555,0.00140684,0.0014944225,0.0016208385,0.0018808480999999999,0.0014230672623574156,0.00013658491473135444,263,0.0011979574,0.001265871,0.001332205,0.00139577,0.001491105,0.0016841029999999993,0.0018559652
-27.5419,0.001571708,0.00010828323308188887,25,0.0014562476,0.00146432,0.00151573,0.00155267,0.00159868,0.0016511759999999999,0.0019270319999999993,0.0014689721818181814,0.00016020190334563121,110,0.00121024,0.001267941,0.0013715225,0.0014497849999999999,0.0015379825,0.0017479104999999998,0.0019622894,0.0014713302661596961,0.00015230914325355252,263,0.0012159558,0.001284702,0.001368815,0.00144116,0.00154198,0.0017584099999999995,0.0019858662
-26.5419,0.0015903503999999998,9.521603941738668e-05,25,0.0014625728000000001,0.0014725580000000001,0.00154639,0.00157125,0.00162408,0.001686214,0.0018939339999999995,0.0014903252727272726,0.00016471843713868574,110,0.0011855063000000001,0.0012794095,0.0013864775,0.00147249,0.0015513900000000001,0.0017846385,0.0020360254,0.0014945015589353618,0.00016262305973941955,263,0.0012400194,0.0012801330000000001,0.001385645,0.00146639,0.0015641000000000001,0.001789398,0.0020325377999999995
-25.5419,0.0015826600000000003,8.3944102482942e-05,25,0.0014295544,0.00145165,0.00154884,0.00156905,0.00161671,0.0017018159999999999,0.0018165079999999999,0.0014865207272727271,0.00016444203426281778,110,0.0011552860000000002,0.001273069,0.0013832900000000001,0.00146635,0.0015608649999999998,0.0017865344999999997,0.0020502217999999995,0.0014905693916349805,0.0001686885533081179,263,0.001199929,0.00125633,0.0013769149999999998,0.0014621,0.0015774399999999998,0.001778191,0.0020526189999999995
-24.5419,0.0015541199999999998,8.279996814612913e-05,25,0.001373474,0.001406064,0.00152804,0.00155627,0.0016077,0.0016787419999999998,0.0017137536,0.0014629618181818177,0.00016134568739418042,110,0.0011441232,0.0012337035,0.00137083,0.00145003,0.00153271,0.0017741969999999997,0.0019354152,0.0014661425855513309,0.00017249691028587991,263,0.0011512498,0.0012116520000000001,0.00135406,0.0014399,0.0015549650000000002,0.0017597469999999999,0.002036076
