Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-38.5953,0.24996546153846155,0.03664575258611241,13,0.19562852,0.2045186,0.234726,0.242497,0.254227,0.3105629999999999,0.33241499999999996,0.26419130681818176,0.02547812393549801,88,0.21606747,0.22088480000000002,0.246429,0.26554449999999996,0.2835225,0.30847005,0.32040505999999996,0.26296929955947107,0.03508615574324253,227,0.1941172,0.2113976,0.2376275,0.26289,0.28120100000000003,0.32280359999999997,0.3611693
-37.5953,0.2553409230769231,0.03990910822410831,13,0.19781264,0.2063072,0.240782,0.24851,0.258972,0.3215619999999999,0.34596999999999994,0.2685803295454545,0.02527487538526602,88,0.21657379,0.22662495,0.25107324999999997,0.2679355,0.286338,0.3103609,0.31813142,0.265248268722467,0.03645645125343168,227,0.19268195999999999,0.2132351,0.242371,0.263377,0.2858035,0.3295844,0.36595274000000005
-36.5953,0.26216792307692305,0.042367984377871815,13,0.20045136,0.2081928,0.247855,0.257,0.265932,0.3297355999999999,0.35506231999999993,0.27306529545454566,0.026310083842013353,88,0.2155067,0.2322807,0.25163125,0.27213,0.29182725,0.3144974,0.31996017,0.2664663127753304,0.03827295446270634,227,0.19005323999999998,0.2090537,0.2422125,0.262426,0.28947449999999997,0.33479309999999995,0.3700300000000001
-35.5953,0.26900846153846153,0.043733872260936335,13,0.20408980000000002,0.210145,0.25102,0.263845,0.286326,0.33540999999999993,0.36009159999999996,0.2770180454545455,0.028196187283181656,88,0.21855841,0.23691020000000002,0.253367,0.276692,0.2990765,0.32335939999999996,0.3294802,0.266298872246696,0.03996640288596034,227,0.18654724,0.2032766,0.243394,0.263507,0.29033,0.33869229999999995,0.3718139000000001
-34.5953,0.2781573846153847,0.045105635234669705,13,0.21152875999999998,0.2141078,0.255633,0.27467,0.31179,0.34664959999999995,0.36639391999999993,0.282115840909091,0.032114476706188604,88,0.21897091,0.23690624999999998,0.2586175,0.28107,0.3046085,0.33693709999999993,0.3490083499999999,0.26560581057268723,0.04319450564868025,227,0.17795894,0.1971956,0.23791400000000001,0.262529,0.293828,0.3378587,0.38402246000000007
-33.5953,0.2885626923076923,0.04496595728879166,13,0.21949204,0.2225602,0.26518,0.282427,0.311325,0.35532739999999996,0.36692708,0.2870900795454546,0.03679238299300474,88,0.21889323,0.23142175,0.2598775,0.2847775,0.31102175,0.34868505,0.3728747799999999,0.2635001453744493,0.04644942030522192,227,0.17069911999999998,0.1893521,0.23270849999999998,0.260334,0.2956395,0.34862259999999995,0.38446832000000014
-32.5953,0.2980165384615384,0.04240337425963368,13,0.22648064,0.2381792,0.277736,0.292829,0.322279,0.35786900000000005,0.35869460000000003,0.29150446590909085,0.04060715870723642,88,0.21638678,0.2276795,0.26483,0.2906205,0.31103575,0.35967209999999994,0.3896972799999999,0.2612357885462556,0.04885522648139101,227,0.1648298,0.1837754,0.22598849999999998,0.260427,0.294222,0.35117459999999995,0.3825355800000001
-31.5953,0.3069162307692308,0.0400263329949877,13,0.23614324,0.2507122,0.283504,0.299874,0.340282,0.365406,0.3659196,0.29630680681818194,0.04308649174528224,88,0.20552281,0.22773905,0.268457,0.29582149999999996,0.32200375000000003,0.3726293,0.39194748,0.26103651982378856,0.05091099148325667,227,0.159265,0.1826404,0.222366,0.260489,0.293916,0.3503536,0.38998234000000015
-30.5953,0.3161387692307693,0.04050320379746488,13,0.24676868000000002,0.2553674,0.303109,0.31112,0.328235,0.378486,0.3800844,0.303089909090909,0.04535441082166261,88,0.1999039,0.23539825,0.27525999999999995,0.2989965,0.335229,0.38345654999999995,0.39585338999999997,0.2647366431718063,0.05300710987876574,227,0.15193132,0.1871641,0.22342250000000002,0.265436,0.29605950000000003,0.360376,0.3931083600000001
-29.5953,0.32604438461538465,0.04269244102207177,13,0.25894528,0.2617864,0.312296,0.321496,0.345196,0.39423539999999996,0.40205028,0.31236052272727277,0.04891633393044577,88,0.2014338,0.24888935,0.27541475,0.30557,0.345425,0.39456209999999997,0.41758367999999996,0.27288405726872245,0.05546374413848688,227,0.1532211,0.1933381,0.2337215,0.270129,0.31004299999999996,0.37367209999999995,0.40265702000000003
-28.5953,0.3341117692307693,0.043997901211599175,13,0.26614364,0.2693342,0.306802,0.334363,0.35434,0.40227799999999997,0.40991239999999995,0.32395350000000006,0.0545241386695395,88,0.21002447999999999,0.25052665,0.285092,0.31651050000000003,0.35973925,0.42145164999999996,0.43951893999999986,0.28502216299559463,0.05830425144507611,227,0.15938234,0.1994517,0.24462899999999999,0.28003,0.3201925,0.39536819999999995,0.42122926000000005
-27.5953,0.34162038461538463,0.044432997855457346,13,0.27227256,0.27758279999999996,0.303035,0.352478,0.359232,0.4067196,0.40979832,0.33677278409090927,0.061441982268566,88,0.22484206,0.25070035,0.29564124999999997,0.3267665,0.37759125,0.44488554999999996,0.48515710999999995,0.2999007268722468,0.06203250347193693,227,0.16083442,0.2083331,0.256809,0.296694,0.3354275,0.41426399999999997,0.4552756600000001
-26.5953,0.34911784615384617,0.044426065336778287,13,0.2859698,0.286757,0.306042,0.356607,0.374419,0.4082536,0.42448191999999996,0.3497835,0.06844305535663735,88,0.24209579,0.25328755,0.30278125,0.33215700000000004,0.3909585,0.46675675,0.5202528,0.3163460220264317,0.06643846524572553,227,0.16812582,0.2223883,0.2721535,0.309475,0.352846,0.4389369999999999,0.4856836400000003
-25.5953,0.35523069230769233,0.045193157345968155,13,0.28758188,0.2967374,0.314753,0.364038,0.386214,0.41816659999999994,0.43781971999999997,0.3631174431818182,0.074521454835821,88,0.24337344,0.26384515000000003,0.31045275,0.35292999999999997,0.40319525,0.5108328499999999,0.5385134999999999,0.3339234757709249,0.0712732164330381,227,0.181519,0.24209460000000002,0.287401,0.3244,0.3688805,0.45915689999999987,0.5228562200000001
-24.5953,0.3615697692307692,0.05090050954747219,13,0.28868448,0.3001104,0.322717,0.350249,0.39457,0.446774,0.45569719999999997,0.37713039772727286,0.08028106740116177,88,0.24713194000000002,0.26971344999999997,0.3208975,0.3695695,0.4192355,0.53926985,0.58725279,0.3524980352422907,0.07593306509169764,227,0.2028203,0.24605449999999998,0.3046895,0.337449,0.3896065,0.48731959999999996,0.57260152
-23.5953,0.3706590769230769,0.06228244243158412,13,0.29564379999999996,0.301795,0.324136,0.35344,0.404055,0.4796552,0.48134384,0.39366489772727287,0.08670274560674558,88,0.25956063,0.28121535000000003,0.32955475,0.379769,0.4382135,0.5624755,0.63305536,0.3727339559471364,0.08074304862650701,227,0.22402128,0.2597544,0.32001650000000004,0.358583,0.4084235,0.5247044999999998,0.6265101200000002
-22.5953,0.3821158461538462,0.07456715262415722,13,0.29813696,0.3030488,0.333127,0.348463,0.440637,0.5064732,0.5178890399999999,0.41335430681818186,0.09403254466570114,88,0.27110119000000005,0.283246,0.34040625,0.39534650000000005,0.46410075,0.5787470499999999,0.6851312199999999,0.39506937444933954,0.08608084118090543,227,0.24098042,0.2812872,0.336087,0.384656,0.4372385,0.5527012,0.6840292800000001
-21.5953,0.39320599999999994,0.0834322222455649,13,0.29356344,0.3093012,0.335818,0.351005,0.458026,0.5226924,0.5394688799999999,0.4366683522727273,0.10180631693745103,88,0.27554606,0.29374975,0.355236,0.416718,0.50116275,0.6038812499999999,0.7380928499999999,0.41938290308370035,0.0921594091864327,227,0.25693376,0.2904854,0.354962,0.407658,0.4658195,0.5674928,0.7337451000000001
-20.5953,0.40392461538461544,0.09172850170524831,13,0.28891807999999997,0.3012224,0.348216,0.363926,0.450117,0.553825,0.5587042,0.4626102386363636,0.10997004537777856,88,0.28484855,0.3034387,0.3826505,0.4486555,0.5343895,0.6457061999999999,0.76991292,0.4443331674008808,0.0996206046380897,227,0.27170888000000004,0.3029305,0.371069,0.432689,0.505176,0.6091144999999999,0.7780096200000004
-19.5953,0.4151621538461538,0.10177786611934685,13,0.29453236,0.3054298,0.358383,0.380463,0.470729,0.5817431999999999,0.6202670399999999,0.488148727272727,0.11721869438550322,88,0.29193070000000004,0.31468975,0.4108825,0.4751605,0.55877175,0.6863992999999999,0.7833582299999998,0.4675802907488987,0.10801558935415624,227,0.27761104,0.3271559,0.3926215,0.452215,0.5316700000000001,0.6320299,0.8145668200000007
-18.5953,0.4258133846153846,0.11286828111456472,13,0.3038636,0.311402,0.364811,0.389752,0.490475,0.6043517999999998,0.6758319599999999,0.510676784090909,0.12291464101099142,88,0.29813641999999996,0.32553585,0.4333305,0.495668,0.5931660000000001,0.7260658999999998,0.7945645899999998,0.48664550220264297,0.11686136598859405,227,0.27509184000000003,0.328586,0.403161,0.467331,0.5646635,0.6792452999999999,0.8344061400000007
-17.5953,0.43458899999999995,0.12524821266588998,13,0.30832344,0.3094932,0.360701,0.371369,0.502587,0.6369067999999998,0.7211357599999998,0.5283165795454544,0.12657825164702108,88,0.29999924,0.3321732,0.44943974999999997,0.514186,0.6120915,0.7439339999999998,0.8092796199999998,0.5000237136563879,0.1254887829723351,227,0.27386042,0.3205136,0.407117,0.47824,0.5889535,0.7214768,0.8408303600000003
-16.5953,0.441651076923077,0.1372977489797639,13,0.3028646,0.311279,0.352965,0.371225,0.511004,0.6676323999999998,0.7535264799999999,0.539740409090909,0.1284436299578545,88,0.29922760000000004,0.34387105,0.45890675000000003,0.5344949999999999,0.61670725,0.7524308,0.8144127499999999,0.5078138017621141,0.133432235603975,227,0.26093924,0.3142999,0.4102155,0.484432,0.6018875,0.7475786999999999,0.8295542
-15.5953,0.44702946153846146,0.14766920745008383,13,0.29879212000000005,0.31414060000000005,0.34896,0.377672,0.535437,0.6917037999999998,0.7746871599999998,0.5451807045454548,0.12899992247277,88,0.30072261,0.35600855,0.4541225,0.545221,0.62380225,0.77487865,0.8134395499999998,0.5107254096916299,0.14043182855202077,227,0.24663664,0.3053645,0.404184,0.495795,0.6092005,0.7628195,0.83319496
-14.5953,0.45006746153846156,0.15456834986914114,13,0.29206879999999996,0.302468,0.351414,0.361641,0.541899,0.7005377999999998,0.7809171599999998,0.5455613977272727,0.1277821722257258,88,0.31071444,0.33551929999999996,0.4586565,0.5308364999999999,0.62900975,0.7806342499999999,0.81781489,0.5101904757709255,0.14564181082870026,227,0.2418613,0.2987818,0.39976049999999996,0.491458,0.6250465000000001,0.7615607,0.8285120800000001
-13.5953,0.4516518461538462,0.1588889920174072,13,0.28495435999999996,0.28799179999999996,0.345213,0.377955,0.537023,0.7122927999999997,0.7809217599999998,0.5427742727272726,0.12415631310770901,88,0.31110363,0.34144,0.45734675,0.5307234999999999,0.62986775,0.7723745499999999,0.8175863699999998,0.507316973568282,0.1475367010705406,227,0.24475922,0.2832865,0.393695,0.48933,0.6158865,0.7550234,0.8397167400000001
-12.5953,0.45175461538461537,0.16085254376681893,13,0.27393843999999995,0.27732819999999997,0.333821,0.391791,0.526535,0.7297779999999998,0.7774995999999998,0.5374384886363636,0.11746860814976717,88,0.30044865,0.34598785000000004,0.45803249999999995,0.537823,0.6137735,0.7379746999999999,0.82554842,0.5019837973568279,0.1446461499134414,227,0.24290864,0.28288040000000003,0.3954465,0.489052,0.6052525,0.7403487999999999,0.8347700800000002
-11.5953,0.45240130769230774,0.1601542104594738,13,0.26475948,0.2711574,0.335912,0.404964,0.544639,0.7377123999999999,0.76904248,0.5311971363636363,0.10905488341758278,88,0.29669923,0.35058985000000004,0.46324725,0.532551,0.5896822500000001,0.7395586499999998,0.8078671699999999,0.4936033436123346,0.13791386110285414,227,0.23293594,0.2872189,0.385083,0.479685,0.591954,0.7226998,0.7982357
-10.5953,0.4559338461538462,0.15718055034887224,13,0.26576236,0.2714638,0.337856,0.423699,0.518066,0.7327967999999999,0.7528041599999999,0.5249915681818182,0.1010885643098426,88,0.30119338,0.3592133,0.46952925,0.5309125,0.574256,0.72121095,0.7906824699999999,0.4821431982378855,0.12970092676745465,227,0.22537498,0.2815937,0.37914000000000003,0.47076,0.5718639999999999,0.6951177,0.7979385200000001
-9.5953,0.4601499230769231,0.1501519403240495,13,0.27860108,0.2789534,0.344188,0.452495,0.506401,0.7157307999999999,0.73364776,0.5190073068181819,0.0956725932718694,88,0.30943043000000003,0.35599084999999997,0.467414,0.5297405,0.5721127500000001,0.6822681999999998,0.7711158499999999,0.46875993392070486,0.12206725095067435,227,0.22965946,0.2775501,0.38222599999999995,0.455286,0.5435905000000001,0.6703877,0.7502079600000001
-8.5953,0.4640770769230769,0.1420391655310027,13,0.29085392,0.2931416,0.350862,0.467064,0.518106,0.6959917999999999,0.72760076,0.5139314318181817,0.09212453229199205,88,0.3189743,0.37027145,0.46392924999999996,0.5219245,0.56246175,0.6624659999999997,0.7669905699999999,0.455229475770925,0.11651309454067901,227,0.24050894,0.2789745,0.36719650000000004,0.440325,0.534483,0.656597,0.70018406
-7.5953,0.4683978461538461,0.1333582389317374,13,0.31435376,0.3148448,0.364859,0.468811,0.545868,0.6737585999999998,0.7318957199999999,0.5087548522727272,0.08921144478889888,88,0.32503686,0.35526535000000004,0.45218674999999997,0.5092525,0.56088375,0.6484472499999999,0.7424063499999998,0.4435568766519823,0.11319305906979296,227,0.24228074000000002,0.27522030000000003,0.35663350000000005,0.434387,0.5224625,0.6469990999999999,0.6879014600000002
-6.5953,0.4731066923076923,0.1255660327327051,13,0.33890432000000004,0.3410936,0.374093,0.464062,0.573918,0.6561231999999998,0.7430118399999999,0.5036201249999999,0.08713858708947324,88,0.32815659999999996,0.34139015,0.45084925,0.506954,0.55553875,0.63074215,0.7049294299999996,0.43488356828193836,0.11157981877006118,227,0.2389421,0.2693626,0.3461535,0.428238,0.5143635,0.6292880999999999,0.67302364
-5.5953,0.47822061538461547,0.11921782144988397,13,0.34310576,0.3648008,0.388017,0.446578,0.533938,0.6746409999999998,0.7605441999999999,0.4982210340909091,0.08702774072956897,88,0.32103107,0.34318695,0.44121849999999996,0.5016054999999999,0.55742075,0.6373320499999997,0.6861890099999997,0.42958673568281924,0.11089627765484168,227,0.2402554,0.2684287,0.34552700000000003,0.422224,0.505638,0.6269534999999999,0.6761773600000001
-4.5953,0.4846368461538462,0.11804832723920472,13,0.341837,0.364925,0.427074,0.454204,0.505505,0.7008519999999998,0.7757175999999998,0.49160257954545444,0.08891447950941614,88,0.31275231,0.34232845,0.43030650000000004,0.4950585,0.5599345,0.6112463499999999,0.7028738099999998,0.4260379427312776,0.11008426853616607,227,0.23959493999999998,0.2650699,0.340823,0.426267,0.5020265,0.6206128,0.6894397800000001
-3.5953,0.48943261538461535,0.11640851969288907,13,0.34024712,0.3595676,0.45475,0.479455,0.490124,0.7056837999999998,0.7677295599999998,0.4796310681818183,0.09069528511954102,88,0.29719212,0.32431675,0.41282325,0.4835505,0.54482775,0.59178965,0.7062385,0.4204543832599119,0.10661426451082576,227,0.2439225,0.26377090000000003,0.334881,0.415467,0.4878115,0.6037251,0.6802697
-2.5953,0.49131153846153847,0.11448249926853113,13,0.34089396,0.35661780000000004,0.434966,0.477525,0.511722,0.6964057999999999,0.7495451599999999,0.46930768181818155,0.09172907575949242,88,0.29417027,0.31426719999999997,0.3925685,0.477016,0.5305875,0.5899422999999999,0.6936856699999999,0.4159243171806166,0.10368376278579533,227,0.24017287999999998,0.2584651,0.3396495,0.413223,0.49033499999999997,0.5881303999999999,0.6705144000000002
-1.5953,0.4876502307692307,0.10975065530947399,13,0.34618456000000003,0.3517828,0.421688,0.480637,0.538359,0.6651183999999998,0.7227308799999999,0.45523325,0.09060347560196116,88,0.28390705,0.2992684,0.3817605,0.464442,0.51773325,0.5769392,0.68253727,0.40902058149779735,0.09920709483837828,227,0.23407936000000001,0.2520956,0.33643199999999995,0.407087,0.482032,0.5767729999999999,0.6473419000000004
-0.5953,0.47839099999999996,0.10600006231444709,13,0.3441122,0.344645,0.418018,0.465289,0.546468,0.6294751999999998,0.6952390399999998,0.4396044886363634,0.08699982333738099,88,0.26407587000000005,0.29651685000000005,0.37315875,0.4526615,0.501147,0.55861975,0.66054912,0.4020059515418503,0.09393118099416092,227,0.22799772,0.253401,0.3356795,0.397576,0.472307,0.5609778,0.6222663400000001
0.4047,0.463272076923077,0.10276444565644736,13,0.3321148,0.33625,0.415379,0.436351,0.520647,0.6154505999999998,0.67745892,0.4238002840909092,0.08389892466985167,88,0.25096883000000003,0.297841,0.35854225,0.4275175,0.48051225,0.5638692999999999,0.6182915499999999,0.3956367973568281,0.08869194703655876,227,0.22751142,0.2598356,0.3295585,0.390409,0.457123,0.5522994,0.5978133800000001
1.4047,0.44326276923076924,0.1039213419508186,13,0.32222692,0.3240346,0.365295,0.418115,0.506665,0.6061641999999998,0.6753240399999998,0.40923551136363634,0.08297756198854657,88,0.24057757,0.29064260000000003,0.34981375,0.4133305,0.46329275,0.5524192999999998,0.6103489,0.39223822907489003,0.08510443394878878,227,0.234506,0.2613924,0.324477,0.388869,0.44111449999999996,0.5430559,0.5929116000000002
2.4047,0.420710076923077,0.10884000944005039,13,0.30546572,0.3138206,0.330153,0.394898,0.470218,0.5910025999999997,0.6805869199999999,0.3974352386363636,0.08381137679309351,88,0.23361065,0.27472705000000003,0.33759475,0.39556250000000004,0.45491775,0.5102630499999998,0.6170249699999999,0.3927028678414098,0.08306191691999971,227,0.24254683999999999,0.26595369999999996,0.3335915,0.387045,0.438715,0.5482214999999999,0.60335172
3.4047,0.40737830769230765,0.1128419476896665,13,0.29096436,0.2971218,0.33168,0.383123,0.441179,0.5842299999999997,0.6848955999999997,0.3943397045454544,0.08523665741478274,88,0.23097841,0.26085365,0.33816375,0.39080550000000003,0.458847,0.5031926499999999,0.62786465,0.397110480176211,0.08188859548241482,227,0.24810884,0.275187,0.34111899999999995,0.389452,0.4393125,0.5510514999999999,0.61370614
4.4047,0.39257861538461536,0.11578371468931374,13,0.27993084,0.2817342,0.334703,0.358465,0.403713,0.5851683999999997,0.6874736799999998,0.3925019886363637,0.08749395032807333,88,0.21514237,0.2534905,0.33076225000000004,0.389964,0.45369125,0.5138619499999999,0.62597518,0.40305835242290744,0.08137703578242239,227,0.2495651,0.28310420000000003,0.3458275,0.399683,0.448601,0.5453827,0.6253121800000003
